wavelength,Back_SpoCasf,Belly_SpoCasf,Breast_SpoCasf,Crissum_SpoCasf,Crown_SpoCasf,DorTail_SpoCasf,Patch10_SpoCasf,Patch11_SpoCasf,Rump_SpoCasf,Throat_SpoCasf,WingTip_SpoCasf
676.97,16.8931333333,50.7164,33.1025333333,50.7869333333,15.8092666667,14.4204333333,20.0625333333,32.2422666667,22.2080666667,33.7214,16.1364
677.30,16.8961333333,50.8252666667,33.1616,50.8766,15.8121333333,14.3780333333,20.0276666666,32.243,22.2123333333,33.7756,16.1554666667
677.63,16.9598,50.9780666667,33.2455333333,50.9670666667,15.9452666667,14.4862333333,20.185,32.3343333333,22.3895333333,33.9124,16.2126666667
677.95,16.94,50.8494666667,33.0882,50.8510666667,15.9417333333,14.4963333334,20.1617333333,32.2364,22.3024,33.8858666667,16.1215333333
678.28,16.9090666667,50.8354666667,33.1180666667,50.8043333333,15.9320666667,14.4516666667,20.1826666667,32.2050666667,22.2553333333,33.9064666667,16.0969333334
678.60,16.9364,50.924,33.1496,50.8252666667,15.9764,14.4548,20.2722,32.2302666667,22.309,33.963,16.11
678.93,16.9016666667,50.8892666667,33.1157333333,50.8146,15.9651333333,14.4261,20.2708666667,32.2205333333,22.2442,33.9328,16.0989333333
679.25,16.8226666667,50.8384666667,33.0441333333,50.7079333333,15.9182,14.365,20.1598666667,32.1542666667,22.1896,33.8187333333,16.049
679.58,16.8270666667,50.752,33.0580666667,50.6651333333,15.9182666667,14.3743333333,20.1322666667,32.116,22.2295333333,33.8526,16.0310666667
679.90,16.8693333334,50.8934,33.1616666667,50.8094,15.9312,14.4274,20.186,32.2269333334,22.3180666667,33.9187333333,16.0590666667
680.23,16.899,50.8467333333,33.0606666667,50.703,15.9648666667,14.4535,20.1946,32.1871333333,22.2856666667,33.9213333333,16.0832
680.55,16.8524,50.7674666667,33.0038,50.5604,15.9452,14.4614,20.2321333333,32.1292,22.2173333333,33.882,16.0628666666
680.88,16.8958666667,50.7253333333,32.9994,50.5436666667,15.9902666667,14.5323666667,20.3278,32.1696,22.2484,33.8794,16.1311333333
681.20,16.8974,50.7249333333,33.0322666666,50.5897333333,15.9266,14.5170666667,20.3324666667,32.1843333333,22.1967333333,33.8548666667,16.1717333333
681.53,16.9574666667,50.8521333333,33.1576666666,50.655,16.0102,14.5548333333,20.3892,32.3204,22.2683333333,33.8988666666,16.2965333333
