wavelength,Back_SpoAmem,Belly_SpoAmem,Breast_SpoAmem,Crissum_SpoAmem,Crown_SpoAmem,DorTail_SpoAmem,Rump_SpoAmem,Throat_SpoAmem,WingTip_SpoAmem
357.66,4.7756,26.4984666667,6.29753333333,23.5309333333,2.90833333333,6.14206666667,14.7293333333,24.6552,6.15566666667
358.02,4.8078,26.6706666667,6.33306666667,23.6720666667,2.90566666667,6.18346666667,14.8206666667,24.6928,6.14266666667
358.38,4.94186666667,26.8853333333,6.46806666666,23.8677333333,3.00986666667,6.2974,14.9984,24.8348666667,6.2564
358.75,4.9378,27.0050666667,6.40693333333,23.8800666667,2.97786666666,6.29933333333,15.0310666667,24.8996,6.24306666667
359.11,4.97686666667,26.9884,6.39640000001,23.9115333333,3.01286666667,6.28633333333,15.0418,24.8125333333,6.26993333333
359.48,5.04606666667,27.1878666667,6.48559999999,24.1218666667,3.1158,6.3872,15.2001333333,25.1054,6.41326666667
359.84,5.0964,27.2653333333,6.57333333333,24.1468666667,3.2028,6.45833333333,15.2888,25.1442666667,6.52413333333
360.20,5.16653333333,27.3762,6.589,24.2700666667,3.24846666667,6.55893333333,15.3542666667,25.2052666667,6.59086666667
360.57,5.2164,27.5621333333,6.65266666667,24.4251333333,3.3304,6.64126666667,15.4544,25.3327333333,6.6566
360.93,5.235,27.6572666667,6.63553333333,24.4991333333,3.32426666667,6.6342,15.5184666667,25.3718666667,6.67573333333
361.29,5.22186666667,27.7031333333,6.61466666667,24.5335333333,3.30233333334,6.5898,15.4886,25.3202666667,6.71166666667
361.66,5.20933333333,27.6696,6.53679999999,24.5063333333,3.25726666667,6.56186666667,15.4424666667,25.307,6.7198
362.02,5.1876,27.6964666667,6.53486666666,24.5136666667,3.27973333333,6.53846666667,15.4504,25.3714666667,6.77073333333
362.39,5.10986666667,27.6440666667,6.45466666666,24.49,3.20333333333,6.44866666667,15.3990666666,25.327,6.73013333333
362.75,5.04486666667,27.6600666667,6.45866666666,24.5262666667,3.14286666667,6.38566666667,15.3706666667,25.3375333333,6.70313333333
363.11,5.06073333333,27.7742,6.49153333334,24.6031333333,3.15006666667,6.41746666667,15.4193333333,25.4695333333,6.7474
363.48,5.0718,27.8069333333,6.50160000001,24.5453333333,3.10686666667,6.3492,15.3911333333,25.4174,6.69
363.84,5.05666666667,27.9658666667,6.49253333333,24.665,3.082,6.30373333333,15.4018,25.4958666667,6.64293333333
364.20,5.014,28.0748666667,6.478,24.6566,3.0026,6.19666666667,15.3591333333,25.5096666667,6.60233333333
364.57,4.9306,28.035,6.41433333334,24.627,2.86806666667,6.05186666667,15.2996666667,25.3838666667,6.49906666667
364.93,4.9176,28.0937333333,6.42466666667,24.6676666667,2.821,6.04253333333,15.2612,25.3757333333,6.48093333333
365.29,4.98273333333,28.2944,6.45599999999,24.7474,2.87033333333,6.07713333333,15.3748666666,25.5268,6.5246
365.66,5.09353333333,28.4678,6.57986666667,24.8841333333,2.9904,6.18306666667,15.5224666667,25.6523333333,6.60473333333
366.02,5.1944,28.6544666667,6.65706666667,25.0876666667,3.07213333333,6.27713333333,15.6337333333,25.7652,6.65706666667
366.38,5.15326666667,28.7594666667,6.60693333334,25.0526,3.0376,6.1956,15.6474,25.8595333333,6.588
366.75,5.19406666667,28.874,6.59059999999,25.1390666667,3.07406666667,6.22866666667,15.6929333333,25.913,6.59133333333
367.11,5.13206666667,28.924,6.51706666667,25.1433333333,3.03553333333,6.1842,15.6614666666,25.8540666667,6.4882
367.47,5.114,28.9121333333,6.49360000001,25.2166,3.01973333333,6.15966666667,15.6702,25.8312,6.4704
367.84,5.08873333333,28.8784666667,6.47766666667,25.1746666667,2.986,6.106,15.6736,25.8057333333,6.4446
368.20,5.07753333333,28.9568666667,6.46733333333,25.3158,3.02073333333,6.12346666667,15.7294666667,25.8371333333,6.40633333333
368.56,5.01293333333,28.9572,6.36620000001,25.2687333333,3.01993333333,6.09426666667,15.6683333333,25.7664666667,6.34566666667
368.93,4.9498,29.0856,6.32993333333,25.3432,3.00846666667,6.02546666667,15.7140666667,25.8294666667,6.30086666667
369.29,4.89666666667,29.1555333333,6.33153333333,25.4564666667,2.99286666667,6.02593333333,15.732,25.8281333333,6.2498
369.65,4.8232,29.2866666667,6.2744,25.5415333333,2.91806666667,5.96886666667,15.7536666666,25.9126,6.1944
370.01,4.74153333333,29.2444,6.16560000001,25.4595333333,2.81013333333,5.86766666667,15.7246,25.8858666667,6.1112
370.38,4.80646666667,29.3000666667,6.22973333334,25.6319333333,2.83833333333,5.94946666667,15.7783333333,25.9150666667,6.17106666667
370.74,4.83546666667,29.3965333333,6.27553333333,25.6950666667,2.89166666666,6.0118,15.8336666667,25.9894,6.18793333333
371.10,4.87813333333,29.557,6.36386666666,25.8174666667,2.93113333333,6.03493333333,15.908,26.1284,6.23773333333
371.46,4.85933333333,29.6736,6.30906666667,25.8871333333,2.91786666667,6.00913333333,15.9215333333,26.1258,6.2174
371.83,4.9202,29.8113333333,6.32760000001,26.0657333333,2.99533333334,6.09053333333,15.9885333333,26.2626666667,6.27953333333
372.19,4.86466666667,29.8734,6.27473333333,26.0418,2.92093333333,6.03826666667,15.978,26.2569333333,6.25593333333
372.55,4.869,29.9707333333,6.32520000001,26.1171333333,2.8816,6.00326666666,16.0378,26.3738666667,6.2556
372.92,4.78126666667,29.8962666667,6.23993333333,26.0887333333,2.7524,5.92726666667,15.9360666667,26.3510666667,6.1564
373.28,4.76773333333,29.9496666667,6.23693333333,26.0994666667,2.73633333334,5.93446666667,15.9292666667,26.357,6.151
373.64,4.75326666667,30.0525333333,6.27146666667,26.1835333333,2.75133333333,5.95033333333,15.9564666667,26.4194666667,6.18933333333
374.00,4.75333333333,30.1070666667,6.29346666667,26.1609333333,2.7382,5.9264,15.9212,26.4222666667,6.14653333333
374.37,4.71353333333,30.2448666667,6.27713333334,26.1504,2.7414,5.89333333333,15.9093333333,26.3967333333,6.13006666667
374.73,4.66413333333,30.3017333333,6.2262,26.2054666666,2.709,5.8012,15.9037333333,26.4198,6.08766666667
375.09,4.6404,30.3700666667,6.19553333334,26.2765333333,2.6848,5.73033333333,15.89,26.4728666667,6.06493333333
375.45,4.61666666667,30.4724,6.19726666667,26.3076,2.65686666667,5.7218,15.9183333333,26.6134666667,6.0568
375.81,4.5054,30.5284,6.12899999999,26.2480666667,2.52653333333,5.6232,15.8652666667,26.5062666667,5.9358
376.18,4.5544,30.6076666667,6.18079999999,26.3330666667,2.56586666667,5.6408,15.9237333333,26.5752,5.94933333333
376.54,4.70666666667,30.7743333333,6.28346666666,26.504,2.73053333333,5.79586666667,16.0709333333,26.7146,6.10006666667
376.90,4.86393333333,30.9912,6.42673333333,26.6209333333,2.9022,5.9586,16.2338,26.8954,6.2622
377.26,4.87733333333,31.0439333333,6.39953333333,26.6234666667,2.9034,5.93753333333,16.25,26.9322,6.232
377.63,4.89353333333,31.1276666667,6.41659999999,26.6784,2.89606666666,5.939,16.2694,26.9528,6.21326666667
377.99,4.89753333333,31.2638,6.40699999999,26.8275333333,2.93093333333,5.9974,16.3612666667,26.9709333333,6.25693333333
378.35,4.88506666667,31.3290666667,6.39706666667,26.9047333333,2.92446666667,6.03733333333,16.3990666667,27.0643333333,6.23653333333
378.71,4.96613333333,31.4482666667,6.47846666667,26.9861333333,2.99526666667,6.11413333333,16.4270666667,27.1186,6.33393333333
379.07,4.96386666667,31.5574,6.48113333334,27.0572,3.01966666667,6.1694,16.4701333333,27.1519333333,6.3424
379.44,4.87333333333,31.5755333333,6.40659999999,27.0578,2.97453333333,6.08806666667,16.4216666667,27.1466,6.2514
379.80,4.90826666667,31.6722666667,6.44920000001,27.125,3.059,6.17733333333,16.4891333333,27.2314666667,6.324
380.16,4.92146666667,31.7933333333,6.46493333334,27.1826666667,3.11066666667,6.2518,16.5452,27.3439333333,6.3694
380.52,4.89386666667,31.895,6.43066666667,27.2117333333,3.08846666667,6.26233333334,16.538,27.3034666667,6.32033333333
380.88,4.925,31.9768,6.40386666666,27.3179333333,3.11733333333,6.2594,16.6128666667,27.3330666667,6.3318
381.24,4.94533333333,32.1014666667,6.44026666667,27.4438,3.1694,6.3072,16.665,27.4496,6.36626666667
381.61,4.95173333333,32.0898666667,6.42519999999,27.4199333333,3.20273333333,6.314,16.7057333333,27.4640666667,6.3792
381.97,4.9438,32.2017333333,6.44093333333,27.444,3.16733333333,6.27606666667,16.6926,27.5803333333,6.35653333333
