wavelength,Back_AniNotf,Belly_AniNotf,Breast_AniNotf,Crissum_AniNotf,Crown_AniNotf,DorTail_AniNotf,Patch10_AniNotf,Patch11_AniNotf,Patch12_AniNotf,Rump_AniNotf,Throat_AniNotf,WingTip_AniNotf
196.65,-84.9463333333,-126.075333333,-153.89775,-194.355,-124.46225,-160.752666667,-163.172,-145.430166667,-193.548166666,-132.795833334,-161.559166667,-140.053833333
197.03,-125.490166667,-176.143833333,-196.242083334,-255.718916666,-158.415125,-192.156833333,-204.575333333,-184.313833333,-241.503333333,-166.6665,-205.228833334,-196.0785
197.40,-130.246833333,-157.4075,-189.505916667,-248.456916666,-153.780875,-172.222166667,-189.197666666,-175.0,-220.679,-158.9505,-192.5925,-178.395333333
197.78,-127.1605,-157.716166666,-179.938166666,-246.14225,-150.2315,-159.259166667,-183.642,-171.605,-216.666833333,-152.777666667,-191.666666666,-182.098833333
198.16,-146.5985,-185.034,-198.809416666,-274.319916667,-166.836833333,-158.503333333,-204.0815,-187.755333333,-235.034166667,-159.523833333,-211.904666667,-197.279
198.54,-273.718,-355.128166666,-364.743583333,-513.46175,-318.589875,-273.076833333,-389.102666667,-370.513,-457.051166666,-302.563833334,-396.154,-367.948666667
198.92,-222.916666667,-283.333333333,-297.65625,-382.552083334,-240.234375,-197.916666666,-319.270833334,-281.770833334,-378.125,-235.9375,-304.6875,-282.8125
199.30,-308.666666666,-369.333333334,-386.666666666,-492.0,-312.166666667,-233.333333333,-410.666666666,-357.333333333,-466.666666666,-288.0,-382.666666667,-366.666666667
199.68,-227.604166666,-275.520833333,-273.958333333,-382.8125,-213.932291667,-163.020833333,-300.0,-266.145833334,-357.8125,-214.583333333,-284.375,-269.791666667
200.06,-131.159333333,-181.521666667,-173.732083333,-238.94925,-131.97475,-100.724833334,-184.057833333,-178.623333333,-232.971166666,-124.275166667,-189.1305,-177.173833333
200.44,-98.3333333333,-132.222,-126.944333333,-178.611166666,-94.23625,-78.8888333331,-133.0555,-134.722,-174.444333333,-89.9998333333,-146.9445,-130.277833333
200.82,-87.5001666667,-126.666666666,-125.27775,-172.083416666,-88.124875,-68.3333333333,-130.555666667,-121.111,-161.666666667,-70.8333333333,-142.222333333,-123.611
201.19,-73.6318333333,-120.895666666,-113.9305,-156.71625,-88.6195,-73.6318333335,-123.631833333,-114.179166667,-150.995,-65.423,-127.363,-105.224166667
201.57,-50.2315,-100.694666667,-94.4445833334,-135.76375,-65.567,-59.722,-100.2315,-94.6758333333,-120.833166666,-39.352,-104.398166667,-82.4075000001
201.95,-36.3985,-79.6933333333,-77.3945833333,-105.747333333,-51.6283333333,-45.2106666667,-79.5018333333,-78.5441666667,-97.8926666667,-27.0113333333,-83.1416666665,-59.1955
202.33,-42.683,-83.9430000001,-81.9104166667,-110.568833334,-51.9815833334,-54.0651666667,-83.5366666667,-79.6746666667,-106.301,-36.5851666667,-93.9023333331,-66.4633333333
202.71,-52.355,-80.9783333334,-80.4346666667,-107.880583333,-53.3968333333,-62.1375,-80.0726666667,-75.5436666667,-99.8186666668,-35.1448333334,-92.0289999999,-67.2098333334
203.09,-55.7348333333,-75.8066666667,-79.8385833334,-114.336833333,-59.229375,-70.6094999999,-83.6916666667,-80.8243333333,-102.6885,-45.699,-92.1144999998,-66.129
203.47,-39.1666666667,-57.6666666667,-70.6666666667,-97.8333333335,-51.5,-62.3333333333,-72.3333333333,-68.5,-93.8333333331,-41.1666666667,-80.4999999999,-52.1666666667
203.85,-26.6341666666,-50.6536666666,-64.052,-90.3595833334,-46.36425,-49.9998333333,-65.5228333333,-57.3528333333,-82.0258333333,-32.6798333333,-74.5096666668,-46.732
204.22,-27.0,-50.8333333333,-57.9166666667,-96.25,-46.6666666667,-40.8333333333,-66.0,-51.1666666667,-78.1666666667,-37.5,-71.1666666669,-42.1666666667
204.60,-25.0916666667,-56.2271666666,-60.4395,-102.38075,-52.2437083333,-37.9121666667,-72.3443333333,-55.4945,-87.1791666665,-43.5896666667,-68.8646666666,-41.0255
204.98,-29.897,-54.9828333334,-57.8179166666,-97.9379166667,-53.178625,-42.44,-72.3368333333,-60.6528333333,-90.7216666666,-47.4225,-60.3096666667,-39.1753333333
205.36,-46.951,-67.4798333334,-72.45925,-114.227666666,-67.4797083334,-55.0813333334,-90.8535,-74.9998333333,-113.618,-68.2926666667,-81.5041666668,-57.5205
205.74,-77.7776666666,-94.1919999998,-102.777833333,-144.192,-101.01,-74.2421666665,-126.515,-99.4950000002,-149.999833333,-104.798,-107.828333333,-81.8181666667
206.12,-149.291,-159.929166667,-166.4895,-230.850833333,-166.578083333,-131.560333333,-201.063833333,-169.148666667,-232.978833333,-185.8155,-172.340333334,-135.461
206.50,-224.761833333,-256.190333334,-260.714583334,-335.952416666,-262.142958333,-203.8095,-307.142833333,-264.761833334,-348.095333333,-297.142833333,-265.714333333,-216.190333333
206.87,-364.394,-420.454666667,-424.621333334,-517.424333334,-433.901625,-325.0,-496.9695,-427.272833333,-567.424,-515.909,-437.879,-362.121166667
207.25,-487.255,-562.745,-555.882166666,-653.921416666,-556.617583333,-398.039166667,-613.7255,-560.7845,-717.647166666,-637.255,-566.666666667,-497.058666667
207.63,-620.0,-738.888833333,-677.778,-774.4445,-659.722041667,-457.777666666,-736.666666667,-695.5555,-818.889,-768.888833333,-702.222166667,-641.111166667
208.01,-417.391166667,-470.289833333,-440.942166666,-485.869583334,-417.572375,-299.2755,-455.797,-450.0,-514.492833333,-503.623166667,-444.203,-419.5655
208.39,-295.698833334,-316.666666667,-327.957,-311.0215,-285.215041666,-206.451833333,-296.774166667,-297.8495,-355.914166667,-351.613,-315.591333333,-288.171833333
208.77,-242.105166666,-250.0,-260.087916667,-246.0525,-225.109583333,-164.473833334,-225.0,-223.684333333,-281.579333334,-285.526333334,-258.333333333,-229.824666667
209.14,-308.064333333,-325.806333333,-322.580666666,-309.14,-275.134333333,-198.924666667,-286.0215,-265.053666667,-341.935666666,-352.688166667,-338.709666667,-297.849333333
209.52,-279.523833333,-273.809666667,-284.0475,-276.428583334,-236.54775,-165.238166667,-237.619,-215.714333334,-293.809833334,-305.238166667,-294.761833333,-250.475833334
209.90,-198.039166666,-187.908333333,-189.2155,-196.895416667,-166.094958334,-120.2615,-164.052333334,-150.327,-213.071833334,-210.4575,-208.823666667,-178.4315
210.28,-151.129833333,-140.678166667,-147.316166667,-157.34475,-132.556625,-94.3503333333,-132.2035,-122.034,-167.796666667,-163.559333333,-172.316333334,-150.565
210.66,-89.6623333334,-80.8015,-85.4430833333,-102.215166666,-75.26375,-47.8901666667,-78.27,-73.6285,-95.9913333333,-90.5063333335,-111.181333333,-89.0296666665
211.03,-60.0358333333,-46.0573333334,-56.4514166666,-74.1041666667,-46.7743333333,-22.2221666666,-49.2831666667,-45.699,-55.1971666666,-53.2258333333,-75.2686666667,-55.9136666667
211.41,-62.2603333333,-49.4253333333,-61.3026666666,-84.4828333335,-48.6589166667,-12.2606666666,-51.7241666666,-44.636,-45.9768333333,-52.682,-77.0113333333,-52.682
211.79,-89.6136666667,-71.256,-93.2366666666,-117.391166666,-84.1184166667,-29.7101666667,-74.6376666667,-73.1886666666,-70.7729999999,-79.227,-105.313833333,-72.2221666665
212.17,-83.5648333334,-67.824,-88.4258333333,-107.523083333,-83.6227916666,-22.9165,-71.5276666666,-66.2036666667,-64.5835,-73.611,-99.0743333333,-67.1296666668
212.55,-82.0,-68.6665,-83.3334166667,-104.889166667,-82.7220416667,-22.8886666667,-73.5556666666,-75.3333333333,-65.5553333333,-69.5555,-99.1110000001,-71.7780000002
212.92,-107.828166667,-89.6465,-107.954333333,-126.26275,-99.5580416666,-31.3131666667,-94.1916666667,-102.525,-73.4849999998,-88.6363333331,-124.7475,-102.020166667
213.30,-77.5,-59.5833333333,-85.625,-90.625,-74.6354166667,-18.5416666667,-61.0416666667,-77.9166666667,-46.6666666667,-70.8333333333,-95.625,-77.5
213.68,-73.9835,-60.1626666667,-88.9228333334,-85.26425,-76.981625,-28.4551666666,-60.366,-87.805,-44.7153333333,-72.5608333333,-94.1055,-80.2844999998
214.06,-51.3563333334,-41.6666666667,-70.3488333334,-58.1393333333,-62.7421666667,-14.535,-44.7675,-72.2868333333,-25.9691666666,-55.8138333333,-76.5503333334,-62.0155
214.44,-59.4963333334,-49.6123333333,-79.26375,-65.1165,-70.88175,-18.6046666667,-55.2325,-72.4805,-33.9146666667,-62.9845,-79.8448333334,-69.961
214.81,-92.3423333333,-71.3965,-106.53175,-75.4504166666,-97.0157083332,-31.7566666666,-69.5946666666,-97.5224999998,-53.1531666667,-90.5405000002,-99.7746666665,-98.1979999998
215.19,-138.888833334,-129.824666667,-160.08775,-123.8305,-146.78375,-60.8185,-111.696,-151.1695,-93.8596666669,-147.953166667,-154.678333334,-159.064166667
215.57,-153.869,-139.285666667,-172.619083333,-119.79175,-163.988041667,-86.9048333333,-125.297833333,-157.738166667,-113.392666667,-163.988166667,-169.345166667,-176.488
215.95,-127.344,-108.073166667,-137.5,-101.823083333,-136.849166666,-73.1773333333,-105.989833333,-129.687666667,-91.1463333335,-134.6355,-144.5315,-154.687666667
216.32,-256.578833333,-220.175333334,-267.3245,-216.22825,-273.026083333,-164.035166667,-225.877333334,-269.298,-194.298333333,-271.929666666,-286.4035,-293.8595
216.70,-339.785,-288.172166666,-341.93575,-273.118416667,-362.903083333,-213.440833333,-289.785166667,-344.623666667,-246.2365,-360.215166667,-358.0645,-358.602
217.08,-379.629666666,-320.987666666,-377.778,-299.382666666,-420.216041667,-236.419666667,-313.580333333,-383.333333333,-284.567833333,-408.642,-379.012333333,-394.444333334
217.46,-552.5,-455.833333334,-516.25,-424.166666666,-605.625,-351.666666667,-452.5,-553.333333333,-421.666666667,-555.0,-540.833333334,-557.5
217.83,-938.888833331,-744.4445,-879.166666667,-721.527833333,-1004.16675,-530.5555,-758.333333333,-936.111166665,-686.111,-918.0555,-920.833333332,-940.277833335
218.21,6475.0,5250.0,5812.5,5087.5,6445.83333334,3608.33333334,4991.66666666,6408.33333333,4616.66666666,6125.0,6258.33333333,6383.33333334
218.59,1057.6925,871.794833332,913.461666666,778.84625,1013.4615,569.230833333,714.1025,1024.35883333,715.384666666,953.846333335,1001.282,980.769333335
218.97,705.263166666,592.982666666,617.105333334,551.316,705.920958334,394.737,507.017666667,689.473666667,484.2105,663.158,687.719166667,681.579166667
219.34,705.263166666,592.982666666,615.35075,546.929666666,727.412208333,388.5965,545.614166666,710.5265,499.123,669.298166667,707.894833333,680.702
219.72,524.359,435.256333333,463.141083333,405.448583333,533.013041666,277.564,406.410166667,540.384666667,367.948666667,508.9745,535.256333334,500.0
220.10,615.833333333,542.5,528.333333334,447.916666666,605.0,275.833333333,450.833333333,634.166666667,399.166666666,593.333333333,612.5,550.0
220.47,2270.0,1940.0,1993.33333334,1486.66666666,2169.16666666,890.000000001,1536.66666666,2350.0,1246.66666666,2103.33333333,2223.33333333,2073.33333334
220.85,492.0,416.0,447.0,348.666666666,458.0,222.666666667,356.0,513.333333333,262.666666667,453.333333334,464.0,445.333333333
221.23,716.666666667,603.921666667,648.529333334,509.803833334,690.196125,327.451,531.3725,761.764666667,340.196166667,633.333333333,663.725666667,649.019833333
221.61,518.9395,471.212166667,482.19675,397.348583333,517.424083333,233.333166667,411.3635,602.272666667,224.999833333,490.909,497.727333333,493.939666666
221.98,-2575.0,-2370.83333334,-2258.33333334,-1931.25,-2530.20833334,-1037.5,-2012.5,-3037.5,-962.500000001,-2416.66666666,-2341.66666666,-2450.0
222.36,-479.824666666,-444.736833334,-446.929833334,-380.263166666,-485.52625,-179.824333333,-414.035,-585.087666667,-176.315666667,-450.877333334,-452.6315,-485.087666667
222.74,-267.2415,-240.23,-260.344916667,-209.769916666,-281.178041667,-103.4485,-267.241166667,-359.195166666,-85.0576666666,-254.023,-266.666666666,-278.161166666
223.11,-118.300666667,-110.130833333,-130.228916666,-88.56225,-127.777791667,-41.5031666667,-124.182833333,-188.235333333,-25.4901666667,-110.130666667,-125.817333334,-131.3725
223.49,-93.5028333333,-77.9661666667,-97.4575833334,-58.7570833333,-84.2514583334,-27.4011666666,-92.3728333334,-146.045333333,0.2821666667,-82.7683333334,-92.9376666665,-98.8699999998
223.87,-67.9103333333,-66.9153333333,-78.98,-40.6716666666,-62.9352916667,-22.637,-67.6616666667,-120.398,7.71116666665,-65.6715,-74.6266666668,-90.2986666667
224.24,-90.4760000002,-78.869,-110.267916667,-45.387,-86.3840416665,-41.3691666667,-93.4524999999,-155.654666667,0.89283333335,-87.7976666667,-89.5833333335,-124.702333333
224.62,-77.6881666667,-67.7418333334,-94.08625,-35.2151666666,-73.5887083333,-33.871,-82.7956666668,-129.838666667,-4.03216666665,-72.8493333333,-78.2258333332,-100.537666667
225.00,-32.7778333334,-27.2223333333,-42.5000833333,-8.14808333334,-29.6295416666,-7.77783333335,-34.9998333333,-69.074,10.3703333333,-27.2223333333,-40.0,-54.9998333333
225.38,-23.8096666666,-17.3993333334,-34.1575,4.8535,-15.6594583333,-5.6778333333,-31.5018333333,-58.0585,9.89016666665,-20.3296666667,-39.7433333334,-47.0693333334
225.75,-18.123,-8.41433333331,-26.2136666666,14.88675,-4.65216666668,-7.4433333333,-22.6538333333,-40.9385,6.47233333335,-8.89966666667,-29.126,-34.628
226.13,-13.8598333333,-9.29816666668,-32.71925,13.2455,-7.41250000002,-17.3685,-29.4736666667,-44.035,-5.0878333333,-11.4035,-36.8418333334,-39.4738333333
226.51,-11.111,-11.616,-34.0911666666,16.4139166667,-8.33341666667,-22.8958333333,-23.9056666666,-38.889,-9.2595,-14.4781666667,-32.66,-30.9765
226.88,-10.8491666667,-15.4088333333,-31.7610833334,13.286,-3.02670833333,-19.8113333333,-17.61,-32.7043333333,-7.547,-12.4213333333,-24.0566666666,-30.1888333333
227.26,-13.8393333333,-16.9641666667,-29.0925833333,10.4166666667,-6.65908333335,-16.2201666667,-20.2383333333,-32.738,-6.25,-11.7558333333,-24.1071666667,-23.9583333333
227.64,-10.6183333333,-15.5915,-30.0401666667,11.6935833333,-10.3495,-14.7848333333,-13.3065,-28.2258333333,-10.7525,-6.586,-18.4138333333,-17.4731666667
228.01,-12.8676666667,-15.8086666667,-26.8380833333,4.35058333334,-10.01825,-9.5591666667,-12.6225,-26.8385,-7.721,-4.04416666667,-16.5441666666,-10.4165
228.39,-14.3163333333,-17.094,-25.5874166667,-3.73933333333,-11.5116666667,-11.752,-12.3931666666,-22.9701666667,-13.9955,-7.79916666667,-23.7178333333,-10.8973333333
228.76,-12.1951666666,-20.8333333333,-26.1689166667,-7.92683333334,-10.8232083333,-15.0405,-13.7196666667,-22.8656666667,-15.1421666667,-5.69116666667,-25.6098333333,-11.5855
229.14,-7.00750000001,-21.4015,-22.77475,-6.15508333333,-9.13820833331,-13.0681666667,-13.2575,-18.087,-16.0038333333,-5.01883333333,-24.1478333333,-10.7008333333
229.52,-5.4965,-24.468,-24.6010833333,-8.99791666666,-10.9929583333,-11.2588333333,-10.7268333333,-16.6666666667,-16.844,-4.52116666666,-19.6808333333,-10.9041666667
229.89,-3.96383333334,-29.0088333334,-29.3695,-12.7925833333,-15.4955833333,-10.5405,-10.0901666667,-18.6486666667,-20.5405,-6.21616666667,-22.4323333334,-15.1353333333
230.27,-5.4005,-33.24,-32.1695833334,-12.0113333333,-16.9691666667,-11.4525,-8.93849999998,-19.46,-22.3465,-4.37616666667,-23.1843333334,-14.9903333333
230.65,-3.8691666667,-36.9046666667,-35.9623333334,-12.3015833333,-15.3025416667,-9.22616666667,-8.23416666667,-22.8175,-20.9326666667,-1.78566666667,-25.2976666667,-16.4683333333
231.02,-7.35916666665,-42.749,-40.909,-16.23375,-24.2692916666,-16.5583333333,-12.3375,-33.658,-30.7356666666,-6.71016666665,-34.0908333333,-25.541
231.40,-9.11116666665,-46.4443333333,-41.9444166666,-20.9445833333,-26.9721666667,-22.2221666667,-11.6665,-38.5556666666,-36.6665,-9.33333333335,-35.7776666667,-34.1111666666
231.78,2.2415,-34.5026666667,-29.7759166667,-12.7195,-16.325625,-13.1578333333,-2.24183333333,-29.8248333333,-24.269,0.68216666665,-23.6843333333,-22.807
232.15,5.0725,-35.0931666666,-31.21125,-11.2836666667,-20.4451666666,-17.5983333333,-6.10766666667,-32.7123333333,-26.0868333333,-0.3106666667,-26.294,-29.089
232.53,9.009,-35.3601666667,-32.0385,-6.982,-19.0035,-19.257,-4.72966666667,-36.8241666667,-22.6353333333,5.74316666665,-23.7611666667,-29.3918333333
232.90,15.9041666667,-30.1743333333,-30.28325,-0.327,-15.6862916667,-16.2308333333,2.72316666667,-35.294,-24.5098333334,5.4466666667,-18.8451666667,-26.6883333333
233.28,15.0433333333,-29.6536666667,-31.4935,0.108333333335,-14.3125833334,-17.208,6.70983333335,-37.8788333334,-25.6493333334,5.9523333333,-15.368,-28.1385
233.66,20.9108333333,-21.9461666667,-22.8776666667,5.59008333333,-3.85587500001,-9.83416666668,10.559,-32.4015,-17.805,9.93799999998,-11.3871666667,-20.7038333333
234.03,18.496,-19.5123333333,-23.8820833333,5.33525,-2.26116666666,-11.2805,9.34966666668,-33.4351666666,-14.8375,6.5043333333,-11.8903333334,-23.8821666667
234.41,18.8201666667,-16.3858333333,-21.2546666667,5.47758333333,-0.819333333335,-10.487,6.46083333333,-30.337,-11.236,4.49466666665,-11.423,-21.5355
234.78,19.0833333333,-10.1666666667,-13.2083333333,5.29166666666,1.47916666666,-7.16666666666,8.33333333334,-23.1666666667,-8.16666666666,7.00000000001,-6.25,-14.0
235.16,21.6736666666,-3.2905,-7.83275,9.47791666666,6.29479166668,1.50233333332,11.0158333334,-11.9456666667,-1.359,10.0143333333,1.21616666665,-5.72233333333
235.54,17.7728333333,-8.70216666665,-15.00725,3.208,1.30904166665,-2.94983333333,4.35116666666,-15.6341666666,-7.1535,3.76116666667,-5.3835,-10.472
235.91,10.2393333333,-15.0221666667,-19.9179166667,-5.157,-6.83841666665,-11.3601666667,-4.40983333334,-19.6561666667,-16.5171666666,-7.32433333332,-11.5845,-20.7771666667
236.29,11.2231666667,-14.0455,-16.9021666667,-2.62075,-4.03208333334,-9.13983333335,-0.672,-16.5995,-16.1961666667,-4.63716666668,-8.13166666665,-17.742
236.66,18.415,-6.993,-9.20733333335,2.73875,1.879125,-3.72966666666,4.1375,-9.03283333335,-11.0143333333,0.29133333333,-0.75766666665,-12.2961666667
237.04,15.6286666666,-6.74733333335,-6.8625,-0.403666666665,1.39854166666,-4.21,0.461333333335,-9.68850000001,-9.34266666665,-0.749666666665,0.0575,-13.437
237.41,14.2261666667,-8.45216666665,-12.6785,-2.85708333333,-1.91966666667,-6.72633333333,-3.3335,-13.1546666667,-12.5001666666,-4.22616666666,-3.03566666665,-15.2976666667
237.79,11.208,-8.072,-14.7503333333,-5.05241666666,-4.89241666666,-9.93016666665,-3.83283333333,-13.9953333333,-15.5053333334,-5.4005,-5.16849999998,-17.3053333333
238.17,11.4451666666,-6.01283333332,-12.8166666666,-4.93141666666,-3.92933333334,-7.80583333332,-2.37316666666,-10.9178333333,-13.7656666667,-3.74483333333,-2.74266666667,-12.6053333333
