wavelength,Back_RamPasm,Belly_RamPasm,Breast_RamPasm,Crissum_RamPasm,Crown_RamPasm,DorTail_RamPasm,Rump_RamPasm,Throat_RamPasm,WingTip_RamPasm
186.39,53.5985,63.6363333333,81.7234999999,46.8749166667,35.8901666667,38.1629166667,48.7689999999,84.375,30.9658333333
186.77,51.099,60.71425,77.2894166666,46.7948333333,36.9963333334,36.4470833334,44.4140000001,80.21975,27.4725
187.15,46.9771666667,55.3105,73.6110833333,48.366,36.9281666667,37.8268333333,43.5459999999,73.1209166667,30.6373333333
187.53,51.0606666667,58.6364166667,72.7272499999,52.7270833333,40.6060833333,44.2423333333,49.6970000001,74.9241666666,35.9091666667
187.91,51.73925,64.1304166667,73.1883333333,56.9566666667,41.9565,45.942,53.7680000001,77.6086666667,38.9855833334
188.29,60.014,74.7900000001,74.8598333334,64.776,46.4985833333,51.1905833333,61.7647500001,79.76175,49.6499166667
188.67,72.47275,83.0600833333,79.9863333333,74.5900833333,53.6884166667,58.6065833333,71.5848333334,83.53825,61.81675
189.05,73.15575,84.2895833333,76.9809166666,76.70775,54.3715833333,58.7431666667,71.0380833334,84.2895,67.9645833333
189.43,73.6915,84.7108333333,75.2067500001,76.51525,52.6170833333,56.0606666667,68.3884166667,82.1625,69.146
189.81,75.3231666667,84.6251666668,73.7725833334,80.0388333333,55.2970833333,58.1395,70.4133333333,79.9741666667,72.0930833333
190.19,86.5908333333,94.8485833333,82.5756666667,91.6666666668,60.9090833333,66.9695833333,79.31825,90.9847500001,86.2121666667
190.57,91.5872499999,97.5396666665,85.0000833333,97.77775,64.84125,71.2698333333,82.6983333334,95.3968333335,93.7300833334
190.95,90.8100000001,95.1712500001,83.1775833333,94.1588333333,63.0841666667,70.327,82.0872499999,90.3427500001,95.7943333332
191.33,88.1499166666,91.5138333333,79.6635833334,87.3855,62.6910833334,66.055,77.2935,85.3974166667,92.6605833333
191.71,88.3501666666,89.0305833334,74.1495833334,84.4389166667,60.5441666666,61.7346666667,72.27875,80.5271666667,91.0714166667
192.09,94.613,93.0135,78.0303333334,89.6464166667,63.6363333333,68.9393333333,75.6734166667,85.3535,99.7474166667
192.47,104.356083333,98.2006666667,83.71225,95.8334166667,72.8218333333,76.5150833334,81.1554166666,98.106,110.416666667
192.85,107.30775,98.2050833333,81.9231666668,100.769166667,70.0,78.2050833334,80.8973333333,111.410333333,122.436
193.23,108.184666667,98.5119999999,80.5058333332,94.3451666666,61.756,74.5536666666,79.1668333333,108.779666667,125.148666667
193.61,107.9235,103.825083333,84.2896666666,101.093,67.8961666667,81.0108333333,89.481,113.661166667,124.863416667
193.99,110.233916667,106.1405,81.8715,97.66075,68.85975,82.3098333332,94.0059166667,120.906416667,129.532166666
194.37,109.339,100.143583333,81.0344999999,89.2242499999,63.3621666667,79.7413333334,94.6839999999,115.94825,128.735666667
194.75,133.333333333,108.33325,90.0794166668,94.4445833332,67.6586666667,90.6746666666,113.6905,135.51575,161.904666666
195.13,181.25,130.0595,108.631,117.261916667,74.4048333334,109.226166667,160.41675,187.202333334,219.34525
195.51,408.333333333,271.666666667,193.333333333,248.333333333,74.1666666664,194.166666667,398.333333333,421.666666666,515.833333333
195.89,376.282,278.205166667,213.461583333,260.2565,121.795,202.564166667,392.307666667,411.538416667,447.43575
196.27,285.964916667,217.9825,166.666583334,208.771916667,138.596583334,178.508583333,307.017583333,310.964916667,322.807
196.65,197.135416667,164.322916667,135.9375,159.895833333,122.65625,140.625,215.364583333,208.333333333,215.104166667
197.03,236.197916666,204.166666667,176.041666667,196.354166667,157.03125,176.302083333,242.96875,228.125,244.53125
197.40,294.9405,251.78575,230.65475,257.738083333,202.976083333,228.571333333,293.452416666,274.702333333,303.27375
197.78,7083.33333333,5391.66666666,5358.33333333,5750.0,4275.0,5091.66666666,6708.33333332,6108.33333333,7141.66666666
198.16,-475.595083333,-320.238,-332.143,-376.7855,-244.047583333,-328.5715,-426.190583334,-394.642833333,-461.309416666
198.54,-545.138999999,-391.666666667,-345.833333333,-461.805416667,-304.861166667,-409.722083333,-481.944583334,-469.444416667,-542.361083333
198.92,1045.23808333,861.904833335,688.095166667,920.238083331,613.095166667,775.0,939.285749999,929.761833334,1027.381
199.30,363.405666667,319.202916667,242.391333334,316.30425,221.739166666,290.579583333,317.028916667,327.898416666,359.7825
199.68,376.736083334,326.736166667,250.347166667,325.694333333,232.638833334,307.98625,319.097166667,340.972333333,364.235916667
200.06,329.861,275.347333333,207.986083334,288.888916667,188.194416666,272.916833333,271.52775,292.361166667,332.291666667
200.44,505.76925,412.8205,262.1795,439.102583333,237.179333334,399.999916666,396.15375,403.846166667,494.87175
200.82,-412.500000001,-310.41675,-105.555583333,-313.1945,-93.7499166666,-295.138833333,-296.52775,-261.111166666,-396.527666667
201.19,-289.444416667,-199.444416667,-8.88908333333,-187.77775,-24.4443333333,-184.4445,-208.889,-151.11125,-283.333333333
201.57,-157.575916667,-100.37875,48.8635833332,-80.303,34.4697500001,-84.0908333334,-106.818166667,-58.7120833332,-159.848583333
201.95,-132.936666667,-96.8254166667,94.4443333334,-61.1111666667,64.6823333333,-64.2857499999,-94.0475833334,-45.2381666664,-157.936583333
202.33,-108.333333333,-58.3333333332,163.23525,-24.5098333334,130.882333333,-25.4901666668,-74.01975,14.7060000002,-156.372583333
202.71,-41.0494166666,11.7284166666,137.963,-0.308583333425,112.654166667,28.7036666667,-16.6668333333,62.0371666666,-58.95075
203.09,-13.1250000001,34.9999999999,110.416666667,0.833333333318,85.8333333333,21.4583333333,-3.54166666658,59.5833333333,-29.375
203.47,-7.5,40.4999999999,93.3333333333,-5.0,68.9999999999,23.8333333333,-2.5,56.6666666666,-19.4999999999
203.85,-7.11808333325,52.6040833334,100.1735,-10.2431666667,69.7914999999,20.4860833333,-0.347166666675,63.1944166667,-24.4790833333
204.22,-15.0296666667,37.9464166666,81.8453333333,-22.7679166667,52.9761666667,7.29158333335,-9.07733333333,44.6429999999,-31.6964999999
204.60,-19.34525,41.8155,81.1011666667,-22.7678333334,51.9345833333,13.2438333333,-14.4345,39.4345833334,-37.5000833334
204.98,-58.3332499999,45.8334166667,92.3612500001,-69.4444166666,49.3055833333,-5.78691666668,-49.3055833333,27.5462500001,-94.6758333334
205.36,-95.1149166667,31.3218333332,80.7471666667,-119.252833333,34.1954166667,-37.0689166666,-82.7585833333,8.04600000007,-145.402166667
205.74,-152.777833333,31.7460833334,74.2063333332,-183.333416667,25.3968333333,-78.5715,-139.682583333,-9.12691666668,-218.254
206.12,-467.592499999,34.25925,100.926,-530.555666667,-41.6666666668,-273.148166667,-388.889,-80.5555,-567.592666667
206.50,-276.041666667,-8.85416666667,50.5208333335,-331.770833333,-38.5416666667,-161.979166667,-219.270833333,-51.0416666665,-309.375
206.87,-657.291666667,-152.083333333,-31.25,-715.625000001,-135.416666667,-416.666666667,-542.708333333,-190.625,-710.416666667
207.25,-297.05875,-64.2156666667,-13.7255,-302.941166667,-40.196,-153.921583333,-222.548833333,-61.7647499998,-313.725666666
207.63,-199.666666667,-43.6666666667,-11.3333333333,-193.666666667,-28.6666666667,-113.0,-141.666666666,-50.3333333334,-212.0
208.01,-153.494583334,-34.6773333334,5.914,-145.699,-13.9786666667,-73.6560833331,-108.602166667,-33.33325,-157.527
208.39,-249.999916667,-88.6364166665,-16.2879166667,-229.166833333,-50.0001666668,-127.651416667,-187.878916667,-68.1818333331,-253.787916666
208.77,-433.333333334,-174.40475,-88.0953333334,-385.119083334,-102.381083333,-274.40475,-304.762,-139.28575,-445.238083334
209.14,-260.145,-108.6955,-56.52175,-244.565166667,-60.1448333333,-166.304416667,-182.608666667,-77.1739166666,-264.1305
209.52,-181.547666667,-51.7856666668,-18.7500833333,-165.1785,-20.8333333332,-110.119,-111.011916666,-30.0594166666,-174.10725
209.90,-132.870333333,-23.6111666666,5.55541666665,-114.352,-0.694499999993,-62.5,-66.2036666666,-5.78708333333,-115.972083333
210.28,-119.166666667,-21.2500000001,-0.41666666665,-106.666666667,0.625,-51.6666666667,-60.2083333334,4.58333333334,-102.5
210.66,-169.523916667,-51.4285833334,-28.0951666667,-142.857166667,-33.0951666667,-95.4762499999,-99.04775,-26.6666666667,-149.761916667
211.03,-200.504916666,-65.9090833333,-39.3939166667,-161.616166666,-61.1110833333,-120.959666667,-121.717333333,-50.7576666667,-173.48475
211.41,-421.759166667,-177.314833333,-105.092666667,-344.444416666,-188.425833333,-292.592583333,-271.75925,-146.759333333,-362.962916667
211.79,-627.083333334,-290.27775,-167.361166667,-537.5,-304.166583334,-447.916666667,-413.888833333,-193.0555,-527.777666667
212.17,-465.104166667,-246.354166667,-155.208333333,-400.520833333,-260.416666667,-367.1875,-328.125,-140.625,-405.208333334
212.55,-522.619,-247.02375,-174.404833333,-439.285666667,-301.785666666,-396.428583334,-343.452416667,-132.142833333,-414.285833333
212.92,-323.333333333,-137.083333333,-76.2499999998,-270.0,-189.166666667,-236.666666667,-211.666666667,-53.7499999999,-242.083333333
213.30,-98.1884166668,-20.4709166666,-2.35500000002,-75.5435,-46.9203333334,-66.66675,-60.5071666668,9.6015,-71.1956666667
213.68,-79.9319166667,-12.7551666666,5.61224999997,-60.7143333332,-37.7551666667,-54.2516666665,-55.9524166667,14.9660833333,-64.2857500001
214.06,-93.9024999999,-10.7723333334,7.52033333333,-69.1057500001,-59.5528333333,-67.07325,-72.7640833334,16.66675,-80.6910000001
214.44,-152.884666667,-19.8718333334,6.08966666666,-108.65375,-120.19225,-119.871916667,-128.205083333,4.48716666668,-139.423
214.81,-215.625,13.5416666667,13.0208333332,-148.958333333,-163.020833333,-132.8125,-164.0625,25.5208333333,-197.916666666
215.19,-204.166833334,41.0713333332,25.5952500001,-151.785583333,-184.52375,-115.476083333,-148.214333333,52.3809999999,-197.619083333
215.57,-145.3125,57.8125000001,22.3958333333,-103.125,-156.25,-61.9791666666,-87.4999999999,61.4583333334,-141.666666667
215.95,-292.708333333,95.8333333335,-7.29166666667,-220.833333333,-336.458333333,-122.916666667,-148.958333333,55.2083333335,-342.708333333
216.32,-595.833333333,279.166666668,22.9166666665,-389.583333334,-602.083333333,-252.083333333,-264.583333334,87.499999999,-635.416666665
216.70,-49.9999999999,171.666583333,112.222166667,1.11108333308,-45.0000833333,7.77783333333,23.3333333332,119.444416667,-86.6666666668
217.08,-21.2500000001,152.5,104.166666667,15.0000000001,7.91666666658,9.58333333333,41.6666666665,105.416666667,-38.75
217.46,-123.611166667,431.9445,326.388916667,-26.3888333332,36.1109166666,-83.3333333335,150.0,252.77775,-152.77775
217.83,165.277833333,-395.833333334,-263.888916667,97.22225,-5.55558333343,83.3333333333,-173.611166667,-219.4445,125.0
218.21,114.393916667,-140.909166667,-118.939583333,111.363666667,18.9392500001,104.5455,-47.7274166667,-63.6365,100.757666667
218.59,-29.1665833333,145.833416667,165.476333333,-26.7858333334,57.7379999999,-4.16666666665,108.9285,122.02375,-27.9762500001
218.97,4.16675,82.6923333334,123.397416667,2.24366666666,34.2948333332,3.20508333335,60.8975833335,85.8974166667,-8.0128333334
219.34,35.1351666667,94.8198333333,120.495416667,44.1440833333,68.9190000001,38.5135,76.12625,97.9730000001,34.0090833334
219.72,54.8740833334,91.5095833333,114.465416667,56.9183333333,87.7360000001,53.93075,75.9433333332,101.88675,49.5282500001
220.10,65.5556666666,91.6667500001,106.4445,64.3334999999,93.7778333334,66.4444166666,74.4444166668,101.777833333,65.8889166666
220.47,57.2916666668,84.2593333334,98.8425833335,56.9445,90.2778333333,64.4675,72.2223333333,96.5277499999,59.8380833333
220.85,42.1496666667,65.3381666666,78.3816666667,40.0966666667,77.7778333333,51.0868333334,59.5410833333,82.2463333333,43.9614166667
221.23,49.50975,75.6534999999,93.7909166667,42.1568333333,89.2156666666,66.6666666667,71.4050833333,105.882333334,45.0980833333
221.61,54.5698333334,107.258166667,134.677416666,53.4946666667,117.741833333,106.989166667,91.9354999999,159.677583333,50.5376666667
221.98,53.2197500001,95.4545000001,115.340916667,59.8483333333,95.8334999998,95.4545833332,76.8940833332,128.97725,48.6742500001
222.36,54.4444166666,105.555583333,115.37025,64.6295833333,95.1851666668,99.4445000001,83.1481666667,134.629583333,47.5925833333
222.74,87.5000000001,162.239583334,160.677083333,98.9583333333,140.625,150.78125,116.927083333,192.447916667,80.2083333333
223.11,109.821416667,186.309583334,179.166583333,121.4285,178.869083333,178.869083333,144.34525,227.381166667,114.880833333
223.49,183.333333333,299.509833333,278.431416667,181.86275,293.13725,272.05875,233.823583333,358.333416667,168.6275
223.87,-2608.33333333,-4991.66666667,-3975.0,-2450.0,-4566.66666666,-3833.33333333,-3466.66666667,-5475.0,-2183.33333333
224.24,-93.0554166668,-242.592666667,-150.0,-104.62975,-190.27775,-141.666583334,-127.314833333,-249.999833333,-66.2036666667
224.62,-185.293916667,-336.76475,-235.78425,-199.0195,-261.76475,-210.78425,-222.058833333,-342.15675,-146.078666667
225.00,-186.574083333,-330.092666667,-256.9445,-212.036916667,-238.425916667,-207.870333333,-224.999916667,-327.31475,-158.796166667
225.38,-426.666666667,-670.0,-560.833333334,-456.666666667,-492.5,-475.833333333,-475.833333333,-654.166666666,-380.833333333
225.75,-383.974416667,-555.128333333,-482.69225,-392.948833333,-414.102583333,-409.6155,-426.282,-540.38475,-347.435916667
226.13,-109.210583333,-160.087666667,-142.763166667,-104.8245,-123.464916667,-112.28075,-124.561333333,-161.18425,-89.9124166667
226.51,-115.1515,-143.939583334,-132.197083333,-108.52275,-130.302916667,-113.636416667,-122.727166667,-144.318166666,-95.4543333334
226.88,-75.2687500001,-94.7580833334,-85.7528333332,-72.0429166667,-86.8279166665,-65.5915833333,-81.0484166666,-91.2635000001,-55.2419166667
227.26,-44.9999166667,-59.2156666667,-54.21575,-44.9999166667,-53.8236666666,-38.7255833333,-49.2156666667,-60.2940833334,-25.2940833333
227.64,-34.65725,-42.9905833333,-42.1339166667,-36.37075,-41.1215833333,-28.50475,-37.3053333333,-48.83175,-17.60125
228.01,-33.4710833333,-36.0883333334,-37.39675,-35.7439166667,-38.292,-25.0,-34.5041666667,-40.7714166666,-17.9061666667
228.39,-22.2959166667,-22.46125,-28.8079166667,-24.3930833333,-26.159,-15.1215,-24.9448333333,-27.0970833333,-8.60925
228.76,-19.58825,-18.4865,-26.0056666667,-21.12075,-24.138,-12.8831666667,-20.40225,-23.7549166667,-9.09975000001
229.14,-23.4403333333,-22.3260833333,-27.98575,-25.0000833333,-29.50075,-17.0230833334,-22.41525,-26.7825833333,-13.5471666667
229.52,-21.111,-21.0684166667,-24.4443333333,-25.0000833333,-28.93175,-13.5043333333,-21.66675,-25.2563333333,-11.7949166667
229.89,-18.3580833333,-19.1005,-22.0709166666,-23.06125,-27.9703333333,-10.8086666667,-19.307,-24.95875,-10.6436666667
230.27,-19.57925,-21.0761666666,-22.65375,-25.16175,-28.3170833334,-13.309,-21.44025,-26.9823333333,-13.47075
230.65,-10.2236666667,-12.7315,-15.00775,-16.08775,-19.5215833333,-4.28233333333,-14.6605,-19.59875,-5.98008333333
231.02,-5.17108333333,-6.51041666665,-9.82125,-9.56099999999,-14.8065,0.63225,-9.89583333334,-15.0669166667,-3.08791666667
231.40,-2.96308333332,-5.92583333333,-7.70358333332,-7.926,-13.3333333333,2.85191666667,-9.037,-12.8889166667,-3.66666666667
231.78,0.372083333343,-3.79466666666,-4.87358333332,-4.91083333333,-12.05375,5.17124999999,-5.72908333333,-10.8259166667,-1.93466666668
232.15,4.98508333333,-0.558166666665,-3.72016666667,-2.195,-8.85408333333,7.29183333334,-2.71583333333,-9.93300000001,1.22758333333
232.53,7.19183333333,1.02741666667,-2.05475,0.532833333332,-6.31675,8.94208333334,-0.190249999999,-8.75191666666,2.32108333334
232.90,12.7136666667,5.98283333333,3.95300000001,8.44016666667,0.99725,13.1765833333,6.58833333334,-1.42441666667,9.33041666666
233.28,15.317,9.88533333334,7.21991666668,13.0905,6.34275000001,16.83525,9.68283333333,2.86766666667,13.05675
233.66,17.589,12.7543333333,10.81425,17.20725,11.2595,19.65625,13.8040833334,7.09291666668,16.3486666667
234.03,17.94625,13.9200833333,11.0486666667,17.8526666666,12.5469166667,19.1634166667,14.9188333333,8.02133333333,16.60425
234.41,21.954,18.1896666667,14.684,21.2645,16.0920833333,24.05175,18.7356666667,12.7010833333,19.9714166667
234.78,20.8471666667,16.66675,13.9534166667,20.432,16.5005833333,21.8161666666,18.82625,11.5725,18.7984166667
235.16,17.329,12.5275833333,10.51325,15.23175,13.5485,17.3289166667,15.2870833333,8.223,15.4525833333
235.54,14.3345,10.7224166667,6.79766666666,12.8839166667,11.6325833333,14.6758333333,12.3719166667,5.83049999999,14.67575
235.91,11.60525,8.05375000001,3.83125000001,10.0671666667,9.89933333334,11.4093333333,8.78083333334,5.20141666667,12.1363333333
236.29,11.27125,8.54708333333,5.39533333332,11.4048333333,10.8974166667,11.7521666667,9.26833333334,7.90591666667,12.7404166667
236.66,10.41025,7.928,6.23108333333,10.2584166667,9.2705,11.5248333333,8.10541666667,7.82675000001,12.563
237.04,7.63208333334,5.31283333333,4.07241666666,6.58041666668,5.77133333333,9.38508333334,3.61375,4.28791666666,9.35833333332
237.41,6.716,2.68633333333,1.89141666666,2.98783333333,2.30258333333,4.63266666667,1.42533333334,1.39808333333,7.26441666665
237.79,2.413,-0.533000000001,-2.2165,-2.77783333333,-3.22683333333,-0.33675,-3.03033333333,-1.85183333333,2.69358333334
238.17,1.7895,-1.20191666667,-2.05658333333,-4.38041666666,-4.11316666667,-0.160166666668,-4.19341666667,-2.13683333333,2.37716666666
238.54,-3.67316666666,-6.03066666667,-6.2775,-9.51208333335,-8.68966666668,-5.42766666667,-9.59425000001,-6.60641666666,-1.80924999999
238.92,-5.31691666667,-7.33633333333,-7.94991666666,-11.9118333333,-10.2505,-5.72591666667,-10.1481666667,-7.33633333333,-3.75758333333
239.29,-2.72525,-3.58108333333,-4.1665,-7.36491666667,-5.94583333334,-1.89183333333,-6.08116666667,-3.94141666666,-0.18024999999
239.67,-1.40191666667,-2.35608333333,-1.30458333333,-5.45175,-4.6145,-0.272416666664,-3.77725,-2.16116666667,0.642416666658
240.04,-0.324500000003,-0.273249999998,0.870833333333,-3.32983333333,-2.44191666667,2.01491666667,-1.89566666667,-0.512416666665,1.91241666667
240.42,-0.76025,-1.38633333333,-0.491916666666,-3.77175,-3.53325,1.58025,-2.42991666667,-1.77391666667,0.462166666665
240.79,-0.192083333333,-0.230416666667,-0.30725,-2.96966666667,-2.57291666667,2.03525,-1.63858333333,-1.02408333334,1.03691666667
241.17,1.60375,1.452,0.899333333332,-0.91025,-0.921166666668,3.48941666667,0.303416666665,0.834499999998,2.72008333333
241.54,2.94066666666,2.81158333333,2.05566666667,1.014,1.04158333333,5.319,1.88066666667,2.24008333333,4.16675
241.92,4.13808333333,3.67475,2.78866666666,2.28441666667,2.10583333333,6.3495,3.07316666667,2.98366666667,5.10558333333
242.29,4.19658333333,3.79266666667,2.99975,3.00716666667,2.43125,6.3135,3.28391666667,3.39616666667,5.21375000001
242.67,4.20175,3.72391666666,2.96508333333,3.169,2.19216666666,6.25366666666,3.55541666666,3.492,5.00291666666
243.05,4.00375,3.427,3.03333333333,3.45408333333,1.96116666667,6.22291666667,3.1555,3.23691666667,4.83858333334
243.42,2.98783333333,2.14775,1.89716666667,2.54741666667,0.501416666667,5.32533333334,1.75475,2.23575,3.5705
243.80,2.78433333333,1.9365,1.67608333333,2.39041666667,0.340416666667,5.24841666667,1.509,2.09,3.09833333333
244.17,3.05925,1.981,1.59758333333,2.71483333333,0.402666666668,5.30016666666,1.57166666667,2.189,3.42958333333
244.55,3.36008333333,2.22516666666,1.82991666667,2.58866666667,0.956333333334,5.2155,1.47283333333,2.32083333333,3.77466666667
244.92,3.17891666667,1.84791666667,1.77483333333,2.34008333333,0.83275,4.72266666666,1.10616666667,2.18208333333,3.36733333333
245.30,3.00883333334,1.77841666667,1.87366666667,2.19241666667,0.855833333333,4.61416666667,1.12975,2.04133333333,3.30525
245.67,2.75708333333,1.74833333333,2.152,2.17775,0.444833333332,4.59858333333,0.84825,1.92941666667,3.264
246.05,2.36675,1.30483333333,1.89516666667,1.91908333334,0.195166666667,4.23816666667,0.27625,1.69991666667,3.03808333333
246.42,2.55708333334,1.33266666666,1.96441666667,1.74375,0.298583333334,4.357,0.415333333334,1.87783333333,3.19291666667
246.79,3.28216666666,2.095,2.63358333333,2.3075,1.26583333334,5.01575,1.07708333333,2.7005,4.1195
247.17,3.02625,1.97958333333,2.41658333333,1.97216666667,1.05416666667,4.70466666667,0.756583333332,2.571,4.073
247.54,3.39325,2.46841666667,2.71875,2.232,1.47758333333,5.11758333333,1.28975,2.95158333333,4.48483333333
247.92,3.53016666667,2.7475,2.7005,2.20666666666,1.66608333333,5.21283333334,1.46441666667,3.06333333333,4.76283333333
248.29,3.25525,2.66633333333,2.7095,1.89891666666,1.62766666667,5.06491666667,1.42258333333,2.8715,4.55883333333
248.67,3.005,2.65425,2.84608333334,1.86,1.54225,4.96433333333,1.43316666667,2.81633333333,4.59683333333
249.04,3.03958333333,2.70483333333,2.86541666667,1.80316666667,1.60175,5.09233333334,1.49575,2.8755,4.74383333333
249.42,2.95633333333,2.627,2.97066666667,1.68966666667,1.51616666667,5.23958333333,1.51975,2.9455,4.85241666667
249.79,2.79716666666,2.488,2.77,1.35208333333,1.51833333333,5.1345,1.499,2.86291666667,4.68641666667
250.17,2.97008333333,2.74175,3.01575,1.402,1.79608333333,5.32183333333,1.80016666667,3.07791666667,4.96116666667
250.54,3.04016666666,3.07133333333,3.4245,1.76583333333,2.0745,5.50775,2.21758333333,3.21883333334,5.24408333333
250.92,2.92791666666,2.99508333333,3.56525,1.912,1.94066666667,5.4485,2.4105,3.00941666666,5.07491666667
251.29,3.39416666667,3.49383333333,4.062,2.29758333333,2.23783333334,5.7815,3.03541666666,3.5485,5.28316666666
251.66,3.36,3.66425,4.40625,2.50975,2.17475,5.78233333333,2.93241666667,3.70541666667,5.27724999999
252.04,3.01033333333,3.41408333333,4.40008333333,2.5645,1.8145,5.449,2.72175,3.62391666667,4.75666666666
252.41,3.79416666667,3.83675,4.77316666667,3.38966666667,2.2935,5.85358333333,3.23533333333,4.21983333333,5.24708333332
252.79,4.54833333333,4.56983333333,5.22583333333,4.17733333333,2.7205,6.49466666667,3.88183333333,4.90325,5.629
253.16,4.5335,4.713,5.224,4.39775,2.41891666667,6.57208333334,3.93025,4.78375,5.52824999999
253.54,4.49766666667,4.88075,4.90258333334,4.42116666667,2.31991666667,6.29233333333,3.7645,4.66741666667,5.24191666667
253.91,5.06175,5.337,5.55183333333,4.99016666667,2.90833333333,6.75258333334,4.241,5.13883333333,5.65091666666
254.28,5.53108333333,5.90333333333,6.04975,5.51425,3.32641666667,7.17183333333,4.70791666666,5.41841666667,5.90883333333
254.66,4.912,5.44058333333,5.51208333333,4.73383333333,2.63716666667,6.75333333334,4.24675,4.92416666667,5.3515
255.03,4.25666666667,5.08325,4.82233333334,3.91508333333,1.85808333333,6.20175,3.55466666666,4.24441666667,4.8285
255.41,4.2545,5.27108333333,4.76933333334,3.86391666667,2.05233333334,6.20283333333,3.79833333333,4.1895,4.71708333334
255.78,4.34075,5.44391666667,4.76108333333,3.78916666667,2.27216666667,6.18608333333,4.1175,4.09775,4.58358333333
256.15,4.73566666666,5.57741666667,5.13683333333,4.11058333333,2.74283333333,6.36025,4.4265,4.17666666666,5.117
256.53,4.57791666667,5.56216666667,5.057,4.13108333333,2.88133333334,6.20975,4.41591666667,3.99516666667,4.99233333333
256.90,4.23375,5.02558333333,4.67833333333,3.661,2.86908333333,5.90883333333,4.14833333333,3.61833333333,4.70275
257.28,4.24741666667,4.72066666667,4.42558333334,3.75758333333,3.28983333333,5.73908333333,4.00808333333,3.7075,4.68133333334
257.65,4.02783333333,4.20133333333,4.11716666667,3.51183333333,3.29358333334,5.39683333333,3.72033333333,3.73008333333,4.57358333333
258.02,3.12233333333,3.2755,3.14858333333,2.73691666667,2.53975,4.54116666667,2.72366666667,3.00833333333,4.05058333334
258.40,2.42475,2.47741666666,2.35741666666,1.98566666667,1.83183333333,3.93016666667,1.95941666667,2.28591666667,3.33708333333
258.77,2.98333333334,2.85758333333,2.75416666666,2.46341666667,2.41508333333,4.52341666667,2.28258333333,2.78316666667,3.88416666667
259.15,3.23108333333,2.98358333333,3.01266666667,2.67908333333,2.74233333333,4.81766666667,2.43483333333,3.11316666667,4.07908333333
259.52,3.01716666667,2.72791666667,2.8435,2.56458333333,2.53583333333,4.55333333333,2.10691666667,2.82783333333,4.00366666667
259.89,2.97291666667,2.50625,2.74816666667,2.46925,2.41475,4.41225,1.90366666666,2.7975,4.02958333334
260.27,3.04491666666,2.49308333333,2.76908333333,2.462,2.34808333333,4.5365,1.79366666667,2.91658333333,4.0655
260.64,2.88158333334,2.29716666666,2.59175,2.20366666667,2.03083333333,4.40491666666,1.54475,2.76441666667,3.90483333333
