wavelength,Back_PinInom,Belly_PinInom,Breast_PinInom,Crissum_PinInom,Crown_PinInom,DorTail_PinInom,Patch10_PinInom,Rump_PinInom,Throat_PinInom,WingTip_PinInom
203.85,112.6356,119.534866667,108.2946,128.216933333,90.5425999999,122.5969,97.9845333334,117.66662,122.635733333,109.844933333
204.22,116.7392,119.2754,112.463733333,124.9276,92.0289333333,122.173866667,102.608666667,116.086973333,122.971066667,113.478266667
204.60,122.4638,128.2608,117.4638,131.014466667,99.0579333333,129.4927,109.4928,125.137753333,134.202933334,123.623133333
204.98,116.635,125.206266667,113.587466667,123.492066667,100.761866667,121.873233333,104.571466667,122.215926667,127.746066667,120.9524
205.36,114.807066667,131.508666667,115.859533333,123.087666667,101.614133333,119.3686,103.368533333,122.996513333,125.8246,121.192933333
205.74,131.078466667,156.764666667,130.0982,141.7648,116.078466667,131.1764,111.960933333,138.78434,143.921533333,141.078266666
206.12,142.146866667,169.717333333,126.892466667,154.463466667,115.0282,137.231633333,117.401,143.740086667,149.604466667,151.1864
206.50,152.848533333,184.484866667,138.545533333,165.818133333,123.636333333,152.545366667,130.4244,151.866666667,167.393933333,163.878866667
206.87,148.0,178.666666667,135.333333333,179.2,131.6,152.333333333,126.266666667,150.813333333,167.866666667,162.8
207.25,155.121933333,198.861733333,138.5364,197.886133334,141.788666667,174.065166667,128.455133333,172.748046667,174.796733333,179.349733333
207.63,178.541666667,228.125,139.791666667,225.0,150.208333333,188.020833333,143.125,190.833333333,191.25,190.416666667
208.01,198.205133334,247.9488,150.256266667,246.4102,180.256533333,204.743566667,166.153733334,220.794993333,216.922933333,219.4872
208.39,200.625,258.75,156.666666667,246.25,196.041666667,215.3125,177.708333333,227.625,225.833333333,225.416666667
208.77,201.111066667,251.666733333,151.2964,238.3332,204.2592,210.4629,183.703666667,217.518493333,213.148133333,220.555533333
209.14,231.2962,268.703866667,172.7778,246.111133333,222.037066667,242.9631,219.444466667,237.24064,234.444466666,237.777733333
209.52,236.068466667,265.982933333,167.692133333,234.700866667,223.4188,252.478666667,232.3078,231.4531,235.042666667,234.8718
209.90,203.456866667,220.987466667,148.765333333,198.024866667,188.888866667,218.148,204.8148,201.308633333,204.197533333,198.765533333
210.28,188.7432,203.387933333,145.027266667,176.065533333,179.781466667,206.94,194.207733333,191.169313333,190.382533333,185.027266666
210.66,160.588333333,177.843133333,123.6274,148.529333333,161.764666667,179.460933333,168.627466667,164.921606667,160.0,165.098266667
211.03,160.796,182.786066667,127.661666667,138.208933333,155.621933334,178.407933333,175.5224,162.19898,159.303466667,162.686533333
211.41,146.400133333,170.399866667,109.511,121.689066667,137.688933333,151.7332,158.2224,141.502173333,144.711066667,142.755666667
211.79,163.091866667,194.396,124.1546,128.599066667,155.458933334,168.6955,179.8068,161.197946667,168.2126,160.193333333
212.17,168.6274,205.980466667,133.6274,134.411733333,158.921666667,177.9901,185.8824,167.745086667,175.294133333,168.5296
212.55,230.303066667,282.575733333,183.030266667,177.2728,218.484866667,243.939366667,261.2122,227.10608,232.272866667,225.454466667
212.92,243.589733333,294.5298,186.6664,169.743466667,218.290466667,231.794866667,285.469933333,230.82054,236.410266667,232.820533333
213.30,204.4962,260.154866667,154.573666667,145.1164,187.1318,184.108433333,246.046666667,201.56596,206.666733333,203.721
213.68,217.5,274.166666667,169.833333333,161.5,190.166666667,182.25,265.0,214.833333333,222.5,217.5
214.06,231.111266667,277.777866667,191.624,172.307733333,205.983066667,200.683733333,281.7094,217.128173333,226.3248,235.726533333
214.44,211.333333333,254.666666667,182.166666667,172.833333333,203.5,183.0,258.0,202.05,213.5,222.333333333
214.81,313.866666667,379.466666667,276.8,263.466666667,291.733333333,266.533333333,384.533333333,301.653333333,322.933333333,320.266666667
215.19,245.858466667,297.979866667,207.6768,210.505066667,231.111133333,211.818133333,297.5756,230.74754,248.889,245.858466667
215.57,259.139733333,314.1936,248.602133333,221.935533333,250.752666667,223.3333,316.343933333,249.892426667,264.086066667,260.0002
215.95,229.714266667,276.9524,228.0,204.1904,231.999933333,193.8096,272.761733333,224.742886667,232.571333333,240.381066667
216.32,237.059,285.098066667,233.1374,208.8236,234.3138,194.9021,281.372666667,228.470586667,230.784266667,237.451
216.70,250.000066667,305.0,244.285466667,213.571466667,236.190466667,182.0239,300.238066667,232.07154,247.619,252.142866667
217.08,392.5,500.416666667,389.166666667,358.75,380.0,314.791666667,459.166666667,379.875,403.333333333,391.25
217.46,959.999999999,1284.44446667,1020.00006667,916.666733333,977.777733333,884.999933334,1158.88886667,945.777813333,1033.33333333,1000.00006667
217.83,-5106.66666667,-7173.33333333,-5820.0,-4746.66666667,-5366.66666667,-4720.0,-6100.0,-4855.33333333,-5453.33333333,-5220.00000001
218.21,-377.777733333,-605.185266667,-445.185266667,-344.444466667,-382.962866667,-296.296333333,-474.8148,-358.222173333,-413.3334,-362.222266667
218.59,-197.4074,-316.296266667,-225.555533333,-141.851866667,-179.259133333,-157.222133333,-260.000066667,-177.40744,-208.148266667,-167.777733333
218.97,-733.333400001,-1025.71433333,-755.238133334,-485.714333333,-682.857133333,-607.6189,-887.619066667,-630.952306667,-700.952399999,-621.904866667
219.34,-1911.1112,-2559.99993333,-1959.99986667,-1317.7778,-1775.5556,-1675.55553333,-2260.0,-1824.66651333,-1813.33333333,-1640.00006667
219.72,-362.051266667,-491.282133333,-343.5898,-218.4616,-320.512733333,-322.051266667,-451.7948,-320.256386667,-356.410266667,-293.333333333
220.10,-298.571333333,-434.285666667,-310.476266667,-190.476133333,-263.333266666,-292.1429,-402.380866667,-272.04764,-321.428533333,-278.5714
220.47,-727.777866666,-1048.88886667,-720.0,-533.333266667,-696.666733333,-703.888966667,-958.888999999,-696.111066667,-813.333266666,-719.999866666
220.85,-410.909066667,-604.8486,-408.484733333,-295.151533333,-403.6364,-399.3941,-542.424133334,-418.969686667,-477.575733334,-419.394
221.23,808.333333333,1081.66666667,825.000000001,605.833333333,795.000000001,786.25,997.5,800.083333334,920.833333333,814.999999999
221.61,715.555600001,931.851866667,694.0742,497.037066667,667.407466667,666.296233333,869.629666667,668.888986667,768.148333334,657.777733334
221.98,307.619,390.793533333,288.253933333,216.825466667,296.507933333,321.110933333,386.0318,295.904746667,345.714266667,295.238066667
222.36,276.4286,335.000133333,257.857266667,209.7618,272.619133333,291.309533333,339.2858,255.785773333,308.571533333,261.428666667
222.74,332.982466667,433.684266667,311.929733333,275.087733333,336.4912,382.280666667,416.4912,318.877273333,389.473733333,327.7192
223.11,324.705733333,427.450933333,328.627466667,294.1176,327.843066667,380.588166667,436.0782,320.117626667,420.392133333,318.431466667
223.49,436.969866667,592.7274,470.909133333,402.424333333,443.0304,506.060733333,612.7274,411.818246667,587.2728,422.4242
223.87,624.166666667,811.666666667,691.666666667,577.5,645.0,733.75,858.333333333,606.666666666,746.666666666,660.833333333
224.24,873.333333334,1093.33326667,904.444666665,755.5556,873.333333334,933.888933333,1164.44446667,799.000019999,926.666733333,813.333533334
224.62,891.111066667,1103.3334,892.222066667,734.444466667,856.666666667,883.888866667,1172.22206667,751.111266667,911.111133335,788.888866667
225.00,342.352933333,395.294066667,315.686533333,275.294133333,321.1764,328.4313,428.627533333,264.470606667,311.764733333,277.254866667
225.38,211.746266667,244.761866666,189.206266667,152.063333333,194.603133334,192.222066667,276.508066667,138.698393333,173.015866666,152.381066667
225.75,117.193,129.4738,105.964866667,83.3332666667,108.2456,100.087566667,147.894733333,79.9824799999,90.5262666667,81.9298666667
226.13,118.095333334,125.7142,116.508066667,90.6348666666,105.0796,96.2696999999,140.476333334,90.9999333333,94.2856666668,87.1429333333
226.51,102.666666667,113.666666666,101.833333333,73.5,85.6666666666,79.6666666667,123.333333333,87.4666666669,81.4999999999,80.6666666666
226.88,109.696933333,108.606133333,102.9092,83.8787333333,90.0607333333,80.7274666667,125.818266667,92.1939066667,87.9998666667,88.6059333333
227.26,97.0909333332,99.6362666668,83.3939333333,72.3636666667,79.2728000001,74.2423666667,103.0304,79.45458,67.5152000001,83.0300666667
227.64,75.2082666667,75.3124666666,58.0209333333,53.9584,59.6875333333,55.3646333333,72.8124,57.5832,43.3332666667,63.3334666667
228.01,57.2996,57.6371333333,41.1814,45.0632,43.1223333333,39.7467333333,50.2952666667,43.8564466667,31.7299333333,43.0380666667
228.39,39.0,37.8666666667,26.8,27.8666666667,28.0,25.0,32.3333333333,28.4,20.1333333333,34.0666666667
228.76,28.3636,26.5455333333,19.8786,21.0303333333,17.394,19.4242666667,22.1210666667,19.28474,13.8787333333,27.0302
229.14,25.977,28.0459333333,22.7012,24.8276666667,16.7817333333,24.5116333333,20.2873333333,20.6380066667,15.6322666667,27.2988666667
229.52,30.5454,38.6061333334,28.7876666667,34.1818,22.9091333333,34.1211666667,23.7576,27.9636866667,22.8486,33.2122
229.89,34.3543333333,44.3844,28.949,42.7627333333,25.4054,38.9790333333,28.2883333333,29.7357133333,27.8678666667,38.4385333333
230.27,23.2704,36.6667333333,13.5222,36.1635333333,15.849,27.5785666667,17.8616,15.5348133333,16.1634666667,27.3586
230.65,24.6666666667,38.3638,14.9697333333,38.4244,16.3635333333,31.0302666667,19.2728,15.7272066667,17.8181333333,29.9392666667
231.02,21.4286,35.1189333333,11.0714,31.5478,12.1428,26.2201666667,14.3452666667,12.74406,13.8095333333,25.3573333333
231.40,25.1110666667,40.1666666667,17.3334666667,33.7778666667,15.3333333333,28.2222666667,19.6111333334,16.4055466667,19.8889333333,28.4999333333
231.78,26.3978666666,45.7528,23.4945333333,38.2796,18.172,29.9732,26.1291333333,23.4570866667,26.5054666667,33.2796666667
232.15,34.7241333333,53.9568666667,32.1342,45.2278666667,27.0983333333,38.8008333333,35.9711333333,32.1822333333,36.6427333333,41.2949333333
232.53,29.8163333333,48.609,24.6194666667,42.8345333333,20.9973333333,38.0051333333,30.4461333333,29.5223666667,33.4908,34.5406
232.90,30.8832,50.5413333333,25.1851333333,44.0456,22.5642,44.0738333333,31.567,34.4159333333,35.8404666667,38.5185333333
233.28,26.5574666667,43.9344666667,18.8524,36.6666666667,17.8141333334,36.5301666667,28.0328666667,28.2678066667,34.6448666667,34.7541333333
233.66,24.4783333333,38.5750666667,15.2672,31.9084,13.5876666667,30.7886666667,26.3103333333,24.91612,30.28,33.3333333333
234.03,29.8688,42.9396666667,23.2019333333,35.3804,17.9002666667,34.0944666667,31.9685333333,32.8976466667,35.3281333333,41.1548666667
234.41,31.223,42.5898666667,27.9136666667,33.1894,22.2542666667,35.6832666667,31.5107333333,36.0863666667,36.115,42.542
234.78,24.2009333333,37.3514666667,26.0731333333,26.8949333333,18.9954666667,27.1461666667,25.4794666667,31.16898,30.8219333333,34.3380666667
235.16,16.5332666667,32.3110666667,21.511,23.6,13.4222,23.4221666667,20.3556,25.95998,26.1778666667,29.9109333333
235.54,14.2482,28.1481333334,20.9148666667,21.7431333333,10.3268666667,20.6318333333,17.9954666667,23.9215933333,23.8780666667,27.6688
235.91,10.5376666667,22.0646,15.6128666667,14.3226,8.08600000001,19.1183333333,11.6559333333,17.7292333333,20.3011333333,24.516
236.29,0.904666666668,13.4762666667,9.23806666666,3.381,-0.999866666673,9.54763333334,2.42853333333,8.90007333333,12.4286666667,16.3333333333
236.66,11.0476,29.4286666667,22.3335333333,13.1906,10.1905333334,22.976,13.1429333333,19.3761866667,22.6191333333,28.9999333333
237.04,12.6807333333,31.4219333333,24.7550666667,15.6177333333,10.9556,22.1912,13.5198,19.4451933333,23.2168666667,28.6247333333
237.41,14.8358,30.4694,25.9625333333,17.4647333333,13.0516,22.9342,14.8828,24.14078,22.3943333333,32.2534666667
237.79,12.5001333333,26.9906666667,27.315,16.5277333333,12.2686,21.5971,13.0094666667,22.91204,21.4814,29.7222
238.17,7.63713333334,20.8017333333,23.0802,10.1266,9.78906666667,17.1518333333,7.04646666667,17.9113666667,15.4429333333,23.8818
238.54,11.2083333333,23.7083333333,26.3333333333,13.9583333333,10.9166666667,20.5625,10.5,20.0541666667,18.0,27.7916666667
238.92,14.9019333333,24.1568666667,28.2353333333,16.5882666667,11.1371333333,22.7647,12.3529333333,21.2745333333,18.9804666667,31.6862666667
239.29,14.4027333333,21.1052,27.6648666667,14.4386,11.4081333333,21.4260333333,10.2673333333,18.2316866667,15.7933333333,30.5526
239.67,10.231,14.9504666666,20.6929333333,9.90099999999,8.18479999999,16.9307666667,5.84146666665,14.7690066667,10.6600666667,25.8086
240.04,10.9524,14.3452666667,20.2083333333,11.3988,7.38086666666,15.7737666667,7.29179999999,14.2410666667,9.0774,24.1962666667
240.42,10.6299333333,12.2572,18.6352,11.1287333333,6.7718,15.5907,7.00793333333,12.8374333333,8.24153333333,24.4357333333
240.79,8.5184,7.01506666667,15.2288,9.15053333333,3.87806666667,12.7451666667,4.53153333333,9.61657333335,5.64279999999,19.6949333333
241.17,7.94573333333,5.79473333334,13.9922666667,8.4884,3.41086666667,13.1105,4.6512,8.59299333333,5.03873333333,18.1977333333
241.54,8.79659999999,6.68393333334,14.3896,8.60606666667,4.67533333333,15.0648,5.54113333333,9.18091333335,5.14286666666,17.9912666667
241.92,7.35653333333,4.67966666667,11.8555333333,6.3382,2.47953333333,13.9655666667,3.90826666667,7.91290666667,3.54686666666,17.8490666667
242.29,6.07793333334,3.73906666667,10.7238666667,6.34853333333,1.32066666667,13.8662666667,3.0548,6.06522000001,2.6888,16.6746
242.67,5.65926666667,3.19986666667,10.0295333333,5.8518,1.437,12.9630333333,2.874,5.21479333334,2.28153333333,15.6147333333
243.05,5.8816,3.82586666667,9.40753333333,5.6246,2.3554,13.8829,3.5404,5.38332666667,2.39813333333,15.9171333333
243.42,8.91153333333,6.16619999999,11.3183333333,7.55906666666,4.70586666666,15.3212666667,6.572,7.82278666667,5.84173333333,18.0393333333
243.80,10.7763333333,7.82786666667,13.0203333333,8.97586666666,6.52326666667,16.8166666667,8.48026666667,8.65488666667,8.08886666666,19.3738
244.17,10.5143333333,7.2146,12.7052666667,8.99133333333,6.43953333333,17.4549333333,8.243,8.70804666667,8.91106666668,19.9730666667
244.55,10.1473333333,7.30926666667,11.8204,8.86226666668,6.80053333333,17.0481333333,7.83133333333,9.24357333335,8.64779999999,20.2409333333
244.92,9.95993333333,7.65726666667,11.2184,9.81266666666,7.28246666667,16.5194666667,7.81806666667,9.66806666667,8.51413333333,20.4817333333
245.30,8.90560000001,7.48413333333,10.4025333333,8.45293333334,6.45286666667,14.3711333333,7.05673333333,8.80504000001,8.17613333334,19.8112666667
245.67,8.01619999999,7.4114,9.57520000001,8.20253333333,5.43346666667,13.5193,6.3524,7.08550666666,7.56239999999,18.4874666667
246.05,8.59686666667,7.94993333333,9.65033333333,8.95146666667,6.39546666667,13.6670333333,7.0422,7.15502666667,7.65773333334,17.6734
246.42,8.5196,8.03546666666,9.05973333333,8.54759999999,6.48973333333,13.5055,7.02053333333,7.60713333333,7.905,17.1693333333
246.79,7.98446666667,7.48140000001,8.02786666667,7.97566666666,5.5918,12.6701333333,6.63206666667,7.48424,7.04806666667,16.5322666667
247.17,7.01166666667,6.3778,6.99553333333,7.42073333333,4.5808,11.7689,5.5194,6.79894,6.3298,15.3306666666
247.54,6.3884,6.36506666667,6.04026666667,7.47113333333,4.1454,11.8367333333,4.92653333333,6.2536,5.41366666667,14.9573333333
247.92,6.861,6.74153333333,6.3378,7.80253333334,4.39466666667,12.1525333333,5.47833333333,6.97238,5.49333333333,15.5008
248.29,6.98626666667,6.79006666667,6.20186666667,7.56733333333,4.16113333333,11.8555,5.34506666667,6.98690666667,4.9382,15.4756
248.67,8.33160000001,7.87826666666,7.31826666666,8.88420000001,5.25666666666,13.0677666667,6.73753333334,7.93824666667,6.22753333333,16.224
249.04,9.17286666666,8.69326666667,8.16333333333,9.38053333333,6.07226666667,13.7559,7.66906666666,8.58800000001,6.83839999999,17.1286
249.42,9.69433333334,8.79193333333,8.30726666667,10.0970666667,6.40566666667,14.1985,7.91946666667,9.03510666667,6.59953333333,17.7332
249.79,9.49466666666,8.43713333334,7.95126666666,10.0745333333,6.73706666667,14.0621,7.37946666667,9.42727333332,6.58046666666,18.3547333333
250.17,10.6684,9.53933333332,9.30700000002,11.1748,7.70453333334,15.0393333333,8.46006666667,10.70318,7.67126666667,20.1077333333
250.54,12.0944,10.4626,10.2618,12.1290666667,8.5516,16.0995,9.54639999999,11.3665733333,8.53406666666,21.0819333333
250.92,13.5325333333,12.1556666667,11.3406,13.8042666667,10.308,18.0117333333,10.3712,13.0560333333,10.0815333333,23.1793333333
251.29,14.7314666666,13.3055333333,11.9536666667,14.3981333333,11.3981333333,18.9582333333,11.2314,13.9807066667,10.8148666667,23.7962666666
251.66,14.4571333333,12.4190666667,12.3142666667,13.9618666667,11.038,18.5286,11.019,14.21142,10.6096666667,23.0287333333
252.04,14.2191333333,12.2476666667,12.4283333333,13.7809333333,11.1715333333,18.2524,10.6856666667,13.95148,10.5428666667,22.1905333333
252.41,14.6026,12.3837333333,12.5482666667,13.7985333333,11.0755333333,17.9602,11.2207333333,13.4670066667,10.3390666667,22.3933333333
252.79,14.2446666667,12.2436,12.6004,13.8682666667,10.7874666667,18.4347666667,10.7478,13.0331266666,10.094,22.3378666667
253.16,13.1301333333,10.8434666667,10.7926,12.5002666667,9.52226666667,17.2509333333,9.33946666666,11.2571066667,8.88219999999,20.6707333333
253.54,13.8468666667,11.8232,11.2070666667,13.3641333333,10.981,18.5722333333,9.89213333333,11.7688266667,9.81,21.1607333333
253.91,14.1614666667,12.6310666667,11.4571333333,13.3646666667,11.2369333333,18.7997333333,10.4718,12.0587266667,10.4192666667,20.3984
254.28,11.9588666667,10.7468,9.48060000001,11.3853333333,10.0216666667,17.3213666667,8.71213333333,9.99794666668,8.35506666667,18.5606666667
254.66,11.0233333333,10.3373333333,9.26233333333,11.1606666667,10.3486,16.6323333333,8.15326666667,9.90849999999,8.06173333334,18.0675333333
255.03,9.64313333333,8.96559999999,8.65086666667,9.96966666667,9.31640000001,14.7428333333,6.93273333332,8.23226666666,6.48513333333,16.4065333333
255.41,10.3431333333,9.77339999999,10.2911333333,11.0939333333,10.7830666667,15.3915,8.10353333333,9.19088000001,7.53393333334,17.3333333333
255.78,12.1084,12.1212,11.5282,12.7530666667,12.7015333333,16.3636333333,9.9034,11.3296266667,9.33593333334,19.1359333333
256.15,14.4960666667,14.6123333333,12.9846666667,15.6846,15.5425333333,19.1797666667,12.0542666667,14.3217733333,11.2273333333,22.0672
