wavelength,Back_DiuDiuf,Belly_DiuDiuf,Breast_DiuDiuf,Crissum_DiuDiuf,Crown_DiuDiuf,DorTail_DiuDiuf,Patch10_DiuDiuf,Rump_DiuDiuf,Throat_DiuDiuf,WingTip_DiuDiuf
198.16,56.1628833333,56.104875,70.3488333333,68.7016666667,57.94575,38.323625,100.193666667,50.9690833333,94.1858333334,48.4495
198.54,46.66675,51.0532083333,62.7288333333,64.2856666667,52.5640833333,30.723375,86.9048333333,40.293,86.4469166667,43.9561666666
198.92,40.65545,42.9305416667,58.7079166667,61.42325,51.4045,19.8969583333,82.0224999999,38.6704166667,78.9325833334,40.1686666667
199.30,39.4943666667,39.0449166667,56.367,58.8951666667,45.7865833334,21.7229583333,79.6816666667,35.9550833333,70.31825,40.4495
199.68,50.2381,49.107125,67.85725,63.4354166666,58.5033333333,32.73825,82.1428333333,43.0271666667,75.9353333333,50.3400833333
200.06,49.8611666667,53.7325833334,65.191,59.72225,54.4270833333,26.2587083334,85.33,40.97225,78.8195,51.9096666666
200.44,59.6368666667,59.8597083333,68.8118333333,68.0693333333,59.9835,36.0975,88.3662500001,49.7525,86.3037499999,61.7161666666
200.82,68.8288,70.3265833332,83.2206666667,87.3874166667,83.5584999999,35.754375,104.504416667,60.2476666666,107.657666667,76.0135
201.19,92.8734833333,95.1148333333,107.18375,105.172416667,111.925333333,46.9109583333,126.43675,71.4080833333,141.6665,100.000083333
201.57,87.67985,105.964,111.111083333,114.215666667,121.405166667,48.8563333334,142.483583333,76.3070833333,157.516333333,108.17
201.95,78.7681666667,96.3768749999,109.057833333,96.1957500001,114.130583333,28.5325416666,141.485666667,70.1088333333,148.00725,97.8260833332
202.33,87.16225,119.932375,106.08125,106.531416667,127.027166667,25.4503749999,171.62175,69.1440833333,187.162166667,126.126
202.71,206.944533333,252.08325,243.055583333,220.83325,307.639,-17.3610416668,458.33325,92.3611666666,515.97225,286.80575
203.09,-550.555566666,-999.999874999,-908.33325,-630.5555,-913.888833333,186.111166666,-1566.66666667,-16.6666666649,-1861.11125,-966.666583335
203.47,-54.1667,-113.888791667,-85.1850833333,-36.5741666665,-127.314833333,68.0554999999,-214.35175,29.1666666666,-272.685416667,-121.296083333
203.85,-64.5000000001,-195.833333334,-166.666666667,-69.1666666666,-185.0,107.916666667,-407.5,49.9999999998,-470.833333333,-276.666666667
204.22,85.9260333332,188.425958333,225.925833333,124.07425,217.5925,-56.9444166666,465.740666667,-27.7779166666,508.333333333,319.4445
204.60,-105.416666667,236.458333333,472.916666666,193.749999999,364.583333334,-312.5,931.25,-187.499999999,1006.25,518.750000001
204.98,29.0696666666,56.589,78.4883333333,40.6978333333,44.186,-2.22875,127.713083333,14.9224999999,130.232583333,81.5892500001
205.36,25.1944166667,41.8750416667,64.0278333333,24.5835,32.08325,-0.347375,98.7499999999,13.4721666667,93.1946666667,53.7500833334
205.74,34.9061833333,40.6105,58.3333333333,21.0093333333,33.3333333333,9.21354166668,89.7888333333,18.075,83.4506666666,47.6526666666
206.12,38.9911166667,40.954125,60.8554166667,27.9605833334,42.1053333333,13.2675833333,85.5262499999,18.5309166667,85.08775,52.1928333333
206.50,39.7127666666,42.0977083333,63.6973333333,34.1955,46.3603333333,18.9655833333,81.8009166667,26.1494166667,77.7777500001,53.9272500001
206.87,35.26045,38.7151666667,60.4166666667,29.0798333333,40.0174166666,20.920125,72.9166666668,24.04525,69.8783333334,50.7811666668
207.25,31.9558,29.0815416666,53.4864166667,19.5578333334,34.6086666667,17.4319166667,67.3469999999,21.0885,66.9217499999,41.8367500001
207.63,32.8870166666,34.6355416666,56.6964166667,22.8421666667,34.2260833333,23.6234166666,65.9970833332,22.39575,60.0445833333,39.5834166667
208.01,38.9370833333,38.3858333333,55.2493333333,25.5905833333,37.336,25.721875,64.0419166667,25.7875,65.35425,40.6168333333
208.39,37.2862666667,33.3701666667,56.93225,20.28025,33.4070833333,20.427875,63.3481666667,19.9114166667,64.2331666667,32.8170833333
208.77,36.0832666667,30.5208333333,52.84725,15.2084166667,24.6526666667,17.4652916667,54.5833333333,13.8888333333,53.6805833333,27.9860833333
209.14,24.2788166667,20.392625,50.9614166667,7.6923333333,14.9840833333,8.61387499997,50.8014166667,8.33333500005e-05,49.0384166667,17.0675
209.52,10.6851,9.35179166667,44.6295833333,-1.48133333335,0.74083333335,-2.63879166665,43.7960833333,-15.6481666667,44.9074166667,6.20366666668
209.90,-9.24443333333,-13.1111666667,36.0000833333,-18.4445,-17.3333333333,-23.5555416667,31.5555,-44.1111666667,29.2221666667,-9.11116666668
210.28,-12.2649833333,-19.6045416667,27.1366666667,-23.9316666667,-25.85475,-28.953,22.1155,-45.406,21.1536666667,-13.0341666667
210.66,-23.78035,-34.298625,19.2071666667,-36.2805833333,-32.2154166667,-34.8575833333,9.45116666667,-56.1991666666,10.7725,-23.17075
211.03,-86.2058,-104.432583333,-5.14191666665,-110.992833333,-99.4680000001,-105.319333333,-21.8084166666,-129.609916667,-27.3050833334,-86.3475833333
211.41,-73.3652499999,-90.1443333334,-5.60908333332,-96.9551666669,-93.4294166666,-95.8334166667,-22.5961666666,-116.666666667,-27.2438333333,-73.2370833333
211.79,-77.0916,-99.5097916667,-9.15033333333,-93.7908333333,-93.1371666667,-99.3464583334,-16.9934999999,-130.718916667,-18.464,-68.6272499998
212.17,-76.6666166667,-111.197958333,-15.45125,-103.819416667,-101.909666667,-101.909791667,-15.625,-135.243166666,-33.1596666666,-72.3957500001
212.55,-90.2127666668,-108.865291667,-24.468,-107.269583333,-118.085,-106.914958333,-21.8085,-147.872333333,-37.9433333333,-70.5673333335
212.92,-338.650933334,-363.095291667,-192.063416667,-383.333416667,-372.619083333,-343.849166667,-179.76175,-448.015833333,-198.809583334,-287.698416667
213.30,-6958.33333333,-7750.0,-4750.0,-8616.66666666,-7958.33333333,-7512.5,-4475.0,-9750.0,-4266.66666666,-6183.33333334
213.68,2731.1111,2934.72216667,2044.44433334,3244.4445,3058.33333333,2890.27791666,1952.77775,3488.889,2013.88891667,2344.44466667
214.06,-816.666750001,-886.111041667,-596.296333334,-996.29625,-954.629583333,-909.722208332,-568.5185,-1066.66666667,-559.259333333,-686.110999999
214.44,1965.0,1976.04166667,1431.25,2341.66666667,2254.16666667,2071.875,1343.75,2493.75,1354.16666667,1683.33333333
214.81,445.980316667,444.117583333,356.862833333,514.705916667,532.352833333,482.353041667,313.7255,590.686333333,307.353,368.137166667
215.19,-228.01295,-235.416541667,-182.692166667,-278.846166667,-283.01275,-260.577083333,-162.820666667,-341.346166666,-144.230833333,-183.333333333
215.57,-215.517266667,-233.764375,-196.839083333,-275.862166667,-275.28725,-241.523208333,-153.160916667,-323.56325,-143.39075,-174.999833333
215.95,-658.939516667,-676.515208333,-608.3335,-834.848416667,-815.909249999,-759.469666666,-537.12125,-885.606083334,-492.42425,-518.939416667
216.32,4514.16666666,4558.33333333,3929.16666667,5329.16666666,5225.0,5120.83333333,3766.66666667,5720.83333333,3700.0,3687.5
216.70,1138.09528333,1290.47625,1091.66666667,1489.28575,1398.80941667,1377.38095833,1015.476,1538.09525,1013.09533333,1023.80941666
217.08,-177.111266667,-208.472375,-180.83325,-256.111166667,-246.666666667,-237.638791667,-139.72225,-271.666666667,-158.333333333,-154.44425
217.46,-125.992916667,-142.90775,-124.113583333,-174.822666666,-174.113333333,-160.017791667,-110.815666667,-172.695,-121.631166667,-109.39725
217.83,-78.2727499999,-96.2878333334,-81.2119999999,-123.93925,-124.393833333,-108.863666667,-68.1820000001,-121.96975,-77.8789166666,-73.788
218.21,-80.6333333333,-109.333333333,-87.3333333333,-133.333333333,-134.5,-118.166666667,-66.3333333332,-130.166666667,-98.1666666666,-83.8333333333
218.59,-49.16665,-71.6665,-57.5001666667,-84.16675,-91.3095000001,-75.535625,-37.7381666667,-87.0238333332,-64.8809166666,-52.3809166666
218.97,-46.2551166667,-63.7860833333,-45.2675833333,-81.1730000001,-81.1729166668,-66.100875,-38.0659166666,-73.3539166667,-58.1275,-48.2508333334
219.34,-44.2196333333,-63.7658333333,-44.40925,-74.2615833333,-80.80175,-59.8630833334,-34.17725,-72.0463333333,-58.75525,-44.7259166668
219.72,-34.7588833333,-52.9606666667,-21.7105,-63.5964166666,-70.8333333333,-51.864125,-26.6446666667,-61.5131666667,-58.0043333334,-37.6095833333
220.10,-44.5395666667,-65.9538750001,-26.0965833334,-70.9429166666,-78.3990833334,-55.372875,-34.4298333333,-69.4080833334,-62.5,-53.3991666666
220.47,-42.56035,-56.159375,-29.831,-70.8937499999,-81.5218333333,-41.4250833333,-30.6763333334,-69.9275,-53.7439166667,-50.8454999999
220.85,-63.9583666667,-64.1782083334,-42.8240833333,-81.5971666668,-92.36125,-51.4469166667,-47.1064166667,-85.1851666667,-65.1621666667,-62.6157499999
221.23,-124.791516667,-131.250083333,-85.7639166666,-141.493,-158.15975,-109.809125,-104.861166667,-147.743083333,-114.756916667,-120.312583333
221.61,-132.613583333,-130.776625,-89.9621666667,-142.613833333,-160.985083333,-117.992458333,-103.787833333,-156.818083333,-124.621083333,-134.469833333
221.98,-224.055583333,-204.4445,-145.5555,-247.5,-247.5,-184.86125,-195.555666667,-264.444416667,-203.611166667,-203.333333334
222.36,-186.372616666,-156.617541667,-107.597916667,-201.715666667,-210.539333333,-145.343166666,-163.23525,-219.607833333,-162.00975,-171.568583333
222.74,-630.00005,-569.697041667,-414.394,-712.121166667,-715.909083334,-498.106041667,-596.969666667,-765.909083334,-591.666666667,-598.484749999
223.11,-2331.6666,-2302.77791666,-1752.77783333,-2719.4445,-2722.22216667,-1997.22220833,-2286.111,-2955.55541667,-2363.88883333,-2483.33325
223.49,662.261983333,647.321458333,541.666583333,767.262,769.642833333,611.904708333,652.976083334,802.380833333,691.6665,706.547666666
223.87,410.448783333,380.609083333,344.23075,454.48725,453.205166667,380.448708334,402.884666666,474.359083333,403.525583333,421.153833334
224.24,-2717.77785,-2643.05545833,-2544.4445,-3341.66675,-3336.111,-2572.22229167,-2816.66666667,-3577.77766666,-2924.99991667,-2944.44466667
224.62,-1367.2222,-1381.25004167,-1281.9445,-1661.11108333,-1641.66675,-1388.888875,-1483.33333333,-1729.16666666,-1590.27783333,-1483.3335
225.00,-3695.83333334,-3833.33333334,-3608.33333333,-4575.0,-4470.83333334,-4010.41666666,-4179.16666667,-4708.33333333,-4454.16666666,-4108.33333333
225.38,-1570.0,-1678.33333333,-1653.33333333,-2033.33333333,-1905.0,-1676.66666667,-1890.0,-2091.66666666,-2025.0,-1763.33333333
225.75,-600.833483333,-703.819458333,-650.694416667,-815.972333334,-747.91675,-620.486083334,-734.027833333,-834.722166666,-786.805333333,-619.444666667
226.13,-308.40285,-376.562583333,-330.902833333,-389.236083333,-378.819416667,-314.58325,-353.8195,-414.236333333,-421.874833334,-329.513833333
226.51,-558.452366667,-690.476125,-649.999916667,-711.904583333,-657.737916667,-542.261958333,-638.6905,-730.35725,-741.666583333,-586.904833333
226.88,-242.931033333,-297.84475,-287.931,-332.7585,-283.333416667,-228.448375,-277.586416666,-297.126416667,-331.896583333,-252.298833333
227.26,-190.090166667,-226.013583333,-236.4865,-244.594583333,-223.423416667,-170.945833333,-209.909833333,-228.153166667,-249.774666666,-174.774833333
227.64,-140.2032,-186.788625,-194.105833334,-193.496,-167.073166667,-124.186916667,-164.634333333,-174.5935,-196.951083333,-126.219583333
228.01,-117.398366667,-189.024541667,-194.91875,-184.34975,-161.382,-105.792875,-147.154583333,-173.374,-196.747666667,-115.650333333
228.39,-272.3189,-365.760875,-372.463833333,-370.652166667,-328.9855,-244.203,-307.971166667,-344.927583334,-393.116,-250.0
228.76,-138.787883333,-182.575708333,-183.712166666,-183.901333333,-154.734833334,-117.992541667,-141.666666666,-182.57575,-185.037833333,-120.075583333
229.14,-179.572733333,-228.52575,-215.598166667,-217.734833334,-193.589666666,-142.628208333,-176.49575,-223.50425,-227.9915,-166.453
229.52,-359.126916667,-444.047541667,-392.0635,-412.30175,-386.11125,-273.015916667,-303.571333333,-421.031833333,-440.476083333,-326.984083333
229.89,-323.095066667,-413.492083333,-342.063666667,-370.635,-343.650833333,-235.515833333,-263.889,-381.349333333,-400.396916667,-315.476
230.27,-557.948516667,-690.384583334,-573.717833334,-610.256416667,-578.846,-457.692208333,-447.435833333,-641.0255,-666.025666667,-539.102583333
230.65,-2202.08333334,-2641.66666667,-2179.16666666,-2358.33333334,-2250.0,-1873.95833333,-1852.08333333,-2495.83333333,-2595.83333333,-2118.75
231.02,-1559.1667,-1796.52779167,-1451.38883333,-1537.5,-1529.16666667,-1327.77779166,-1306.9445,-1773.61108333,-1708.33316667,-1448.61108333
231.40,-1901.66666666,-2152.5,-1645.0,-1903.33333333,-1821.66666667,-1624.16666667,-1590.0,-2115.0,-2155.0,-1886.66666666
231.78,2118.33333333,2259.375,1712.5,2129.16666666,1964.58333333,1676.04166667,1702.08333333,2347.91666667,2481.25,2166.66666667
232.15,-8486.66666668,-8620.83333332,-5916.66666667,-7566.66666668,-7041.66666666,-5966.66666667,-6433.33333333,-8216.66666668,-9058.33333334,-8158.33333332
232.53,1315.55548333,1428.47220833,956.944416667,1234.72233333,1083.33333333,881.944458333,998.611166667,1304.16666667,1531.9445,1329.16675
232.90,-1876.66666667,-2012.5,-1320.83333333,-1810.41666666,-1639.58333333,-1133.33333333,-1385.41666666,-1743.75,-2091.66666667,-1950.0
233.28,-264.761966667,-292.261708333,-188.492,-286.507916667,-218.650916667,-119.246083333,-156.34925,-240.873,-308.333333333,-269.047583334
233.66,-63.5714333334,-76.1052083333,-32.313,-67.1769166666,-40.1359166667,3.23137500001,-16.3265833333,-45.5783333333,-75.5103333333,-56.8025833334
234.03,-68.3332833333,-76.49375,-45.283,-68.5534999999,-44.4969166667,-7.07554166666,-24.371,-53.3019166667,-75.7862499999,-58.80525
234.41,-30.2984666667,-35.8209166666,-23.5074166667,-35.9451666667,-20.7711666667,27.6119166667,2.23875,-18.9055,-27.36325,-24.1295
234.78,-10.2036833333,-9.21295833333,-1.38883333335,-9.25941666666,1.57408333335,38.5185,20.3703333333,3.05558333335,-1.66674999997,2.22225000001
235.16,-3.19156666665,-6.25000000001,-1.77308333333,-3.28016666667,5.49650000001,41.5336666666,26.6844166667,10.4610833333,3.45741666668,5.85108333333
235.54,-2.46971666666,-7.78087499998,-6.42566666667,-6.32533333333,4.91966666665,51.6565833333,29.41775,7.63049999997,6.12450000002,7.63058333333
235.91,11.24625,7.31904166667,6.95658333333,9.56516666667,16.37675,47.1377083333,35.2175,18.4059166667,22.1014166667,22.53625
236.29,10.0762166667,4.29391666667,1.3995,3.24408333334,13.4224166667,39.6946666667,30.47075,14.1855833333,20.4199166667,18.95675
236.66,14.2592333333,13.8119166666,9.10491666666,15.895,19.033,40.6379166667,34.31075,20.319,26.8003333334,26.85175
237.04,13.8724166667,7.07720833333,7.16916666667,14.7059166667,17.58575,42.4017916666,34.3136666667,15.625,26.2868333333,26.96075
237.41,18.7240833333,12.5574583333,13.2758333333,20.45975,19.7700833334,41.8677083333,36.5516666667,19.4251666667,25.9770833333,33.9080833333
237.79,12.52,12.0,3.33333333334,12.9333333333,15.5333333333,35.2,30.4,13.4,21.6,28.5333333333
238.17,11.0192666667,12.7067083333,3.03033333335,10.3994166667,12.8786666667,36.0192083333,31.887,13.42975,18.1818333333,28.5123333333
238.54,3.45958333333,5.14529166667,2.58841666665,7.07074999999,11.6161666667,25.284125,28.2198333333,10.3535833334,11.11125,21.2753333333
238.92,6.86796666668,9.56391666667,5.14550000001,6.76725,13.2551666667,24.2449583333,29.2506666667,12.5279166667,13.3668333333,20.7494166666
239.29,-1.21624999999,1.06970833333,-0.562999999983,0.056333333325,3.15316666669,14.55525,23.0855833333,3.491,7.151,15.822
239.67,7.93446666666,7.668375,6.95933333333,7.49116666667,9.17549999999,20.301375,30.0531666667,11.9681666667,12.6773333333,21.09925
240.04,5.62295000001,4.67158333333,6.98649999999,4.29299999999,7.78616666667,22.222125,32.4915833334,8.96458333334,10.9008333334,17.5505833333
240.42,10.2534,13.6712083333,12.25025,11.1368333333,12.1736666667,28.533125,40.169,14.66975,15.745,22.619
240.79,11.17905,12.6092083333,9.06108333333,8.36966666666,9.57058333332,26.2189583333,39.7744166667,12.9913333333,16.7394166667,22.0886666667
241.17,8.94056666668,12.7322916667,8.58100000001,9.72733333334,8.98375000001,23.4201666667,37.6085,13.4449166666,14.4980833333,21.3134166667
241.54,4.12335000001,8.75141666668,6.63208333333,5.219,6.51674999999,20.126875,35.5248333334,9.57333333334,13.5811666667,16.1475
241.92,8.99605000001,12.0054166667,11.5726666667,9.24816666667,10.5341666667,24.1591666667,38.724,12.3886666667,16.14725,21.0188333333
242.29,7.47913333334,9.91466666667,9.99533333333,6.92516666666,9.11808333334,22.2415,37.6961666667,10.434,15.651,19.2519166667
242.67,9.23184999999,11.3095416667,10.42225,7.14283333333,9.54616666667,24.2700833333,39.0160833334,11.8373333333,17.5426666667,20.7548333333
243.05,10.0667333333,12.0320833333,12.1211666667,8.28866666668,10.6728333333,25.2003333333,40.3743333334,13.8369166667,19.0285833333,22.9945833333
243.42,13.2822666667,16.624,15.2813333334,10.4220833333,14.8551666667,28.3887916667,43.0306666666,17.6256666667,21.82425,26.236
243.80,12.5899,17.0649166666,15.6045833333,11.6830833333,15.7681666667,27.0629166667,41.7891666667,17.1568333333,22.1403333333,26.5318333333
244.17,10.0993666667,15.6441666667,13.05425,10.2445,13.3219166667,23.4805416666,38.55125,14.6215,20.6229166666,24.159
244.55,11.0507666667,15.3575833333,14.5789166667,10.5919166667,14.3565,22.51875,37.2176666667,14.7844166666,19.7296666667,23.9904166667
244.92,9.51313333332,12.9916666667,12.9836666667,9.26966666668,12.9525833333,21.426375,35.1591666667,12.8901666667,17.1036666666,21.0988333333
245.30,11.1740333333,14.096625,13.7026666667,9.80808333334,13.9605,21.9286666667,36.8985833334,13.5596666667,17.7691666667,21.449
245.67,11.1792833333,13.4280833333,12.159,9.65900000001,12.9796666667,20.9218333333,34.8989166667,12.6515833333,16.7425,20.5681666667
246.05,10.15645,11.7471666667,11.36775,8.73024999999,11.3211666667,19.783,34.30225,12.0331666666,16.80675,19.6313333333
246.42,11.1835666667,12.5790833333,11.8565833333,9.69408333333,11.9409166667,19.8206666666,34.5253333333,13.0169166667,16.5296666667,20.1265
246.79,10.5820166667,11.8344166667,11.3329166667,9.11816666666,11.4025,18.8964583333,34.5151666667,12.3064166667,15.862,19.8748333334
247.17,10.8704666667,12.1885,11.19775,9.98891666667,11.0955833333,18.9174583333,34.64475,12.156,15.4760833333,19.68
247.54,11.5334666667,12.2895416667,11.5175833333,10.6489166667,11.1315,19.236875,35.1315833333,12.3684166667,15.3420833333,19.9649166667
247.92,12.5204833333,12.98775,11.9695833333,10.8230833333,11.79,20.10175,35.4723333333,13.1416666667,16.0250833334,20.7136666667
248.29,14.2211166667,14.4214583333,12.9258333333,12.1506666667,13.3095,20.95675,36.844,15.0476666667,16.905,22.3158333333
248.67,13.2821833333,13.90225,11.56975,11.4196666667,12.0634166667,20.1060833333,36.5785,14.2593333333,17.2838333333,22.24875
249.04,13.153,14.112,11.9658333333,11.0925,11.74275,19.4585,36.7428333333,14.5579166667,17.5213333333,22.2965
249.42,12.5354666667,13.8904166667,11.2330833333,10.6196666667,11.352,18.96775,35.79775,14.0539166667,17.19125,21.8626666667
249.79,13.0275833333,14.8937916666,12.46275,10.8598333333,11.3055833333,19.278125,36.3589166667,15.0956666667,18.1104166666,23.1528333333
250.17,13.1320833333,15.0117083333,12.5858333334,10.7861666667,11.6751666667,18.235875,35.2614166667,14.79225,17.4379166667,22.3864166666
250.54,13.4687333333,15.868875,12.9935833333,11.2144166667,12.12125,18.6467083333,35.9274166667,14.8989166667,18.5950833333,23.3011666667
250.92,15.03655,17.516875,14.726,12.8653333333,13.6415,19.2692083333,36.0616666666,15.7760833333,19.4520833334,23.5273333333
251.29,14.1783666667,16.9550833333,13.7004166667,11.5936666666,13.1474166667,18.261625,35.0635,14.8188333333,19.6445833333,23.0814166667
251.66,12.2942666667,15.7117083333,11.5814166667,9.46466666664,12.0436666667,16.3019166667,33.1506666666,13.1873333333,18.1020833333,20.9854166666
252.04,10.14415,14.7917083333,10.8459166667,7.90408333333,10.4040833333,14.0466666666,32.1211666666,11.3383333334,16.46475,18.13125
252.41,8.28263333333,12.7532916667,9.77724999999,5.86358333333,7.8775,12.1643333333,28.9131666667,8.81449999998,14.3491666667,16.4894166666
