wavelength,Back_TiaFulm,Belly_TiaFulm,Breast_TiaFulm,Crissum_TiaFulm,Crown_TiaFulm,DorTail_TiaFulm,Rump_TiaFulm,Throat_TiaFulm,WingTip_TiaFulm
192.85,232.444466666,163.333333333,155.555466667,107.1112,98.8889333335,101.444433333,180.222266667,198.000133333,192.444533333
193.23,281.9444,209.444533333,197.499933333,130.000066667,130.000066667,137.3611,225.8334,246.388866667,217.222333333
193.61,181.880333333,140.854666667,127.692333333,85.812,88.8888,97.3505,142.735066667,150.4274,145.811866667
193.99,202.407466667,162.407466667,145.0,101.4814,100.185133333,109.629666667,151.851933333,171.111066667,167.7778
194.37,230.370333333,180.740733333,155.061733333,101.9754,98.2716,126.049433333,166.6666,190.370333333,185.925933333
194.75,299.607733333,213.333266667,202.353133333,72.5490666668,92.1568666668,132.548966667,212.548866667,210.196133333,218.039133333
195.13,163.6842,139.649133333,129.2982,69.6491333333,77.5438,89.8245666667,125.789466667,123.684333333,121.578933333
195.51,152.889,132.444466667,120.2964,73.7777999999,83.8517333334,92.4443666667,114.370266667,110.666666667,120.740733333
195.89,145.847933333,133.684133333,123.041066667,79.0643333333,87.9531333332,100.175533333,114.8538,107.6024,121.4034
196.27,176.729533333,164.402466667,151.823866667,101.257866667,107.421466666,125.911966667,136.855133333,131.9496,142.8932
196.65,189.037066667,169.7778,151.111066667,98.5184666666,104.888933333,120.8888,140.888933333,129.185133333,154.518466667
197.03,254.712666667,227.816,195.402333333,120.6896,126.207,147.011566667,183.678133333,164.367933333,196.551733333
197.40,279.4444,238.055533333,211.6666,113.888866667,129.722133333,151.527666667,198.055533333,149.7222,210.8332
197.78,284.722266667,236.6666,218.8888,109.166666667,139.7222,142.361133333,211.3888,149.444533333,223.611066667
198.16,195.135066667,162.702666667,150.090133333,83.4234000001,98.7388000001,100.090066667,141.261266667,106.486466667,159.459333333
198.54,332.083333333,267.5,247.083333333,94.1666666667,119.583333333,123.125,224.166666667,126.666666667,282.5
198.92,289.3334,223.555533333,235.111266667,47.1110666666,84.4444000001,60.6666000001,204.444466667,63.1110666665,254.222133333
199.30,257.7776,152.222266667,159.4444,-45.5556000001,5.55553333334,-48.8889333333,163.888866667,-48.3333333334,200.000133333
199.68,-610.000000001,30.0000000005,-129.999999999,1100.0,773.333333335,1173.33333333,-293.333333333,1233.33333333,-506.666666665
200.06,-391.111200001,120.0,-186.666666667,664.444466667,506.6666,768.8889,-117.777866667,884.4444,-297.7778
200.44,166.0,36.0000000001,160.666666667,-106.666666667,-73.3333333334,-153.0,104.0,-153.333333333,181.333333334
200.82,124.4444,43.5554666667,141.7778,-50.6665999999,-25.3333999999,-80.8889333333,73.7778000001,-60.4444,114.666666667
201.19,155.7576,44.8485333334,148.484866667,-76.3635333335,-67.2726666667,-117.878833333,44.2424666666,-107.878866667,86.6667333334
201.57,-431.111133334,2.2222666662,-284.4444,422.2222,342.222133333,480.000033333,26.6666000001,493.333266668,-204.444399999
201.95,238.333333333,68.3333333336,163.333333333,-81.6666666667,-53.3333333335,-82.5,57.5,-60.8333333334,179.166666667
202.33,275.0,49.9999999999,143.333333333,-241.666666666,-413.333333334,-259.166666667,-138.333333333,-233.333333333,196.666666668
202.71,-8.57146666666,51.4285333333,17.1428000001,114.285666667,184.7618,128.3333,118.0952,120.952266667,-0.000200000000007
203.09,163.333266667,235.5556,237.7778,412.222333333,544.444466667,434.4445,493.333333333,397.777733333,193.333466667
203.47,121.388866667,119.722133333,129.7222,190.0,203.055466667,178.749933333,184.166733333,149.722333333,103.888866667
203.85,85.5,86.9999999999,93.8333333333,131.833333333,143.666666667,126.166666667,124.166666667,112.666666667,81.0000000001
204.22,83.1207333333,81.844,90.6383999999,120.567466667,136.453866667,122.978666667,114.61,112.0568,76.4540666667
204.60,75.4470666666,70.0811999999,70.4063333333,110.406533333,132.8456,119.268166667,106.991866667,107.805066667,64.878
204.98,80.1708666667,70.9403333333,59.3162666667,111.795,135.2136,131.538366667,104.2736,102.905866667,58.6325333333
205.36,84.4443999999,82.2222666667,67.3610666666,113.75,131.6666,133.125,107.5,110.5556,73.8889333334
205.74,75.9182000001,75.5101333333,57.0067333333,105.4422,115.9184,127.0749,92.7892,106.802666667,64.8978666667
206.12,85.0340666666,87.0747333332,59.5918666667,115.918333333,122.312933333,130.204133333,98.2312666665,118.911466667,72.9253333333
206.50,69.1666666666,79.8809999999,47.7380666667,100.357133333,103.214266667,109.107233333,80.9524,105.833266667,62.5001333333
206.87,74.8387333333,100.860066667,41.2903333333,122.795733333,142.795733333,147.5268,108.387133333,160.4302,84.9462
207.25,80.6896666665,115.632266667,46.8964666667,133.563266667,137.471333333,146.3218,114.482666667,179.77,80.9195333333
207.63,93.0950666667,142.380933333,65.4761333333,154.047533333,154.0476,151.309466667,125.237933333,192.8572,91.6665999999
208.01,93.9999999999,127.5,85.0,133.833333333,134.666666667,135.25,113.166666667,163.166666667,87.3333333333
208.39,82.3457333334,107.654266667,85.0616666667,112.716066667,113.209866667,111.543133333,100.8642,145.308733333,85.1852666667
208.77,82.9508000001,100.9836,87.3223999999,106.448066667,107.3224,105.4098,94.2075999998,131.584666667,88.4153333334
209.14,86.0318000001,102.857133333,91.8517999999,116.4022,109.523733333,106.0317,98.4126666668,128.042266667,94.2856
209.52,85.3333333333,101.777666667,95.3333333333,124.444533334,110.2222,112.5556,101.000066667,128.222266667,97.6665333333
209.90,85.4443333333,103.111,95.3333333333,125.555533333,112.888933333,108.944366667,103.111,130.7778,92.6667333335
210.28,74.7748666667,90.0900666666,83.4233999999,115.135066667,97.2973333333,94.3692333333,91.0810666667,108.288266667,76.5767333333
210.66,77.1980666667,94.9758,85.5072666667,120.193066667,107.632933333,102.753566667,97.1015333331,111.401133333,81.3527333333
211.03,72.6104,86.1847333333,78.1527333333,107.228866667,97.9918666667,92.2087333334,89.4779333333,97.3494666667,77.3494000001
211.41,83.8212,94.7966666667,85.8536666665,115.6912,107.886066667,99.3496666666,97.5609333335,104.227666667,87.8048666666
211.79,92.9914,102.051333333,88.718,121.794866667,115.299266667,105.5557,105.042866667,111.0256,97.1795333334
212.17,83.0136666667,95.9817333334,79.5434,114.1552,104.109533333,97.3057666667,94.8858666667,105.1142,82.8309333333
212.55,81.1428666666,97.5238,79.4286666668,109.619,102.285733333,97.6666,96.2856666668,105.3334,82.857
212.92,85.8461999999,98.5639999999,78.0512666667,106.461666667,105.128,95.9487333333,101.743666667,104.615266667,83.5895333334
213.30,76.5218,87.5362000001,69.9518,92.8502666667,95.942,92.6087,89.6617333333,91.4975333332,77.7776666667
213.68,80.4506,83.6035333333,72.5226666667,87.5677333333,93.7837333333,94.7747666667,84.6847999999,92.3423333333,81.4412666667
214.06,83.4742000001,81.2208,73.9906666667,88.7324000001,88.4506666666,94.1783999999,81.4083999999,93.2394000001,85.8213999999
214.44,99.4046666667,89.0476666667,87.5000000001,102.738066667,97.9761333333,112.083366667,89.0476000001,115.118933333,97.4998666667
214.81,112.638933333,102.916666667,100.972266667,126.805533333,105.138933333,127.569366667,102.222333333,130.555533333,105.2778
215.19,160.4938,139.999866667,131.111066667,194.8148,142.716066667,177.407366667,145.432,186.4198,143.209933333
215.57,220.000066667,180.317466667,165.714266667,253.650733333,199.365066667,233.809533333,205.396933333,241.2698,214.6032
215.95,227.9366,184.761866667,152.698333333,256.825333333,198.412666667,235.8729,210.1588,243.174733334,227.3016
216.32,179.999866667,155.362466667,115.072466667,225.7972,161.159466667,194.9276,161.7392,198.2608,183.4782
216.70,238.148066667,210.740866667,159.2592,301.111133333,208.518666667,260.925866667,213.333333333,260.740733333,241.481333333
217.08,276.666666667,279.583333334,189.166666667,344.166666667,258.333333333,311.041666667,279.166666667,317.083333333,292.5
217.46,214.2856,228.888866667,178.412733333,283.492133333,226.984133333,256.190533333,247.3016,261.269733333,227.3014
217.83,232.5,275.0,207.083333333,354.583333333,263.75,301.666666667,305.833333333,289.583333333,268.75
218.21,122.857133333,154.7618,111.1904,194.523933333,156.428533333,169.5238,175.7142,172.142733333,150.9522
218.59,129.729666667,152.612666667,123.063066667,174.594466667,145.765733334,164.414266667,148.108,163.423333333,137.837866667
218.97,142.5926,160.0,136.2962,184.814866667,151.296333333,176.1112,154.2592,174.629733333,144.8148
219.34,159.411733333,174.313733334,157.451,201.7646,172.1568,199.7059,156.078333333,187.451066667,160.196266667
219.72,205.238133333,227.1428,193.809733333,238.095133333,218.3334,256.0714,192.857133333,245.714266667,210.952466667
220.10,260.634933333,286.666533333,230.158666667,292.0636,284.444533333,309.9999,254.2858,322.857133333,257.7778
220.47,4413.33333333,5026.66666667,3706.66666667,5260.0,4726.66666667,5313.33333333,4386.66666667,5920.0,4240.0
220.85,-148.1158,-173.623333333,-103.4782,-170.145,-163.768066666,-181.594133333,-136.231733333,-220.869466667,-148.985466667
221.23,-100.430133334,-113.9784,-49.8925333333,-98.7097333333,-113.548333333,-120.107566667,-84.7311999999,-151.3978,-95.4839333334
221.61,-93.3333333334,-102.916666667,-34.5833333333,-86.4583333333,-104.166666667,-107.604166667,-74.5833333334,-130.833333333,-90.6250000001
221.98,-50.3705333333,-78.1480666668,-4.07406666666,-57.5925333333,-78.8889333333,-75.2777333333,-56.1110666667,-86.4814666667,-69.6295999999
222.36,-61.8749999999,-103.125,-10.625,-71.4583333333,-101.458333333,-86.25,-75.2083333333,-102.708333333,-75.0
222.74,-39.4444,-82.4074000001,0.555533333326,-53.3334666667,-81.8517999999,-61.0184,-70.9258666667,-92.2222666667,-52.7778666666
223.11,4.39713333333,-29.6454666667,31.0638,-5.39006666667,-33.1914666667,-15.8155333333,-22.6950666667,-41.1348,-2.83686666666
223.49,18.9937333333,-8.67920000001,37.2326666667,9.05653333333,-12.7044,-3.77350000001,-3.39626666667,-15.9748,8.17613333334
223.87,11.9541333333,-37.2413333333,33.1034666667,-7.35626666667,-56.7817333333,-35.6320666667,-30.1148666667,-42.7585333333,-12.6436666667
224.24,-13.3332666668,-72.3809999999,49.5237333334,-39.0474666667,-130.476133333,-81.1904333333,-81.9047333334,-82.3810666666,-39.9999333333
224.62,-28.8888666665,-95.0000000002,11.6665333332,-49.4444666667,-177.777866667,-107.500066667,-120.0,-125.555533333,-71.1111333333
225.00,17.451,-12.1569333333,20.3923333333,7.05893333333,-34.7059333333,-14.9019666667,-13.1372666667,-22.3529333333,-3.33333333333
225.38,7.19999999993,-9.86666666666,3.73333333332,-0.799999999994,-40.5333333333,-29.2,-34.4,-45.6,-11.7333333333
225.75,26.1109333333,16.1112666667,25.1851333333,13.8889333333,-1.66673333333,-5.18530000002,-3.51860000001,-11.4814,10.3704
226.13,-2.06899999999,-1.37940000001,3.44819999998,-9.42533333334,-17.2414000001,-17.4713666667,-21.1494,-30.3448666667,-3.21846666666
226.51,-130.588133333,-99.2156666667,-121.9608,-167.058866667,-140.0,-133.137266667,-154.901933333,-156.862666667,-121.1764
226.88,-112.280733333,-95.7895333333,-99.9997999999,-151.579,-121.4036,-104.7369,-134.035133333,-133.333266667,-105.964866667
227.26,-41.7886666667,-33.4959333333,-31.057,-59.0243333333,-43.5772,-31.0569666667,-52.683,-52.683,-39.8375333333
227.64,-28.7654,-26.6666666667,-18.3950666667,-41.3580666667,-26.9136666667,-16.7283,-37.7778666667,-32.8395333333,-25.5556
228.01,-8.42606666667,-5.64806666667,2.87040000001,-22.2222,-1.01846666666,6.25003333333,-12.5926666666,-5.92593333334,-0.740733333334
228.39,-20.1708666667,-15.6410666667,-7.35053333332,-32.6496666667,-11.7093333333,-4.01719999999,-25.8975333333,-18.4616,-12.9914
228.76,-7.96300000001,-5.18513333332,0.617333333326,-17.5925333333,-3.33339999999,2.90123333333,-9.01233333333,-8.95073333333,-0.617066666674
229.14,-8.88886666668,-5.98293333333,-1.70933333333,-16.2393333333,-3.64666666667,3.78923333332,-7.74913333333,-9.80053333333,-1.76633333333
229.52,0.000133333334,0.4072,5.54706666666,-7.98979999999,2.59546666667,9.61833333335,1.47586666666,-1.67946666667,4.32566666667
229.89,3.05933333333,1.59820000001,4.97713333334,-3.4246,4.84019999999,10.822,3.47033333333,-0.9132,6.34693333333
230.27,4.21499999999,3.74186666666,6.62373333333,-0.171999999999,5.33340000001,11.0752666667,4.73113333333,-0.086000000002,6.92473333334
230.65,2.52033333333,3.9024,4.2276,0.569266666668,3.53653333335,9.57316666667,4.75606666666,-0.0811333333394,5.16266666668
231.02,1.18886666667,1.4438,0.424666666672,-2.208,-0.3396,6.94266666666,1.189,-2.37793333333,-0.76433333334
231.40,-6.09526666665,-9.33339999999,-10.5238666667,-11.6666,-12.2857333333,-3.7143,-8.71426666667,-13.8094666667,-13.1904666667
231.78,-2.66673333334,-4.57766666667,-8.08906666667,-7.28893333335,-8.71106666665,-0.55553333334,-2.53333333333,-7.91093333333,-8.53326666666
232.15,-2.75553333333,-5.24453333333,-5.46673333333,-5.86666666666,-9.77773333335,0.711099999992,-4.22213333333,-8.97786666666,-8.53340000001
232.53,0.379800000008,-1.9832,-0.590666666666,-1.22346666666,-8.1012,3.5232,0.211000000006,-7.17306666667,-5.35873333334
232.90,0.19826666666,0.873066666666,0.118933333334,1.94439999999,-6.94446666666,2.75786666665,-0.1984,-7.10313333333,-4.5636
233.28,1.36446666667,3.46973333333,2.76799999999,5.65306666666,-5.84779999999,4.26890000001,1.0138,-3.97666666667,-4.01553333333
233.66,-0.106800000006,2.95906666666,1.21206666666,4.88426666667,-5.45460000001,3.99279999999,0.677400000008,-4.70580000001,-3.77899999999
234.03,1.83333333334,4.5,2.76666666667,4.96666666667,-2.29999999999,5.78333333333,2.4,-1.8,-0.533333333342
234.41,-1.5182,0.560999999994,-1.51806666667,1.71606666667,-4.52139999999,2.0626,-0.957133333335,-5.90773333333,-1.84826666666
234.78,-2.5498,0.737399999999,-1.87406666667,1.4746,-4.73119999999,2.79573333333,-1.25946666666,-6.82033333333,-1.22900000001
235.16,2.10533333333,4.79539999999,3.5966,7.86539999999,0.964866666666,8.47946666667,3.53813333334,-1.98846666666,4.18120000001
235.54,2.86113333333,5.52759999999,3.44466666667,7.33333333333,1.91646666666,9.29173333333,4.61106666667,-0.277666666674,3.19446666667
235.91,3.67713333333,6.11113333333,3.33313333333,5.95253333334,2.22213333333,9.69586666667,2.5396,0.899466666673,2.61900000001
236.29,0.810533333332,0.418133333332,0.235200000001,1.38566666667,-1.28106666667,6.74503333334,-1.96066666667,-1.56846666667,-1.28106666667
236.66,-1.15933333333,-2.16073333333,-2.45046666667,-1.73933333333,-2.79306666667,5.01973333333,-4.55859999999,-4.13706666667,-3.24106666667
237.04,-1.27246666667,-2.76633333334,-3.7068,-4.42600000001,-3.23659999999,3.91419999999,-5.58786666667,-6.11333333333,-4.06646666667
237.41,-0.208333333331,-2.887,-2.4106,-2.47026666667,-1.99413333333,4.86606666666,-4.01793333334,-7.35126666667,-2.73813333334
237.79,1.20453333333,-2.10086666667,0.280133333332,-0.868399999999,-0.868333333335,6.16246666666,-1.54066666667,-6.44266666666,-1.31673333334
238.17,0.510666666666,-1.13473333333,1.2198,0.028266666666,0.141866666675,6.92203333333,-0.198733333333,-5.04966666667,-0.595800000001
238.54,-2.8494,-3.4302,-2.877,-4.26013333333,-3.7622,2.9736,-4.09406666667,-9.15646666667,-3.62366666667
238.92,-1.2956,-2.99593333333,-1.99726666667,-3.53573333334,-2.0782,3.7922,-3.23893333333,-7.42239999999,-1.34966666667
239.29,-5.1884,-7.69873333333,-4.82553333334,-6.35993333333,-4.43520000001,0.0696333333334,-4.68606666666,-11.1018666667,-3.76566666667
239.67,-3.07686666667,-3.64106666667,-2.07686666667,-4.48726666667,-2.28206666667,2.03846666667,-2.56413333333,-9.3334,-1.58966666666
240.04,3.8384,4.04026666667,5.58926666667,2.85066666667,5.29746666666,8.29406666667,4.78113333333,-1.4142,4.8038
240.42,5.6322,5.51733333334,7.08806666667,5.67046666667,6.95406666665,10.5650666667,6.45573333334,2.01153333333,7.22206666667
240.79,7.19506666667,7.03966666667,7.11753333334,6.3248,7.42819999999,11.0178666667,6.91533333334,3.77653333333,8.32953333333
241.17,7.44786666667,8.06726666667,6.66659999999,6.28946666667,6.96286666667,10.8349666667,6.57233333333,3.86526666667,8.61939999999
241.54,7.9152,7.89166666667,6.98473333333,6.5842,7.32626666667,10.1943666667,6.1248,3.58053333333,8.75133333335
241.92,7.55553333333,7.3438,6.709,6.0424,7.0582,9.63486666667,6.0106,3.28053333333,8.40213333334
242.29,7.63,8.3644,6.71433333333,6.85746666667,6.7144,10.0334333333,6.228,3.3,8.88886666668
242.67,8.21566666668,9.58500000002,7.009,7.91606666667,7.11173333333,10.7917666667,6.795,4.72393333333,9.79033333333
243.05,8.22033333333,9.59306666666,6.77346666667,8.11346666667,7.26666666667,11.0070666667,7.17606666667,5.00626666667,10.0287333333
243.42,5.82313333333,7.10033333333,4.57033333333,5.91966666667,4.65066666667,8.8794,4.78713333333,2.69886666667,7.97593333333
243.80,4.35193333333,5.67233333333,3.34146666667,4.58013333333,2.90946666667,7.45706666667,3.2844,1.39366666667,6.0308
244.17,1.87893333333,3.74093333333,1.78473333334,2.6684,0.892333333333,5.61146666667,1.12393333333,-0.8066,3.4234
244.55,2.35593333333,4.32806666667,2.80106666667,3.30713333333,1.9458,6.36993333333,2.3474,0.375133333333,4.206
244.92,2.86693333333,4.8878,3.00506666667,3.82553333333,2.14166666666,6.72706666667,3.34186666667,1.19173333333,4.2572
245.30,4.0532,5.58466666667,3.70373333333,4.769,2.988,8.17306666667,4.18653333333,2.22226666667,4.89393333333
245.67,2.71653333333,3.91273333333,2.1896,3.53653333333,1.73806666667,6.92616666667,3.15286666667,1.40713333333,3.22046666666
246.05,2.46946666666,3.313,1.65286666667,2.65313333333,1.20413333333,6.55783333333,2.33333333333,0.639466666666,2.72786666667
246.42,2.37033333333,3.19406666666,1.49933333333,2.70233333333,1.02526666667,6.1777,2.32293333333,0.616333333334,2.5658
246.79,3.224,4.2172,2.1736,3.718,1.9656,7.2098,3.536,1.6068,3.5204
247.17,3.62,4.725,2.49193333333,4.0546,2.37626666667,7.64006666667,3.96186666667,1.8076,4.1376
247.54,4.73146666667,5.85993333333,3.4608,5.12433333333,3.3312,8.50789999999,4.86933333333,3.03046666667,5.3584
247.92,4.66346666667,5.81153333333,3.25013333333,5.00013333333,3.11966666667,8.21063333334,4.6438,2.79106666667,5.02
248.29,4.52026666667,5.73846666667,3.07406666667,5.01533333333,2.9968,8.03200000001,4.5512,2.72986666667,5.062
248.67,4.26726666667,5.7874,2.99333333333,4.8612,2.6222,7.6514,4.3456,2.751,4.88093333333
249.04,4.48973333333,5.9506,3.25093333333,4.96293333333,2.72013333333,7.86016666667,4.55553333333,2.77766666667,4.98353333333
249.42,4.90326666667,6.47319999999,3.5576,5.47493333334,3.11766666667,8.21913333334,5.0968,3.0124,5.26386666667
249.79,5.67033333333,7.32126666667,4.35633333333,6.2142,3.89906666667,8.99409999999,5.69426666667,3.57626666666,6.1516
250.17,6.08013333333,7.61746666666,5.0608,6.30746666667,4.3212,9.16536666666,5.7792,4.17853333333,6.68266666667
250.54,6.12946666667,7.52166666667,5.00286666667,6.141,4.2924,8.80136666667,5.67873333333,4.22886666667,6.89206666667
250.92,5.71853333333,6.8834,4.21933333333,5.52666666667,3.4944,8.37049999999,5.3036,3.5626,6.35686666667
251.29,6.0332,7.07606666667,4.2546,5.86053333333,3.7812,8.98926666666,5.51493333334,3.96046666667,6.79453333333
251.66,5.6728,6.84093333333,4.22066666667,5.176,3.3688,8.83186666666,4.87253333333,3.45913333333,6.70533333333
252.04,5.05946666667,6.101,3.66433333333,4.53226666667,2.86726666667,8.24813333334,4.31373333333,2.6936,6.1716
252.41,5.13426666667,6.10466666667,3.69713333333,4.29106666667,3.11633333333,7.92123333334,3.97193333333,2.93086666667,6.258
252.79,4.76,5.60533333333,3.64793333333,4.01013333333,2.87893333333,7.48976666667,3.9022,2.72006666667,6.2028
253.16,4.95406666667,5.54186666667,3.6652,4.01893333333,3.071,7.65243333333,4.3918,2.71713333333,6.17373333333
253.54,5.08273333333,5.62806666667,3.3106,4.40766666667,2.66146666667,7.56563333333,4.51146666666,2.11613333333,6.10846666667
253.91,6.05406666667,6.56013333334,4.24253333333,5.43453333333,3.33006666667,8.66146666667,5.58786666667,2.80386666667,6.73346666667
254.28,7.03413333333,7.58573333334,5.2386,6.41213333333,4.33373333334,9.66773333335,6.73026666667,3.93066666667,8.10186666667
254.66,6.90839999999,7.54266666667,5.60213333333,6.5612,4.38666666667,9.5282,6.8706,4.01666666667,8.86366666666
255.03,8.02259999999,8.37773333333,6.44893333333,7.65933333334,5.33493333333,10.6458333333,7.8612,5.32686666667,9.89506666667
255.41,9.64999999999,9.99166666668,7.975,9.50833333333,6.925,12.4,9.79166666665,7.00833333333,11.95
255.78,9.20386666667,9.71473333333,7.56073333333,9.69780000001,6.58153333333,12.1923333333,9.80833333333,6.7434,12.1327333333
256.15,8.50893333334,9.29753333333,6.5896,9.34013333333,5.904,11.7523666667,8.77466666666,6.78673333333,11.3367333334
256.53,7.9568,8.91373333333,6.3256,8.97220000001,5.47653333334,11.1943333333,8.07326666666,7.0414,10.4454
256.90,7.21246666666,8.35873333333,5.59833333333,7.97653333333,5.09166666667,10.8342,7.6024,6.4016,9.30220000001
257.28,7.06986666667,8.76886666667,5.71633333333,8.12793333333,5.7956,10.6946,7.71053333333,6.81766666667,9.74073333333
257.65,6.2924,7.8994,4.9952,7.09906666667,5.2404,9.73216666667,6.75713333334,5.84053333333,8.75753333334
258.02,6.10193333333,7.46653333333,4.79313333333,6.6612,4.73146666667,9.34289999999,6.29213333333,5.00553333333,8.08173333333
258.40,5.66366666667,6.86533333333,4.48093333333,6.203,4.2346,8.83613333333,5.99473333333,4.2962,7.42366666666
258.77,5.03446666667,6.15626666667,3.84386666667,5.4274,3.45473333333,8.18340000001,5.0344,3.76666666667,6.45193333333
259.15,5.25713333333,6.26793333333,3.88953333333,5.40746666667,3.38573333333,8.34030000001,5.10653333333,3.935,6.35533333333
259.52,5.4622,6.30886666667,4.0336,5.44046666667,3.4672,8.45469999999,5.3376,4.049,6.4612
259.89,5.4326,6.2648,3.81653333333,5.48373333333,3.29493333333,8.43946666667,5.35846666667,3.9732,6.58966666667
260.27,5.74806666667,6.5006,4.23733333333,5.88986666666,3.65073333333,8.69680000001,5.6142,4.36326666667,6.9666
260.64,5.31313333333,5.879,3.72206666667,5.425,3.14833333333,8.25893333333,5.16966666666,3.92546666667,6.40066666667
261.01,5.337,5.94726666667,3.7942,5.44613333333,3.036,8.26126666667,5.19413333333,4.08773333333,6.36026666667
261.39,5.44166666667,6.18106666667,3.78433333333,5.47906666667,3.17586666667,8.28279999999,5.25206666667,4.31806666667,6.2556
261.76,5.49433333333,6.23373333333,3.7622,5.48006666667,3.256,8.28906666666,5.2046,4.44833333333,6.21673333333
262.13,5.48333333333,6.2024,3.79,5.544,3.35313333333,8.20356666667,5.34366666667,4.31193333333,6.2206
