wavelength,Back_TanVasf,Belly_TanVasf,Breast_TanVasf,Crissum_TanVasf,Crown_TanVasf,DorTail_TanVasf,Patch10_TanVasf,Patch11_TanVasf,Rump_TanVasf,Throat_TanVasf,WingTip_TanVasf
185.25,-229.347916667,-242.753666667,-221.376833333,-325.724583333,-291.30425,-289.855166667,-181.521833333,-303.623083333,-268.115866667,-352.8985,-322.826166667
185.63,-192.499916667,-198.611166667,-175.000083334,-254.722166667,-241.944416667,-222.500083333,-157.499916667,-246.388916666,-224.66665,-279.999916667,-268.888833333
186.01,-469.047666666,-491.0715,-419.642916667,-588.095166667,-574.999916666,-546.428666667,-390.47625,-574.404666667,-525.7143,-697.023749999,-630.357
186.39,-228.333333333,-236.666666667,-186.333333333,-267.666666667,-266.0,-250.666666667,-169.666666667,-262.333333334,-240.8,-351.0,-308.333333333
186.77,-98.9835833333,-101.626,-85.1625833333,-123.170833333,-121.747833333,-114.837416667,-57.3170833333,-113.82125,-110.6097,-170.934916667,-147.1545
187.15,-61.3333333334,-65.1666666668,-51.0,-73.3333333334,-71.8333333335,-68.8333333331,-15.0,-55.8333333334,-69.2333333333,-121.166666667,-86.6666666666
187.53,-87.4030833332,-94.5736666668,-65.8914166668,-93.7984999998,-93.2169166666,-88.3720833333,-20.93025,-78.1008333332,-90.6589333334,-154.06975,-107.1705
187.91,-87.9385833333,-105.70175,-61.6227500001,-101.0965,-102.412333333,-92.7631666665,-18.421,-70.6139166667,-91.3596666666,-165.131583333,-105.4825
188.29,-60.243,-71.7014166667,-31.2500833334,-72.2223333335,-69.2709166666,-62.6735833335,-0.868083333342,-36.1111666667,-64.9305833332,-117.01375,-64.9306666667
188.67,-78.7037500001,-90.5555833333,-36.1111666668,-86.1111666668,-89.8148333332,-75.5555833332,-7.59258333323,-40.5556666667,-76.2222166666,-130.370333333,-81.1110833332
189.05,-47.0898333334,-55.1587499999,-13.0951666666,-47.22225,-54.7618333332,-39.55025,8.33333333335,-12.1693333333,-35.1852333333,-80.2909166667,-42.8570833333
189.43,-42.4730000001,-52.6881666667,-5.10749999992,-38.9785,-45.6990833333,-31.1829999999,14.6505,1.20966666667,-28.46775,-75.6721666666,-40.4570833332
189.81,-26.3888333333,-36.61625,5.80808333328,-27.6516666667,-27.5252499999,-15.0253333334,28.788,17.92925,-12.8283833334,-59.9747499999,-20.4545
190.19,-14.3410833333,-15.9884166667,13.4689166667,-17.63575,-12.403,-2.22866666668,31.2984166666,22.9650833333,1.78278333335,-37.0155,-8.13958333335
190.57,-24.1109999999,-18.2220833333,16.22225,-25.7778333334,-17.7777500001,-9.88891666657,38.66675,25.4443333333,-6.0444,-47.22225,-11.6665833334
190.95,-31.0810833332,-19.25675,21.3964166666,-26.0136666666,-22.1846666666,-12.2747500001,38.7385833333,26.5764166667,-11.6667666667,-49.8873333332,-12.7251666667
191.33,-33.7963333332,-20.5556666667,9.16675,-25.8333333333,-27.9628333332,-20.4629166667,23.2406666667,15.74075,-14.9999666666,-43.5184166667,-20.4629166667
191.71,-27.3100833333,-11.4685833333,8.66333333335,-18.9768333334,-21.5346666666,-15.1815,23.51475,22.35975,-8.94378333333,-31.0230833333,-18.482
192.09,-38.09525,-19.3025,-3.57141666665,-27.9763333333,-28.23125,-26.0204166667,14.5409166667,13.9455833333,-20.7142666667,-40.47625,-34.5239166666
192.47,-52.1317500001,-30.2325833333,-17.6358333333,-40.60075,-40.98825,-41.9573333333,5.13566666668,11.2404166667,-33.75975,-53.1975000001,-50.77525
192.85,-57.6549166668,-34.3991666667,-27.5194166668,-43.0231666667,-45.155,-50.3875833334,-4.94183333335,6.68616666665,-40.6782333334,-56.3953333332,-52.3255833333
193.23,-50.7490833334,-30.337,-19.7566666667,-34.26975,-36.9850833332,-41.8539166666,2.99633333333,8.70783333335,-39.1010833333,-47.6590833333,-46.25475
193.61,-48.5348333333,-22.7106666667,-15.2014166667,-28.5713333334,-31.4103333333,-36.1722500001,11.0805833333,11.2636666667,-29.5237166667,-39.0109999999,-34.79875
193.99,-67.6667500001,-33.2221666667,-25.0,-39.6665833333,-46.1110833334,-55.3334166667,6.00008333335,5.88900000002,-36.2666666667,-52.2220833333,-51.5555
194.37,-94.3965833332,-51.1495,-44.1089999999,-60.7760000001,-66.2356666667,-83.7644166668,-2.58608333332,3.44833333332,-58.6494500001,-69.1093333333,-66.092
194.75,-91.2569166666,-58.0600833333,-47.8140833333,-63.7978333334,-64.3443333333,-80.3278333332,-12.8415833333,-2.45900000001,-60.5738166667,-70.9018333333,-70.3550833333
195.13,-95.5357500001,-63.5418333333,-54.3155833333,-75.2977500001,-69.0475833333,-86.6071666668,-14.5833333333,-5.95225000002,-65.2678499999,-71.8749166667,-79.9105833332
195.51,-98.4043333334,-69.5035,-52.12775,-84.0425833334,-70.0354166666,-92.9078333333,-3.54616666665,3.54616666668,-65.3191999999,-73.2269999999,-81.3829166667
195.89,-215.1235,-173.148083333,-133.33325,-195.679,-183.02475,-219.4445,-66.0492499999,-54.0124166667,-158.64205,-180.55575,-193.209833333
196.27,-139.414416667,-102.027,-80.1801666666,-122.973,-121.847,-139.189166667,-29.7298333333,-20.0451666667,-94.4595833332,-108.558583333,-120.720916667
196.65,-85.2202499999,-64.7798333333,-44.9685833333,-67.2955,-75.9434166667,-86.1635000001,-12.2641666667,-10.3773333333,-56.8554500002,-68.7107499999,-78.7734999999
