wavelength,Back_ParNigm,Belly_ParNigm,Breast_ParNigm,Crissum_ParNigm,Crown_ParNigm,DorTail_ParNigm,Patch10_ParNigm,Rump_ParNigm,Throat_ParNigm,WingTip_ParNigm
530.39,5.01966666666,47.6415833333,43.9156666666,42.4201666667,4.38383333333,7.76958333333,6.56708333334,5.7115,4.12433333333,7.193
530.73,5.0095,47.6855833333,43.9463333333,42.4578333333,4.381,7.79216666667,6.56525,5.71783333333,4.13,7.197
531.08,5.017,47.6654166667,43.9585,42.4453333333,4.39616666666,7.82483333334,6.57783333334,5.726,4.148,7.206
531.42,5.03633333333,47.6755833334,43.9821666667,42.4475,4.421,7.83591666666,6.586,5.74316666666,4.18,7.22916666666
531.77,5.04733333333,47.6854166666,43.9753333334,42.4425,4.43266666666,7.82925,6.57958333334,5.76566666667,4.20433333333,7.249
532.11,5.05783333334,47.7119166666,44.0183333333,42.4455,4.44366666666,7.83916666667,6.60533333334,5.7685,4.22033333334,7.2565
532.46,5.06383333333,47.7129166667,44.0571666667,42.4595,4.47016666667,7.85116666666,6.62408333334,5.776,4.2405,7.26133333334
532.80,5.03533333333,47.7363333334,44.0585,42.4878333333,4.45983333333,7.82041666667,6.60458333334,5.75933333333,4.21566666667,7.23583333334
533.15,5.01233333333,47.7770833333,44.0396666666,42.4998333333,4.45683333333,7.7955,6.57875,5.74716666667,4.19666666667,7.20933333333
533.49,5.01083333334,47.8005,44.035,42.4778333333,4.44566666666,7.80833333333,6.5875,5.739,4.19683333334,7.196
533.84,5.015,47.81525,44.0585,42.4943333333,4.4515,7.82175,6.60558333333,5.74966666667,4.20216666666,7.18833333333
534.18,5.01733333333,47.8268333334,44.0656666667,42.492,4.4605,7.8135,6.61275,5.73033333334,4.20566666667,7.19833333333
534.52,5.00083333334,47.78975,43.981,42.4616666667,4.453,7.79341666666,6.60875,5.69733333334,4.19816666667,7.167
534.87,5.00116666667,47.84475,44.0095,42.5086666667,4.46216666667,7.78358333334,6.60533333334,5.6885,4.20083333333,7.15883333334
535.21,4.99216666666,47.8765,44.0031666667,42.5438333334,4.4705,7.801,6.591,5.69416666666,4.18816666667,7.1515
535.56,4.98966666667,47.93175,44.026,42.5818333333,4.4695,7.82425,6.599,5.68133333334,4.19433333333,7.14533333333
535.90,4.9955,47.9846666666,44.0811666667,42.6448333334,4.50416666667,7.84291666666,6.592,5.684,4.18633333333,7.16866666667
536.25,4.98416666667,48.03125,44.1215,42.6756666667,4.49966666667,7.85333333333,6.56775,5.685,4.17516666667,7.155
536.59,5.02216666667,48.0500833334,44.1496666667,42.6998333333,4.51933333334,7.89258333334,6.58508333333,5.709,4.21183333333,7.17633333334
536.93,5.0275,48.0364166666,44.2263333333,42.7416666667,4.52116666666,7.9135,6.59083333334,5.7015,4.23233333333,7.20366666667
537.28,5.01833333333,48.063,44.287,42.7691666667,4.54583333333,7.91333333334,6.583,5.72466666667,4.23283333333,7.22133333334
537.62,4.99416666667,48.0644166667,44.3211666667,42.7701666666,4.54516666666,7.90141666666,6.56891666667,5.7205,4.22933333333,7.241
537.97,4.984,48.065,44.3355,42.8026666667,4.53666666666,7.89925,6.54925,5.70783333333,4.2115,7.2275
538.31,5.0025,48.1039166666,44.457,42.8278333333,4.564,7.94016666667,6.54316666666,5.74333333334,4.23216666666,7.29283333334
538.65,4.9895,48.0629166666,44.4333333333,42.8278333333,4.55733333334,7.95133333334,6.53925,5.74633333334,4.223,7.31233333333
539.00,4.99616666666,48.0785833333,44.478,42.8138333334,4.585,7.96208333334,6.56325,5.7595,4.23333333334,7.32566666667
539.34,5.00283333333,48.0628333333,44.4938333333,42.7905,4.574,7.9475,6.56291666667,5.752,4.22666666667,7.339
539.69,5.0025,47.987,44.4,42.7101666666,4.5715,7.92308333334,6.54108333334,5.75683333333,4.244,7.31216666667
540.03,4.98583333333,47.9281666667,44.3605,42.6643333334,4.54333333334,7.87691666667,6.52483333333,5.72366666667,4.231,7.31616666666
540.37,4.9685,47.8926666667,44.3093333333,42.64,4.54416666667,7.852,6.53041666667,5.72133333333,4.217,7.3125
540.72,4.99083333334,47.9444166666,44.3458333333,42.6626666666,4.56766666666,7.85041666666,6.5625,5.73933333334,4.24316666667,7.32866666666
541.06,4.99766666667,47.941,44.3646666666,42.678,4.563,7.85283333333,6.56491666667,5.713,4.24883333333,7.32933333333
541.40,5.00666666667,47.9868333333,44.3648333333,42.7211666666,4.583,7.86658333333,6.572,5.71566666667,4.25933333334,7.343
541.75,5.01733333333,47.9710833334,44.365,42.6866666666,4.587,7.86475,6.57341666667,5.73383333333,4.28516666667,7.35733333334
542.09,5.02433333333,47.9696666666,44.386,42.6826666667,4.5875,7.85641666666,6.57883333333,5.73466666667,4.293,7.34533333334
542.43,5.03333333333,48.0039166666,44.4688333333,42.7255,4.60783333333,7.88033333333,6.6,5.74833333333,4.32366666666,7.35033333333
542.78,5.01766666666,48.0083333333,44.5265,42.7483333334,4.58766666667,7.86583333333,6.59733333333,5.72816666667,4.32166666667,7.33666666666
543.12,5.01916666667,48.0348333334,44.5961666667,42.8268333333,4.607,7.87608333333,6.59491666667,5.737,4.33416666667,7.35133333333
543.46,5.00083333333,48.1083333334,44.6976666666,42.8998333334,4.60916666667,7.90641666667,6.60825,5.73616666667,4.34033333333,7.37166666666
543.81,5.011,48.2081666667,44.8261666666,43.0055,4.63783333334,7.95616666667,6.64725,5.75133333333,4.36916666667,7.39383333333
544.15,5.01733333333,48.28675,44.9885,43.0825,4.666,7.9915,6.65483333334,5.7565,4.39233333333,7.4085
544.49,5.0355,48.25925,45.015,43.0981666667,4.68533333333,8.04183333334,6.65858333334,5.77366666667,4.39216666667,7.42216666667
544.84,5.0515,48.35475,45.1425,43.1926666666,4.72466666666,8.09883333333,6.685,5.82166666666,4.43366666667,7.46866666666
545.18,5.075,48.4081666667,45.1971666667,43.212,4.75666666667,8.14183333334,6.70183333334,5.84466666667,4.468,7.48683333334
545.52,5.09683333333,48.5194166667,45.2935,43.3366666667,4.79383333333,8.19525,6.72975,5.86133333333,4.48016666667,7.5015
545.87,5.09333333333,48.6061666666,45.3471666666,43.4223333333,4.8125,8.207,6.72108333333,5.85966666666,4.48483333334,7.50533333333
546.21,5.09266666667,48.6553333334,45.3136666667,43.4283333333,4.79033333333,8.16333333334,6.70125,5.83566666667,4.47033333334,7.49166666667
546.55,5.114,48.6874166667,45.2936666667,43.4658333333,4.83583333333,8.18533333333,6.71475,5.86466666667,4.49166666667,7.514
546.90,5.11116666667,48.7091666667,45.2828333333,43.4651666667,4.8355,8.202,6.71841666667,5.86633333333,4.5065,7.519
547.24,5.127,48.6919166667,45.2725,43.479,4.84133333333,8.177,6.7235,5.86433333334,4.51866666667,7.5035
547.58,5.166,48.67675,45.2325,43.4415,4.8695,8.173,6.70791666666,5.88783333333,4.52683333333,7.52166666667
