wavelength,Back_CerOlif,Belly_CerOlif,Breast_CerOlif,Crissum_CerOlif,Crown_CerOlif,DorTail_CerOlif,Rump_CerOlif,Throat_CerOlif,WingTip_CerOlif
189.05,4.36511111123,-40.873,63.4921111112,32.1428888888,-49.2063333332,23.4125555555,-56.746111111,-21.0318333333,-82.5397777778
189.43,-4.54555555557,-78.282888889,71.2121111111,31.8182222222,-87.3736666667,3.53544444433,-82.3234444443,-44.6971111111,-100.505222222
189.81,-26.6666666667,-198.888888889,57.7777777777,7.77777777777,-256.666666667,-25.5555555558,-202.222222222,-170.555555556,-248.888888889
190.19,-33.3333333333,-162.962888889,34.074,-31.8516666668,-185.185333333,-27.4074444443,-159.259111111,-97.7779444446,-186.666777778
190.57,-296.296333333,-601.851888889,-133.333444444,-344.444333333,-655.555555556,-225.925888889,-631.481333335,-383.333166667,-650.000111111
190.95,294.949555556,531.313222222,284.848444444,370.707,530.302888889,289.899111111,517.171777778,383.838444444,508.080777778
191.33,296.296333333,608.642,328.395,438.271666667,614.814777778,301.234333334,637.037,437.037166667,608.642
191.71,104.166666667,286.111111111,138.194444444,195.833333334,280.555555555,106.25,297.916666666,179.166666667,297.222222222
192.09,72.5146666667,253.801222222,115.204777778,159.649111111,217.543777778,76.0233333334,288.888777778,119.006055555,246.783666667
192.47,75.1461111112,170.760111111,112.280666667,136.842111111,154.093666667,75.7310000002,184.503,102.339166667,163.742888889
192.85,52.2633333333,211.111222222,131.687222222,148.559444445,182.304555555,74.074111111,224.691222222,119.958777778,204.115333333
193.23,32.5104444444,204.938111111,125.925888889,134.156444444,160.082333334,78.1892222222,200.823111111,93.21,168.313
193.61,31.746,400.0,189.682555555,242.063444444,315.079333333,166.666777778,374.603111111,163.888888889,314.285666667
193.99,95.5555555557,1080.0,617.777777778,699.999999999,944.444444443,682.222222222,1144.44444444,465.555555556,1051.11111111
194.37,291.666666666,1300.0,813.888888888,908.333333333,1358.33333333,905.555555557,1338.88888889,700.000000001,1322.22222222
194.75,-41.2695555557,-696.825444445,-380.952444445,-479.365,-661.904666667,-431.746111111,-626.984222222,-350.793555555,-641.269999999
195.13,-61.1111111112,603.703666666,333.333222222,375.925888889,596.296333333,435.185222222,488.888888889,263.888944444,551.85188889
