wavelength,Back_TacSurm,Belly_TacSurm,Breast_TacSurm,Crissum_TacSurm,Crown_TacSurm,DorTail_TacSurm,Patch10_TacSurm,Patch11_TacSurm,Rump_TacSurm,Throat_TacSurm,WingTip_TacSurm
742.76,4.2098,5.38006666667,5.1952,6.3053,42.9868,8.37133333333,54.5804,3.49933333333,43.0992,5.76933333333,10.4124666667
743.07,4.26513333333,5.40566666667,5.1712,6.21539,43.185,8.43433333333,54.7885333333,3.52646666667,43.2542,5.794,10.3382666667
743.39,4.25833333333,5.43986666667,5.20813333333,6.15463,43.3357333333,8.55726666667,54.7355333333,3.4908,43.3602666667,5.8632,10.2296
743.70,4.2878,5.43466666666,5.22373333333,6.27497666667,43.8334666667,8.66259999999,55.4186,3.6316,43.9184,5.91193333333,10.3187333333
744.02,4.41466666667,5.60833333333,5.41746666667,6.44621666667,43.9036666667,8.73699999999,55.3669333333,3.80953333333,43.9936666667,6.00426666667,10.4925333333
744.34,4.25673333333,5.57106666667,5.29906666667,6.34135,43.9567333333,8.71133333332,55.4408,3.7776,44.0078666667,5.99913333333,10.4094
744.65,4.52586666667,5.78406666667,5.4976,6.44732333333,44.3192,8.84746666667,55.8145333333,4.03993333333,44.3356,6.169,10.5259333333
744.97,4.80433333333,6.02933333333,5.69806666667,6.71654,44.177,9.04446666667,55.4987333333,4.28633333333,44.1768666667,6.40506666667,10.7644666667
745.28,4.7274,5.9662,5.77346666667,6.72134666666,44.3770666667,9.12786666665,55.7498,4.32773333333,44.4452,6.37053333333,10.7710666667
745.60,4.88426666667,6.0176,5.9066,6.89396666667,44.6766666667,9.24693333333,55.9017333333,4.37433333334,44.7803333333,6.5108,10.9727333333
745.91,5.01053333333,6.04473333333,6.0848,6.92588333333,44.8079333334,9.29806666668,55.9222666667,4.49706666667,44.8244,6.63366666667,11.0812
746.23,4.55186666667,5.65466666667,5.7286,6.49184666666,45.0556,8.9128,56.2525333334,4.15573333333,44.9742,6.35866666667,10.8437333333
746.55,4.56753333333,5.85493333333,5.9336,6.67838666667,45.0958,9.11573333333,56.4512,4.31046666667,45.1506,6.59526666667,10.9889333333
746.86,4.7712,6.0736,6.2224,7.08587333333,45.0645333333,9.32293333333,56.3653333333,4.66033333333,45.1472,6.82266666667,11.2726
