wavelength,Back_DigBarm,Belly_DigBarm,Breast_DigBarm,Crissum_DigBarm,Crown_DigBarm,DorTail_DigBarm,Rump_DigBarm,Throat_DigBarm,WingTip_DigBarm
203.47,69.079,63.2310833333,70.3946666667,82.8215000001,61.5496666667,67.69,78.070125,85.4532499999,79.8975833333
203.85,62.8654166666,62.0614166666,65.7894166666,80.6285833334,58.62575,63.45025,73.6477083334,79.5320833333,76.9005833333
204.22,56.0145,51.4494166666,55.6521666667,71.0144166666,47.8261666667,56.59425,63.732,72.5361666668,67.8985
204.60,56.9571666667,54.893,53.9755,71.2536666667,44.80125,57.79825,66.5901666667,74.3883333334,72.8593333333
204.98,54.3388333333,53.0303333333,54.5455,66.1845833333,44.0770833333,53.9255,64.7037916667,74.3111666667,71.832
205.36,66.1458333333,66.7535833333,63.97575,80.2950833333,52.257,61.0243333333,72.5693333333,87.5000000001,87.3264166667
205.74,79.7137499998,86.0270000001,74.8315833335,95.1176666666,67.3399166667,72.3064166666,85.4799166666,100.505,100.757583333
206.12,108.669916667,115.32,104.461416667,116.414,96.8011666666,95.2020833334,113.089375,123.148166667,127.272666667
206.50,109.16675,112.57575,99.0151666667,115.757583333,95.1515833333,96.5151666668,110.189458333,121.66675,123.257666667
206.87,106.560416667,116.578,96.8972499999,115.868833333,91.9326666667,87.9433333332,107.313833333,126.241083333,127.393583333
207.25,104.427,111.024333333,92.2741666666,107.72575,86.97925,82.7256666668,98.7847083332,118.055583333,116.6665
207.63,111.877416667,121.934916667,105.1725,120.593916666,99.7127500001,94.0613333333,115.565083333,134.770166667,130.363916667
208.01,116.087916667,134.143666667,105.324083333,130.324083333,105.67125,95.7174999999,119.733833333,150.694416667,137.847083333
208.39,128.43125,159.681416667,127.573666667,158.08825,124.8775,112.377583333,137.193583333,171.568666667,165.808916667
208.77,121.614416667,156.24975,130.468583333,158.333083333,126.301916667,102.473916667,135.742,167.96875,164.32275
209.14,151.0,199.666666667,159.0,199.5,155.833333333,126.5,160.833333333,199.666666667,201.833333333
209.52,138.0555,179.999916667,155.277833333,180.000166667,151.666666667,127.500083333,154.236125,189.16675,182.222333333
209.90,136.217916667,170.993583333,152.403916667,170.192333333,142.307916667,126.442333334,150.961416667,189.1025,176.282083333
