wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
338.67,4.96273333333,5.26633333333,4.5244,5.20733333333,4.8722,6.2455,26.1948666667,5.96206666667,3.8906,8.36986666667
339.04,5.0602,5.33913333334,4.6008,5.25726666667,4.92766666667,6.29993333333,26.1858666667,6.00053333334,3.93453333333,8.37053333334
339.40,5.13766666667,5.39606666667,4.661,5.3136,4.97666666667,6.38333333333,26.3005333334,6.0924,4.02393333333,8.44093333333
339.77,5.14946666667,5.37073333333,4.63826666667,5.26193333333,4.9368,6.3545,26.2558,6.06933333333,4.014,8.39940000001
340.14,5.15513333333,5.35013333333,4.6044,5.2126,4.9678,6.40906666667,26.2574666667,6.0998,4.00893333333,8.37146666666
340.50,5.0214,5.2524,4.55393333333,5.14173333334,4.8192,6.27296666667,26.3535333333,6.0138,3.90126666667,8.26500000001
340.87,4.84873333333,5.07,4.3894,4.903,4.69126666667,6.07803333334,26.3116,5.82086666667,3.7268,8.09713333333
341.23,4.8918,5.05406666667,4.4166,4.9152,4.6758,6.04396666667,26.4469333333,5.85433333333,3.76673333333,8.14299999999
341.60,4.81846666667,4.98226666667,4.28953333333,4.87706666666,4.53806666667,5.9297,26.42,5.73366666667,3.70486666667,8.05873333333
341.96,4.8198,5.00973333333,4.28173333333,4.89086666667,4.51153333334,5.91823333333,26.5724666667,5.74166666667,3.70213333333,8.08253333334
342.33,4.76426666667,4.9362,4.2372,4.8644,4.46266666667,5.86183333333,26.5666,5.68593333333,3.5956,8.01633333333
342.70,4.69166666667,4.88613333333,4.1594,4.74006666667,4.3756,5.76746666667,26.5366666667,5.595,3.47146666667,7.99453333333
343.06,4.46906666667,4.70586666667,3.99233333333,4.5466,4.19313333333,5.5984,26.5614666666,5.40333333333,3.28506666667,7.83373333333
343.43,4.37153333333,4.63213333333,3.89606666667,4.433,4.0968,5.46936666667,26.4964,5.29193333333,3.1758,7.6956
343.79,4.42073333333,4.73486666667,3.96546666667,4.53886666667,4.14266666667,5.5031,26.6649333333,5.38706666667,3.19593333333,7.79386666667
344.16,4.52166666667,4.83473333333,4.0726,4.6544,4.21793333333,5.5558,26.8882666667,5.43806666667,3.27553333334,7.91046666667
344.52,4.5618,4.819,4.08993333333,4.67726666667,4.254,5.54873333333,26.9271333333,5.4316,3.3192,7.93266666666
344.89,4.49306666667,4.7382,4.033,4.62706666667,4.1088,5.5326,26.9266666667,5.3692,3.26366666667,7.8564
345.25,4.3724,4.6208,3.8832,4.48946666667,3.96486666667,5.47426666667,26.8667333333,5.21886666667,3.14306666667,7.69846666667
345.62,4.42553333333,4.685,3.9348,4.55546666667,4.0434,5.55543333333,27.0114666667,5.28193333333,3.21953333333,7.7602
345.99,4.3604,4.6142,3.87,4.47746666667,3.97026666667,5.46343333333,26.9946,5.19966666667,3.13013333333,7.66826666667
346.35,4.29053333333,4.59713333333,3.77646666667,4.43346666667,3.9396,5.36873333333,27.0892,5.15426666667,3.10193333333,7.61386666667
346.72,4.224,4.53846666667,3.6916,4.38773333333,3.90313333333,5.29676666667,27.1249333333,5.0864,3.07106666667,7.5306
