wavelength,Back_TanRuef,Belly_TanRuef,Breast_TanRuef,Crissum_TanRuef,Crown_TanRuef,DorTail_TanRuef,Patch10_TanRuef,Patch11_TanRuef,Patch12_TanRuef,Rump_TanRuef,Throat_TanRuef,WingTip_TanRuef
208.77,59.42,6.39364705883,7.24633333333,163.768,86.232,78.9853333333,46.377,106.521666667,117.391,210.869333333,129.710333333,171.607424242
209.14,43.9026666667,-19.6559019608,-3.252,169.918666667,97.561,77.236,42.2763333333,85.3656666667,93.496,208.942666667,127.642666667,175.314
209.52,37.5886666667,-16.9794705882,9.929,143.971666667,87.234,77.305,29.787,64.539,78.7233333333,202.837,100.709,144.939030303
209.90,36.9566666667,13.8535490196,34.7826666667,167.391333333,83.3333333333,89.855,45.652,81.1593333333,92.0286666667,206.522,102.174333333,159.024727273
210.28,52.6666666667,41.4509803922,52.0,180.0,104.0,80.0,55.3333333333,102.0,108.666666667,231.333333333,124.0,158.727272727
210.66,76.1903333333,73.6695490197,53.1746666667,206.349,142.857,99.2063333333,63.492,138.889,134.127,288.095333333,135.714333333,181.241090909
211.03,83.8096666667,82.5209019607,37.1426666667,235.238333333,178.095333333,95.238,62.857,174.286,143.809333333,335.238,156.190333333,196.710212121
211.41,74.359,88.235,35.8976666667,284.615666667,247.436,110.256333333,74.359,211.538333333,158.974333333,444.871666667,175.641333333,239.044333333
211.79,77.0833333333,70.7720588237,33.3333333333,243.75,197.916666667,83.3333333333,75.0,190.625,139.583333333,360.416666667,154.166666667,198.200757576
212.17,60.4936666667,119.680784314,-0.000333333333334,235.802333333,196.296,81.4816666667,64.1976666667,176.543,151.852,375.308333333,153.086666667,202.693515152
212.55,26.3156666667,126.315627451,-61.4033333333,261.403333333,184.210666667,80.7016666667,17.5436666667,161.403666667,142.105333333,414.035333333,80.7016666667,207.177151515
212.92,-45.8333333333,201.470588235,-275.0,504.166666667,345.833333333,41.6666666667,-83.3333333333,279.166666667,320.833333333,850.0,50.0,428.787878788
213.30,25.0,143.87254902,-333.333333333,433.333333333,287.5,-25.0,-108.333333333,262.5,295.833333333,887.5,100.0,395.454545455
213.68,4.47801099312e+14,2.63412411361e+13,2.53753956277e+15,-1.70590894976e+15,-1.08751695547e+15,6.18391994289e+14,9.38249922369e+14,-1.15148854109e+15,-1.38605102168e+15,-3.85961899884e+15,8.52954474881e+13,-1.23872252147e+15
214.06,5.82852224502e+14,4.00554111243e+14,1.26521580441e+15,-1.77698848933e+14,-1.35051125189e+14,4.90448823056e+14,5.54420408673e+14,4.26477237441e+13,-9.95113554027e+13,-8.8138629071e+14,3.05642020166e+14,-9.04648685469e+12
214.44,-189.583333333,-146.446078431,-372.916666667,37.5,27.0833333333,-143.75,-175.0,-27.0833333333,-33.3333333333,195.833333333,-175.0,12.6893939394
214.81,-93.59,-81.4482745098,-176.923333333,51.282,11.5383333333,-83.3333333333,-94.8716666667,-6.41033333333,-12.8203333333,121.795,-117.948333333,-7.57584848483
215.19,-102.898333333,-107.757568627,-201.449333333,28.9856666667,-27.5363333333,-114.493,-128.985333333,-46.377,-28.9856666667,100.0,-166.666666667,-26.4821818182
215.57,-153.704,-127.450901961,-262.963,-22.2223333333,-81.4813333333,-159.259,-220.370333333,-87.037,-100.0,88.889,-259.259333333,-69.3603030303
215.95,-516.666666667,-398.529411765,-720.833333333,-183.333333333,-279.166666667,-404.166666667,-662.5,-358.333333333,-450.0,33.3333333333,-791.666666667,-279.166666667
216.32,-330.769333333,-296.38027451,-402.564,-43.59,-153.846333333,-207.692,-399.999666667,-166.666666667,-271.794666667,61.5383333333,-489.743666667,-171.328818182
216.70,-201.449333333,-162.489078431,-220.29,-26.087,-92.7533333333,-127.536333333,-220.289666667,-97.1013333333,-117.391333333,75.3623333333,-218.840666667,-86.9565757577
217.08,-61.905,-62.3449607843,-76.1903333333,4.08166666667,-28.5716666667,-43.5373333333,-89.1153333333,-26.5306666667,-34.0136666667,60.5443333333,-79.592,-13.6054242424
217.46,-56.5476666667,-31.8278235294,-52.976,12.5,-13.0953333333,-25.0003333333,-63.0953333333,-7.143,-11.3093333333,60.119,-60.1193333333,0.378939393933
217.83,-48.6336666667,-9.19298039217,-28.962,28.9616666667,-3.825,-7.10366666667,-43.716,3.825,1.7763568394e-15,61.7483333333,-39.3446666667,10.6804545455
218.21,-12.5,6.99923529412,2.31466666667,44.9076666667,15.2776666667,1.38866666667,-17.5926666667,26.852,28.704,83.7963333333,-10.185,22.6432121212
218.59,-5.37633333333,9.2981372549,13.441,61.828,27.957,9.67766666667,-12.3656666667,28.4946666667,42.4733333333,109.677333333,9.14,28.7878484848
218.97,-31.3333333333,-1.64705882353,-10.0,73.3333333333,20.0,8.66666666667,-30.0,14.0,44.0,126.666666667,8.0,43.2727272727
219.34,-14.0353333333,-2.2359019608,9.357,79.532,38.0116666667,25.731,-18.7133333333,23.9766666667,40.9356666667,129.24,26.9003333333,57.1504545455
219.72,-18.7793333333,-13.2007647059,9.859,58.2156666667,23.4743333333,15.9626666667,-23.0046666667,13.1456666667,38.4976666667,102.816666667,30.047,47.1616969697
220.10,-9.05366666667,-1.4526862745,9.05333333333,58.8476666667,28.395,20.576,-13.992,10.6993333333,49.794,96.708,39.0946666667,42.387030303
220.47,6.45166666667,10.816254902,15.4123333333,59.8566666667,34.0503333333,25.8063333333,4.301,11.111,57.706,96.0573333333,53.4053333333,43.4016363636
220.85,15.603,21.4222745098,19.858,67.7303333333,37.9433333333,30.4966666667,10.6383333333,19.858,59.22,97.163,50.709,44.9062121212
221.23,-0.995,20.4273137255,10.9453333333,84.577,29.3533333333,21.8903333333,1.99,8.955,64.6763333333,116.915333333,52.2386666667,44.8666666667
221.61,-7.46266666667,6.9069607843,11.9403333333,76.1196666667,15.9206666667,14.9253333333,-17.413,0.497333333333,58.209,108.458,35.3236666667,28.1772121212
221.98,9.44433333333,15.0655882353,20.5556666667,82.2223333333,25.0,27.7776666667,-18.889,0.0,60.0,127.777666667,52.7776666667,32.8282727273
222.36,2.041,22.129,10.204,85.714,31.2923333333,36.0543333333,-22.449,-13.6056666667,47.6193333333,137.415,53.7416666667,41.8676969697
222.74,-22.4806666667,-3.23762745098,-34.884,57.3643333333,-3.10066666667,15.5036666667,-42.636,-42.6356666667,17.054,113.953666667,31.783,23.3965757576
223.11,-10.063,5.43841176471,-18.868,54.088,3.77366666667,10.063,-23.2706666667,-25.7863333333,18.868,96.8553333333,21.384,16.4664545455
223.49,2.05133333333,34.298372549,-5.92118946467e-16,57.9483333333,16.41,14.359,2.05133333333,-4.61533333333,33.3333333333,90.7693333333,25.641,20.699030303
223.87,38.172,66.5716666667,16.6666666667,96.7743333333,38.71,31.7206666667,41.9353333333,20.968,50.0,113.440666667,40.86,50.1464848485
224.24,52.7026666667,74.5624313725,36.036,90.991,45.045,38.2883333333,59.4593333333,42.7926666667,49.5493333333,115.765666667,45.946,57.5346666667
224.62,37.6623333333,74.9169019608,16.883,74.8916666667,26.8396666667,25.1083333333,47.186,37.2293333333,27.7056666667,91.775,29.8703333333,47.5011818182
225.00,45.3813333333,59.2963137255,15.6626666667,72.6906666667,30.9236666667,24.498,49.3973333333,45.3816666667,24.0963333333,87.952,30.9233333333,51.9897575758
225.38,45.4166666667,51.0784313725,6.66666666667,67.5,29.1666666667,21.6666666667,45.4166666667,44.1666666667,16.25,80.4166666667,27.0833333333,49.6212121212
225.75,45.1283333333,64.2229019608,-13.8463333333,73.846,26.6666666667,8.205,52.3076666667,38.9743333333,3.58966666667,79.4873333333,29.2306666667,50.5828787879
226.13,29.2236666667,54.0694705882,-29.2236666667,62.557,9.589,-9.58933333333,43.379,22.831,-8.21933333333,60.7306666667,13.6986666667,38.6467878788
226.51,26.126,38.1557647059,-36.937,57.207,-1.35166666667,-5.40533333333,22.973,16.2163333333,-14.4146666667,46.847,6.757,24.3653333333
226.88,29.0123333333,49.9275686275,-9.25933333333,55.2466666667,10.8023333333,11.1113333333,25.0003333333,28.395,7.09866666667,45.9876666667,12.654,27.3852727273
227.26,28.148,48.8455294118,-4.19766666667,42.963,13.0866666667,16.0496666667,24.1976666667,24.6913333333,8.642,38.5186666667,18.5186666667,26.2402727273
227.64,25.1906666667,43.8258235294,-9.92333333333,40.2033333333,9.924,16.5393333333,21.8826666667,24.4273333333,5.85233333333,35.6233333333,17.303,25.8383939394
228.01,11.9046666667,32.6608431373,-18.8093333333,23.095,0.476333333333,8.57133333333,12.857,14.5236666667,-4.28566666667,22.143,7.38066666667,11.7097272727
228.39,1.878,23.6674705882,-20.4223333333,15.493,-3.99066666667,5.63366666667,10.798,7.74633333333,-11.2676666667,19.249,3.05166666667,9.36842424242
228.76,0.223666666667,20.0554313726,-10.067,17.6733333333,2.01333333333,9.61966666667,13.6463333333,9.62,-7.83033333333,24.8323333333,3.356,11.4094545455
229.14,-10.3226666667,21.4801960784,-12.688,9.032,-0.860333333333,4.731,12.043,3.65633333333,-11.828,22.7956666667,-3.87066666667,5.51339393939
229.52,-4.73333333333,36.2805098039,1.97233333333,13.8066666667,13.018,14.7926666667,19.5266666667,12.229,0.789,34.3196666667,4.53633333333,13.2866060606
229.89,1.63633333333,31.0715490196,6.748,12.679,19.223,23.7216666667,26.3803333333,20.0406666667,-0.000333333333333,41.3086666667,7.97566666667,18.9440606061
230.27,5.48766666667,30.8701568627,10.366,9.35,22.1543333333,24.797,26.626,25.0,8.13,44.1056666667,7.92666666667,23.1709090909
230.65,5.00966666667,32.2563921569,12.3313333333,10.7896666667,21.9653333333,21.1946666667,28.5163333333,24.8553333333,11.368,47.5916666667,5.00933333333,25.0134242424
231.02,2.96059473233e-16,23.4500980392,10.738,4.47433333333,25.056,14.765,29.3063333333,22.1476666667,6.93533333333,51.2303333333,-2.90866666667,27.0288484848
231.40,-1.02533333333,20.5125490196,12.5643333333,7.69233333333,30.513,12.0513333333,31.795,26.154,5.38466666667,55.641,-6.923,28.4150606061
231.78,0.241666666667,17.1497647059,7.72933333333,8.45433333333,28.5023333333,9.17866666667,31.159,21.9806666667,3.38166666667,52.8986666667,-10.6283333333,25.9553939394
232.15,5.07233333333,16.5243137255,12.802,16.1833333333,38.8886666667,11.3523333333,33.8166666667,23.6713333333,7.488,59.9033333333,-2.41566666667,32.7843636364
232.53,7.235,19.5619803922,3.876,13.9536666667,40.0516666667,6.46,26.3566666667,24.031,3.35933333333,62.532,-8.78533333333,32.2293636364
232.90,12.0216666667,15.1560196078,2.18566666667,14.4806666667,42.3496666667,-0.819333333333,25.6826666667,25.9563333333,0.273333333333,64.754,-9.28966666667,34.2273030303
233.28,23.0993333333,17.3202156863,16.0816666667,30.7013333333,52.924,7.01766666667,31.579,36.55,8.772,72.2223333333,2.33933333333,45.2684545455
233.66,19.783,4.20849019607,8.672,27.9133333333,43.9023333333,-0.542,28.4553333333,31.978,2.71,55.0133333333,0.813,36.7821212121
234.03,10.4623333333,3.96450980393,5.10966666667,25.5476666667,33.0896666667,-10.4623333333,23.1143333333,21.4113333333,3.40633333333,45.9856666667,-9.00266666667,29.0421818182
234.41,10.5746666667,3.178,2.299,27.816,28.276,-8.50533333333,23.908,22.7583333333,-0.23,41.839,-0.689666666667,31.3058484848
234.78,13.9073333333,4.3370980392,7.28466666667,30.2426666667,34.2163333333,-5.73966666667,27.1523333333,31.1256666667,6.84333333333,42.605,7.06433333333,39.6346666667
235.16,13.0083333333,6.3248627451,4.065,30.0813333333,30.691,-3.65833333333,27.642,31.7073333333,6.09766666667,40.8536666667,10.5686666667,34.9962727273
235.54,9.30266666667,3.96688235293,5.03866666667,23.062,28.2946666667,-1.35666666667,25.194,30.4263333333,5.62,41.473,9.302,32.4174848485
235.91,2.94666666667,4.46356862747,9.024,17.4953333333,24.3093333333,-1.47333333333,18.4163333333,25.9666666667,2.94666666667,35.5433333333,8.28733333333,29.013969697
236.29,1.099,4.52523529413,9.524,14.8353333333,18.8646666667,1.28233333333,18.6813333333,30.7693333333,4.02933333333,35.5313333333,1.64866666667,28.2385454545
236.66,2.538,3.21464705883,12.352,14.8903333333,17.7666666667,6.09133333333,18.951,32.1486666667,5.41466666667,31.472,5.41433333333,26.734030303
237.04,0.66,0.864254901967,8.58066666667,10.891,13.5313333333,5.28033333333,14.5216666667,28.5476666667,4.62033333333,25.9076666667,0.660333333333,23.2376060606
237.41,-7.096,-0.18419607843,-0.33,2.64033333333,2.31033333333,-0.990333333333,5.28066666667,21.1223333333,-0.33,18.9766666667,-3.79533333333,13.3513636364
237.79,-12.585,0.0401764705867,-7.31266666667,-2.55133333333,-4.762,-2.381,-2.04066666667,15.9863333333,-3.57133333333,14.2856666667,-7.82333333333,11.8893030303
238.17,-10.798,3.08392156863,-6.573,-1.565,-5.47766666667,-1.56533333333,-3.13,15.493,-3.443,14.5536666667,-4.22533333333,12.2490909091
238.54,-11.2056666667,-1.48505882353,-2.553,-0.851,-4.397,-1.844,-4.68066666667,11.4896666667,-6.66666666667,13.9006666667,-11.631,7.59512121212
238.92,-17.4533333333,-6.21041176471,-7.29633333333,-6.00833333333,-10.0143333333,-6.29466666667,-9.156,2.86133333333,-15.7366666667,11.588,-21.8883333333,-1.69084848485
239.29,-17.379,-6.8798627451,-9.54433333333,-8.83233333333,-15.527,-7.12266666667,-12.678,-3.84633333333,-18.8033333333,9.25933333333,-23.647,-7.25196969697
239.67,-16.6663333333,-3.23056862747,-13.5246666667,-11.7486666667,-18.5793333333,-10.7923333333,-13.7976666667,-7.65,-19.1256666667,6.284,-24.0436666667,-9.94775757577
240.04,-8.27333333333,-1.2978627451,-14.029,-8.87266666667,-15.3476666667,-7.07433333333,-10.791,-5.036,-15.4676666667,9.47233333333,-16.9063333333,-7.81551515152
240.42,-4.04033333333,0.62419607843,-12.02,-6.46466666667,-12.626,-2.727,-8.586,-4.54533333333,-14.8486666667,8.889,-12.0203333333,-5.84945454545
240.79,-0.866,5.09270588235,-5.62766666667,-2.078,-8.831,1.47166666667,-3.20333333333,-1.03866666667,-8.83133333333,10.909,-7.27233333333,-2.03866666667
241.17,-0.520666666667,5.10356862745,-4.018,-1.86033333333,-7.29166666667,3.19933333333,-1.56233333333,-0.223333333333,-6.91966666667,11.756,-4.613,-1.68448484848
241.54,3.78933333333,5.08137254902,-0.706333333333,1.156,-2.11933333333,6.80833333333,3.01866666667,3.33966666667,-2.69733333333,15.029,-1.28466666667,2.36481818182
241.92,5.787,3.6527254902,1.04166666667,1.331,-0.463,6.88666666667,4.39833333333,4.62966666667,-1.794,16.493,0.289333333333,2.61472727273
242.29,6.55733333333,3.90858823529,0.983333333333,1.25666666667,0.765,8.142,5.738,5.73766666667,-1.74866666667,17.0493333333,2.18566666667,2.55336363636
242.67,8.87533333333,6.42584313725,1.548,2.27066666667,3.612,10.32,8.20433333333,9.18466666667,0.567666666667,18.937,6.03733333333,5.12224242424
243.05,9.884,6.95125490196,2.18,2.66466666667,3.82733333333,11.0466666667,7.99433333333,10.2713333333,1.88966666667,18.4593333333,8.86633333333,6.32503030303
243.42,9.603,6.87888235294,3.601,1.939,4.84766666667,11.1266666667,7.80233333333,10.757,3.232,17.3126666667,8.31033333333,8.12539393939
243.80,9.96466666667,5.96392156863,5.22766666667,2.45766666667,5.764,11.7963333333,8.4,12.3773333333,3.84266666667,17.739,8.534,9.59890909091
244.17,8.488,5.97839215686,6.89666666667,2.82933333333,6.41033333333,12.6436666667,9.372,13.749,5.438,18.081,9.10666666667,11.0362727273
244.55,7.286,6.68852941176,6.67566666667,2.31233333333,6.45733333333,11.7803333333,9.81666666667,14.6163333333,6.84966666667,18.5863333333,10.3843333333,11.5540606061
