wavelength,Back_PhrUnim,Belly_PhrUnim,Breast_PhrUnim,Crissum_PhrUnim,Crown_PhrUnim,DorTail_PhrUnim,Rump_PhrUnim,Throat_PhrUnim,WingTip_PhrUnim
342.70,6.6132,12.9647,12.2826666667,11.363,6.3022,7.53553333333,8.99486666667,11.8015333333,7.7298
343.06,6.68633333333,13.0665666667,12.2963333333,11.4199333333,6.35826666667,7.58413333333,9.04446666667,11.8854666667,7.76826666667
343.43,6.74693333333,13.1451666667,12.3062666667,11.4674666667,6.43566666667,7.59233333334,9.11686666665,11.9197333333,7.7762
343.79,6.84846666666,13.2375333333,12.4082,11.5196666667,6.5582,7.69313333333,9.20533333335,11.9871333333,7.8064
344.16,6.95493333333,13.3454666667,12.5628,11.6292,6.684,7.80913333333,9.29093333333,12.109,7.8728
344.52,6.9434,13.3708,12.6100666667,11.6647333333,6.7034,7.81793333333,9.28373333332,12.1307333333,7.8902
344.89,6.88153333333,13.3461666667,12.5772666666,11.5639333333,6.58453333333,7.701,9.23313333335,12.0672,7.81106666667
345.25,6.8912,13.3574,12.6076,11.6281333333,6.59826666667,7.7592,9.28346666665,12.0902666667,7.8598
345.62,6.819,13.3528,12.5948666667,11.6183333333,6.5612,7.72193333333,9.27533333333,12.0652666667,7.832
345.99,6.89913333334,13.4263666667,12.6704,11.7222,6.64153333333,7.82493333333,9.40473333333,12.1291333333,7.8966
346.35,6.79866666667,13.3135,12.5392,11.6107333333,6.48906666667,7.69873333333,9.25273333333,11.9395333333,7.7018
346.72,6.67053333333,13.2107333333,12.4450666667,11.5444666667,6.3624,7.62413333333,9.14453333333,11.8073333333,7.60253333333
347.08,6.78886666667,13.3435333333,12.6314,11.6523333333,6.51606666667,7.74326666667,9.25993333333,11.924,7.70786666667
347.45,6.8666,13.4098666667,12.7378666667,11.7200666667,6.5352,7.8238,9.2868,12.0062666667,7.7884
347.81,6.745,13.3216666667,12.6921333333,11.7002666667,6.39526666667,7.7236,9.17186666666,11.9275333333,7.68933333333
348.18,6.6628,13.237,12.6124666667,11.6593333333,6.31526666667,7.61413333334,9.10653333334,11.8342,7.59166666667
348.54,6.68833333333,13.2835,12.6154666667,11.7076666667,6.29873333333,7.61773333333,9.13413333333,11.8377333333,7.64473333333
348.91,6.72533333333,13.3076333333,12.648,11.7764,6.34233333333,7.64766666667,9.16446666667,11.9146666667,7.64773333333
349.27,6.74213333333,13.2760333333,12.6165333333,11.7794666667,6.37746666666,7.5428,9.11340000001,11.8856666667,7.5906
349.64,6.80373333333,13.3153666667,12.6526666667,11.8264666667,6.43086666667,7.50826666667,9.09613333333,11.9114,7.61613333333
350.00,6.7148,13.2691666667,12.5938,11.7402666666,6.339,7.40846666667,8.96180000001,11.845,7.4948
350.37,6.8236,13.3982,12.6922,11.8778666667,6.47853333333,7.48393333333,9.0708,12.038,7.6198
350.73,6.93933333333,13.5772333334,12.8398,12.0557333333,6.64573333333,7.6266,9.22746666667,12.2163333333,7.80633333333
351.10,6.8642,13.5556666667,12.7784,12.0862,6.59886666667,7.599,9.21719999999,12.2120666667,7.77513333334
351.46,6.86946666667,13.5772,12.7542666667,12.0732666667,6.64586666667,7.58246666667,9.25086666667,12.2355333333,7.746
351.83,6.99226666666,13.6948,12.8379333333,12.0976666666,6.76033333333,7.61033333333,9.31593333332,12.3134666667,7.83073333333
352.19,6.8868,13.5987666667,12.7298666667,11.9499333333,6.63086666667,7.45753333333,9.20586666667,12.1926,7.7038
352.55,6.92713333333,13.5882666667,12.7263333333,11.961,6.7252,7.44286666667,9.18766666667,12.2388666667,7.6766
352.92,6.93266666667,13.5805,12.7608666667,11.9789333333,6.75926666667,7.43146666667,9.18540000001,12.1934,7.67533333333
353.28,6.95906666667,13.5937333333,12.8392666667,11.9938666667,6.7348,7.45606666667,9.18013333333,12.2154,7.69246666667
353.65,7.00393333333,13.6258,12.9041333333,12.0184666667,6.73466666667,7.49613333333,9.26266666667,12.2632666667,7.7116
354.01,7.1128,13.7244333333,13.0372,12.1064666667,6.83653333333,7.53933333333,9.38413333334,12.3591333334,7.81966666667
354.38,7.23346666667,13.8301666666,13.1318,12.1835333333,6.95786666667,7.6702,9.48953333333,12.4216666666,7.90213333333
354.74,7.1912,13.7665666667,13.0692,12.065,6.84506666667,7.544,9.39433333333,12.3058666667,7.77673333333
355.11,7.17733333333,13.7515,13.047,11.9892,6.77673333333,7.49733333333,9.34020000001,12.2439333333,7.72366666667
355.47,7.0904,13.6769333333,13.0628,11.9742,6.727,7.4484,9.25313333334,12.1980666667,7.645
355.83,7.04346666666,13.6479666667,13.0470666667,11.9913333333,6.67353333333,7.43353333333,9.24253333333,12.1561333333,7.59633333333
356.20,7.0932,13.7234666667,13.1328666667,12.077,6.70346666667,7.52253333333,9.2924,12.2596666666,7.67553333333
356.56,6.99233333333,13.6944666667,13.1077333333,12.0546,6.5898,7.4612,9.22213333335,12.2144666667,7.56686666667
356.93,6.92946666667,13.7166333333,13.0844666667,12.0165333333,6.52786666667,7.4352,9.15426666667,12.1843333333,7.4964
357.29,6.84646666667,13.7048333333,13.0564,11.9702666667,6.4688,7.3732,9.09546666665,12.1668,7.4228
357.66,6.82853333333,13.716,13.0077333333,11.9665333333,6.42113333333,7.3142,9.01426666667,12.1226,7.35866666667
358.02,6.833,13.7357333333,12.9875333333,11.9544,6.35126666667,7.2858,8.97126666666,12.0853333333,7.3026
358.38,6.735,13.6281666667,12.9451333333,11.8953333333,6.25366666666,7.17693333333,8.86086666667,12.0155333334,7.22113333333
358.75,6.76593333333,13.6522333333,13.0492666667,11.9496,6.321,7.22946666667,8.89173333334,12.0780666667,7.26953333333
359.11,6.7818,13.6688,13.1042666667,11.9833333333,6.33806666667,7.21053333333,8.88126666667,12.1195333333,7.26673333333
359.48,6.81773333333,13.7469333333,13.1214,12.0096,6.34393333333,7.193,8.91186666667,12.1162,7.30713333333
359.84,6.79073333333,13.7686666667,13.1228666667,12.0127333333,6.32946666667,7.1456,8.89919999999,12.1354666667,7.3018
360.20,6.8812,13.8534333333,13.1992666667,12.0977333333,6.46186666667,7.20186666667,8.96693333333,12.2064666667,7.36846666667
360.57,6.969,13.9454,13.2802666667,12.1491333333,6.54786666667,7.25646666667,9.04066666667,12.2827333333,7.44933333333
360.93,7.0268,14.0029333333,13.3520666667,12.2282,6.59053333333,7.23726666667,9.10499999999,12.3496666667,7.488
361.29,7.0146,14.0393333333,13.3478666666,12.246,6.57853333333,7.23406666667,9.1068,12.3384666667,7.46726666667
361.66,7.0202,14.0544,13.3751333333,12.2563333333,6.60753333333,7.2634,9.12053333333,12.3362666667,7.48193333334
362.02,7.06146666667,14.1031,13.4111333333,12.3029333333,6.69153333333,7.3386,9.15793333333,12.4082666667,7.54313333333
362.39,7.10886666667,14.1659666667,13.4465333333,12.3446666667,6.737,7.37006666667,9.23926666666,12.4524666667,7.57166666667
362.75,7.138,14.2244666667,13.4318,12.3718,6.7294,7.37126666667,9.27053333333,12.4792666667,7.55873333334
363.11,7.17573333333,14.2831666667,13.4411333333,12.4114,6.7844,7.38953333333,9.29926666667,12.4976,7.60733333333
363.48,7.17233333333,14.3113333333,13.4551333333,12.4187333333,6.79186666667,7.3994,9.30146666667,12.5208666667,7.6052
363.84,7.19073333333,14.3246333333,13.4712666667,12.4354,6.7936,7.39933333333,9.32459999999,12.5298666667,7.59366666667
364.20,7.13253333333,14.2820666667,13.4599333333,12.3990666667,6.7178,7.33473333333,9.29626666667,12.4665333333,7.51546666667
364.57,7.1212,14.3031333333,13.4492666667,12.3874666667,6.6892,7.3158,9.27906666666,12.4399333333,7.49866666667
364.93,7.0964,14.2625333333,13.4198666667,12.3472,6.68146666667,7.31986666667,9.22953333333,12.4041333333,7.48853333333
365.29,7.23306666667,14.3754,13.5467333333,12.45,6.8258,7.40133333333,9.34886666667,12.4950666667,7.60506666667
365.66,7.21033333333,14.3708,13.5381333333,12.4438,6.8158,7.36406666667,9.32706666667,12.4822,7.6004
366.02,7.1084,14.2841,13.4791333334,12.405,6.72466666667,7.24033333333,9.26113333333,12.3789333333,7.5166
366.38,7.0592,14.2756333333,13.4650666667,12.4043333333,6.67033333334,7.20113333333,9.18433333335,12.3372666667,7.4792
366.75,7.10166666667,14.3184,13.5307333333,12.468,6.72146666667,7.2286,9.22080000001,12.3951333334,7.5498
367.11,7.0842,14.2668,13.514,12.4409333333,6.67653333333,7.1814,9.22673333333,12.3691333333,7.5224
367.47,7.09073333333,14.2395666667,13.492,12.4554,6.69413333333,7.15153333333,9.23426666665,12.3788666667,7.5006
367.84,7.12353333334,14.2825333333,13.4832,12.5024666667,6.74186666667,7.18326666667,9.23866666667,12.4066,7.5074
