wavelength,Back_TanJohm,Belly_TanJohm,Breast_TanJohm,Crissum_TanJohm,Crown_TanJohm,DorTail_TanJohm,Patch10_TanJohm,Patch11_TanJohm,Patch12_TanJohm,Rump_TanJohm,Throat_TanJohm,WingTip_TanJohm
577.58,20.0114444444,32.3866666667,64.7673333333,27.9785555556,37.1142444445,13.8786666666,19.8575555555,8.99388888888,35.4082222222,81.7093333333,6.89388888889,12.9372222222
577.92,19.9201111111,32.3294444444,64.4057777778,27.9593333333,37.0071111111,13.8411111111,19.7893333333,9.03700000001,35.1507777778,81.5372222222,6.896,12.9681111111
578.26,19.8817777778,32.2082222222,64.0528888889,27.9462222222,36.8901777778,13.8275555555,19.6997777778,9.00244444446,34.8727777778,81.3805555556,6.89422222222,13.0317777778
578.60,19.8214444444,32.0322222222,63.7758888889,27.9308888889,36.7372222222,13.8114444444,19.62,8.9891111111,34.6521111111,81.2562222222,6.85877777778,12.9932222222
578.94,19.8097777778,32.0126666667,63.4085555555,27.9585555556,36.6505333333,13.8664444444,19.6103333333,9.05044444443,34.3935555556,81.0264444444,6.96811111111,13.0005555555
579.28,19.7375555556,31.8564444444,63.0224444444,27.9086666667,36.4919111111,13.8487777778,19.4873333333,9.02166666665,34.0724444444,80.8027777778,6.97755555555,12.998
579.61,19.6702222222,31.798,62.7943333333,27.9104444445,36.3693777778,13.8387777778,19.4167777778,9.00522222222,33.8253333333,80.7491111111,6.95822222222,13.0464444444
579.95,19.5426666667,31.6352222222,62.3527777778,27.8547777778,36.1508888889,13.8105555556,19.3252222222,9.00322222222,33.5095555555,80.4787777778,6.949,13.059
580.29,19.4716666667,31.5596666666,61.9977777778,27.8901111111,36.0521333333,13.7677777778,19.3074444445,9.02566666668,33.303,80.3737777778,6.968,13.083
580.63,19.3407777778,31.4294444445,61.5908888889,27.8411111111,35.8248444444,13.7202222222,19.214,8.97188888888,33.0281111111,80.1445555556,6.89766666666,13.0864444445
580.97,19.2925555556,31.4066666666,61.3868888889,27.8582222222,35.7427555555,13.7188888889,19.104,8.97511111111,32.8018888889,80.0277777778,6.88222222222,13.0847777778
581.31,19.2353333333,31.3375555556,61.0704444444,27.8338888889,35.6464666667,13.7142222222,19.0254444444,9.01244444443,32.6183333333,79.9198888889,6.908,13.1317777778
581.65,19.1608888889,31.2941111111,60.846,27.8235555555,35.5144666667,13.7161111111,18.9308888889,9.00933333332,32.411,79.8427777778,6.933,13.142
