wavelength,Back_RhoCruf,Belly_RhoCruf,Breast_RhoCruf,Crissum_RhoCruf,Crown_RhoCruf,DorTail_RhoCruf,Rump_RhoCruf,Throat_RhoCruf,WingTip_RhoCruf
189.43,-42.4545555556,-28.0264444444,21.5588888889,-6.63366666664,6.136,-53.7315555556,-52.9021111111,-15.4227777778,-37.9768888889
189.81,-29.1328888889,-18.4281111111,16.1247777778,1.21955555553,10.027,-41.4635555556,-37.1273333333,-8.53644444443,-26.8292222222
190.19,-32.7485555556,-13.8888888888,19.1521111111,9.94144444447,15.7895555556,-43.5673333333,-36.8422222222,-4.67822222222,-28.801
190.57,-35.6421111111,-12.6982222221,17.4602222222,12.4097777778,20.202,-45.7428888889,-36.2192222222,-4.9062222222,-27.7054444445
190.95,-59.6096666667,-34.9848888889,-4.65466666667,-6.45633333333,2.40244444446,-66.9667777778,-61.5616666667,-24.0238888889,-49.6998888889
191.33,-78.2345555556,-49.6195555554,-21.3091111111,-20.3957777778,-16.8951111111,-79.1475555556,-77.169,-37.4428888889,-65.4489999999
191.71,-101.326777778,-64.1792222223,-45.2736666667,-37.9767777778,-35.4892222222,-101.658444445,-105.141111111,-60.033,-88.0597777779
192.09,-91.4653333334,-56.8437777779,-38.8083333333,-33.8163333333,-25.4428888889,-97.9065555555,-104.992,-60.5474444444,-77.6167777778
192.47,-96.8745555557,-57.4652222221,-41.8401111111,-36.8054444444,-30.2081111111,-107.117777778,-117.013777778,-67.0138888889,-77.9512222223
192.85,-130.555444445,-78.1745555555,-64.8808888889,-58.1348888889,-43.4524444443,-140.873,-149.404777778,-98.8093333331,-105.952333333
193.23,-162.131555556,-101.133777778,-92.2901111111,-74.1496666667,-62.585111111,-178.458111111,-188.888666667,-129.705111111,-133.106444444
193.61,-211.868777778,-127.777777778,-132.575777778,-111.868666667,-106.060555556,-227.020222222,-237.373666667,-170.707,-177.525222222
193.99,-238.095222222,-140.476222222,-150.529111111,-132.804111111,-129.894222222,-263.756666667,-269.047555555,-195.767222222,-204.233
194.37,-269.576777778,-176.719555556,-189.947,-171.957888889,-180.687666667,-305.555333333,-316.931333333,-232.804333333,-238.359777778
194.75,-304.093666667,-218.713333333,-231.578777778,-210.234,-231.871444444,-358.479444444,-366.959,-277.193,-281.871333333
195.13,-799.259222222,-618.518555556,-638.518444444,-620.0,-657.777777778,-989.629555556,-982.962888889,-762.222333333,-741.481444446
195.51,-664.705888889,-479.738666667,-525.490222222,-542.483666667,-542.483444444,-853.594777778,-857.516444445,-651.633888889,-610.457444444
195.89,-641.176555556,-455.555555556,-532.679888889,-537.908333333,-522.875888889,-837.908555556,-833.986888889,-628.758222222,-584.313888889
196.27,-546.666666667,-384.444444444,-465.0,-456.111111111,-448.333333333,-696.666666667,-711.666666667,-526.111111111,-498.333333333
196.65,-372.619111111,-253.968333333,-318.650777778,-304.761888889,-298.412666666,-478.968333333,-494.047666667,-366.666777778,-336.508111111
197.03,-359.387,-246.360111111,-324.137777778,-305.364,-299.233666666,-473.180111111,-486.207,-368.582333333,-321.456
197.40,-310.035888889,-212.544777778,-283.870888889,-255.555666667,-270.251111111,-407.168555556,-433.333333333,-330.466,-279.569888889
197.78,-272.549,-211.764555555,-262.418333333,-225.817111111,-246.732,-364.705777778,-397.385555555,-298.039111111,-257.843111111
198.16,-301.075222222,-270.250888889,-300.716777778,-274.552,-293.189888889,-412.186333333,-450.896222222,-344.802888889,-316.846
198.54,-223.809666667,-202.857222222,-227.301666667,-210.793444444,-220.000111111,-327.618888889,-341.587333333,-267.936444444,-241.587222222
198.92,-286.973111111,-242.528666667,-281.226111111,-259.77,-262.452111111,-387.739555556,-424.137888889,-328.735666667,-301.149333333
199.30,-192.683,-165.582555556,-188.889,-162.872666666,-169.918777778,-255.284555556,-277.777666667,-215.989222222,-202.981
199.68,-169.267111111,-160.283666667,-171.394777778,-142.316666667,-156.973888889,-228.368888889,-238.061222222,-195.744555556,-185.815444445
200.06,-153.668777778,-147.589111111,-151.153111111,-125.366888889,-144.863666667,-212.578666667,-214.255888889,-180.083888889,-169.811333333
200.44,-201.690777778,-190.096555556,-195.652333333,-166.183555556,-198.067555556,-276.328444444,-263.526666667,-230.193111111,-221.014444444
200.82,-317.921333333,-301.792111111,-315.053777778,-281.362,-314.337,-427.957111111,-406.093111111,-354.121888889,-349.104
201.19,-358.847666667,-338.683111111,-355.143888889,-292.181,-358.436333333,-472.839333333,-458.024666667,-378.600777778,-397.119444445
201.57,-450.0,-412.626222222,-433.333333333,-361.111111111,-427.777666667,-598.484777778,-553.030222222,-452.525222222,-482.323333334
201.95,-638.194444444,-558.333333333,-623.611111111,-513.194444444,-606.944444444,-858.333333333,-761.805555556,-665.277777778,-645.138888889
202.33,-5261.11111111,-4188.88888889,-5044.44444444,-4105.55555555,-4944.44444445,-6900.0,-6172.22222222,-5288.88888889,-5011.11111111
202.71,1530.15877778,1225.39688889,1539.68255556,1217.46033334,1493.65088889,2019.04766666,1858.73011111,1569.841,1422.22233333
203.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203.85,4500.0,3738.88888889,5177.77777778,4144.44444444,5172.22222222,6627.77777778,5994.44444445,4961.11111111,4483.33333333
204.22,2944.44455555,2499.99977778,3385.18511111,2748.148,3514.81477778,4300.00011111,4022.22222222,3085.18522222,3018.51855556
204.60,-1593.33333333,-1422.22222222,-1933.33333333,-1555.55555556,-1988.88888889,-2444.44444444,-2231.11111111,-1686.66666667,-1704.44444444
204.98,-1562.22222222,-1502.22222222,-1982.22222222,-1460.0,-2046.66666667,-2526.66666666,-2244.44444444,-1686.66666667,-1760.0
205.36,-2762.963,-2807.40744444,-3544.44444445,-2729.62955556,-3774.074,-4488.88888889,-3925.92588889,-3162.96288889,-3162.963
205.74,-553.333111111,-583.703666667,-729.629444445,-596.296333333,-788.88888889,-900.740777778,-812.592555555,-649.629555556,-669.629666667
206.12,1793.33333333,1913.33333333,2284.44444444,1980.0,2493.33333333,2806.66666667,2551.11111111,1984.44444444,2240.0
206.50,2885.18522222,3444.44444444,3881.48144444,3211.11111111,4077.77788889,4662.96311111,4159.25933333,3229.62966667,3685.18522222
206.87,2247.22222222,2647.22222222,2855.55555555,2419.44444445,3013.88888889,3480.55555556,3022.22222222,2369.44444444,2863.88888889
207.25,4205.55555555,4761.11111111,5172.22222222,4222.22222222,5455.55555555,6400.0,5527.77777778,3961.11111111,5416.66666667
207.63,-1484.44444445,-1611.11111111,-1780.0,-1448.88888889,-1864.44444444,-2335.55555556,-2046.66666666,-1244.44444445,-1871.11111111
208.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208.39,-7644.44444444,-8377.77777777,-9611.11111111,-7966.66666667,-9211.11111111,-11711.1111111,-10822.2222222,-6911.11111111,-9544.44444445
208.77,-6511.11111111,-7677.77777778,-8833.33333333,-7233.33333334,-8255.55555555,-10777.7777778,-10244.4444444,-6066.66666667,-8655.55555554
209.14,-877.777777777,-1039.68255556,-1185.71422222,-1033.33333333,-1126.98422222,-1466.66666667,-1365.07933333,-807.936666667,-1152.381
209.52,-953.703555555,-1064.81488889,-1238.88911111,-1090.74077778,-1187.03711111,-1588.88888889,-1446.29622222,-790.740666668,-1279.62955555
209.90,948.148222223,1033.33322222,1270.37033333,1138.88888889,1207.40733333,1550.0,1466.66666667,796.296000001,1298.14822222
210.28,-225.694444444,-260.416666667,-377.777777778,-309.027777778,-325.694444444,-453.472222222,-450.0,-190.277777778,-377.777777778
210.66,-235.897333333,-239.316222222,-424.786333333,-305.982888889,-320.512777778,-481.196666667,-523.931555555,-208.547,-432.478444444
211.03,-182.539777778,-211.904888889,-408.730111111,-263.492,-288.095333333,-426.984111111,-511.111111111,-234.126888889,-407.936444445
211.41,-184.313777778,-213.725555555,-382.353,-247.058666667,-296.732,-378.431333334,-475.817,-276.470555556,-371.895555556
211.79,-151.666666667,-201.666666667,-368.888888889,-222.777777778,-282.222222222,-325.0,-408.888888889,-270.0,-352.222222222
212.17,-55.1971111111,-98.2077777778,-195.340555556,-98.2078888891,-148.028555556,-167.383555556,-221.146888889,-146.953333333,-190.680888889
212.55,-24.359,-76.9231111111,-189.743666667,-60.6837777779,-144.017,-156.410222222,-218.803333333,-129.059777778,-165.384777778
212.92,-91.1112222224,-151.111,-354.814888889,-105.185222222,-284.444444444,-303.703666667,-407.407333333,-277.037111111,-291.851888889
213.30,-105.555666666,-179.629555556,-442.592666666,-101.851888889,-350.926,-348.148,-529.629777778,-337.962888889,-343.518555556
213.68,-42.0291111111,-93.7197777778,-216.425111111,-59.9033333333,-156.038777778,-158.937222222,-275.845444444,-163.285222222,-149.275444444
214.06,-56.7900000001,-138.889,-275.308666667,-82.7160000001,-200.0,-221.604666666,-353.703555556,-210.493888889,-189.506333333
214.44,615.555555554,922.222222224,1331.11111111,726.666666666,1140.0,1191.11111111,1680.0,1162.22222222,986.666666668
214.81,492.592777778,738.888777778,1064.81488889,600.000111111,957.407444446,957.407333333,1314.81488889,898.14811111,764.814777778
215.19,-652.777777777,-1066.66666667,-1427.77777778,-794.444444443,-1330.55555555,-1347.22222222,-1875.0,-1063.88888889,-930.555555557
215.57,-109.523777778,-261.111,-328.571444445,-146.825222222,-273.809666667,-311.904888889,-436.507777778,-181.746111111,-172.222333333
215.95,-74.359,-256.410111111,-308.547222222,-127.350555556,-272.649555555,-294.871777778,-417.094,-156.410222222,-112.820555556
216.32,-104.762,-281.746,-331.746111111,-176.984111111,-328.571555556,-333.333555556,-426.984111111,-176.984222222,-130.952222222
216.70,-185.470111111,-388.034,-421.367444444,-317.948777778,-429.059666667,-451.281888889,-526.495666667,-285.470333333,-248.717888889
217.08,-86.2222222222,-185.777777778,-199.555555555,-164.888888889,-197.777777778,-214.222222222,-250.666666667,-131.555555555,-136.0
217.46,-65.133888889,-145.593888889,-150.574777778,-141.762444444,-147.509444444,-175.095666667,-200.766333334,-104.597666667,-117.624666667
217.83,-516.666666668,-1144.44444444,-1247.22222222,-1055.55555556,-1263.88888889,-1463.88888889,-1538.88888889,-988.888888889,-972.222222222
218.21,-318.518555556,-674.074111112,-868.518444444,-646.296333333,-811.111,-961.111,-977.777777779,-629.629555556,-629.629555555
218.59,-47.2222222221,-159.027777778,-266.666666667,-135.416666667,-198.611111111,-281.25,-249.305555556,-136.805555556,-145.138888889
218.97,-46.1111111112,-127.222222222,-218.333333333,-127.777777778,-173.333333333,-228.333333333,-204.444444444,-113.333333333,-123.888888889
219.34,-497.222222222,-769.444444444,-1397.22222222,-913.88888889,-1113.88888889,-1283.33333333,-1200.0,-766.666666667,-827.77777778
219.72,246.666555555,291.851666666,508.888888889,355.555333333,411.111111111,458.518666667,447.407333333,321.481555556,336.296444444
220.10,222.875888889,236.601444444,416.339888889,295.424777778,354.248111111,415.032555555,372.548888889,281.699444444,304.575222222
220.47,149.382777778,148.148111111,249.794333333,169.135888889,222.633777778,252.675,230.452444444,181.07,195.473111111
220.85,132.974888889,133.691777778,231.541222222,138.709666667,190.681,216.845888889,211.469444445,159.139888889,165.233111111
221.23,109.756111111,115.718111111,188.889,108.401111111,161.246444444,168.834666667,163.414555555,127.642222222,124.119
221.61,109.692666667,117.494111111,189.125333333,111.347555556,168.085,168.085,159.574444444,130.732888889,123.640555555
221.98,170.498,181.992444444,303.448222222,172.413888889,257.471222222,241.379333333,246.743333334,190.804666666,192.720333333
222.36,190.170888889,183.760666667,307.264888889,166.666555556,261.111,232.906,257.264777778,209.401666667,196.581444444
222.74,424.074222222,408.333333333,627.777666667,384.259333333,614.814888889,506.481444444,575.925888889,511.111,442.592666667
223.11,618.518333333,554.321,837.036999999,553.086444444,855.555666667,717.284,785.185333332,729.629666666,593.827111111
223.49,2477.77777778,2255.55555556,3100.0,2055.55555556,3500.0,2944.44444444,3105.55555556,3055.55555555,2461.11111111
223.87,-364.197444444,-319.752888889,-429.629666667,-277.777777778,-595.061888889,-470.370333333,-471.605111111,-513.580333333,-350.617333334
224.24,-117.592666667,-97.6852222223,-146.296222222,-86.111,-181.018555556,-129.166666667,-166.666777778,-149.537111111,-99.5371111111
224.62,-35.8333333333,-23.0555555555,-57.7777777778,-19.1666666667,-58.0555555556,-40.5555555556,-59.4444444445,-43.6111111111,-22.2222222222
225.00,-2.43077777778,14.0623333333,-8.15966666668,9.20133333333,-14.4096666667,-6.25,-12.3265555556,-1.04166666666,11.1112222222
225.38,9.42333333332,23.6287777778,4.21944444443,12.5176666667,-2.67233333334,-0.562666666667,-8.017,12.377,18.7061111111
225.75,14.5391111111,26.4775555556,12.293,17.8486666667,7.0922222222,8.39233333333,2.12777777779,17.8488888889,22.2222222222
226.13,17.4328888889,28.9272222222,19.636,22.1263333333,12.3562222222,13.793,7.08822222222,22.5093333333,27.8735555555
226.51,18.3292222222,25.7096666666,19.3025555556,20.6,12.2465555556,13.3822222222,7.2181111111,24.2496666667,25.1418888889
226.88,17.3271111111,21.4452222222,17.3271111111,19.5804444445,12.2764444444,11.7327777778,5.59444444445,23.8538888889,21.4453333333
227.26,20.0386666667,20.6808888889,18.8183333333,20.8733333334,14.3225555556,13.3588888889,6.5511111111,24.2773333333,20.8734444445
227.64,16.6946666667,18.0344444445,16.5271111111,17.7554444444,14.2937777778,12.5068888889,6.58833333332,21.8872222222,20.7705555555
228.01,15.4263333333,17.0138888889,14.6824444445,15.4762222222,12.5495555555,12.1527777778,6.5971111111,20.8332222222,19.7915555555
228.39,13.983,16.4312222222,14.0301111111,15.0658888889,10.8286666667,12.1468888889,8.42766666666,19.3502222222,19.5384444444
228.76,5.312,9.35677777777,7.35844444445,7.30999999999,0.438555555557,4.92211111111,-1.55944444443,10.9648888889,10.8185555556
229.14,0.776555555556,4.26966666667,1.94088888889,4.02722222222,-4.07555555556,1.116,-6.88977777777,6.35611111113,4.60933333333
229.52,-3.63822222222,0.24577777778,-0.983222222221,2.06477777778,-8.1121111111,-1.67155555555,-8.50544444442,0.737444444433,1.18000000001
229.89,-5.22044444444,-0.239555555557,0.191444444442,1.96344444445,-8.33344444446,-1.19722222222,-6.56122222223,0.670555555557,3.73566666666
230.27,-5.75755555556,-2.62611111111,1.06066666667,1.36355555556,-8.48488888888,-3.68688888889,-7.42433333336,-0.858555555553,2.52511111112
230.65,-5.30077777778,-3.262,1.784,2.85422222222,-7.69611111112,-4.43433333333,-4.43433333334,0.254666666667,3.46588888888
231.02,-1.01011111111,2.22211111111,5.505,7.27266666667,-4.091,-1.16166666666,0.40411111111,4.04022222222,9.14133333334
231.40,-0.102333333331,7.37333333334,7.73166666665,10.3943333333,1.02411111111,1.68955555555,5.06899999999,7.16844444444,13.6712222222
231.78,-0.99511111111,10.0055555556,4.25655555556,10.3924444444,-1.05033333333,-0.77388888889,2.65333333333,6.19122222222,11.885
232.15,0.725777777777,12.6186666667,7.091,14.1822222222,3.12666666667,-0.279333333333,5.80688888889,9.04522222223,13.1211111111
232.53,0.343666666663,11.684,7.961,14.5475555555,4.06666666667,-2.06177777778,5.441,8.30466666667,11.9702222222
232.90,4.82666666666,15.7868888889,11.4632222222,17.8984444444,9.15033333333,2.96644444444,10.5581111111,12.4686666667,16.189
233.28,6.855,18.5037777778,14.6504444444,19.6683333333,10.9321111111,6.31722222223,15.726,15.905,18.7276666667
233.66,13.4668888889,24.0283333333,21.6724444444,24.8527777778,17.8248888889,14.252,22.1828888889,24.1853333333,24.9311111111
234.03,16.5547777778,27.666,23.9746666666,27.7404444444,21.7373333333,17.226,24.6831111111,27.8523333333,26.5474444445
234.41,14.8264444445,27.62,21.346,25.8675555556,20.9254444445,17.8406666667,24.2202222222,26.6035555556,24.6055555556
234.78,13.1402222222,25.3161111111,18.4296666667,23.1536666667,18.7624444444,17.5648888889,21.5568888889,24.0852222222,23.4198888889
235.16,11.6104444444,21.7541111111,16.4483333333,20.8177777778,16.7603333333,16.2607777778,19.7566666667,21.6915555556,19.9124444444
235.54,10.3782222222,18.7118888889,14.9572222222,19.017,13.492,15.2625555555,17.6738888889,18.7423333333,16.575
235.91,9.69399999999,16.4114444444,15.8446666667,17.2335555556,12.2731111111,14.9376666666,16.8083333333,17.4036666667,16.1281111111
236.29,7.091,12.6745555556,11.9765555555,13.4003333333,8.57055555556,12.0602222222,13.8468888889,13.4281111111,12.7302222222
236.66,4.83477777779,9.58422222222,8.00088888888,10.0932222222,5.23022222222,8.96255555556,10.376,10.0085555555,9.8388888889
237.04,4.28,7.48288888889,6.54766666666,8.58844444443,4.62022222222,8.02155555558,9.97744444443,8.67333333335,8.61677777778
237.41,2.67811111111,5.15655555556,5.04277777778,6.15388888888,4.55822222222,7.40733333333,7.54955555556,6.55277777777,7.37877777778
237.79,-1.57877777778,1.22822222222,0.906555555557,1.52044444444,2.07611111111,3.53822222222,2.57322222222,2.01766666667,3.12866666667
238.17,-4.62944444444,-2.228,-2.80677777778,-1.90966666667,-2.02533333333,0.607666666667,-1.79411111111,-1.82288888889,-1.21533333333
238.54,-5.14555555555,-2.799,-3.61888888889,-3.08155555556,-3.39255555556,0.254333333334,-2.82722222222,-2.68577777778,-2.14866666667
238.92,-3.39211111111,0.347333333335,-1.06822222222,-1.33544444445,-1.12177777778,1.38888888889,-1.14844444444,-0.854666666668,-0.801333333333
239.29,-3.52066666667,1.89777777778,-0.649111111111,-1.49811111111,0.0997777777777,1.72288888889,-1.27344444444,0.249888888888,0.873888888888
239.67,-0.769555555557,4.39,1.17666666667,0.724222222223,2.94177777778,3.417,0.497888888888,3.07744444444,3.64333333333
240.04,2.19055555556,5.894,2.23033333333,3.20577777778,4.61966666667,4.85877777778,2.44922222222,4.79877777778,4.95822222222
240.42,3.77322222222,6.85111111111,3.65155555556,4.64266666666,5.26855555556,6.32933333333,3.46011111111,6.27722222222,6.69444444444
240.79,4.65166666667,8.07422222222,5.14088888889,6.01477777778,6.01488888889,7.58522222222,4.91855555556,7.46655555557,7.62977777777
241.17,5.32866666667,8.42733333333,5.588,7.16966666666,6.45677777778,8.168,6.06777777778,7.79188888889,8.67377777777
241.54,6.28022222222,9.24766666667,6.02733333333,7.8331111111,6.28044444444,8.62666666667,6.71722222222,8.16655555556,9.71922222222
241.92,6.55655555556,9.38888888888,5.623,7.97788888888,6.02755555556,8.746,6.91977777778,7.76022222222,9.71066666668
242.29,6.48233333334,9.19111111111,5.43688888889,7.91744444444,5.99755555555,8.87744444445,6.90055555556,7.59422222222,9.999
242.67,6.77266666667,9.38644444445,5.79344444444,8.46111111112,6.38633333333,8.72188888889,7.32966666667,7.96733333333,10.5004444445
243.05,6.02377777778,8.40844444445,5.09633333333,7.8431111111,5.06077777778,8.01088888889,6.55355555556,7.25133333334,9.93644444445
243.42,5.72922222222,7.85577777778,4.58322222222,7.50855555555,4.644,7.58677777778,6.06777777778,6.80555555556,9.30544444443
243.80,4.539,6.89055555555,3.54855555555,6.52888888889,3.24722222222,6.38233333334,5.10766666667,5.50377777778,8.34633333333
244.17,3.89877777778,6.74744444444,3.06388888889,6.386,2.72833333333,5.83511111111,4.78522222222,5.02622222222,8.21077777777
244.55,3.62788888889,6.79144444444,3.03722222222,6.61422222222,3.07944444445,5.58522222222,4.54744444444,4.77533333333,7.94733333333
244.92,4.05577777778,7.03077777778,3.22688888889,6.80322222222,3.22688888889,5.84422222222,4.633,5.06377777778,8.28255555555
245.30,3.67833333333,6.66222222222,3.01422222222,6.166,2.732,5.38022222222,3.892,4.83055555556,7.89066666667
245.67,2.92288888889,5.671,2.48955555556,5.72677777778,2.10466666667,4.86677777778,3.39133333333,4.22355555555,6.97844444444
246.05,2.33322222222,4.66688888889,2.036,5.15788888889,1.24111111111,4.363,2.78588888889,3.75544444445,6.37966666667
246.42,2.28233333333,4.34655555555,2.02866666667,5.19,0.925999999999,4.06944444444,2.48277777778,3.67433333333,6.39866666667
246.79,2.70688888889,4.57722222222,2.35311111111,5.38133333333,1.21666666667,4.454,2.81388888889,3.88577777778,6.48555555556
247.17,3.05088888889,4.87155555556,2.68655555555,5.50633333333,1.84522222222,4.84222222222,3.33144444444,4.109,6.72666666667
247.54,3.32822222222,5.14666666667,2.94955555556,5.74477777778,2.09433333333,5.26811111111,3.76288888889,4.34255555556,7.07722222222
247.92,3.69188888889,5.25722222222,3.25655555556,6.03766666667,2.45355555556,5.737,4.12688888889,4.67422222222,7.37
248.29,3.68911111111,5.11533333333,3.25322222222,5.96511111111,2.49155555556,5.81544444445,4.13366666667,4.67088888889,7.31188888889
248.67,3.46966666667,4.97066666667,3.07677777778,5.549,2.22933333333,5.66388888889,3.97744444445,4.46733333334,7.16477777778
249.04,3.14855555556,4.62333333333,2.79477777778,5.24911111111,1.94633333333,5.25377777778,3.71577777778,3.92,6.71011111111
249.42,3.33155555556,4.77955555556,2.73977777778,5.25755555555,1.95933333333,5.26211111111,3.76666666667,3.77166666667,6.62488888889
249.79,3.23777777778,4.80322222222,2.58733333333,5.05244444444,1.80444444444,5.04233333333,3.53744444444,3.39022222222,6.41455555555
250.17,3.02977777778,5.10033333333,2.38477777778,4.92155555556,1.75066666667,4.80755555555,3.31155555555,3.13288888889,6.31433333333
250.54,2.849,5.11655555556,2.30244444445,4.52344444444,1.63366666666,4.74433333333,3.17455555555,2.90711111111,5.80277777778
250.92,2.33066666667,4.85444444444,1.93788888889,3.95711111111,1.10922222222,4.43077777778,2.79166666667,2.49277777778,5.42155555556
251.29,1.64144444444,4.61855555556,1.60833333333,3.469,0.505111111111,3.80111111111,2.14,2.04688888889,4.93766666667
251.66,1.85511111111,4.88611111111,2.11344444445,3.80566666667,0.672777777778,3.85333333333,2.40577777778,2.29011111111,5.063
252.04,2.21933333333,5.26255555556,2.429,4.33422222222,1.13766666667,4.041,2.56844444445,2.66588888889,5.05311111111
252.41,2.70888888889,5.743,2.94911111111,4.92955555556,1.57711111111,4.59722222222,2.98455555555,3.09777777778,5.36811111111
252.79,2.89733333333,5.83077777778,3.22311111111,5.39611111111,1.52833333333,4.60677777778,3.22333333334,3.23777777778,5.51922222222
253.16,2.91877777778,5.97,3.22666666667,5.51522222222,1.826,4.89166666667,3.24877777778,3.52011111111,5.99922222222
253.54,2.57111111111,5.50288888889,2.92455555556,5.23966666667,1.74411111111,4.70611111111,2.91688888889,3.22511111111,5.969
253.91,3.04855555556,5.78977777778,3.20188888889,5.68233333333,2.48022222222,4.94533333333,3.31711111111,3.81644444445,6.50377777778
254.28,4.062,6.53566666667,3.95911111111,6.63033333333,3.422,5.58711111111,4.33866666667,4.55977777778,7.15966666667
254.66,4.67566666667,6.87322222222,4.12222222222,6.898,3.79177777778,5.66711111111,5.02266666666,4.67588888889,7.56722222222
255.03,4.71366666667,6.33688888889,3.95833333333,7.257,4.08,5.31266666667,4.86122222222,4.75711111111,7.62177777778
255.41,5.28755555556,6.288,3.95677777778,7.83311111111,4.37666666667,5.65377777778,5.16277777778,4.89466666667,7.69933333333
255.78,4.73422222222,5.48188888889,3.18366666667,7.58566666667,3.84811111111,5.14033333333,4.57744444444,4.22666666667,7.09677777778
256.15,3.80011111111,4.70588888889,2.36233333333,6.732,2.83844444444,4.41644444444,3.85633333333,3.44533333333,6.42377777778
256.53,3.456,4.41877777778,1.87,6.10555555556,2.61266666667,4.01533333333,3.63955555555,3.14455555556,5.96811111111
256.90,3.678,4.69766666667,2.09822222222,6.25222222222,2.96455555556,4.48522222222,3.92444444444,3.42333333334,6.27755555556
257.28,3.55933333333,4.67355555555,2.63844444445,6.49966666667,2.85511111111,4.65788888889,4.02333333333,3.59788888889,6.31388888889
257.65,3.21955555555,4.63755555556,2.75377777778,6.28855555555,2.41811111111,4.51422222222,3.87033333333,3.50733333333,6.02144444444
258.02,3.22744444444,4.89111111111,3.00988888889,6.34911111111,2.481,4.72655555556,3.94477777778,3.73888888889,6.25522222222
