wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
784.05,33.79875,48.4545416667,20.7433229167,55.79125,15.4855833334,22.4710833333,15.4899166667,18.2502777778,45.0255416666,24.77175
784.36,32.80975,47.7192083333,20.08571875,54.4373333333,14.6345,21.9292916667,15.1845833333,17.1932222222,43.778875,24.1615833333
784.67,31.2524166666,47.0829583333,18.4307916666,53.139875,13.34525,20.7924583333,13.41325,15.2369722222,42.5029583333,22.850625
784.98,30.3114166667,46.8176666667,18.2841354167,52.8570833333,13.237125,20.1099583333,13.4249166667,15.0945277778,42.6464583333,22.6190416667
785.29,29.8298333333,46.4920833333,18.665375,52.5750833333,12.962,20.0100833333,13.22725,15.2335277777,42.2294166667,22.2602083334
785.60,30.3879166667,46.2465416667,19.2764270833,51.7105416667,13.4922916667,20.4605833333,13.5954166667,16.0111111111,42.0258333334,22.45875
785.91,30.9016666667,46.6675416667,20.0790416667,52.1344583333,14.563375,21.1437916667,14.8208333334,16.6251388889,42.3677083333,22.9855833333
786.22,30.8958333333,46.5064583333,19.4993333333,52.0679166667,14.4710416667,20.4901666667,14.42275,16.3147777778,41.996625,22.4615
786.53,30.76725,46.8770833334,19.4492708333,52.4269583334,14.3962083333,20.8071666667,13.95275,16.2895833333,42.5756666667,22.3165416667
786.84,29.809,45.9855416667,18.6886875,51.3100833333,13.6367916666,19.9331666667,13.286,15.2693888889,41.510375,21.3150833333
787.14,30.2745833333,46.11425,19.48778125,51.6699583333,14.3518333334,21.0730833333,14.0046666667,15.738,42.05525,21.4822916666
787.45,31.30375,47.377375,20.9349270834,52.21675,15.655875,22.4530833333,15.0986666667,17.51825,43.2545416666,22.823125
787.76,32.10725,48.0756666667,21.67040625,53.080375,16.2709166667,23.1340833333,15.689,17.9806666667,43.6880416667,23.6692916667
788.07,32.5405,48.0825,22.1075520833,53.7510833333,16.4228333333,23.422,15.9653333333,18.4380555556,43.9119583333,23.9135
788.38,32.4225833333,47.9545833333,21.7573958333,53.586,16.15825,23.136875,15.5206666667,17.9975,43.3858333333,23.1670833333
