wavelength,Back_HemMelm,Belly_HemMelm,Breast_HemMelm,Crissum_HemMelm,Crown_HemMelm,DorTail_HemMelm,Patch10_HemMelm,Patch11_HemMelm,Rump_HemMelm,Throat_HemMelm,WingTip_HemMelm
195.89,35.7673333333,21.4682,30.3968,25.9128,41.5476,27.1798263636,34.8414,31.2302,26.1111333333,33.6508,15.2777333333
196.27,32.6668814815,22.1973333333,28.7895333333,26.3688,41.2290666667,26.7507687879,33.4451333333,26.9274,24.4694,30.6146,15.2328
196.65,31.711,21.4130666667,26.1957333333,23.8406666667,40.2174666667,25.4671806061,32.1013333333,24.4565333333,21.7028666667,27.6086666667,13.4782666667
197.03,28.5619259259,20.0708,22.6242,21.9149333333,38.4396,23.5151287879,31.3122,20.1417333333,20.3546666667,26.1702,11.0282666666
197.40,29.515637037,22.3077333333,23.4798666667,23.1502,42.9670666666,27.5873642424,33.7362,21.4652,22.0511333333,29.4506666667,14.9084666667
197.78,27.5904518519,18.5823333333,20.6514666667,17.5860666667,39.8851333333,25.817149697,31.6858666667,17.7395333333,17.5479333333,25.7471333333,13.1419333333
198.16,25.5359851852,14.7758666667,15.3606,13.2552666667,37.115,22.397799697,27.0954,13.5672666666,12.5925333333,20.6237333333,9.51266666668
198.54,22.5593185185,10.1797333333,12.4151333333,10.1796,36.1676666667,17.2659509091,22.6347333333,10.5388666667,6.90620000001,16.2075333333,6.82633333333
198.92,27.2308296296,16.3178666667,17.9069333333,15.3876666667,43.0620666667,24.3624242424,27.1317333333,13.1783333333,12.4806,22.907,12.9845333333
199.30,23.7902888889,13.4503333333,16.0233333333,12.9824,40.0,20.3159754545,23.5476666667,9.20080000001,10.5652666667,20.6627333333,10.9552666667
199.68,25.8401037037,14.2276666667,18.5365333333,12.7642666667,42.6424,21.1875284848,24.8778666667,11.5854,9.51219999998,22.8862666667,14.2682666667
200.06,23.7135851852,9.50446666664,16.4866,9.27926666666,42.8828666667,16.6450024242,19.6396,5.40533333334,4.63966666668,21.0810666667,11.5314666667
200.44,17.4968296296,-4.25279999994,8.79313333334,-4.02306666662,39.4828,5.38901636361,8.16093333334,-5.05753333326,-6.03453333333,14.3104,0.517133333406
200.82,7.50102222222,-24.3678000001,-0.61299999992,-22.0690666666,35.7854666666,-11.8248396969,-7.50966666662,-25.6704666667,-23.0650666667,2.75860000002,-15.0191333333
201.19,-1.1163851852,-44.0374,-10.3286666666,-40.2816000001,31.9248666666,-26.6858187879,-23.3802666667,-40.5633333333,-38.0282666667,-10.9858666666,-31.4554666666
201.57,3.99811111114,-36.4957333333,-4.0170666666,-30.2564000001,31.4529333333,-23.1380239394,-16.7521333334,-34.6153333333,-32.3932,-10.5982666667,-28.2906
201.95,-11.7057259259,-50.2632000001,-17.5438666667,-41.4912,19.6490666667,-38.1548430304,-29.5613333334,-45.9648,-48.421,-26.1402666667,-46.7546
202.33,-15.5783999999,-61.6412,-16.6153333334,-46.2564666667,20.6152666667,-45.5944521213,-35.4871999999,-56.1024666666,-57.6410666665,-28.5128666667,-56.8205333333
202.71,-26.1779925926,-88.9362666667,-21.9859333333,-68.3688000001,13.0496,-68.4157748484,-55.1772666667,-90.4966,-89.2198666666,-42.695,-95.4609333333
203.09,-39.2180074073,-110.370266667,-41.6667333332,-91.4813999999,8.14826666661,-96.3568651515,-68.7037333333,-125.370266667,-128.703733333,-66.1111333333,-123.889
203.47,-28.2198148147,-105.161266667,-40.215,-94.4084666667,20.6452666667,-99.9160521212,-56.1290666665,-140.215,-141.0752,-73.9785333335,-128.172
203.85,-22.8806296297,-88.1479999999,-35.1851333334,-79.8148666667,19.6296,-80.7289639394,-46.4814666668,-122.962933333,-119.629533333,-65.3703333333,-108.888933333
204.22,-7.69701481486,-51.8840666668,-14.2028666667,-51.7390666667,24.7826,-55.5704766667,-22.029,-81.0144666667,-77.8260666668,-41.1594,-72.0289333335
204.60,-29.4988222223,-60.5226666667,-28.8889333333,-62.4836,8.75819999992,-66.5691106061,-35.2942,-92.4183333333,-87.9738000001,-49.4118666667,-82.3529333333
204.98,-36.2183629629,-61.0528000001,-37.4268666665,-60.3508666667,-0.9358,-64.6363636364,-41.1695333334,-82.8069333334,-84.7953333334,-44.5614666666,-82.5730000001
205.36,-63.9620888888,-78.4497333333,-63.1008,-88.5271333334,-12.2479333333,-103.142281212,-72.2479999999,-121.550466667,-127.907066667,-71.0077333334,-123.720933333
205.74,-213.862444445,-239.6826,-207.618933333,-276.825333333,-105.396733333,-291.129903031,-233.968333333,-321.2698,-341.587333334,-205.714266667,-330.1588
206.12,-128.042355556,-134.2858,-114.7618,-170.714333333,-41.6665999999,-186.614677576,-146.1904,-216.904733333,-210.952333333,-111.666666667,-205.7142
206.50,-160.655155555,-145.128333333,-151.0256,-205.641,-49.9999999999,-220.795990303,-189.487133333,-249.2308,-243.5898,-150.7692,-243.589733333
206.87,-164.928940741,-144.102666667,-159.7436,-213.0768,-37.4358666666,-229.270387273,-202.307666667,-250.7692,-228.205066667,-154.615333333,-240.769266667
207.25,-122.648674074,-124.0404,-115.151466667,-169.494933333,-22.2222666666,-178.383796364,-168.686933333,-195.555533333,-174.545466667,-114.949533333,-196.363733333
207.63,-81.5309555555,-92.4444000001,-73.6297333333,-123.4074,-12.4444,-116.385034242,-118.074,-131.2592,-121.926066667,-77.7778,-141.926066667
208.01,-112.283933333,-117.036933333,-107.777666667,-163.518533333,-20.7408666666,-149.655684545,-154.259266667,-165.740866667,-158.148133333,-104.259133333,-192.2222
208.39,-216.734088889,-222.727066667,-222.424266667,-293.030333334,-56.3635333333,-274.057784848,-282.727333333,-306.9696,-288.787933333,-207.8788,-352.121133334
208.77,-162.844444444,-166.666666667,-184.266666667,-236.0,-17.6000000002,-231.575757576,-224.8,-239.733333333,-236.266666667,-166.4,-279.466666667
209.14,-295.686251852,-294.117666666,-330.588266666,-414.117600001,-58.0392000001,-401.782620909,-369.4118,-433.725399999,-412.9412,-310.980266666,-452.156866667
209.52,-298.148148148,-324.583333333,-334.583333333,-440.833333333,-48.3333333333,-410.189393939,-391.25,-452.916666667,-440.0,-301.249999999,-447.500000001
209.90,-265.694444445,-292.916666666,-289.166666666,-392.916666666,-16.2500000001,-371.948863637,-365.416666667,-422.083333334,-419.583333333,-300.833333333,-403.333333333
