wavelength,Back_TanDesm,Belly_TanDesm,Breast_TanDesm,Crissum_TanDesm,Crown_TanDesm,DorTail_TanDesm,Patch10_TanDesm,Patch11_TanDesm,Patch12_TanDesm,Patch13_TanDesm,Patch14_TanDesm,Patch15_TanDesm,Patch16_TanDesm,Rump_TanDesm,Throat_TanDesm,WingTip_TanDesm
408.26,4.64458333333,14.7485833334,4.821,13.6068333333,5.05936111111,5.4225,4.86508333333,2.57391666667,5.6935,54.8249166666,5.73058333333,16.9379166667,27.9636666666,6.44980833334,5.60183333333,6.91841666667
408.62,4.63408333333,14.76075,4.82225,13.6034166667,5.05908333333,5.43904166667,4.84958333334,2.56691666667,5.70408333333,54.6279166667,5.731,16.9064166666,27.85275,6.43671666666,5.63116666667,6.89241666667
408.98,4.67741666666,14.82525,4.88758333333,13.62725,5.10194444444,5.468875,4.89866666667,2.60583333333,5.73791666667,54.5373333333,5.752,16.9168333333,27.7710833333,6.45574166666,5.67741666667,6.92154166667
409.34,4.68891666667,14.8810833333,4.91233333333,13.64025,5.12420833333,5.494375,4.91816666666,2.63133333334,5.74691666667,54.4175,5.77266666667,16.9068333334,27.7261666667,6.44899166666,5.69533333333,6.93683333333
409.70,4.70216666667,14.897,4.92483333334,13.701,5.148625,5.50770833333,4.91691666667,2.62266666667,5.753,54.31575,5.76975,16.8895833334,27.671,6.43217500001,5.69125,6.94870833333
410.06,4.71341666667,14.9259166667,4.95791666666,13.70575,5.17991666667,5.51429166667,4.8995,2.61541666666,5.77091666667,54.2175,5.7775,16.87675,27.64325,6.42401666667,5.71941666667,6.96841666667
410.42,4.70791666667,14.9056666667,4.97733333333,13.6748333333,5.19502777777,5.52025,4.86166666667,2.64025,5.75591666666,54.0920833333,5.74816666666,16.83275,27.5574166667,6.39945833334,5.69625,6.959875
410.77,4.71416666667,14.9438333333,4.99641666667,13.7086666667,5.20411111111,5.53125,4.85108333334,2.645,5.78041666667,54.061,5.75141666667,16.8306666667,27.5356666666,6.41699166667,5.72141666667,6.98929166667
411.13,4.71308333333,14.9569166667,5.01466666666,13.7244166667,5.22794444444,5.54129166667,4.86241666667,2.66033333334,5.77858333333,53.9744166667,5.76658333333,16.7905833333,27.4686666667,6.42920833334,5.75025,6.99783333334
411.49,4.70933333333,14.9796666667,5.0125,13.7415,5.23184722222,5.53625,4.87133333334,2.66725,5.79758333333,53.7935,5.75608333333,16.73875,27.3395833333,6.42301666667,5.78808333333,6.99420833333
411.85,4.65291666667,14.9543333333,4.97625,13.7071666667,5.21448611111,5.49308333333,4.84516666667,2.64608333333,5.74166666667,53.6799166667,5.70591666667,16.65975,27.23025,6.37144999999,5.7435,6.9495
412.21,4.656,14.978,4.97675,13.7064166667,5.19981944444,5.457,4.84366666667,2.66341666667,5.71691666667,53.51425,5.70666666666,16.5793333334,27.141,6.35703333333,5.74408333334,6.956
412.57,4.67858333333,15.0204166667,5.00608333333,13.7070833333,5.20322222223,5.46858333334,4.866,2.67258333333,5.70891666667,53.3920833333,5.71725,16.5110833333,27.0693333333,6.36644166667,5.74458333333,6.99004166667
412.92,4.69433333333,15.0251666667,5.00975,13.7161666667,5.20475,5.49204166667,4.87283333334,2.695,5.70733333333,53.242,5.71425,16.4081666667,26.9348333333,6.37254166667,5.764,7.006375
413.28,4.70708333333,15.00825,4.99641666667,13.7163333334,5.19522222223,5.49541666667,4.88066666667,2.69675,5.70025,53.135,5.69658333333,16.3205,26.8051666667,6.36218333334,5.777,7.00375
413.64,4.67916666667,15.013,4.987,13.69225,5.19818055556,5.49629166667,4.89575,2.70666666666,5.70333333334,53.0005833334,5.69766666667,16.2389166667,26.6801666666,6.34573333333,5.79816666667,6.984625
414.00,4.65108333334,14.9645833333,4.96016666667,13.6699166666,5.15506944444,5.45925,4.87366666666,2.68191666666,5.68141666667,52.8161666667,5.64983333333,16.13225,26.4878333333,6.31005833334,5.7655,6.95545833333
414.36,4.70283333333,15.0051666667,4.99133333333,13.7136666667,5.18215277778,5.477625,4.90825,2.71858333334,5.705,52.6975833333,5.68091666667,16.0618333333,26.325,6.33995833332,5.81825,6.99895833333
414.72,4.69016666667,14.9863333333,4.96608333333,13.6799166667,5.16061111111,5.442125,4.88966666667,2.71308333333,5.66675,52.5661666667,5.64158333333,15.95075,26.144,6.29134999999,5.79116666667,6.976375
415.07,4.6885,14.9521666667,4.95175,13.6311666667,5.13979166667,5.43108333333,4.88541666667,2.70225,5.64075,52.3670833333,5.60541666667,15.8415,25.95525,6.23884166668,5.77791666666,6.976625
415.43,4.69241666667,14.93375,4.97016666667,13.63475,5.12227777778,5.43558333333,4.88358333333,2.71858333333,5.60033333333,52.3013333333,5.60566666667,15.7345833333,25.8289166667,6.21917500001,5.77358333333,7.00158333334
415.79,4.72358333333,14.91375,4.99583333333,13.6354166667,5.11625,5.43645833333,4.87108333334,2.72116666666,5.60166666667,52.2364166667,5.59616666666,15.63175,25.6710833333,6.21172500001,5.78741666667,7.032875
416.15,4.70225,14.9015833333,4.98908333333,13.6404166667,5.12205555556,5.44025,4.85333333333,2.69683333333,5.59458333333,52.2399166666,5.57466666667,15.5251666667,25.5185833333,6.16908333333,5.77166666667,7.0245
416.51,4.66183333334,14.8415,4.95258333333,13.59675,5.07934722223,5.395625,4.80458333333,2.65658333333,5.55516666667,52.1480833333,5.51575,15.3729166667,25.282,6.09458333333,5.73308333333,6.99095833333
416.86,4.66375,14.834,4.94866666666,13.5855,5.07279166667,5.38816666667,4.79858333333,2.64533333333,5.52975,52.0366666667,5.49383333333,15.2694166667,25.101,6.05536666666,5.75341666667,7.00504166667
417.22,4.64625,14.7754166667,4.93191666667,13.5398333333,5.03594444444,5.35079166667,4.75508333334,2.60425,5.499,51.85475,5.45141666667,15.1134166667,24.8265833334,6.00178333334,5.71741666666,6.98475
417.58,4.672,14.7456666666,4.93841666667,13.5194166667,5.00384722223,5.34504166667,4.74283333334,2.603,5.46691666667,51.7396666667,5.41933333333,14.9750833333,24.5964166667,5.96958333333,5.7065,7.00975
417.94,4.67758333333,14.7489166667,4.95433333333,13.5134166667,5.00791666667,5.34691666666,4.7405,2.60466666667,5.47558333333,51.6705833334,5.41608333333,14.862,24.3783333333,5.95108333333,5.72291666667,7.0235
418.29,4.65525,14.7014166667,4.93516666667,13.4645833333,4.96731944444,5.31329166667,4.71966666667,2.57575,5.45775,51.5516666667,5.37341666667,14.7225,24.1629166667,5.90755833334,5.71958333333,7.00933333333
418.65,4.67633333334,14.7065833333,4.9475,13.4854166666,4.96479166667,5.3265,4.73375,2.58191666667,5.47558333333,51.4791666667,5.36066666666,14.6060833333,23.9485833333,5.89324166666,5.74158333333,7.03241666667
419.01,4.68308333334,14.6865,4.96608333333,13.4929166667,4.95818055556,5.323625,4.71933333333,2.5915,5.46175,51.4099166667,5.35116666667,14.4780833333,23.7409166667,5.87790833334,5.74141666667,7.03270833333
419.37,4.69033333333,14.677,4.96866666667,13.4636666667,4.96027777777,5.31391666667,4.71358333333,2.58933333333,5.45275,51.2936666667,5.34008333333,14.35825,23.5155,5.85985833333,5.75058333333,7.0345
