wavelength,Back_SicLucf,Belly_SicLucf,Breast_SicLucf,Crissum_SicLucf,Crown_SicLucf,DorTail_SicLucf,Patch10_SicLucf,Patch11_SicLucf,Rump_SicLucf,Throat_SicLucf,WingTip_SicLucf
184.11,686.111,811.111333333,501.851833333,429.034345238,487.037,737.963166667,535.185166667,515.740833333,650.771694444,631.481416666,794.444666666
184.49,1450.0,1689.58333333,1079.16666666,888.69047619,1008.33333333,1535.41666667,1087.5,983.333333333,1325.0,1308.33333334,1727.08333334
184.87,1314.81483334,1468.51816667,1024.07383334,860.449785714,868.518666665,1344.4445,1025.92583333,874.074166666,1181.79019444,1173.148,1620.37016666
185.25,448.809333334,483.9285,399.404666667,297.788928572,291.6665,462.500166667,351.190333334,286.904666667,417.063611111,427.083166667,539.880833333
185.63,675.0,744.791666667,597.916666667,405.654761904,382.291666667,691.666666667,513.541666667,401.041666667,626.73611111,636.979166667,843.75
186.01,418.5185,434.568,361.728333334,260.31747619,227.777666667,422.839333334,296.9135,247.531,368.21,397.8395,527.777833333
186.39,3133.3335,3022.2225,2544.4445,1706.74619048,1472.22233333,3099.99983334,2116.66666666,1400.0,2634.25922222,2894.44425,3944.44433334
186.77,-437.037,-417.592333333,-330.555666667,-221.693202381,-198.147833334,-466.6665,-303.703666666,-175.925833334,-363.42575,-406.48175,-615.740666667
187.15,-157.916666667,-154.583333333,-118.75,-81.1904761903,-60.8333333333,-180.416666667,-107.5,-58.75,-122.222222222,-145.833333333,-247.083333333
187.53,-103.333333333,-114.333333333,-72.6666666665,-49.1428571428,-32.0,-131.666666667,-62.6666666668,-31.3333333333,-78.6666666667,-97.3333333335,-175.0
187.91,-180.180166667,-204.5045,-139.64,-114.189166667,-85.5854999999,-205.856,-114.414333333,-95.9459999999,-140.840916667,-172.747916667,-273.873833333
188.29,-150.7245,-153.260833333,-109.782666667,-94.6688690478,-77.8986666667,-161.594166667,-92.3911666668,-89.1305,-120.893805555,-142.753666667,-215.579666667
188.67,-165.8915,-172.093166667,-110.852666666,-105.149654762,-100.775333333,-185.271333333,-109.69,-101.5505,-139.987194445,-162.403416666,-234.1085
189.05,-122.222166667,-144.771,-88.8886666665,-79.4353214285,-86.2743333331,-147.712333333,-92.8104999999,-81.0458333334,-107.1895,-132.1895,-177.777666667
189.43,-105.1075,-122.849333333,-68.2796666665,-71.9662261905,-84.1398333335,-126.344,-84.1396666667,-86.0215,-93.2347222224,-102.553666666,-152.688
189.81,-142.372833333,-154.519666667,-107.627166666,-108.373833333,-129.096166666,-163.276833333,-126.553666667,-120.056166667,-128.483972222,-126.9775,-189.548166667
190.19,-97.6493333335,-102.3505,-71.1541666665,-70.7723333335,-89.1026666667,-111.111166666,-86.5384999999,-84.6153333333,-91.4530833335,-73.611,-128.632666667
190.57,-170.0615,-179.629666667,-143.518666666,-133.355416666,-155.246833334,-189.815,-153.395,-159.8765,-157.253055555,-130.40125,-217.284
190.95,-158.187,-159.064166667,-128.3625,-122.075940476,-138.304333333,-171.345166667,-137.426833333,-145.029333333,-148.002027778,-117.397416667,-192.69
191.33,-160.7345,-152.542333334,-130.225833334,-129.963797619,-135.875666667,-163.559166667,-149.152666667,-140.678,-153.766611111,-117.51425,-197.457666667
191.71,-207.986166667,-200.347333333,-178.124833333,-180.406690476,-187.152833333,-217.013833333,-205.5555,-182.639,-208.854,-149.132,-250.694666666
192.09,-168.128833333,-164.9125,-144.736666666,-152.29722619,-162.280833334,-178.947333333,-171.637333333,-138.888833334,-168.616166666,-116.812833334,-197.076
192.47,-182.026166666,-180.065333334,-154.574833334,-167.507083333,-180.392,-194.4445,-186.928166667,-143.791,-177.668916666,-126.470666666,-221.241666667
192.85,-161.111,-149.6915,-130.247,-147.971857143,-160.802333334,-162.654166667,-160.493833333,-119.4445,-146.5535,-96.9134166665,-192.592666667
193.23,-172.321333334,-147.618833333,-128.571666666,-143.664726191,-159.226166667,-154.464333333,-155.0595,-118.75,-149.851027778,-96.4286666665,-194.345333333
193.61,-141.6665,-116.6665,-101.301666667,-116.889761905,-124.999833333,-125.781333333,-115.885333333,-79.427,-117.057194445,-65.3643333335,-151.822666667
193.99,-178.260833333,-157.6085,-133.3335,-153.416071428,-153.623166666,-180.797166667,-147.101333333,-98.5506666666,-151.086944444,-89.4926666665,-191.304166667
194.37,-350.666666667,-314.666666666,-286.666666667,-313.714285714,-298.666666666,-353.333333334,-324.666666667,-193.333333333,-291.222222222,-211.0,-373.333333333
194.75,-344.444333334,-302.777833333,-256.944333334,-323.214333334,-289.583166667,-359.722333333,-329.166666667,-189.5835,-291.203583333,-218.055583334,-368.750166667
195.13,-469.791666667,-441.666666667,-363.541666667,-473.586309524,-432.291666667,-558.333333333,-487.5,-248.958333333,-434.722222222,-325.0,-551.041666667
195.51,-1323.33333334,-1326.66666667,-1076.66666667,-1355.23809524,-1303.33333334,-1783.33333334,-1436.66666667,-673.333333333,-1257.77777778,-973.333333335,-1550.0
195.89,6583.33333334,6883.33333335,5050.0,6666.66666666,6450.0,9066.66666665,7100.0,3316.66666667,6197.22222222,4975.0,7600.0
196.27,1470.83333333,1487.5,1241.66666667,1561.30952381,1445.83333334,2325.0,1762.5,858.333333331,1572.22222222,1268.75,1825.0
196.65,-2533.33333334,-2541.66666666,-2008.33333334,-3063.0952381,-2491.66666666,-4441.66666666,-3291.66666667,-1500.0,-3051.38888889,-2479.16666666,-3200.0
197.03,-2175.0,-2383.33333333,-1741.66666666,-2958.33333334,-2166.66666666,-4575.0,-3091.66666666,-1358.33333334,-3145.83333334,-2595.83333334,-2966.66666666
197.40,716.666666667,993.333333332,673.333333335,1254.52380952,883.333333333,1980.0,1210.0,476.666666666,1285.55555555,1043.33333334,1116.66666667
197.78,321.666666667,498.333333333,320.0,627.261904762,450.0,996.666666665,679.999999999,256.666666666,677.222222223,564.166666667,570.0
198.16,264.583333333,365.625,259.375,468.601190476,360.416666667,661.458333334,486.458333333,214.583333333,501.5625,385.416666666,438.541666666
198.54,168.939166667,279.5455,163.6365,341.071333333,289.394,494.696833334,339.394,150.7575,392.424277778,243.560583334,333.333333333
198.92,136.111166667,206.018666667,143.0555,257.936583333,228.703666666,336.573833334,242.1295,114.814833333,285.030888889,181.9445,235.185
199.30,136.666666667,183.333333333,128.75,234.642857143,205.0,286.25,238.333333334,100.416666667,252.361111111,169.166666667,201.666666667
199.68,144.841333333,184.127,113.889,233.135,208.730166667,280.158833333,233.730166667,97.619,249.338777778,177.380833333,200.793666667
200.06,133.3335,164.184166667,104.255333334,209.118559524,193.617166667,256.737666667,218.439666666,89.0071666666,236.938666667,171.808583333,175.177166667
200.44,103.869,129.1665,74.7026666665,171.364857143,158.035833333,193.75,175.595166667,61.607,191.418666667,120.833166667,139.583333333
200.82,96.6216666667,117.5675,82.2071666665,152.139738095,139.865,164.4145,156.982,66.892,157.057027777,102.027083334,125.450166666
201.19,87.3493333333,106.626333333,77.5101666665,139.142166667,126.9075,140.562333333,140.562,61.6465,140.729583333,92.7709166665,112.449666667
201.57,81.875,97.0833333332,67.7083333335,131.309523809,118.333333333,126.041666667,137.5,56.4583333333,131.076388889,75.5208333335,104.375
201.95,80.1138333333,91.288,75.5681666665,123.714714286,114.962166667,108.712,127.272666667,56.2503333333,122.727361112,70.549,97.9165
202.33,75.1893333333,79.3559999998,62.3103333335,114.826845238,106.628833333,90.9091666665,120.644,45.265,112.531777777,61.4583333333,88.0683333333
202.71,74.053,69.6971666667,69.3181666665,112.500071428,104.924333333,86.7425,122.3485,43.9391666667,109.248666667,69.318,82.3863333333
203.09,70.8995,65.0794999999,67.7251666665,126.114761905,116.402,90.2116666665,147.3545,38.095,123.456555555,66.66675,84.9205
203.47,77.6118333334,70.8953333335,76.1195,132.533833334,123.880666667,91.542,138.806,49.2538333334,128.399444445,64.55225,94.7761666666
203.85,74.8943333334,70.4641666668,84.1771666665,127.019083333,118.776166667,87.7636666667,131.856666667,60.1265,123.98025,57.48925,93.6708333334
204.22,84.896,76.3023333332,91.4063333335,154.427107143,133.854166666,90.6250000001,152.604166667,67.1876666667,142.664611111,60.9375833335,115.625166667
204.60,96.5175000001,81.3433333335,94.776,159.683773809,133.333166667,96.2686666667,156.965333334,81.0948333331,150.0,80.59675,126.616833333
204.98,94.4445,81.9443333331,108.611,171.150833334,145.5555,102.777833333,174.722333333,88.0556666669,172.1295,94.02775,133.888833334
205.36,95.2020000002,80.8083333335,102.020333334,159.163166666,146.717166666,100.252666667,176.768,93.1818333335,167.508472222,100.757666667,132.575833333
205.74,90.5796666666,74.6375000001,92.512,153.019380952,148.0675,101.207666667,164.975833333,88.4058333334,165.861333333,109.17875,128.260833333
206.12,103.636333334,90.9091666665,106.060333333,186.861464286,180.909166666,130.606,193.636166667,113.636333334,204.393916667,135.757416667,154.545666666
206.50,115.942,111.231833333,131.159666666,225.233107143,215.579833333,164.130666667,218.840666666,142.753666667,241.183416667,172.826083333,180.0725
206.87,137.142833333,132.381,152.857,297.142988095,280.952666667,208.095333333,269.523833333,187.143,291.111138889,217.143,216.1905
207.25,118.055666667,94.4441666667,102.778,217.658904762,210.4165,151.736166667,189.930666667,144.097166667,211.747694444,170.65975,162.500166667
207.63,96.5516666665,88.5058333333,92.241,183.928392857,174.425166667,135.9195,165.804666666,127.298833333,181.465416667,150.862,138.218166666
208.01,96.7321666665,83.0065,80.0655,185.877619048,179.085,133.333333333,172.222333333,132.679666667,187.091388889,164.705833334,137.908666666
208.39,87.4316666667,72.9506666667,92.3495,162.080392857,166.12,123.497333333,150.0,126.502833333,169.490055556,138.251166667,119.125666667
208.77,81.5603333333,74.8225000002,99.2908333335,190.197321429,202.482166667,130.851,171.2765,138.297833333,193.97175,151.950333333,124.1135
209.14,70.4678333334,54.6786666668,70.4675,155.117071428,162.280833333,104.0935,127.4855,109.064333334,150.731083333,120.321833333,99.9998333333
209.52,63.5803333333,43.2100000001,68.5186666665,154.012297619,152.777833333,100.617333333,114.506333333,93.5184999998,144.135805555,107.098583333,87.654
209.90,65.7576666667,54.8483333335,74.5455,157.380976191,153.636333334,87.8786666666,107.2725,94.8483333333,137.222166666,97.5760833335,90.9091666666
210.28,37.857,32.381,33.8096666665,116.394392857,98.0953333331,48.3335,74.0473333333,57.6191666667,92.4601944443,65.2381666667,64.5238333333
210.66,28.1891666667,29.4236666666,23.8681666667,99.8675952381,77.7775,37.4485,69.9586666667,40.9465,82.2016111112,54.9380833334,57.613
211.03,26.984,27.5795,15.0793333334,88.3647142859,61.9048333333,25.0,62.4998333333,30.1586666667,75.7936111111,43.15475,52.381
211.41,14.4066666667,18.3616666667,0.28266666665,112.490178572,66.3841666667,11.017,72.034,25.1411666666,87.0526388888,31.2146666666,51.4125
211.79,4.2638333333,0.0,-32.9455,130.426464286,67.4418333335,-20.1551666667,68.6045,20.5426666667,87.3385,22.4805833333,41.473
212.17,-16.6666666667,-15.3155,-34.6848333333,122.619107143,61.2615,-49.5496666666,40.0901666666,7.65766666665,72.3726944445,-0.22508333335,24.7748333333
212.55,-25.8771666669,-23.6841666667,-60.5261666666,94.642857143,45.6141666667,-73.6843333333,22.8071666666,-7.01766666665,42.0319166667,-0.658,10.5265
212.92,-35.0428333331,-14.9573333334,-39.7438333333,87.1187738094,47.4358333333,-69.2305000002,8.97433333335,-14.1025,17.5925555556,2.56416666665,-0.8545
213.30,-68.1160000002,-20.2898333334,-94.2028333334,119.047642857,93.4781666667,-159.420333333,14.4926666667,-47.1013333335,14.3720833333,11.9568333333,-31.1595
213.68,-257.142666667,-52.3811666665,-430.952166667,362.585238095,283.3335,-619.0475,-4.76183333335,-133.333166667,27.3808055555,50.0001666665,-123.809333333
214.06,-62.2221666665,13.3333333335,-125.555666667,229.762011905,185.555666667,-208.889166667,77.7778333333,8.888666667,99.4443333333,103.888833334,-16.6666666667
214.44,87.878833333,50.0,187.879,-265.584321429,-225.757333333,307.575833333,-72.7273333334,-16.6665,-108.080722222,-92.4243333335,83.3331666668
214.81,72.5803333334,67.7418333335,103.225666667,-48.271809524,-50.0001666665,155.3765,31.1826666667,23.1183333335,12.18625,12.09675,82.7956666668
215.19,70.6898333334,55.1721666665,82.7588333335,-78.283845238,-90.8046666668,156.321833333,12.0691666667,-4.02283333335,12.6436944444,-5.45966666665,74.1381666668
215.57,99.9999999999,36.904833333,85.7145,-193.537583333,-277.381,280.952666667,-2.3808333333,-73.8094999999,-15.277638889,-131.547416666,101.1905
215.95,216.666666667,95.8333333335,150.0,-841.964285714,-1087.5,829.166666667,-108.333333333,-283.333333334,-323.611111111,-647.916666665,233.333333333
216.32,-816.666666669,-816.666666665,-2083.33333334,3888.0952381,4166.66666666,-3616.66666666,550.0,633.333333335,1630.55555555,3300.0,-750.0
216.70,-152.083333333,-56.25,-352.083333333,464.880952381,464.583333333,-466.666666667,75.0,45.8333333335,209.375,375.0,-102.083333333
217.08,-14.1666666666,0.0,-126.666666667,187.380952381,197.5,-152.5,60.0,53.3333333335,145.555555556,178.333333334,-14.1666666665
217.46,-26.923,-20.5126666667,-89.1026666665,129.990857143,119.230666666,-99.359,30.1281666666,45.5128333335,108.333333334,131.730833334,-5.76933333335
217.83,-4.514,8.6805,-14.5835,77.6535833331,76.3888333331,-27.7778333333,30.2081666666,40.2778333335,75.2315,83.33325,16.3193333334
218.21,-33.3333333333,-18.651,-59.127,64.5410000002,57.143,-55.5556666666,14.6826666667,17.8571666667,53.4390555555,67.0634166665,-3.5715
218.59,-28.8135,-18.079,-38.418,45.3188214286,41.2430000002,-36.7233333333,15.2543333334,12.7118333334,38.3707222223,49.4351666667,-5.64966666665
218.97,-39.5058333331,-29.6295,-54.9385,44.2238928571,40.4320000001,-45.3703333334,11.111,9.568,31.8415555556,47.5309166667,-14.8146666667
219.34,-63.8096666667,-57.143,-82.8573333335,51.0883333334,45.238,-63.8095,18.0951666667,1.90466666665,60.2382222222,91.1906666665,-20.9523333333
219.72,-67.6469999999,-62.7453333335,-108.823166667,44.7128690476,27.9411666665,-62.2551666666,25.0,5.88216666665,70.5065277777,75.49025,-16.1765
220.10,-256.9445,-204.1665,-376.388666667,68.8492142855,1.389,-245.833333333,25.0,-9.722333333,97.9167222223,119.4445,-80.5555
220.47,-1283.33333333,-650.000000001,-1825.0,620.238095238,375.0,-950.0,416.666666667,233.333333332,893.055555554,737.5,-250.0
220.85,151.1905,114.2855,191.667,-124.574904762,-94.0475,104.761666667,-74.9999999999,-54.7618333332,-164.682472222,-125.595416667,-8.3331666667
221.23,122.807,96.4911666667,158.772166667,-91.9798452383,-57.0175,75.4386666666,-64.0351666668,-42.1051666665,-106.871333333,-96.4911666665,-25.4385
221.61,136.274666667,77.4508333334,189.215333333,-120.938428571,-66.6665,86.2744999998,-87.2548333335,-47.0588333334,-131.372472222,-78.92175,-10.7843333333
221.98,75.2136666669,57.2648333333,122.65,-33.3638214285,2.9915,73.9313333333,-25.2136666667,14.1026666667,-19.7291666667,7.05116666665,26.9231666666
222.36,32.0513333334,18.3758333333,77.3501666665,-52.65575,-21.7948333333,42.3076666667,-48.2905,-11.9658333333,-50.5697222222,-18.58975,-20.5128333333
222.74,24.2936666667,4.51983333335,53.1075,-22.4373095238,-2.54233333335,35.3108333334,-26.8361666667,2.54216666665,-24.6234722222,-2.68391666665,-15.8191666667
223.11,21.9808333333,3.14,43.9611666667,-8.83363095235,6.28033333335,29.71,-20.7731666666,5.797,-23.2286944445,-3.38141666665,-14.7343333333
223.49,27.4853333333,-0.29266666665,71.345,-14.6199285714,13.7426666667,44.4445,-20.468,2.04683333335,-25.1461944444,6.14058333335,-21.3453333333
223.87,19.4445,-1.2346666667,57.0986666665,-22.0898809524,8.9505,31.4813333334,-26.5431666667,-3.395,-35.6996944444,1.2345,-22.222
224.24,7.14283333335,-15.2378333333,67.619,-42.789202381,-7.14266666665,30.0,-56.6666666667,0.47633333335,-69.5238333331,-24.7620833335,-49.524
224.62,1.333333333,2.0,78.0,-55.0952380952,-2.0,40.6666666667,-92.6666666665,-3.33333333335,-89.3333333333,-14.6666666665,-74.0000000001
225.00,-0.6943333335,-31.2501666669,97.9166666665,-77.132940476,15.2778333335,25.6943333334,-93.0556666669,7.6391666667,-90.0463333333,-23.264,-74.9999999999
225.38,-8.33333333335,-28.3333333333,52.0833333333,-48.2440476191,12.9166666667,10.8333333333,-61.25,7.9166666667,-57.5000000002,-1.04166666665,-55.4166666667
225.75,-3.825,-21.3113333333,39.6175,-25.0974761905,16.94,8.46983333335,-35.246,2.459,-32.0130277778,0.68308333335,-44.5355
226.13,-33.3333333331,-54.61,12.0565,-56.9654642857,-5.67366666665,-26.2411666667,-64.1845,-35.1065,-75.7093333331,-36.3475833334,-93.2625000001
226.51,-20.139,-46.5276666666,15.2775,-59.498952381,6.24983333335,-25.347,-65.9721666666,-29.5136666667,-69.155111111,-34.375,-78.4723333334
226.88,-52.1368333332,-86.3248333333,-13.6751666667,-113.003571429,-26.4958333333,-75.2138333331,-109.401666667,-67.0941666669,-114.245166667,-77.13675,-125.213666667
227.26,-73.4041666665,-95.7446666667,-25.1771666667,-124.214738095,-44.3265,-90.7799999998,-112.056833333,-78.0143333332,-116.312,-70.56725,-131.560166667
227.64,-53.7316666666,-70.1495,-22.1393333334,-84.7192619047,-30.597,-78.6069999998,-76.6166666665,-50.9948333333,-87.8936944445,-45.5225833333,-85.8208333333
228.01,-43.8493333331,-68.2541666667,-20.8331666666,-72.6190952381,-25.5953333333,-63.6905,-64.0873333333,-37.8966666667,-68.6836666669,-42.2620833334,-73.2143333333
228.39,-36.756,-56.2498333333,-16.8155,-56.5475952381,-23.3631666667,-54.3155,-52.3808333333,-35.2678333333,-57.1674722222,-31.1755833333,-58.7798333333
228.76,-31.692,-50.505,-13.2576666666,-49.1251071428,-19.192,-48.1058333334,-44.9496666667,-28.9141666667,-48.8005,-28.9140833333,-50.0001666667
229.14,-24.5613333333,-42.2148333333,-8.44316666665,-41.5648928571,-16.9956666667,-40.1316666666,-39.1448333334,-25.7673333333,-39.7662222223,-23.7390833333,-41.4473333333
229.52,-18.1816666667,-33.6365,-0.20233333335,-34.9064404762,-13.9393333333,-33.0303333333,-31.717,-18.6868333334,-31.6834444445,-18.1315,-32.2225
229.89,-19.0476666667,-32.298,4.34766666665,-37.9029642857,-16.5631666667,-33.1263333333,-32.0911666667,-16.8736666666,-33.60925,-19.35825,-33.851
230.27,-10.6531666667,-21.4776666667,14.5186666667,-26.1108214286,-7.38833333331,-23.282,-22.8525,-7.21633333335,-23.4965555555,-8.50508333335,-23.6255
230.65,-10.3101666666,-17.2866666666,17.9071666667,-20.5815714286,-6.89933333333,-18.2168333333,-17.2093333333,-5.27133333333,-20.6847777778,-6.55025,-20.62
231.02,-12.0003333333,-16.5185,14.148,-19.7406904762,-8.37050000002,-16.8888333333,-17.4075,-4.07433333333,-19.3827222222,-7.77775,-21.6296666667
231.40,-13.95,-18.5756666667,5.5065,-22.1523452381,-10.4258333333,-19.163,-21.3658333334,-5.947,-22.3079444445,-13.6195833334,-22.3201666666
231.78,-19.626,-23.053,0.3895,-27.186,-15.1868333333,-24.299,-26.7913333333,-9.65750000002,-25.4542222222,-17.1728333333,-26.7133333333
232.15,-18.7031666667,-17.4206666667,4.29833333333,-25.1886904762,-14.5551666667,-22.9261666666,-24.5096666666,-8.14483333331,-22.6368055556,-13.1976666666,-23.7558333333
232.53,-19.9205,-20.4763333333,1.825,-28.7754047619,-17.6985,-25.873,-26.6666666667,-9.99983333331,-23.9285833333,-13.0159166666,-28.0951666667
232.90,-22.07,-21.2328333334,0.152333333335,-28.1855119048,-18.5691666667,-25.2663333334,-26.9406666667,-10.5025,-24.1249444445,-12.4429166666,-27.245
233.28,-27.12,-20.6141666667,0.146333333335,-28.7384047619,-19.956,-26.2426666667,-27.047,-8.62583333335,-23.6842222222,-10.3070833334,-28.2893333334
233.66,-30.4221666667,-22.5618333333,-1.67383333333,-29.4137857143,-19.7965,-25.9096666667,-28.3843333333,-10.3348333333,-24.3084722222,-9.64341666665,-28.3116666666
234.03,-28.6561666667,-21.9366666667,-5.336,-27.7950714286,-18.3793333334,-26.5481666667,-25.0328333333,-10.8036666667,-22.0793333334,-6.12625,-24.2425
234.41,-32.2666666667,-22.0,-9.4,-31.2619047619,-20.7333333333,-28.9333333333,-26.3333333333,-11.6,-23.7111111111,-8.33333333335,-25.6
234.78,-33.0708333334,-22.6376666667,-11.3515,-32.24125,-21.9161666667,-30.643,-26.706,-11.483,-24.3109722223,-6.5945,-23.1625
235.16,-31.841,-21.5795,-6.46783333335,-30.9434404762,-21.2065,-28.8555,-24.5025,-10.0123333333,-25.57,-4.29091666666,-20.4603333333
235.54,-27.5548333333,-17.5788333334,2.85883333335,-25.317047619,-17.6398333333,-23.9658333333,-18.6131666667,-4.62266666666,-19.2721666667,3.07158333333,-14.8418333333
235.91,-22.8521666667,-13.5738333333,7.15933333333,-21.5922738095,-14.4331666666,-18.7285,-14.4903333333,-1.43183333335,-15.9793611111,6.58641666667,-12.3713333333
236.29,-23.029,-17.68,3.37866666665,-22.1282857142,-15.3716666667,-19.7635,-16.3286666667,-2.3085,-18.1775833334,4.22291666667,-13.964
236.66,-20.585,-13.9626666667,5.35316666665,-19.0868571429,-12.969,-18.4878333334,-13.797,0.938166666665,-17.8349166666,4.16658333333,-10.4858333333
237.04,-15.3763333334,-11.9353333333,5.59116666665,-16.0753690476,-8.92483333335,-16.2903333333,-10.3763333333,3.7095,-14.0143611111,4.73108333333,-8.54866666665
237.41,-7.29783333332,-4.98016666669,6.31166666665,-8.9604761905,-2.31766666667,-10.996,-3.64899999998,7.5445,-8.51405555556,7.495,-1.97233333333
237.79,-6.94066666665,-3.49366666666,4.91033333335,-9.30119047619,-2.9745,-12.4173333334,-2.03033333333,7.7905,-7.71169444447,6.23225,-1.22733333333
238.17,-8.52266666667,-3.03033333334,2.69916666665,-9.73359523808,-4.30883333333,-11.695,-2.36733333335,9.09083333333,-7.57561111112,5.01883333333,-1.23133333333
238.54,-11.1573333333,-6.57416666668,0.13866666665,-12.2158333333,-8.65733333335,-12.7316666667,-4.12016666666,6.38883333333,-8.96597222222,2.12983333333,-4.21283333334
238.92,-7.9345,-6.25000000002,0.709,-10.5937380953,-7.1365,-12.0123333333,-2.92566666669,7.71266666667,-7.44680555556,1.2855,-3.76766666667
239.29,-6.38400000001,-5.91250000002,0.60016666665,-10.1235952381,-6.76933333333,-10.8398333334,-2.0995,8.01183333333,-5.26277777778,2.35633333333,-2.61366666666
239.67,-7.72833333332,-7.53333333333,-2.69316666665,-12.0552619048,-9.21133333332,-12.4901666666,-3.74699999998,5.11316666667,-7.36408333333,-1.15158333334,-5.07416666667
240.04,-5.17000000001,-5.068,-1.2245,-8.55928571429,-6.87083333333,-9.11533333334,-1.83666666667,7.31283333333,-4.04775,0.32325,-2.27866666667
240.42,-3.81633333333,-2.594,0.08966666665,-6.98530952382,-5.03883333333,-6.17166666667,-0.5665,8.40783333333,-1.89833333334,1.93816666666,-0.238333333335
240.79,-3.84616666666,-3.05116666666,-0.3335,-7.43766666667,-5.487,-5.3075,-1.0,6.53866666666,-1.89311111111,0.897583333335,-0.2565
241.17,-3.94616666667,-2.9015,-0.046333333335,-7.75134523808,-6.52266666666,-4.50333333334,-1.06783333333,5.4085,-1.91905555555,1.67116666667,-0.162666666665
241.54,-6.0895,-4.53,-0.405833333335,-8.96976190478,-8.69633333334,-5.08533333333,-2.54266666667,2.842,-2.84566666667,0.6945,-1.346
241.92,-6.75033333331,-5.4955,-1.15483333334,-9.164,-9.43849999998,-5.17716666667,-3.385,1.67266666667,-3.55761111111,-0.408333333335,-2.17066666667
242.29,-6.04066666667,-5.52483333333,-0.773333333335,-8.49526190474,-8.91316666669,-4.71466666666,-3.278,1.584,-3.22877777778,-0.626416666665,-2.2285
242.67,-5.44466666667,-5.0945,-0.7005,-7.84191666667,-8.49083333334,-4.63933333334,-3.41383333333,1.3655,-3.21255555556,-0.289166666665,-1.4705
243.05,-6.397,-4.82766666667,-1.46733333333,-8.74270238094,-9.04133333331,-4.79366666667,-4.74233333333,-0.0171666666665,-3.56805555555,-0.290166666665,-2.28583333333
243.42,-6.34533333334,-4.904,-2.43533333334,-8.53449999998,-9.32749999999,-4.78783333333,-5.02,-0.778666666666,-4.04516666667,-0.935916666665,-1.68983333333
243.80,-7.04066666667,-5.38216666667,-2.6665,-8.98360714287,-9.85350000001,-4.97566666667,-5.9185,-1.18683333333,-4.28997222222,-1.2035,-2.2275
244.17,-7.36066666666,-5.85266666666,-2.93433333334,-9.49376190478,-10.3113333333,-4.734,-6.323,-2.15633333333,-4.61536111111,-1.45925,-2.51316666667
244.55,-7.5455,-5.7945,-3.66133333335,-9.63078571429,-10.4583333333,-5.20533333334,-6.35133333331,-2.6585,-4.58194444444,-1.25775,-2.80166666667
244.92,-7.18033333333,-5.52483333333,-3.82233333335,-9.20428571427,-10.0276666666,-4.68883333333,-5.84966666667,-2.69266666667,-3.76022222222,-0.4565,-2.677
245.30,-6.99566666667,-5.00733333333,-4.5065,-8.4631190476,-9.79983333332,-4.5065,-5.32183333334,-2.27466666667,-4.01997222222,-0.729416666665,-2.16033333333
245.67,-5.81516666667,-4.56616666667,-4.55266666665,-7.7771190476,-9.4145,-3.814,-4.76766666666,-1.62516666667,-4.17002777778,-1.14825,-1.4235
246.05,-4.52766666667,-3.60533333333,-4.01783333334,-6.72922619048,-8.10883333333,-2.537,-4.03016666667,-0.849666666668,-3.52625,-0.455083333335,0.024333333335
