wavelength,Back_SicLuvf,Belly_SicLuvf,Breast_SicLuvf,Crissum_SicLuvf,Crown_SicLuvf,DorTail_SicLuvf,Patch10_SicLuvf,Rump_SicLuvf,Throat_SicLuvf,WingTip_SicLuvf
214.06,76.851861111,39.2857499999,106.746166667,12.3015,123.412666667,153.373,92.0634166668,228.968166667,116.071458334,128.968333333
214.44,85.7904722224,10.2563333333,89.2627916667,21.1539166666,90.7052500001,139.583458333,83.01275,171.794916667,81.4103333335,127.88475
214.81,180.324055556,32.63875,203.125,52.7778333333,181.944416667,311.458458334,165.972,375.0,152.77775,313.888916667
215.19,-70.5555000001,55.0000833333,-40.8334166668,30.5555833334,-69.4443333333,-176.111,-62.2221666667,-189.4445,-51.389,-176.110916667
215.57,-11.4088055556,56.2499166667,-0.74404166675,42.5595833333,-12.7975833333,-79.4641666667,-38.6904166667,-91.9643333334,-11.4583333333,-66.96425
215.95,-92.9166666668,4.5833333334,-46.6666666667,-6.2500000001,-94.9999999999,-166.458333334,-144.166666667,-204.166666666,-71.875,-157.083333333
216.32,-64.0097222223,-6.15933333333,-27.3549999999,-1.81158333325,-85.1449166666,-139.492708333,-96.7390833334,-158.695666667,-42.9347499999,-119.927333333
216.70,-67.9486666667,-17.3079166667,-30.4487083333,-19.23075,-82.6923333333,-137.33975,-84.6154166666,-144.551333333,-20.192375,-126.602666667
217.08,-44.5368888889,9.16675,-2.49995833317,-8.0555,-54.4443333333,-93.7499583333,-49.1665000001,-119.16675,18.7499166667,-90.0
217.46,-258.024638889,-106.481583333,-117.5925,-160.184916667,-317.592583334,-444.907458334,-299.074083333,-512.963,-8.79645833325,-396.29625
217.83,713.888888889,481.25,376.041666667,602.083333333,899.999999999,1121.875,939.583333333,1304.16666666,110.416666667,1091.66666667
218.21,-163.703722222,-111.111,-104.722291667,-145.000166667,-203.33325,-276.388958333,-223.333333333,-339.999833333,-0.833416666675,-283.888833333
218.59,-368.75,-332.291666667,-320.3125,-351.041666666,-475.0,-611.979166667,-483.333333333,-752.083333333,-138.541666667,-598.958333333
218.97,483.73025,459.523833333,400.595125,397.619083333,598.809583333,656.547625,573.809666667,854.761833334,191.66675,736.90475
219.34,210.925916667,215.555583333,196.111166667,153.889083333,251.111083334,258.333458334,244.999916667,393.888916667,86.389,331.6665
219.72,277.777833333,293.75,254.514083333,227.778,342.361083334,334.722208333,276.388916666,468.75,118.403041667,428.47225
220.10,417.857166667,421.428666667,426.190458333,340.476083333,559.523916667,557.738,423.8095,729.761833333,159.52375,683.333166667
220.47,-2300.0,-2083.33333333,-2150.0,-1541.66666667,-3200.0,-3237.5,-2350.0,-4491.66666667,-333.333333333,-4316.66666667
220.85,-168.888888889,-141.666666667,-171.666666667,-93.3333333333,-254.166666667,-250.0,-205.0,-397.5,-31.6666666665,-387.5
221.23,-193.055555556,-166.666666667,-216.666666667,-114.166666667,-322.5,-292.5,-225.0,-397.5,-65.0,-400.0
221.61,-116.666694444,-128.4315,-178.18625,-85.2941666668,-204.411666667,-194.852791667,-122.549083333,-251.96075,-73.0392083333,-229.901833334
221.98,-28.47225,-14.881,-56.6964583333,1.19050000001,-66.9642500001,-57.7379583333,-15.7739166667,-105.059583333,15.625,-58.9286666667
222.36,-240.0,-185.0,-356.666666667,-85.0,-463.333333334,-390.833333333,-183.333333333,-713.333333334,-81.6666666668,-381.666666667
222.74,-4.74913888887,5.37641666659,-0.806291666675,28.22575,-38.70975,-24.86575,-0.8065,-64.51625,25.2689583333,-24.46225
223.11,17.4678333333,31.8909166667,22.1155416667,31.891,-0.961666666682,3.205125,20.8331666667,-14.4230833334,27.1634166667,2.24366666666
223.49,-0.31569444445,26.3258333333,7.10225000002,10.2273333333,-21.7804166667,-18.5605416667,-3.78783333335,-45.8333333333,12.215875,-17.6138333334
223.87,-26.5972222222,7.29166666667,-17.7083333333,-19.7916666667,-41.0416666667,-27.7083333333,-32.0833333333,-78.5416666667,-16.25,-45.8333333333
224.24,-34.4960555556,-7.752,-23.740375,-33.9146666667,-38.5659166667,-26.841,-37.2091666667,-75.77525,-23.158875,-57.5580833333
224.62,-27.2902777778,-2.48524999999,-15.4969166667,-32.1636666667,-26.60825,-15.1315,-27.6314166667,-51.0233333333,-19.8829166666,-39.0351666667
225.00,-21.4690277778,0.282499999992,-9.60449999999,-23.3050833333,-17.7966666667,-8.82783333332,-16.94925,-35.4519166667,-14.1242916667,-15.6778333333
225.38,-17.4075,8.88891666668,-1.73612499998,-18.3334166667,-8.88883333333,1.31958333333,-13.3334166667,-29.5834166667,-11.736125,-14.0276666667
225.75,4.61758333334,34.19925,26.6773333333,10.1731666666,16.5585,24.5130833333,5.62783333332,-0.974083333335,12.1212916667,4.22075
226.13,3.14597222222,26.50625,22.690875,6.22491666666,4.81933333333,10.6425416667,-0.200833333315,0.903666666665,6.07445833333,-4.4175
226.51,9.69722222221,31.0266666666,27.3065416666,13.6160833333,12.7975,17.0760416666,7.88666666665,14.8809166667,17.7456666667,1.56266666667
226.88,1.69758333333,24.4444166666,21.06475,3.33333333335,3.7035,13.79625,0.926,5.74091666667,13.6575,-8.42591666667
