wavelength,Back_TanPunm,Belly_TanPunm,Breast_TanPunm,Crissum_TanPunm,Crown_TanPunm,DorTail_TanPunm,Patch10_TanPunm,Patch11_TanPunm,Patch12_TanPunm,Rump_TanPunm,Throat_TanPunm,WingTip_TanPunm
364.20,7.0186,35.405,20.4044666667,17.5473333333,6.5512,6.36416666667,7.09813333333,5.46273333333,6.49726666667,11.53025,15.6312,6.4624
364.57,7.07966666667,35.5434666667,20.4863333334,17.6528,6.63433333333,6.4412,7.1888,5.52253333333,6.5146,11.5956833333,15.6686,6.5122
364.93,7.16346666666,35.6494666667,20.5945333333,17.7458666667,6.7252,6.51603333333,7.2248,5.54533333333,6.6096,11.6552666667,15.7294,6.6133
365.29,7.20866666667,35.7468,20.5988666667,17.7227333333,6.75033333333,6.50043333333,7.2128,5.55693333333,6.64866666666,11.695,15.8000666667,6.63793333333
365.66,7.26926666667,35.9364,20.7520666667,17.848,6.84513333334,6.5423,7.2824,5.58513333333,6.71246666667,11.7650333333,15.8863333333,6.74353333333
366.02,7.31893333333,36.1095333333,20.8094666667,17.8898,6.9054,6.55683333333,7.31373333333,5.54,6.7292,11.8303583333,15.9784666667,6.835
366.38,7.41299999999,36.2624666667,20.9572666667,17.9806,6.9946,6.60933333333,7.37126666667,5.60293333333,6.76886666667,11.8728333333,16.0486,6.92623333333
366.75,7.383,36.4096666667,20.9781333333,18.0070666667,6.97413333333,6.61813333333,7.28526666667,5.53326666667,6.7012,11.8258083333,16.0897333334,6.8752
367.11,7.55233333333,36.5496666667,21.0842666667,18.1078,7.15293333333,6.76173333333,7.39653333333,5.69046666667,6.83306666667,11.9285166667,16.2546,7.0011
367.47,7.69426666666,36.7472666666,21.231,18.1905333333,7.36413333333,6.87906666667,7.58373333333,5.84713333333,6.96146666667,12.0361666667,16.4274,7.09303333333
367.84,7.77733333334,36.9692666667,21.3684,18.283,7.46833333333,6.88576666667,7.64273333333,5.86713333334,7.022,12.051275,16.5282666667,7.1173
368.20,7.89646666667,37.0585333333,21.4799333333,18.4106,7.6344,7.02346666667,7.80666666667,6.01746666667,7.16266666667,12.1721166667,16.6420666667,7.2851
368.56,7.93373333333,37.2516666667,21.6322,18.5319333333,7.7268,7.08783333333,7.88073333333,6.08413333333,7.2616,12.2237416667,16.7892666667,7.3433
368.93,7.83933333333,37.352,21.5888666667,18.5084666667,7.67213333333,6.97356666667,7.81053333333,6.00146666667,7.1476,12.1307583333,16.7722,7.1926
369.29,7.86413333333,37.5403333333,21.7034,18.63,7.73773333333,7.01973333333,7.88033333333,6.04906666667,7.16886666667,12.1459,16.859,7.18276666667
369.65,7.90433333333,37.6449333333,21.8010666667,18.7126,7.83506666667,7.0891,7.93226666667,6.14126666667,7.1878,12.1934583333,16.9172666667,7.17053333333
370.01,7.86780000001,37.7186666666,21.8476666667,18.6914666667,7.8004,7.02256666667,7.89033333333,6.075,7.15106666667,12.1370083333,16.8847333333,7.0636
370.38,7.75553333334,37.7339333333,21.7166,18.599,7.68606666667,6.8984,7.76126666667,5.95146666666,7.0484,12.0404666667,16.7914666667,6.93596666667
370.74,7.73746666666,37.8728,21.7637333333,18.6518,7.6812,6.85156666667,7.72893333333,5.909,7.00453333333,12.0391,16.8133333333,6.9188
371.10,7.6672,37.9992,21.7936666667,18.6976,7.65366666667,6.80126666667,7.6778,5.8296,6.953,12.0378833333,16.802,6.89763333333
371.46,7.59493333333,38.0823333333,21.8176666667,18.7612,7.58433333333,6.7856,7.5936,5.8088,6.9258,12.011575,16.8097333333,6.859
371.83,7.55313333334,38.089,21.8073333333,18.7343333333,7.5386,6.75616666667,7.53286666667,5.76686666667,6.87666666667,12.0048416667,16.7682,6.84173333333
372.19,7.40440000001,38.1639333333,21.7990666667,18.6405333333,7.4322,6.5937,7.3988,5.5962,6.7406,11.8796166667,16.6676,6.70093333333
372.55,7.41653333334,38.1858,21.7918,18.6303333333,7.37613333333,6.55423333333,7.3414,5.5398,6.6986,11.84645,16.6492,6.6218
372.92,7.3892,38.2582,21.8556,18.6217333333,7.35446666667,6.50986666667,7.32746666667,5.5016,6.68193333333,11.8353833333,16.6722666667,6.62776666667
373.28,7.43019999999,38.4106,22.0113333333,18.6658666667,7.45086666667,6.54606666667,7.3616,5.51233333333,6.7624,11.882725,16.7405333333,6.6911
373.64,7.39180000001,38.5222,22.0121333333,18.6416,7.43046666667,6.4988,7.3654,5.4644,6.76793333334,11.8606416667,16.7738666667,6.6621
374.00,7.4408,38.7758,22.15,18.8048666667,7.548,6.59073333333,7.4526,5.563,6.84386666667,11.9545583333,16.8924666667,6.76773333333
374.37,7.47346666667,38.9564666667,22.326,18.8640666667,7.6378,6.6451,7.5072,5.5672,6.89786666667,12.0185,17.0116,6.82766666667
374.73,7.5074,39.0682666667,22.4138666667,18.8924,7.73473333333,6.69906666667,7.5422,5.64366666667,7.0112,12.0544,17.0908,6.8481
375.09,7.52133333333,39.1480666667,22.5405333333,18.9286,7.80233333333,6.74276666667,7.54606666667,5.67053333333,7.04633333333,12.025625,17.1851333333,6.82826666667
375.45,7.64653333333,39.3299333333,22.7084,18.9858666667,7.96806666667,6.83053333333,7.65833333333,5.73793333333,7.12206666666,12.105225,17.3098,6.9124
375.81,7.73373333333,39.5996,22.8312,19.1377333333,8.14613333333,6.95416666667,7.76133333334,5.82766666667,7.2448,12.1655666667,17.443,7.04396666667
376.18,7.91399999999,39.8413333333,23.0005333333,19.2816,8.33093333333,7.119,7.86,5.99546666667,7.39586666667,12.2848,17.643,7.15763333333
376.54,7.92493333334,39.9366666666,23.0702666667,19.3124,8.43053333333,7.1273,7.9194,6.019,7.42466666667,12.2844833333,17.6964,7.19226666667
376.90,8.02206666667,40.1550666667,23.2100666667,19.4176,8.5506,7.241,8.00066666667,6.1284,7.5234,12.377,17.8410666667,7.29786666667
377.26,8.04606666667,40.2218666667,23.2276,19.4503333333,8.57853333333,7.27983333333,8.0128,6.17073333333,7.51266666667,12.4022166667,17.8716666667,7.32246666667
377.63,8.04286666667,40.3056666667,23.2544666667,19.4646666667,8.59653333333,7.25893333333,7.94826666667,6.18826666666,7.51066666667,12.372125,17.9063333333,7.33086666667
377.99,7.95506666667,40.2556,23.1828666667,19.3147333334,8.5192,7.15663333333,7.80426666667,6.08193333333,7.39086666667,12.215725,17.8522666667,7.22113333333
378.35,7.97053333333,40.3725333333,23.2762,19.3959333333,8.58593333333,7.19243333333,7.80253333333,6.1512,7.39713333333,12.2185333333,17.8907333333,7.21046666667
