wavelength,Back_LopGrim,Belly_LopGrim,Breast_LopGrim,Crissum_LopGrim,Crown_LopGrim,DorTail_LopGrim,Patch10_LopGrim,Rump_LopGrim,Throat_LopGrim,WingTip_LopGrim
186.77,2.60873333327,-34.4927333333,-32.0289333333,33.9128666667,-25.9421333334,13.4783333333,23.4782666667,58.2608,-52.6086666666,0.289866666594
187.15,3.9456666666,-32.7892,-28.2994,35.7823333333,-18.6393999999,14.0136666667,33.6054,52.7891333333,-44.626,-0.68026666668
187.53,0.40000000006,-28.2666666667,-26.0,39.4666666667,-19.3333333334,14.4000000001,44.5333333334,53.3333333333,-46.1333333333,1.7333333334
187.91,13.6904666666,-4.28573333331,-9.04759999999,49.0474666667,-9.40459999994,30.4762,57.1429999999,66.1903333333,-29.2858,20.4761999999
188.29,12.7381333334,0.118933333346,-3.80946666668,55.4762666667,-6.78573333332,36.5476,64.1666666667,65.4760666667,-23.2142666667,25.5953333334
188.67,8.85053333334,-1.03446666668,-11.9539333333,52.8735999999,-8.16086666666,35.9770000001,66.6666666667,59.0804000001,-24.2528666667,25.6322666667
189.05,5.27353333333,2.58713333334,-9.35313333334,47.4626666666,-7.76126666668,30.5472666667,63.3829333334,48.9552,-22.8854,19.5024
189.43,9.81973333333,9.18913333333,-5.13506666666,47.0269333333,-6.39620000002,32.7928666667,65.6756,48.1982666667,-17.6576666667,20.1800666667
189.81,7.5106,9.36713333332,-9.87353333334,41.6877333334,-11.8142666667,29.4514666667,59.578,42.4473333333,-20.9282666667,16.8775333333
190.19,8.2126,11.6908,-14.8792666667,48.1160666667,-20.8696666667,31.4975333334,70.7248666667,40.7728666667,-28.309,13.5267333333
190.57,16.7179333333,15.8974666667,-4.82046666666,58.4615999999,-13.9486666667,39.6921999999,86.2563999999,53.9486,-22.3588666667,21.9486666667
190.95,3.20513333334,2.43593333332,-22.3077333333,52.4359333334,-30.6410666668,32.0514,89.4872000001,45.6409333333,-42.8206666667,8.84606666674
191.33,13.2293333333,7.18766666666,-12.604,49.8960666667,-19.4789333333,27.6043333333,78.5416666666,43.7500666667,-29.6873333333,14.9999999999
191.71,24.9998666667,14.0349333333,-2.80693333334,46.842,-11.1404,26.9297333333,72.8948000001,42.193,-17.1053333333,17.3684
192.09,24.5614,6.66666666668,-4.21066666667,51.3157333333,-10.8772,19.1226666667,67.5438,36.9298666667,-15.0876,13.9473333333
192.47,33.0041333334,11.2758,3.37440000002,58.4361333333,-1.07,22.5515333333,69.3002,43.9506666667,-4.52673333334,23.539
192.85,29.0476,8.4126,2.22226666667,55.1586,-4.76206666665,17.7776666667,62.6190666667,39.2064666667,-6.1112,20.1586666667
193.23,38.2456666667,13.4210666667,7.63159999999,65.7019333334,-1.22806666667,24.4736666667,71.2280666666,46.1404,-1.22819999999,29.5613333333
193.61,47.037,23.611,13.3332,78.0554666668,4.16673333334,30.8333333333,79.4444666667,56.3889333333,7.59273333333,40.7407333333
193.99,57.6067333333,37.5214,26.8375333333,84.6154000001,20.7693333333,41.3674666667,87.6067333333,64.9572666666,20.1708,53.248
194.37,68.6667333333,40.3332666667,30.6665333333,100.999933333,18.5556000001,50.1110666667,101.333333333,79.3334,17.4443333333,64.2221333333
194.75,72.2033999999,40.226,35.0284,104.293666667,12.8813333333,50.6214666667,99.3221333332,73.5591333334,14.9152666667,70.5084666666
195.13,79.282,49.0256666667,43.3846666667,108.0,20.2049333333,55.0769333333,96.4103333334,82.0513333333,20.5128,77.5383333334
195.51,69.9999999999,45.9258666667,39.2592666667,108.024733333,5.92586666665,53.7037333333,91.7283333333,86.2964000001,8.51846666667,74.5679999999
195.89,55.9562666667,40.765,35.082,98.9070666667,9.28973333335,46.9945333333,75.9562666667,72.1310666668,5.24586666667,68.9617333333
196.27,45.4544666667,36.3636,25.3535333333,86.4647333333,3.83840000001,37.0706666667,61.8181333332,59.293,-7.17173333333,57.5758
196.65,42.549,37.451,19.0194666667,79.0196,0.98053333334,36.9607333333,58.7254666667,52.2549333333,-8.72553333331,55.7842000001
