wavelength,Back_DigMajm,Belly_DigMajm,Breast_DigMajm,Crissum_DigMajm,Crown_DigMajm,DorTail_DigMajm,Patch10_DigMajm,Patch11_DigMajm,Rump_DigMajm,Throat_DigMajm,WingTip_DigMajm
739.59,10.0068644927,10.6026,11.8109666667,25.9837333333,10.2806666666,10.9236666667,13.6438,9.11386666667,10.5324555556,14.1844,12.6115666667
739.91,10.0135,10.7596666667,11.8113666667,25.9706,10.2453333333,10.8481,13.6099333334,9.26893333333,10.5312,14.1178666667,12.6580666667
740.23,10.1863557971,11.0016,11.9643666666,26.0817333333,10.3147333333,11.1184666667,13.8016,9.24733333332,10.6321111111,14.1883333333,12.6986666667
740.54,10.507090942,11.5891666667,12.35,26.4734666667,10.7477333333,11.5852,14.3892,9.77653333333,11.0027111111,14.6566,13.1575333333
740.86,10.0674612319,11.1484666667,12.0129333333,26.323,10.3895333333,11.4232,14.0732666667,9.37513333335,10.5876888889,14.5022666667,12.8734333333
741.18,10.3878507246,11.6910666667,12.2296333333,26.6504,10.7884,11.7985333333,14.2495666667,9.83413333333,10.9222,14.8204666667,13.2261
741.49,10.4662206522,11.7022333333,12.1042333333,26.6175333333,10.9406,11.7964,14.3206,9.88786666665,10.9502444445,14.7307333333,13.1021666667
741.81,10.9704445652,12.3012333333,12.4016,26.9914,11.4533333333,12.4690666667,14.7480333333,10.2118666667,11.4496888889,15.1966666667,13.5423333333
742.12,10.7215963768,12.201,12.3345333333,27.0254666667,11.252,12.2747,14.3656666667,9.97213333332,11.3328444444,15.0807333333,13.3862666667
742.44,10.6790619565,12.2426333333,12.2795,26.9964,11.2229333333,12.1371666667,14.2391666667,9.83099999999,11.2754777778,14.9339333333,13.3728333333
742.76,9.95864565217,11.4244,11.5269,26.4080666667,10.5779333333,11.3677333333,13.6118666667,9.16913333333,10.6484888889,14.2225333334,12.4967666667
743.07,9.79912934783,10.9936333333,11.3402666667,26.2094666667,10.4830666667,11.3519333333,13.3679,9.11693333334,10.2760888889,13.9,12.4778666667
743.39,10.1105391304,11.1616666667,11.7568,26.4274666667,10.8892,11.6473333333,13.6878333333,9.47993333334,10.6024,14.3506666667,12.8750666667
743.70,10.3456793478,11.4880333333,11.9577666667,26.8184,11.2325333334,11.8585333333,13.8906,9.79419999999,10.8636,14.6316,13.1611
744.02,9.89975688405,11.0101,11.4552,26.6489333333,10.6920666667,11.6000333333,13.3645333333,9.23099999999,10.6195555556,14.268,12.9060333333
744.34,10.6978822464,11.6242,12.0349666667,27.3182,11.3431333333,12.3352333333,14.043,9.82526666668,11.3406444445,14.8842,13.7666666667
744.65,10.7936771739,11.7793333333,12.2954,27.481,11.4540666667,12.3758,14.3563,9.97766666667,11.5798333333,15.0098,13.8864333333
744.97,10.6327369565,11.9822333333,12.3226666667,27.3864666667,11.4169333333,12.3121666667,14.2630666667,10.0163333333,11.6589222222,15.0966666667,13.9316666667
745.28,10.2032460145,11.7036333333,12.1885,27.1953333333,11.104,11.8531666667,13.942,9.88660000001,11.2828222222,14.7198,13.8815666667
745.60,10.4211148551,12.0379,12.3794,27.2896,11.4104666667,12.1874333333,14.4611,10.21,11.4815,14.9117333333,14.1874333333
745.91,10.7191239131,12.4447,12.8835666667,27.8466,11.7852666667,12.7251666667,14.9418333333,10.6776,11.8760111111,15.4458666667,14.563
746.23,10.7198949275,12.6255666667,13.0973333333,27.8403333333,11.951,12.8780333333,14.9245,10.8347333333,11.9458888889,15.4748666667,14.6853333333
746.55,10.9840449275,12.862,13.4729,28.1380666667,12.3123333333,13.0404333333,15.2733333333,11.1651333333,12.4038888889,15.8948666667,14.8798666667
746.86,10.7651782609,12.6935,13.3257,28.1910666667,12.0689333333,12.9234333333,15.0589,10.9436,12.1163777778,15.6412,14.5236333333
747.18,10.8393724638,12.7041333333,13.3679666667,28.3696,12.1024,13.1215333333,15.2872666666,11.0164666667,12.2247888889,15.8106666667,14.5372333333
747.49,11.0608043478,12.8279333333,13.4788333333,28.1542,12.3496666667,13.1443666667,15.4491333333,11.2369333333,12.2722555555,15.9483333333,14.5958666667
747.81,10.6189492754,12.4734666667,13.0906,27.5782666667,11.9893333333,12.6332,15.1302333333,11.0598666667,11.9433555555,15.5123333333,13.9345
748.12,10.2891931159,11.7910666667,12.7022666667,27.1816666667,11.6272666667,12.3269333333,14.6493333333,10.7250666667,11.5830333333,15.1227333333,13.6175666667
748.44,10.0260572464,11.1091,12.2390666667,26.8030666667,11.3284666667,11.9647,14.3164,10.2372,11.2252222222,14.7598,13.4920666667
748.75,10.0256949275,10.864,12.0536,26.492,11.2028,11.8729666667,14.2477,10.108,11.2601222222,14.6591333333,13.2785666667
749.07,10.0386605072,10.7333,11.9723333333,26.4553333333,11.0158666667,11.7836666667,13.9432,9.97173333334,11.2093333333,14.4162666667,13.0923
749.38,9.84197971015,10.5029333333,11.6192,26.2322,10.7171333333,11.5296666667,13.7945,9.71726666667,10.9299333333,14.0653333333,12.8319333333
749.70,9.85630942029,10.3701666667,11.4319,26.2623333333,10.5264,11.4689,13.8195333333,9.673,10.8161666667,13.8895333333,12.7416666667
750.01,9.98952608696,10.6783333333,11.3101666667,26.4469333334,10.6198666667,11.3222,13.9455666667,9.65413333333,10.8293888889,13.8146666667,12.6881
750.33,9.50981413045,10.2512,10.8641666667,26.1883333333,10.2632666667,10.7402333333,13.5317,9.21266666667,10.5283,13.509,12.3356666667
750.64,9.10764710145,9.79156666667,10.5838,25.7238666667,9.90259999999,10.2556,13.0535666667,8.89273333333,10.0492333333,13.087,12.0438
750.96,8.60868333333,9.3076,10.2712,25.6342666667,9.5404,9.73040000001,12.7114333333,8.53553333333,9.58172222223,12.497,11.6758
751.27,8.01208949275,8.7196,9.63083333333,25.156,8.9712,9.22766666667,12.0034333333,7.76333333333,8.90384444445,11.7700666667,11.0580666667
751.59,7.95985362319,8.79823333333,9.6728,25.2806,8.96746666667,9.30073333333,12.0961,7.87586666667,8.88064444445,11.7860666667,11.0977
751.90,8.25802028985,9.24246666667,10.0077,25.5394666667,9.10106666667,9.52800000001,12.3754333334,8.334,9.03995555555,12.0353333333,11.3833
752.22,7.93174710145,9.00626666667,9.60876666667,25.6963333333,8.6948,9.23799999999,12.2002333333,7.87173333333,8.69637777778,11.7872,11.2455666667
752.53,8.16487572464,9.1875,9.66066666666,25.8478,8.946,9.57810000001,12.4475333333,8.03673333333,8.82183333334,12.3369333333,11.5492
752.85,7.65460833333,8.5918,8.97373333333,25.336,8.2876,8.85210000001,11.7344666667,7.36026666667,8.15407777778,11.7691333333,10.8340666667
753.16,7.56479384058,8.66020000001,8.83406666666,25.2702,8.09473333333,8.74556666667,11.3759666667,7.10273333333,7.95904444445,11.6651333333,10.7693666667
753.47,7.80170507247,8.7173,9.17296666667,25.3320666667,8.3082,9.18249999999,11.4756333333,7.33726666667,8.29894444444,11.9173333333,11.0024333333
753.79,8.49680072464,9.55776666666,9.82446666667,25.9419333333,8.89733333333,9.97953333333,12.0297333333,8.022,8.95520000001,12.4454,11.5122333333
754.10,8.87265905797,10.0561333333,10.2338333333,26.2769333333,9.18933333333,10.3026,12.3541666667,8.26646666667,9.47818888888,12.7066,11.8210666667
754.42,9.43868260868,10.5548666667,10.6666333333,26.5982,9.68453333333,11.0147333333,12.7630666667,8.78926666667,10.0423777778,13.3924,12.1089
754.73,9.26133043479,10.5528,10.6812333333,26.8108,9.75253333335,11.1197666667,13.0216333333,9.0006,10.0601111111,13.5903333333,12.2526333333
755.05,8.89458007246,10.3643333333,10.2214,26.4312,9.28253333334,10.7975333333,12.5985333333,8.36246666667,9.61528888888,13.1699333333,11.7882666667
755.36,8.7871615942,10.1810666667,10.1445,26.5015333333,9.14720000001,10.7161,12.4488666667,8.134,9.66601111111,12.9713333333,11.415
755.67,8.73106231883,10.0986,10.2574,26.3075333333,9.12946666666,10.6259333333,12.2895,8.18873333333,9.50534444445,12.7454666667,11.1629333333
