wavelength,Back_PhrAtrm,Belly_PhrAtrm,Breast_PhrAtrm,Crissum_PhrAtrm,Crown_PhrAtrm,DorTail_PhrAtrm,Rump_PhrAtrm,Throat_PhrAtrm,WingTip_PhrAtrm
188.29,17.193,32.2806666667,38.8596,36.2718666667,13.0262666667,23.5087333333,34.1228,24.4298666667,30.921
188.67,15.8604,29.0196666667,34.8584666667,35.6862,12.5056,19.5205333333,30.4139333333,21.6993333333,27.6688
189.05,18.4313333333,30.0218666667,37.0370666667,38.2135333333,16.8190666667,21.5686666666,32.8104666667,22.048,27.6688666667
189.43,24.2529333333,31.1494,39.1570666667,43.5632666667,24.1379333333,26.092,36.2069333333,24.8274666667,31.0727333333
189.81,23.2954,29.6591333333,37.7652,43.5227333333,24.4319333333,27.6516666667,34.9621333333,23.3711333334,29.2424666667
190.19,27.3864666667,36.6667333333,43.8635333333,49.5455333333,31.5908666667,33.3333333333,40.3787333333,29.2802666667,35.4167333333
190.57,33.5687333333,41.1373333333,51.1373333333,55.1764666667,37.4509333333,40.3528666667,45.4508666667,34.4705333333,41.7646666667
190.95,37.6684666667,43.3150666667,54.8997333333,55.6284,43.6794666667,45.6102,47.1038666666,38.6884666667,45.1002666667
191.33,42.7991333333,48.8766666667,60.2577333333,61.8416666667,47.3296,51.7496,51.3444,45.0828,50.2394
191.71,46.3441333333,50.7526666667,63.3332,63.3692,50.3226666667,53.0826,53.4051333333,48.0644,52.043
192.09,47.3513333333,47.8918666667,61.009,61.3693333333,47.3154,51.3514666666,51.7476,48.2883333333,49.8018666667
192.47,47.7215333333,48.6497333333,62.3206,66.6245333333,49.6625333333,52.1941333333,56.6244,50.3374,51.6034
192.85,47.5056,47.7262,62.3840666667,66.6224666667,50.905,55.0993333333,57.3510666667,49.1390666667,52.4060666667
193.23,48.8172,50.4946666667,62.8386,67.1828666667,52.7311333333,57.1183333333,57.5054666667,50.6666666667,54.5376
193.61,45.9458666667,52.2071333333,61.8918,67.1623333333,51.3512666667,56.1712666667,55.4504666667,51.2612,52.1171333333
193.99,47.4274,53.736,61.7002666667,68.1432,51.6778666667,54.944,53.9150666667,51.3646666667,52.1699333333
194.37,42.5238666667,45.3334,52.3334,62.7619333333,46.3333333333,48.5238666667,44.7143333334,44.2857333333,43.381
194.75,39.5774,41.0798,46.8074666667,59.9530666667,44.554,44.6949333333,41.3144666667,41.0327333333,38.8733333333
195.13,39.6872666667,40.3644666667,44.9479333333,60.1562,43.9582,42.6562,40.8332666667,42.8644666667,35.4686666667
195.51,36.1458,32.7083333333,38.4894666667,52.8124,42.0832666667,37.3958,34.8436666667,36.5624666667,29.7916
195.89,37.7611333333,33.7312666667,36.9651333333,53.0348,44.4777333333,38.4576666667,33.4328,36.4676,30.2983333333
196.27,37.2727333333,33.8889333333,35.7071333334,54.1414666667,46.5152,38.6363333334,31.8686666667,36.7676666667,28.2322666667
196.65,41.0884666667,39.4103333333,40.907,54.8299333333,48.3901333333,41.5418666667,32.6078,40.5442666667,31.5193333333
197.03,44.1956666667,45.5477333333,45.6877333333,59.1608666667,51.3754,44.6154,36.1304666667,45.2214,35.5245333333
197.40,36.8922,37.6942666667,41.203,52.1802666667,44.8121333333,35.589,25.6642666667,38.797,27.5187333333
197.78,34.7656666667,30.2479333333,38.5123333333,49.5867333333,44.9586,33.1680666667,19.2288,37.3002666667,24.8486
198.16,30.1257333333,23.3963333333,33.7736,46.2264,42.5158,29.4341333333,12.2012666667,32.7672666667,17.7988666667
198.54,29.3457333333,21.3084666666,32.2741333333,47.2898,41.7444666667,30.0935333333,10.7166,31.4642,17.3832
198.92,22.7138666667,16.9321333333,26.3127333333,43.1857333333,36.4602,26.0177333333,5.72260000001,25.2507333333,13.8642666667
199.30,9.87426666667,4.33960000001,13.5222,34.654,21.3836666667,13.4592,-9.7484,10.7547333333,0.188800000012
199.68,8.01426666666,4.68086666667,14.6099333333,38.0143333333,19.7161333333,12.4822666667,-10.7091333333,13.4752,-0.922000000006
200.06,-4.01699999999,-4.10266666667,3.93166666667,33.4188,8.37606666665,2.22213333334,-23.6751333333,8.11960000002,-15.2137333333
200.44,-0.900866666661,7.38733333332,8.82893333334,45.2253333333,17.4774666667,12.1621333333,-16.8468,14.2342,-6.03600000001
200.82,-18.4242,-11.3938666667,-11.2728,44.8483333333,6.66660000001,-0.12126666674,-39.2726,5.69706666668,-25.9394
201.19,-18.7754666667,-14.8298000001,-16.8708,49.3876,5.98640000001,-1.22459999994,-54.1496666667,1.0884,-31.7007333334
