wavelength,Back_TanDowf,Belly_TanDowf,Breast_TanDowf,Crissum_TanDowf,Crown_TanDowf,DorTail_TanDowf,Patch10_TanDowf,Patch11_TanDowf,Patch12_TanDowf,Rump_TanDowf,Throat_TanDowf,WingTip_TanDowf
722.43,10.7086666667,42.06,14.9835,39.389,13.1175,11.9588333334,7.54383333333,17.1546666667,20.21,23.7406666667,8.28733333335,17.7643333333
722.75,10.8325,42.5181666667,15.2218333334,39.8378333333,13.0085,12.0865,7.82016666667,17.5765,20.417,24.2836666666,8.33,18.179
723.07,10.9716666667,42.4848333333,15.615,39.8463333334,13.1366666667,12.1958333333,7.872,17.5583333333,20.6333333333,24.514,8.54866666668,18.235
723.39,11.3925,42.5845,15.798,39.7945,13.2831666667,12.4936666667,7.88666666666,17.7006666667,20.766,24.6758333333,8.78633333334,18.4655
723.71,11.5526666667,43.0,16.258,40.022,13.902,12.9256666667,8.48266666667,18.0398333333,21.1398333333,25.0273333334,9.23350000002,18.7783333333
724.03,12.0538333333,42.8786666667,16.6065,39.894,14.2786666667,13.332,8.80966666667,18.4818333333,21.2313333334,25.2413333333,9.45483333332,18.8918333334
724.35,11.8115,43.1903333333,17.0576666667,40.4541666667,14.1078333333,13.1366666667,9.22199999999,18.5783333333,21.4731666667,25.4916666666,9.56383333335,18.9201666667
724.67,12.0983333333,42.8373333333,17.2205,40.2671666667,13.9281666667,13.4163333333,9.13683333333,18.5206666667,21.5238333333,25.5388333333,9.88933333332,18.9958333333
724.98,12.821,43.5088333333,18.064,40.7141666667,14.6003333334,14.0091666666,9.81733333332,19.0613333333,22.2801666666,26.3348333333,10.4501666667,19.993
725.30,12.8815,43.3985,18.0511666667,41.117,14.4683333333,14.0168333334,10.1246666667,19.1503333333,22.4363333333,26.6368333333,10.5706666667,20.131
725.62,13.4031666667,43.6561666667,18.4226666667,41.6223333333,15.0881666667,14.562,10.772,19.5991666667,23.0103333334,27.031,11.1563333333,20.7991666667
725.94,13.6291666667,43.8373333334,18.658,41.6166666667,15.1276666667,15.3388333333,10.9151666667,19.851,23.1288333333,27.0825,11.4613333333,21.2255
726.26,13.7806666666,43.7933333334,18.7413333333,41.6551666667,15.4033333334,15.6756666667,11.1613333333,19.9871666667,23.2558333333,27.295,11.7696666667,21.3086666666
726.58,13.8445,44.0386666667,18.7038333333,41.7936666666,15.6338333333,15.9396666666,11.3918333334,20.2506666667,23.413,27.3085,11.5591666667,21.3818333333
726.90,13.8228333334,44.2143333333,18.5795,42.1176666667,15.8853333333,16.1036666666,12.0075,20.556,23.7963333333,27.3928333333,11.944,21.5845
727.21,13.9436666666,43.7273333334,18.5178333333,41.876,15.6533333334,15.925,11.6961666667,20.5163333334,23.7206666667,27.0663333333,11.6563333333,21.5975
727.53,13.814,43.7165,18.2668333334,41.7905,15.3863333334,15.8243333333,11.6016666667,20.502,23.4558333333,26.7911666667,11.579,20.94
727.85,14.0081666667,43.4336666667,18.048,41.397,15.6155,15.7638333334,11.1571666666,20.3763333333,23.123,26.4915,11.3166666667,20.9818333334
728.17,14.1551666667,43.7348333333,18.0508333333,41.4641666667,15.709,15.972,11.3863333334,20.4256666666,23.1231666667,26.4936666667,11.4521666667,21.0713333333
728.49,13.9223333333,43.5786666667,17.736,41.3966666667,15.5373333333,15.8101666667,11.184,20.3818333334,22.8533333333,26.154,11.3146666667,20.6545
728.80,14.1583333334,43.7615,17.5586666666,41.1938333333,15.6448333334,15.9098333334,11.2445,20.505,22.943,25.9488333334,11.5743333333,20.6563333333
729.12,14.2198333333,43.7518333333,17.6198333334,41.0268333333,15.4246666667,15.9546666667,11.1681666667,20.409,22.722,26.0841666666,11.2805,20.5481666666
729.44,14.3671666667,43.8433333334,17.5148333333,41.2505,15.3811666667,15.7545,11.0436666667,20.4278333333,22.8128333333,26.2216666667,11.3211666667,20.6465
729.76,14.3231666667,43.7646666667,17.2966666666,41.2233333333,15.5135,15.5936666666,10.6663333333,20.1633333333,22.6351666667,25.9501666666,11.0986666667,20.5796666666
730.08,14.3726666666,43.7646666667,17.207,41.1528333333,15.358,15.443,10.405,20.1313333333,22.346,25.784,11.3741666667,20.5923333333
730.39,14.2428333333,43.3701666667,16.7665,40.5993333334,14.8526666666,15.0893333333,9.82666666668,19.7215,21.9033333333,25.431,10.7463333333,20.2156666667
730.71,14.047,43.092,16.3675,40.4725,14.8085,15.0078333333,9.60133333333,19.4543333334,21.5958333334,25.4595,10.714,20.2153333333
731.03,13.7741666667,42.987,16.1101666666,40.273,14.677,14.7241666666,9.48566666668,19.155,21.2598333333,25.4541666666,10.3935,20.2781666667
731.35,13.5473333334,42.8813333333,15.6338333333,40.194,14.1745,14.6485,9.16333333334,19.1011666667,21.056,25.2186666667,10.2013333334,19.8701666667
731.67,13.5576666667,42.909,15.7043333333,40.2601666667,14.3983333333,14.652,9.23233333331,19.0936666667,21.103,25.571,10.3161666667,20.0613333333
731.98,13.3163333333,42.8753333333,15.4581666667,40.2778333333,14.2546666667,14.5195,9.13383333333,18.8721666667,20.8438333333,25.4665,10.0828333333,20.0168333333
732.30,13.3908333334,42.9371666667,15.7558333333,40.4016666667,14.536,14.7013333334,9.0925,19.085,20.9066666667,25.7216666667,10.0886666667,20.2193333334
732.62,13.4311666667,43.201,15.683,40.5623333333,14.6296666666,14.7586666667,9.37333333335,19.4723333334,21.203,25.637,10.2978333333,20.203
732.94,13.4091666667,43.1438333334,15.7993333334,40.4388333334,14.6396666667,14.7641666667,9.74516666666,19.6261666667,21.111,25.767,10.168,20.1465
