wavelength,Back_MelMelm,Belly_MelMelm,Breast_MelMelm,Crissum_MelMelm,Crown_MelMelm,DorTail_MelMelm,Patch10_MelMelm,Patch11_MelMelm,Rump_MelMelm,Throat_MelMelm,WingTip_MelMelm
750.64,20.4883333333,45.9399897436,36.1588666667,53.3154,24.8000333333,20.2156666667,19.0860666667,41.5669333333,20.4413033333,13.3496666667,23.0981333333
750.96,20.5431333333,46.0997128205,36.2826666667,53.3212666667,24.5980333333,20.351,19.1434,41.5180666667,20.68587,13.7487333333,23.4321333333
751.27,20.3184666667,45.877525641,36.1064666667,53.0329333333,24.4119,19.9083666667,18.9304333333,41.1658,20.33388,13.3694,23.401
751.59,20.6678666667,45.9423461539,36.3059333333,53.0232,24.6572333333,20.1324666667,19.3590333333,41.3237333333,20.6111066666,13.7998666667,23.6494
751.90,20.4342,45.8605923077,36.1163333333,52.7484,24.1157666666,19.6276333333,18.9492333333,40.9649333333,20.28204,13.4916,23.2534666667
752.22,20.8269333333,46.1410615385,36.5059333333,52.7558666667,24.5571666667,20.1278,19.2076666667,41.1548,20.7416233333,13.7799666667,23.5272666667
752.53,20.9353333333,46.3326717949,36.6756,52.7906666667,24.7122666667,20.3298,19.4455,41.223,20.7636166667,13.9043333333,23.5252666667
752.85,20.4072666667,46.0731641025,36.4796666667,52.4883333333,24.2057333333,19.7749333333,18.9526333333,40.8298666667,20.41035,13.3896333333,22.9182666667
753.16,20.1614,46.0894615385,36.4733333333,52.2430666667,24.2058666667,19.6026666667,18.8639666667,40.7399333333,20.1903166667,13.1094,23.0578666667
753.47,20.4326666667,46.5307487179,36.7519333333,52.6538666667,24.3921333334,19.8384333333,19.2489666667,40.8592,20.5080166667,13.4248,23.4794
753.79,20.3922666667,46.4997435898,36.7342,52.6434666667,24.3680666667,19.7544666667,19.3312666667,40.9445333333,20.4790933333,13.5387333333,23.3148666667
754.10,19.4611333333,45.6587179487,35.7874666667,51.8214,23.6688333333,18.8021,18.5757666667,40.1016,19.80593,12.8930666667,22.4542
754.42,19.0199333333,45.1942333334,35.3582666667,51.2344,23.4997333333,18.2493333333,18.2048,39.7626666667,19.35691,12.4039666667,21.7814
754.73,19.0218666667,45.2596076923,35.4231333333,51.2094666667,23.4419333333,18.2052,18.1601333333,39.7018666667,19.29959,12.3972,21.4470666667
755.05,19.0035333333,45.0500307692,35.3734,50.8934666667,23.4941333333,18.1771,18.0239,39.6812666667,19.21034,12.4162,21.1622
755.36,19.3779333333,45.1456307692,35.5619333333,51.0141333333,23.9193666667,18.6606,18.1887,39.9656,19.5477933333,12.7551,21.6440666667
755.67,19.1513333333,44.9069487179,35.586,51.1532,23.8002666667,18.492,18.1497,40.0979333333,19.39845,12.8174666667,21.7354666667
755.99,19.0462666667,44.6188051282,35.1832666667,51.2600666667,23.7160333333,18.0445333333,17.8868333333,40.1212,19.15492,12.5805333333,21.5182666667
756.30,19.1806,44.7939974359,35.1284666667,51.1748666667,23.7494666667,18.1460666667,18.1795,40.0988,19.08137,12.7020666667,21.7981333333
756.62,19.0638666667,44.3936076923,35.0173333333,50.8437333333,23.5050666667,18.1882333333,18.0993333333,39.914,19.1646233333,12.7028333333,21.6650666667
756.93,19.0509333333,44.0936948718,34.8889333333,50.4666,23.5301,18.2317333333,17.792,39.8602666667,19.0866933333,12.7286666667,21.3396
757.24,19.2933333333,43.9964102564,34.9442,50.3281333333,23.7352,18.3876666667,18.1896333333,39.8680666667,19.2379233333,13.0804333333,21.7993333333
757.56,20.2186666667,44.4643487179,35.5347333333,50.7604,24.2669333333,19.0680333333,18.8274666667,40.5089333333,19.81361,13.7002,22.4416666667
757.87,21.0022,45.1109051282,36.1576666667,51.6997333333,24.8052333333,19.5994,19.4502666667,41.2379333333,20.4344733333,14.2712,23.148
758.18,21.6918,45.4784538462,36.476,51.9981333333,25.4564666667,20.1596,19.9327333333,41.8355333333,20.8755,14.9327,23.8710666667
758.50,21.8806666667,45.7968538461,36.6274666667,52.4809333333,25.507,20.4561666667,20.0894333333,42.1156,21.09737,14.9505666667,24.3222666667
758.81,21.7993333333,45.7906128205,36.5236666667,52.5324,25.431,20.4663333333,20.1271333333,42.1478666667,21.0264033333,14.8768333333,24.1481333333
759.13,22.2014666667,46.0693153846,36.7242666667,52.6670666667,25.7622333333,20.8984666667,20.3424,42.3166666667,21.38089,15.2824666667,24.4152
759.44,22.5076666667,46.3971923077,37.0111333333,52.6847333333,25.9187333333,21.2927,20.6983,42.4674,21.9802533333,15.6983333333,25.0744
759.75,22.4717333333,46.3853128205,37.2096,52.9807333333,26.1731,21.4013666667,20.84,42.651,22.2173166667,15.7849666667,25.1446
760.07,22.5876,46.6283615385,37.2518,53.1512,26.3147666667,21.3139,20.7226666667,42.7574,22.2102866666,15.9472333333,25.2092666667
760.38,22.4485333333,46.6323025641,37.1331333333,53.3333333333,26.0484,21.1143,20.7036333333,42.7026666667,22.0008566667,15.6561333333,25.1419333333
760.69,22.4890666666,46.9580769231,37.2077333333,53.7663333333,26.1934333333,21.3946,20.5426666667,43.0395333333,22.0330866667,15.6727333333,24.9382666667
761.01,21.7984,46.661825641,36.8902666667,53.5463333333,25.7050666667,20.9783,20.1764,42.6500666667,21.5604866667,15.1452333333,24.6554
761.32,21.4432,46.1463948718,36.4892666667,52.8728666667,25.3218666667,20.811,19.8739666667,42.1236,21.29552,14.7983,24.3026
761.63,20.866,45.9308794872,36.2065333333,52.7229333333,24.7417666666,20.3548,19.5699333333,41.732,21.0208433333,14.4037666667,23.9010666667
761.94,20.3842666667,45.3434769231,35.5771333333,52.0692666667,24.3335,19.8227,19.1000333333,41.0826666667,20.5742533333,14.1263666667,23.4132
762.26,20.6313333333,45.6405769231,35.9230666667,52.2804,24.4845,20.0969666667,19.4827,41.1047333333,20.81707,14.5531333333,23.6707333333
762.57,20.5279333333,45.2900769231,35.7033333333,52.0391333333,24.2767,19.8513333333,19.5437333333,40.7785333333,20.66126,14.418,23.5031333333
762.88,20.2469333333,45.0433179487,35.534,51.7248666667,23.9590333333,19.5898333333,19.2053,40.5705333333,20.18056,14.0908,22.8766666667
763.20,20.2164,44.8923589744,35.2428,51.612,23.7789666667,19.4331,18.9206,40.4914666667,19.86899,13.9412666667,22.7866666667
763.51,20.1532666667,44.7379871795,34.9692,51.5582666666,23.5724333333,19.3734666667,18.7585,40.3968666667,19.7433066667,13.7986666667,22.6755333333
763.82,20.0137333333,44.6250410257,34.7918666667,51.2445333334,23.5255666667,19.3076,18.5474333333,40.2072,19.6258833333,13.7061,22.6271333333
764.14,20.2216,44.6658307692,35.0236666667,51.3036666667,23.6599666667,19.3719,18.6929,40.2886,19.70316,13.8519,22.7389333333
764.45,20.4057333334,44.7400153846,35.0614666667,51.5206666667,24.0262333333,19.5181666667,18.7291666667,40.3422666667,19.7285633333,14.0989666667,22.7949333333
764.76,20.3228666667,44.6979538462,34.9619333333,51.6227333333,24.0296333333,19.4397666667,18.6507666667,40.2842666667,19.5798933333,13.9692666667,22.7010666667
765.07,20.5528,44.7526564103,35.0834666667,51.7028666667,24.1946666667,19.6690333333,18.9033333333,40.3236666667,19.73958,14.074,22.8504
765.39,20.9006666667,44.9651487179,35.5798,52.0108666666,24.5854,20.0417333333,19.1995,40.7704,19.9369633333,14.3239666667,22.9754666667
765.70,20.3972666666,44.3841897436,35.0842,51.5796,24.2869666667,19.5589666667,18.6737,40.4604666667,19.4183933333,13.7785,22.6604
766.01,19.6798,44.1782564103,34.6785333333,51.5418666667,23.8487666667,18.9924666667,17.9323,40.1498,18.6536,13.0676666667,22.197
766.32,19.7556666667,44.1016538461,34.6358666667,51.5885333333,24.1174666667,19.1139666667,17.9334666667,39.9814,18.81288,13.2946666667,22.5768666667
766.64,20.0421333333,44.4072512821,35.1417333333,51.7582666667,24.4920333333,19.5250666667,18.5691666667,40.2625333334,19.4439133333,13.8146,23.1307333333
766.95,19.9457333333,44.4572897436,35.217,51.8123333333,24.7357333333,19.5849666667,18.7314666667,40.3184666666,19.6935966667,13.9617333333,23.6585333333
767.26,20.6691333333,45.2192794872,36.1779333333,52.6326666667,25.5615666667,20.4326666667,19.5497666667,40.9705333333,20.6565966667,14.8326,24.6136666667
767.57,20.9088,45.5434666667,36.605,53.1442666667,25.8797666667,20.7706333333,20.0798666667,41.3924,21.1784066667,15.1872,25.2053333333
767.88,21.2059333333,45.9103794872,37.0748666667,53.3708,25.8988666667,21.0919,20.4455666667,41.7379333333,21.59123,15.4083,25.6254666667
768.20,21.4076666667,46.0654512821,37.315,53.4560666667,26.1450333333,21.4940333333,20.7575,41.9140666667,21.85374,15.9761666667,25.8649333333
768.51,20.6751333333,45.2989820513,36.6686666667,52.9284,25.8229333333,20.8158666667,19.8154,41.3818666667,21.0031066667,15.3284,25.4557333333
768.82,20.4618666667,45.0033589744,36.2191333333,52.4176666667,25.6222,20.697,19.4052,41.1159333333,20.75405,14.9582666667,25.461
