wavelength,Back_LoxViof,Belly_LoxViof,Breast_LoxViof,Crissum_LoxViof,Crown_LoxViof,DorTail_LoxViof,Patch10_LoxViof,Rump_LoxViof,Throat_LoxViof,WingTip_LoxViof
766.01,8.30906666666,9.0518,7.01073333333,36.3578666667,6.7258,9.71426666667,35.7919333333,9.57080000001,38.3635333333,15.1782666667
766.32,8.34286666667,9.15303333333,7.20526666667,36.4345333333,6.88353333333,9.92873333333,35.9340666667,9.63113333333,38.3982666667,15.4418
766.64,8.54520000001,9.35463333333,7.403,36.5548,7.106,10.2375333333,35.9439333333,9.68093333333,38.2470666667,15.5528666667
766.95,8.55999999999,9.36343333333,7.4636,36.6873333333,7.14273333334,10.1953333333,36.0344666667,9.68666666668,38.3098,15.6044
767.26,8.77866666667,9.6378,7.75099999999,36.8714,7.36613333334,10.4765333333,36.3463333333,9.95579999999,38.5241333333,15.8009333333
767.57,8.83519999999,9.66853333333,7.83613333333,36.7484,7.29926666666,10.5648,36.3516666667,10.0232666667,38.3521333333,15.8052
767.88,8.75279999999,9.59666666667,7.81966666667,36.5581333333,7.20846666667,10.3998666667,36.1116,9.94153333333,37.9400666667,15.6651333333
768.20,8.53340000001,9.43853333333,7.53586666666,36.2615333333,6.7946,10.1342,35.7862666667,9.56519999999,37.8721333333,15.5499333333
768.51,8.26273333333,9.29093333333,7.27673333333,36.1317333333,6.42793333333,9.95286666666,35.6181333333,9.39133333334,37.8522666667,15.3666
768.82,7.85880000001,9.02513333333,7.03126666666,35.4668666667,6.15213333334,9.64319999999,35.172,9.0922,37.3778666667,14.8952
769.13,7.30966666667,8.4327,6.5306,34.9552666667,5.6288,9.15293333333,34.7446,8.51546666667,37.0788666666,14.3366
769.44,7.59233333334,8.66453333333,6.75613333333,34.9918,5.82513333333,9.41906666668,34.8805333333,8.8192,37.226,14.5467333333
769.76,7.90966666667,8.77233333333,6.91646666667,35.1671333333,5.87326666667,9.47986666666,35.0561333333,9.1332,37.5448,14.6510666667
770.07,7.89013333333,8.7908,6.99513333333,35.0098666667,5.7038,9.37986666666,35.0721333333,9.2354,37.6551333333,14.7662666667
770.38,8.01459999999,8.9825,7.15946666666,35.3247333333,5.83186666667,9.65499999999,35.4057333333,9.49293333333,38.0579333333,14.9158
770.69,7.53033333333,8.505,6.67846666667,34.7886666667,5.32966666667,9.35233333334,35.0103333333,9.04766666667,37.755,14.2945333333
771.00,7.3422,8.26146666667,6.485,34.9386666667,5.30973333333,9.18360000001,35.1264666667,8.8414,38.0372666667,13.9874666667
771.32,7.5898,8.42563333333,6.68193333334,34.9778666667,5.57853333333,9.4634,35.039,8.9898,38.3217333333,14.1067333333
771.63,7.284,8.18356666667,6.5232,34.9111333334,5.47553333333,9.11433333333,35.0264666667,8.893,38.0978666667,13.7138
