wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
350.00,3.83326666667,13.1096,8.70686666667,3.40753333333,3.2492,6.02785925926,11.1337333333,5.69046666667,3.98573333333,5.05793333333
350.37,3.81806666667,13.1585333333,8.7798,3.36306666667,3.22066666667,6.08316296296,11.0812,5.65433333333,3.94246666667,5.02993333333
350.73,4.0226,13.4079333333,8.9748,3.46113333333,3.44233333333,6.16584814815,11.2341333333,5.8116,4.09826666667,5.24013333333
351.10,3.95386666667,13.3521333333,8.91979999999,3.33373333333,3.3712,6.05672222222,11.1696666667,5.69853333333,4.00026666667,5.1782
351.46,3.86246666667,13.2776,8.84773333335,3.181,3.22713333333,5.91012962963,11.0724666667,5.6446,3.83626666667,5.02233333333
351.83,3.95273333333,13.4278666667,8.94973333333,3.2876,3.3638,5.99591481481,11.2438,5.79166666667,3.95366666667,5.13653333333
352.19,3.938,13.5818666667,9.04826666668,3.2806,3.32186666667,5.97638888889,11.3410666667,5.8262,4.01826666667,5.14826666667
352.55,3.96893333333,13.7036,9.14826666667,3.37273333333,3.3554,6.02773703704,11.4232,5.89293333333,4.02686666667,5.15586666667
352.92,3.886,13.6924,9.13733333333,3.3728,3.31626666667,5.98668148148,11.41,5.86586666667,3.9748,5.12506666667
353.28,3.7636,13.7170666667,9.06739999999,3.29313333333,3.23686666666,5.87839259259,11.3981333333,5.81133333333,3.87066666667,5.0164
353.65,3.8316,13.7528,9.16533333334,3.36386666667,3.24073333333,5.92396666667,11.5032666667,5.933,3.90933333333,4.99626666667
354.01,3.78106666667,13.6888666667,9.13653333334,3.33753333333,3.21113333333,5.84448518518,11.4646,5.8842,3.91586666667,4.9502
354.38,3.687,13.7079333333,9.13206666667,3.3286,3.21893333333,5.77151111111,11.495,5.8834,3.85933333333,4.9556
354.74,3.4826,13.568,9.00680000001,3.2408,3.0202,5.64602592593,11.4261333333,5.81773333333,3.68893333334,4.80786666667
355.11,3.5874,13.777,9.20486666666,3.43253333333,3.1546,5.7818,11.5674,5.98866666667,3.87426666667,4.95526666667
