wavelength,Back_HemParf,Belly_HemParf,Breast_HemParf,Crissum_HemParf,Crown_HemParf,DorTail_HemParf,Patch10_HemParf,Rump_HemParf,Throat_HemParf,WingTip_HemParf
186.77,-169.4445,-152.777666667,427.777833333,30.5555,763.888833333,680.555666665,680.555666666,580.5555,552.777833333,327.777833333
187.15,83.333333333,72.2223333334,295.833166667,131.9445,537.500166667,488.888833333,522.222333334,395.833333334,386.111,291.666666666
187.53,86.666666667,50.0,596.666666668,160.0,1140.0,1036.66666666,1153.33333334,806.666666669,673.333333334,543.333333334
187.91,-88.8889999999,-31.4815000001,-322.222166667,-37.0371666665,-607.407333333,-546.296166667,-662.963,-403.703666667,-316.6665,-309.259333333
188.29,-214.814833333,-151.851833333,-370.370333333,-75.9258333335,-705.555833334,-592.592666667,-729.6295,-444.444333333,-362.962833333,-374.074
188.67,-88.3333333335,-69.1666666667,-143.333333334,-30.8333333333,-325.0,-245.833333334,-312.5,-216.666666667,-130.0,-160.0
189.05,-83.3333333333,-63.3333333333,-122.666666667,-20.0,-263.333333333,-198.666666667,-226.0,-158.0,-110.666666666,-124.666666666
189.43,-36.9048333333,-21.8255,-44.8413333331,8.33333333335,-121.0315,-103.1745,-109.127166667,-63.889,-45.2379999999,-58.3331666667
189.81,-52.6315,-38.1578333333,-76.3156666668,10.0878333334,-142.982333334,-107.456166667,-125.8775,-69.2983333334,-57.0176666665,-79.3858333334
190.19,-90.741,-56.1726666667,-109.259166667,14.8148333333,-196.296333334,-173.456833334,-200.617166666,-122.222333333,-78.3949999999,-111.111166666
190.57,-833.333333333,-610.0,-746.666666665,-206.666666667,-1330.0,-1183.33333333,-1396.66666667,-993.333333335,-606.666666665,-830.0
190.95,-234.375,-164.583333333,-221.875,-25.0,-380.208333334,-301.041666667,-365.625,-254.166666667,-132.291666667,-236.458333333
191.33,-258.333333334,-169.791666667,-256.25,-72.9166666667,-375.0,-287.5,-342.708333334,-276.041666667,-138.541666666,-270.833333334
191.71,-174.666666667,-121.333333334,-178.0,-58.6666666667,-246.0,-177.333333333,-219.333333333,-179.333333333,-96.6666666665,-168.0
192.09,-221.052666667,-200.877333334,-242.105333334,-109.649166667,-335.964833333,-270.1755,-258.771833334,-245.614,-157.0175,-245.614333333
192.47,-235.555666667,-256.666666667,-272.222166667,-118.888833334,-343.333166667,-291.111166667,-255.5555,-281.111166667,-186.6665,-310.0
192.85,-390.909,-469.696833333,-430.303166667,-233.333166667,-504.545333333,-404.5455,-416.666666666,-433.3335,-386.3635,-516.666666666
193.23,-288.888833333,-346.666666666,-270.0,-164.444333333,-337.777833333,-275.5555,-332.222166667,-323.333333333,-265.5555,-398.888833333
193.61,-167.5925,-261.111166666,-189.815,-80.5555,-226.851833333,-168.518666667,-245.3705,-237.037166667,-186.111,-294.4445
193.99,-162.5,-280.0,-180.0,-105.833333333,-220.833333333,-170.833333334,-241.666666667,-241.666666666,-182.5,-305.833333334
194.37,-206.140333333,-353.508833333,-238.596833334,-157.8945,-252.631833333,-196.491333333,-252.631666667,-274.5615,-228.070333333,-392.105333333
194.75,-187.719333334,-342.9825,-236.841833334,-151.754333333,-212.280833333,-185.087666667,-212.280666667,-239.473833334,-235.087833333,-384.2105
195.13,-166.666666667,-282.608666666,-175.362333334,-129.709833333,-155.0725,-163.0435,-184.057833334,-209.420166666,-198.550833333,-319.565166667
195.51,-205.833333333,-357.5,-206.666666667,-154.166666667,-186.666666667,-160.0,-216.666666667,-248.333333333,-236.666666667,-358.333333334
195.89,-272.222,-414.814666666,-216.666333334,-210.185,-244.444333333,-186.111166667,-262.037,-283.333333333,-299.074,-448.148
196.27,-248.5505,-329.710166667,-147.101333334,-164.492833333,-205.072333333,-136.9565,-224.637666666,-235.507166667,-232.608666666,-355.797166667
196.65,-488.095166667,-615.476333333,-257.142666667,-345.238,-417.857,-295.238166667,-448.8095,-459.523666666,-420.238166666,-638.095166667
197.03,1018.75,1172.91666667,591.666666667,727.083333333,827.083333333,679.166666666,860.416666666,908.333333333,800.0,1235.41666666
197.40,1987.5,2500.0,1095.83333333,1545.83333333,1750.0,1275.0,1608.33333333,1862.5,1620.83333333,2425.0
197.78,1973.33333334,2306.66666666,1106.66666667,1526.66666666,1793.33333334,1256.66666666,1416.66666667,1770.0,1483.33333333,2210.0
198.16,-965.151500001,-1039.394,-527.272666667,-743.939333333,-816.6665,-593.9395,-645.454666668,-833.333333331,-692.424166667,-1021.21216667
198.54,-572.222166667,-615.740833334,-264.814833334,-424.074333334,-476.852,-315.740666667,-376.851833333,-488.888833333,-372.222333333,-569.444333334
198.92,-271.078333333,-315.196333333,-129.411666667,-224.509833334,-252.450833333,-148.039,-193.137166666,-245.588,-178.921666667,-292.156833334
199.30,-240.090333333,-295.946,-118.4685,-210.810833333,-237.837833333,-136.936833333,-164.4145,-224.774833333,-171.171,-262.612666666
199.68,-164.706166667,-217.647,-83.0066666667,-154.248333333,-171.242,-104.575166667,-123.202666666,-166.339833333,-123.202833333,-194.771333333
200.06,-121.2365,-180.107333333,-62.0968333333,-113.709666666,-125.537666667,-71.7741666667,-89.5160000002,-126.344,-92.2043333334,-147.311833334
200.44,-105.050666667,-157.576,-64.1415,-105.050333333,-110.8585,-50.0,-73.4848333335,-104.040666667,-85.8586666666,-131.565666667
200.82,-102.864333333,-165.364666666,-72.396,-108.3335,-117.708333333,-45.3125,-72.1355000002,-107.552333333,-87.5003333331,-136.198166666
201.19,-71.1538333332,-129.700833333,-47.0085,-72.8633333333,-86.7521666666,-21.5811666666,-39.53,-76.9230000001,-57.9061666666,-100.641
201.57,-89.1109999998,-129.555333333,-55.111,-76.6665,-92.8888333335,-27.1113333334,-50.2221666668,-85.1109999999,-65.7778333333,-109.999833333
201.95,-91.5421666669,-138.059666666,-52.2386666666,-72.1393333333,-92.5371666665,-25.8706666666,-48.5073333333,-81.3431666667,-68.9055,-118.408
