wavelength,Back_SalCoef,Belly_SalCoef,Breast_SalCoef,Crissum_SalCoef,Crown_SalCoef,DorTail_SalCoef,Patch10_SalCoef,Patch11_SalCoef,Rump_SalCoef,Throat_SalCoef,WingTip_SalCoef
226.51,-1032.22213333,-988.214104762,-971.111166667,-921.1112,-1036.11113333,-906.6666,-1034.44446666,-1064.4444,-1010.00006667,-826.666666666,-1054.99993334
226.88,-478.717866667,-467.582452381,-453.461533333,-422.820533333,-478.717933333,-424.871733333,-488.974266667,-495.128266667,-474.6154,-387.1796,-486.666666667
227.26,-256.454,-245.440733333,-245.2484,-224.539066667,-248.794333333,-232.198533333,-263.262466667,-258.156,-261.985733333,-210.4964,-259.574666667
227.64,-188.229333333,-180.312747619,-184.062733333,-164.166933334,-177.396133333,-169.583666667,-194.479333333,-188.646,-194.4794,-159.687666667,-191.146066667
228.01,-147.325,-143.39212381,-142.880533333,-131.851733333,-138.107,-132.181,-151.6048,-144.773666667,-152.181266667,-129.711933333,-150.617333333
228.39,-79.7312,-78.6981809524,-75.4033333334,-70.8603333333,-73.8710666667,-67.6343333333,-84.0322666666,-77.8492666667,-81.9892666667,-70.0000666667,-80.0537333333
228.76,-61.1764666667,-60.1400904762,-56.1002,-53.9869333333,-55.3813333333,-51.4161333333,-62.5272666667,-61.2200666667,-63.3987333333,-55.0325333333,-59.7820666667
229.14,-50.3372,-49.5721142857,-45.5993,-42.2470666667,-43.3332,-41.7226666667,-48.8015333333,-51.2735333333,-51.8352666667,-45.9176,-47.2284666667
229.52,-37.8100666667,-33.9797,-30.4831666667,-28.8889333333,-31.1755333333,-29.0498,-33.8163333333,-37.7778,-36.4896,-32.9790666667,-31.9484666667
229.89,-29.8087333333,-25.1737142857,-22.5137333333,-22.4316666667,-23.3334,-21.4480666667,-25.1366,-30.5738,-28.9618,-25.929,-24.4262
230.27,-23.0325333333,-18.7683809524,-17.4436,-16.8421333333,-18.5212666667,-16.1404,-19.2481333333,-26.0652666667,-23.4586,-20.0751333333,-19.3482
230.65,-23.5354,-18.7391761905,-18.3083,-19.2928666667,-20.1010666667,-17.2728,-20.0253333333,-28.0302,-23.9899333333,-20.8586666667,-20.3536
231.02,-22.8572,-16.6021380952,-17.1061,-18.4127333333,-18.6568666667,-14.9207333333,-18.2905333333,-27.1306,-21.6362,-20.1710666667,-19.3406666667
231.40,-22.9324666667,-16.8313,-16.7169333333,-19.1728666667,-20.4012,-14.2355333334,-17.5188,-28.5463333333,-20.6766666667,-19.7493333333,-19.7744
231.78,-19.0123333334,-11.2150809524,-11.9753,-15.5555333333,-16.2963333333,-10.4445333333,-13.3826666667,-24.0493333333,-16.642,-15.6049333333,-14.4690666667
232.15,-20.8364,-11.8847095238,-12.8263,-16.8820666667,-17.8200666667,-10.9506,-13.967,-26.2357333333,-17.5665333333,-16.8062,-15.3106666667
232.53,-26.9684666667,-16.8429190476,-20.2743,-23.1002,-24.6364666667,-17.7229333333,-19.5334666667,-34.5678,-24.6090666667,-23.6488666667,-20.8507333333
232.90,-27.2292666667,-16.5459952381,-20.6189,-23.1222666667,-24.1068666667,-17.1870666667,-19.1280666667,-32.4896,-24.3318666666,-23.0944,-18.8749333333
233.28,-31.7558666667,-21.0182523809,-25.4315333333,-28.7798,-30.6250666667,-22.0238666667,-24.8213333333,-37.2914666666,-28.8690666667,-29.0178666667,-23.0356666667
233.66,-34.1934666667,-25.0075761905,-29.1244333333,-31.4287333333,-34.9616,-25.745,-27.9876666667,-40.8294,-31.0292,-32.1353333333,-26.1444666666
234.03,-32.8726,-24.0706238095,-28.1412333333,-29.6466666667,-33.0567333333,-22.6728,-27.3733333333,-36.6819333333,-27.9569333333,-29.8923333333,-23.871
234.41,-32.9548,-23.4975714286,-28.2678,-30.5094,-32.0815333333,-22.0378666667,-26.1134666667,-33.7409333333,-28.7627333333,-29.6070666667,-22.9112666667
234.78,-34.75,-25.4027333333,-31.6946666667,-31.8611333333,-33.8610666667,-25.25,-27.8889333333,-33.9444666667,-32.7223333333,-31.8889333333,-24.2222
235.16,-32.7596666666,-23.8173142857,-31.1749,-30.8197333333,-32.3223333333,-25.2459333333,-27.3224,-32.1857333334,-32.0218666667,-28.9070666667,-22.9508666667
235.54,-26.7180666667,-19.3656857143,-26.2035,-24.7104,-25.9460666667,-20.8494666666,-23.4492666667,-27.0784666667,-27.1559333333,-22.4711333334,-18.7130666667
235.91,-30.1010666667,-24.0980809524,-29.4951333333,-27.7525333333,-29.0909333333,-23.6869333333,-26.6160666667,-29.7728,-30.5302666667,-24.1919333333,-23.5101333333
236.29,-24.6878666667,-20.1767571429,-24.0989333333,-23.1802,-23.6984,-19.7879333333,-22.2378666667,-24.311,-25.6065333333,-18.6101333333,-19.576
236.66,-19.1008666667,-16.1137333333,-17.7191666667,-17.3464,-17.0834,-14.7368666667,-16.6009333333,-17.3684,-19.2106,-12.8288666667,-15.0439333334
237.04,-12.5594666667,-10.4690809524,-11.2997666666,-11.6865333333,-11.1905333333,-9.46433333332,-11.2896666667,-12.2024,-13.8293333333,-6.07146666667,-10.2381333333
237.41,-5.94206666667,-3.89099047619,-4.63756666667,-4.14853333333,-3.69573333333,-2.39113333334,-4.43839999999,-4.80066666667,-7.49993333334,0.996333333332,-3.7318
237.79,-4.57593333333,-3.31486666667,-3.4876,-3.5818,-2.26226666667,-0.137133333334,-3.42739999999,-3.5818,-7.16373333333,1.71373333333,-2.79346666667
238.17,-4.9958,-4.25529047619,-3.2269,-3.89853333333,-3.1614,-1.21206666667,-2.78466666667,-4.27506666667,-8.059,1.37593333333,-2.96486666667
238.54,-2.69173333333,-2.46250476191,-0.5713,-1.69006666667,-1.299,0.735533333332,-1.04853333333,-1.81533333334,-5.46173333333,4.14713333333,-0.798133333334
238.92,0.876333333332,-0.177661904762,2.98129999999,0.948333333331,1.4224,4.46833333333,1.73866666667,1.45126666667,-1.29313333333,7.48573333333,2.01146666667
239.29,2.40866666667,0.518976190477,3.79913333333,2.04926666667,1.68993333333,5.18966666667,3.12706666667,2.30193333333,0.093266666668,7.55813333334,3.67266666667
239.67,1.00686666667,-0.361266666666,2.30213333333,0.650800000003,0.122666666666,3.80606666667,2.14853333333,0.749200000001,-1.11713333333,5.38966666667,2.8852
240.04,0.830533333334,-0.507904761905,1.70646666667,0.0112,-0.648400000001,3.40166666667,1.206,0.1138,-1.2628,4.0842,3.0944
240.42,-0.071466666666,-0.750519047619,-0.275166666668,-0.601466666668,-1.90626666666,2.29353333333,-0.101933333334,-1.10073333334,-1.86546666667,2.27306666667,2.72173333334
240.79,-0.5676,-0.929452380954,-1.01186666667,-1.61166666667,-2.71986666667,1.67586666667,-0.705066666667,-2.26193333333,-2.3718,1.8314,2.75633333333
241.17,-1.02006666667,-1.02991904762,-1.0934,-1.885,-3.25573333333,1.68913333333,-1.22393333333,-2.2358,-1.9178,1.1832,2.56213333333
241.54,-0.811333333334,-0.826552380953,-1.1184,-2.1784,-3.15786666667,2.003,-1.40346666666,-1.87133333333,-1.4108,0.9356,2.9386
241.92,-0.0066666666672,0.0009523809518,-0.851533333331,-1.6036,-2.8608,2.26866666667,-1.17113333333,-1.31073333333,-0.938066666667,1.39726666667,3.62606666667
242.29,-0.137533333333,-0.0142523809534,-1.52276666667,-2.02006666667,-3.28966666666,1.995,-1.71973333333,-1.7074,-1.34466666667,0.956733333333,3.32706666667
242.67,-0.548200000001,-0.550699999999,-2.18386666667,-2.0688,-3.70766666667,1.60913333333,-2.08066666667,-2.11626666667,-1.86853333333,0.159133333333,2.87053333333
243.05,-0.785733333335,-0.370485714285,-2.31986666667,-1.91846666667,-3.64366666667,1.372,-1.7706,-2.27153333333,-1.63966666667,0.0512000000014,3.06286666667
243.42,-0.719066666665,-0.242080952379,-2.2827,-1.78373333333,-3.233,1.61086666667,-1.62766666667,-1.951,-1.31546666667,0.128200000001,3.389
243.80,-0.519933333332,-0.0724142857136,-1.91853333333,-1.445,-2.93926666667,1.9594,-1.45593333333,-1.41746666667,-0.853866666667,0.623999999999,3.74933333333
244.17,0.700200000001,1.08622380952,-0.2864,-0.0529999999993,-1.6494,3.12386666667,-0.265066666667,0.0157999999999,0.360533333333,2.11093333333,4.95893333333
244.55,1.2874,1.74242857143,0.873033333332,0.615133333334,-0.834000000001,3.97706666667,0.458666666667,0.917400000001,0.896600000001,3.17433333333,5.65546666667
244.92,1.03533333333,1.66865238095,0.870233333333,0.620200000001,-0.800333333333,4.15113333333,0.230200000001,1.11033333333,0.915266666667,2.9658,5.5214
245.30,0.701933333334,1.24601428571,0.477566666668,0.3296,-0.892999999999,3.94466666667,-0.105066666666,0.998066666667,0.487200000001,2.55006666667,5.18146666667
245.67,0.196399999999,0.624742857142,-0.140599999999,-0.200999999999,-1.26733333333,3.41813333333,-0.794266666667,0.4282,-0.102666666667,2.13293333333,4.35966666667
246.05,0.016266666666,0.607080952382,-0.0509666666661,-0.183000000001,-0.906666666667,3.50813333333,-0.707333333331,0.544666666665,0.0122666666674,2.21133333333,4.13013333333
246.42,0.563333333332,1.09464761905,0.546466666667,0.313400000001,-0.320733333334,4.0366,-0.153133333333,0.999866666667,0.779666666667,2.6076,4.60373333333
246.79,1.00626666667,1.47012380953,1.0442,0.504733333332,0.315933333333,4.4032,0.267999999999,1.22626666667,1.24693333333,2.8026,5.08673333333
247.17,1.58906666666,1.97931904762,1.71716666667,1.1512,0.927333333333,5.09673333333,0.703266666666,1.86406666667,1.7074,3.1976,5.68806666667
