wavelength,Back_DigIndf,Belly_DigIndf,Breast_DigIndf,Crissum_DigIndf,Crown_DigIndf,DorTail_DigIndf,Patch10_DigIndf,Rump_DigIndf,Throat_DigIndf,WingTip_DigIndf
192.85,-29.553,-3.093,20.619,32.302,21.993,33.677,47.0793333333,26.1166666667,20.275,14.0893333333
193.23,-8.98533333333,13.9133333333,30.435,29.2753333333,35.362,39.13,55.0723333333,36.2316666667,26.9563333333,26.3766666667
193.61,-9.434,-0.000333333333334,29.717,20.4403333333,38.0501666667,33.6476666667,54.717,35.5346666667,22.0126666667,17.9243333333
193.99,-7.98633333333,1.389,25.0,15.278,38.3681666667,33.6806666667,54.8613333333,33.6806666667,16.6663333333,7.639
194.37,12.5853333333,16.6666666667,30.612,16.6663333333,49.9998333333,40.4763333333,64.626,45.9183333333,22.789,17.007
194.75,13.7256666667,15.294,23.5295,18.0393333333,55.2941666667,38.0393333333,62.353,44.3136666667,23.1373333333,13.3333333333
195.13,12.4443333333,17.778,22.0,12.8886666667,60.4445,40.4443333333,68.889,48.4443333333,15.5556666667,-4.44433333333
195.51,20.6143333333,25.0,38.816,13.5963333333,58.7718333333,43.8596666667,75.877,58.7716666667,35.5263333333,0.438333333333
195.89,32.5203333333,45.935,44.5125,20.7316666667,59.9591666667,54.8783333333,86.9916666667,67.8863333333,51.2196666667,6.91066666667
196.27,20.3253333333,39.4306666667,48.7805,9.756,62.6015,47.9676666667,89.4306666667,58.5363333333,52.439,11.382
196.65,23.6946666667,36.546,59.036,-1.60633333333,64.2571666667,39.3573333333,85.1406666667,56.225,58.2326666667,15.261
197.03,26.5916666667,31.8353333333,51.6855,-4.12,65.5433333333,37.8276666667,84.6443333333,70.7866666667,61.423,21.723
197.40,23.6946666667,25.3013333333,45.783,-1.60633333333,59.8393333333,36.9473333333,80.723,65.8633333333,62.249,20.0803333333
197.78,35.0693333333,40.2776666667,44.792,18.0556666667,71.1805,48.264,89.9306666667,71.875,72.9166666667,37.1526666667
198.16,37.398,42.0056666667,55.285,28.4553333333,70.1898333333,46.3416666667,91.3276666667,74.5256666667,71.545,41.1923333333
198.54,41.1596666667,48.6956666667,67.826,35.3623333333,74.4926666667,48.9856666667,97.1016666667,78.8406666667,80.8693333333,44.058
198.92,37.741,48.4846666667,64.463,32.7823333333,74.9311666667,47.934,97.5206666667,75.4823333333,72.1763333333,49.862
199.30,40.7126666667,54.1983333333,65.6485,35.1146666667,78.8803333333,51.908,99.2366666667,81.425,77.3533333333,60.814
199.68,43.4986666667,54.3733333333,57.4465,39.48,74.3496666667,52.955,88.1796666667,73.759,71.631,59.338
200.06,39.524,54.524,49.6425,40.0003333333,71.1906666667,53.0953333333,81.429,70.2383333333,68.3333333333,69.0473333333
200.44,42.4626666667,60.9343333333,43.6305,39.278,65.0743333333,51.8046666667,71.9743333333,71.3373333333,65.8173333333,67.7283333333
200.82,49.898,71.166,41.1045,49.2843333333,71.6768333333,61.1453333333,78.9363333333,78.9363333333,66.4623333333,77.9143333333
201.19,54.088,71.9076666667,41.5095,53.2496666667,70.8596666667,63.7316666667,83.0186666667,83.2286666667,67.505,81.132
201.57,52.1316666667,67.248,33.1395,49.2246666667,66.1823333333,61.6276666667,80.4263333333,87.0156666667,61.4343333333,75.5813333333
201.95,51.8516666667,71.93,33.333,46.0036666667,63.4503333333,66.082,79.5323333333,89.4736666667,64.3276666667,80.5066666667
202.33,45.9566666667,71.4006666667,18.343,39.4476666667,62.426,67.653,74.359,89.1516666667,61.9326666667,79.0926666667
202.71,41.7673333333,64.4576666667,9.036,33.735,58.9355,63.052,72.0883333333,83.534,54.819,75.301
203.09,52.3276666667,63.501,13.4075,42.458,60.1488333333,63.6873333333,71.6943333333,83.24,59.404,77.2813333333
203.47,54.9243333333,67.2346666667,12.7845,43.1816666667,60.1325,66.8563333333,72.538,83.5226666667,60.6063333333,75.9466666667
203.85,53.2566666667,64.3676666667,10.632,37.3563333333,60.3446666667,69.157,74.7126666667,87.1646666667,58.429,77.203
204.22,58.1853333333,62.7216666667,10.9465,35.503,65.286,68.2443333333,77.712,92.702,59.9606666667,76.5286666667
204.60,61.22,62.9633333333,7.8435,36.3833333333,72.44,73.856,79.7386666667,96.2963333333,58.606,80.61
204.98,65.3243333333,58.837,7.718,38.4786666667,77.8523333333,73.1543333333,77.8523333333,94.8546666667,58.613,82.5503333333
205.36,67.2803333333,63.8036666667,13.19,40.8996666667,76.9938333333,75.869,73.2103333333,86.7073333333,58.0776666667,81.8
205.74,75.799,76.712,19.178,48.402,88.9268333333,86.986,80.137,88.5846666667,65.5253333333,91.5523333333
206.12,74.342,74.342,24.671,54.6053333333,88.4866666667,90.1316666667,77.6313333333,82.0173333333,64.4736666667,86.6226666667
206.50,90.0,82.1426666667,32.8575,58.3333333333,97.8571666667,90.4763333333,84.524,86.1906666667,73.3333333333,97.381
206.87,81.579,87.7193333333,34.5395,57.4563333333,99.452,89.474,83.772,85.7456666667,75.219,94.5176666667
207.25,81.925,97.418,43.31,56.1033333333,102.699333333,95.7746666667,84.7416666667,89.4363333333,81.221,99.2956666667
207.63,81.7566666667,96.847,49.3245,59.4593333333,101.126333333,101.126333333,81.081,86.7116666667,81.5316666667,103.829
208.01,80.147,93.8723333333,41.544,55.8826666667,102.5735,100.0,76.7156666667,82.5983333333,80.8823333333,102.205666667
208.39,72.6493333333,87.1793333333,40.3845,54.2736666667,95.7265,98.7176666667,70.0856666667,74.1453333333,77.3503333333,88.889
208.77,71.491,82.895,37.8285,53.7283333333,96.272,104.386,74.7806666667,70.8336666667,77.1926666667,88.5966666667
209.14,67.9246666667,79.0356666667,35.2205,49.266,90.4613333333,105.87,74.6333333333,67.505,78.826,80.7126666667
209.52,65.5773333333,76.906,32.026,49.0193333333,92.8103333333,108.061333333,73.638,63.8343333333,84.532,77.56
209.90,59.305,71.166,27.3005,40.286,83.1288333333,97.3413333333,63.5993333333,53.783,75.2556666667,67.6893333333
210.28,59.785,70.7526666667,18.3875,30.1076666667,79.8925,89.0326666667,62.3656666667,53.3333333333,69.8923333333,64.3013333333
210.66,59.8173333333,68.9496666667,7.5345,28.767,75.3426666667,93.3793333333,58.9043333333,53.881,68.2646666667,64.1553333333
211.03,70.8663333333,62.2046666667,-1.9685,33.071,74.803,104.987,56.9553333333,56.9556666667,74.2783333333,73.7533333333
211.41,65.8666666667,57.8666666667,-7.2,30.4,74.2666666667,106.4,55.7333333333,54.1333333333,73.6,74.9333333333
211.79,64.815,50.926,-20.8335,20.9876666667,78.5495,108.642333333,51.5433333333,47.8396666667,72.222,79.9383333333
212.17,68.9263333333,62.712,-4.2375,33.3333333333,75.9886666667,101.695,52.26,52.26,73.164,84.4633333333
212.55,70.068,57.8233333333,-16.837,29.9323333333,74.3198333333,107.823,52.0406666667,52.0406666667,73.8093333333,93.1973333333
212.92,69.0973333333,61.1113333333,-20.3125,29.1666666667,73.0901666667,102.430333333,46.1806666667,59.0276666667,70.1386666667,88.1943333333
213.30,65.934,58.6083333333,-23.6265,25.641,66.6666666667,93.4063333333,35.531,54.5786666667,62.271,83.8826666667
213.68,60.8526666667,43.7983333333,-36.628,20.155,58.9148333333,86.434,20.155,51.938,48.4496666667,81.395
214.06,70.2703333333,40.9906666667,-43.919,23.4233333333,67.3423333333,91.441,24.775,64.4146666667,54.054,95.045
214.44,67.58,36.5296666667,-38.356,26.0273333333,59.8171666667,93.1503333333,11.8723333333,61.6436666667,52.5113333333,97.2603333333
214.81,55.1113333333,32.0003333333,-18.0,29.3333333333,55.111,91.5556666667,8.889,46.6666666667,48.8886666667,84.0
215.19,43.723,29.0043333333,-7.792,19.4803333333,48.0521666667,76.6236666667,2.16466666667,43.29,34.199,76.1906666667
215.57,33.7716666667,14.912,-26.9735,4.825,34.43,58.3336666667,-6.14033333333,33.7716666667,27.6313333333,62.2806666667
215.95,32.0833333333,11.6666666667,-23.75,10.8333333333,25.2083333333,53.3333333333,-1.66666666667,32.5,22.5,50.4166666667
216.32,16.6666666667,2.91666666667,-33.75,5.41666666667,21.4583333333,49.1666666667,5.41666666667,24.1666666667,10.4166666667,40.4166666667
216.70,30.0813333333,4.878,-17.0735,4.065,22.3578333333,46.7476666667,12.195,25.6096666667,22.7643333333,40.65
217.08,35.606,9.84866666667,-5.1135,6.06066666667,15.1516666667,50.7576666667,12.5,17.803,30.303,41.6666666667
217.46,37.255,2.745,4.706,9.41166666667,17.0588333333,54.5096666667,14.1176666667,16.471,37.255,54.1176666667
217.83,39.7006666667,6.367,14.6065,8.23933333333,18.7268333333,51.6853333333,23.5953333333,13.483,41.9476666667,56.5543333333
218.21,40.31,6.20133333333,12.2095,10.8526666667,21.7053333333,55.8136666667,26.7443333333,14.729,48.0623333333,50.3873333333
218.59,41.7583333333,13.9193333333,18.132,19.7803333333,36.8133333333,69.5966666667,46.52,26.3736666667,53.8463333333,47.9853333333
218.97,39.1583333333,16.181,2.9125,16.5053333333,33.8188333333,63.7543333333,43.366,26.861,43.3656666667,45.3073333333
219.34,50.476,24.4443333333,2.8575,26.9843333333,35.5555,78.73,53.9683333333,32.381,52.0633333333,45.0793333333
219.72,58.0646666667,39.068,5.914,39.4263333333,43.7276666667,92.473,69.534,49.8206666667,62.3656666667,55.914
220.10,69.7316666667,43.678,8.6205,40.2296666667,49.8086666667,93.4866666667,74.7126666667,52.8736666667,73.18,72.4136666667
220.47,72.358,47.9676666667,16.463,41.87,54.4715,103.658666667,75.6096666667,66.26,91.87,80.8943333333
220.85,58.7303333333,45.2383333333,2.381,44.8413333333,50.992,103.174333333,67.857,66.6663333333,82.9363333333,79.3653333333
221.23,53.9006666667,42.1983333333,5.851,46.8086666667,57.624,95.7443333333,70.5673333333,70.5676666667,77.6596666667,81.5603333333
221.61,43.5643333333,37.954,4.4555,39.934,51.4851666667,85.8086666667,64.3566666667,68.647,66.9966666667,66.9966666667
221.98,35.606,41.6666666667,-5.682,40.1513333333,45.6438333333,89.015,64.394,74.6213333333,66.6666666667,67.803
222.36,30.584,32.3023333333,-6.1855,40.8936666667,34.7078333333,76.6323333333,45.7043333333,61.8556666667,54.983,72.8523333333
222.74,15.0,12.9166666667,-30.625,34.1666666667,10.8333333333,57.9166666667,10.4166666667,42.0833333333,41.25,79.1666666667
223.11,16.0,12.4443333333,-15.3335,43.5556666667,7.5555,61.7776666667,9.33333333333,44.889,49.3333333333,81.778
223.49,-1.73166666667,2.597,-16.2335,26.4066666667,0.432833333333,43.7226666667,-15.5846666667,22.5106666667,38.5283333333,64.0696666667
223.87,-12.9166666667,-8.33333333333,-30.0,11.6666666667,-10.4166666667,40.0,-36.6666666667,-4.16666666667,23.75,47.5
224.24,-27.203,-6.89633333333,-44.8275,1.53266666667,-17.8161666667,36.398,-43.295,-8.81233333333,7.27966666667,17.6243333333
224.62,-18.9006666667,-5.498,-36.598,1.71833333333,-13.9173333333,28.522,-39.519,-11.6836666667,2.40566666667,13.0583333333
225.00,-19.3146666667,-2.18066666667,-29.9065,-1.55766666667,-14.953,21.1836666667,-39.8753333333,-14.6416666667,-2.80366666667,10.9036666667
225.38,-27.305,-8.51033333333,-40.9575,-13.1206666667,-26.773,17.021,-57.8013333333,-26.5956666667,-5.67366666667,-0.000333333333333
225.75,-46.25,-17.0833333333,-56.25,-27.5,-40.8333333333,8.75,-78.75,-50.0,-15.8333333333,-13.75
226.13,-32.5926666667,-15.1853333333,-45.5555,-23.704,-29.2593333333,11.111,-64.8146666667,-38.148,-5.55533333333,-7.037
226.51,-39.773,-21.9696666667,-44.318,-31.4396666667,-40.1515,17.0456666667,-70.0756666667,-40.5303333333,-1.89433333333,-12.879
226.88,-28.0,-11.3333333333,-25.0,-24.0,-24.1666666667,25.0,-42.6666666667,-22.6666666667,2.33333333333,-10.6666666667
227.26,-31.353,-15.5116666667,-37.1285,-34.9836666667,-29.5376666667,20.1316666667,-44.2243333333,-22.7723333333,0.99,-12.5413333333
227.64,-21.1536666667,-2.56433333333,-35.096,-28.5256666667,-19.0708333333,25.0,-28.205,-9.936,7.051,9.61533333333
228.01,-6.03466666667,-2.586,-24.1375,-15.8046666667,-7.04033333333,28.4483333333,-13.7933333333,1.437,15.2303333333,16.954
228.39,4.61533333333,-1.53866666667,-13.077,-8.205,-1.795,31.5386666667,-10.5126666667,8.205,22.3076666667,28.4616666667
228.76,-7.046,-11.653,-28.0485,-16.802,-17.073,27.913,-24.9323333333,0.813,15.447,20.325
229.14,4.49733333333,0.0,-22.222,-8.201,-12.3016666667,33.8623333333,-16.6666666667,7.93633333333,24.3386666667,27.2486666667
229.52,2.96059473233e-16,4.196,-24.4755,-7.226,-16.2003333333,24.7083333333,-15.1513333333,3.49666666667,12.8203333333,25.641
229.89,10.6156666667,13.3756666667,-22.93,3.82166666667,-6.4755,31.6346666667,-3.397,12.5263333333,19.1083333333,34.8193333333
230.27,7.65766666667,12.838,-23.9865,3.60366666667,-4.8425,33.1076666667,-2.027,14.64,18.018,35.3603333333
230.65,10.0,19.375,-18.125,6.875,4.89583333333,30.0,5.83333333333,17.9166666667,22.0833333333,38.75
231.02,14.201,20.7103333333,-17.4555,12.0316666667,7.59383333333,28.5996666667,5.12833333333,21.6963333333,30.7693333333,43.7873333333
231.40,15.8916666667,24.419,-11.0465,18.7983333333,12.5968333333,31.9766666667,6.20166666667,20.7363333333,32.752,51.163
231.78,15.619,18.667,-10.857,22.6666666667,9.42866666667,33.1426666667,6.667,22.0953333333,29.5236666667,45.5236666667
232.15,12.8206666667,15.1876666667,-10.947,20.1183333333,7.29783333333,26.2326666667,7.298,24.4576666667,24.8523333333,44.1816666667
232.53,8.805,6.91833333333,-14.4655,15.304,4.19266666667,20.3353333333,6.499,19.7066666667,19.916,38.994
232.90,14.2856666667,7.24633333333,-10.8695,18.4266666667,9.3165,22.981,13.0433333333,17.184,21.118,43.8926666667
233.28,2.299,-1.37966666667,-16.8965,8.96566666667,1.839,21.6093333333,7.816,11.0346666667,13.333,42.7586666667
233.66,6.89666666667,0.459333333333,-12.069,17.701,12.069,24.8276666667,14.023,19.5403333333,22.069,48.0463333333
234.03,6.19633333333,-4.70066666667,-7.692,11.5383333333,6.73083333333,19.6583333333,6.19633333333,14.1023333333,15.812,40.812
234.41,7.83133333333,-2.40966666667,-7.8315,14.257,2.00816666667,16.2653333333,-0.200666666667,11.6466666667,13.6546666667,36.9476666667
234.78,5.726,-0.613333333333,-11.043,11.452,-1.0225,14.7236666667,-3.272,10.8386666667,9.40666666667,32.3106666667
235.16,8.43366666667,4.016,-8.1325,10.8436666667,-2.61083333333,20.2813333333,-2.81133333333,9.83933333333,7.229,30.1203333333
235.54,4.52666666667,-1.029,-16.3585,-3.29233333333,-8.12783333333,13.786,-5.96733333333,2.88066666667,-2.26366666667,15.8436666667
235.91,0.211,-2.95366666667,-19.937,-9.49366666667,-9.70466666667,12.2366666667,-8.228,-4.21966666667,-6.329,9.91566666667
236.29,2.65833333333,8.79333333333,-14.1105,-6.33966666667,-9.81583333333,20.6543333333,-11.2473333333,-6.953,-1.43166666667,15.9506666667
236.66,3.68233333333,14.535,-13.663,-3.876,-9.88366666667,23.2556666667,-9.496,-4.06966666667,-1.938,17.442
237.04,5.805,19.476,-9.5505,-4.86866666667,-7.77166666667,24.5316666667,-10.674,2.43466666667,0.187,17.9773333333
237.41,5.95233333333,18.7073333333,-9.949,-5.102,-5.9525,19.2173333333,-12.245,1.36033333333,-0.680333333333,16.4966666667
237.79,3.509,15.965,-8.9475,-8.77166666667,-6.93,22.105,-12.281,1.228,0.702,15.7896666667
238.17,6.09133333333,23.858,-6.8525,-0.677,0.254,28.257,-3.04566666667,7.10666666667,6.76833333333,19.966
238.54,7.42466666667,24.329,-6.398,-3.15933333333,1.81683333333,27.1723333333,0.000333333333333,4.73933333333,6.47733333333,21.011
238.92,6.342,21.8286666667,-7.7435,-5.457,-2.1385,26.6963333333,0.295,1.32766666667,2.80266666667,16.5193333333
239.29,5.256,21.1616666667,-9.336,-4.97966666667,-0.414833333333,24.4816666667,2.075,1.245,1.24466666667,17.5656666667
239.67,9.49,24.1993333333,-1.6015,3.55866666667,4.74483333333,23.8433333333,6.04966666667,8.65966666667,7.236,23.4876666667
240.04,6.75233333333,19.1853333333,-2.09,0.428666666667,2.09,19.1853333333,0.857333333333,6.21633333333,6.43066666667,21.9723333333
240.42,3.578,13.7476666667,-2.825,-2.35433333333,0.658833333333,14.407,-0.0943333333333,4.42566666667,2.63633333333,17.1373333333
240.79,4.21866666667,12.821,0.0,-0.827333333333,2.48133333333,10.6696666667,1.15766666667,5.54166666667,5.62433333333,18.2793333333
241.17,3.23033333333,10.8666666667,-0.991,-1.10133333333,0.624,7.78266666667,0.660666666667,4.84566666667,6.38733333333,17.1073333333
241.54,5.72933333333,9.96066666667,1.8555,1.49733333333,2.89716666667,9.76566666667,3.90633333333,6.771,8.07266666667,18.685
241.92,6.24633333333,8.87366666667,2.627,1.985,2.2475,9.28166666667,3.444,6.655,6.65466666667,16.9876666667
242.29,4.87166666667,6.02066666667,2.2165,-0.0546666666667,0.684333333333,7.27933333333,1.642,5.41866666667,4.54266666667,14.7236666667
242.67,3.31266666667,5.363,2.8395,-0.157666666667,0.788666666667,8.517,1.57733333333,5.836,3.943,13.2493333333
243.05,2.923,3.79466666667,2.692,-0.666666666667,0.307666666667,7.33333333333,-0.0513333333333,4.66666666667,3.026,12.718
243.42,1.585,2.12966666667,1.4855,-1.783,-0.990666666667,6.241,-0.891666666667,3.51633333333,3.12033333333,11.7383333333
243.80,0.634333333333,0.195,1.684,-2.34266666667,-2.56233333333,6.63766666667,-2.245,1.85433333333,2.001,10.493
244.17,2.513,1.51766666667,3.912,-0.284333333333,-1.11416666667,8.298,-0.379,3.79333333333,2.134,10.9056666667
244.55,3.98866666667,2.70566666667,4.5395,1.14633333333,0.000166666666667,10.4083333333,1.238,5.50233333333,3.89733333333,11.8753333333
244.92,2.847,3.50433333333,3.0225,0.219,-0.350333333333,10.7753333333,1.22666666667,4.94966666667,2.453,10.863
245.30,3.29333333333,3.41333333333,2.8315,1.20466666667,0.742666666667,10.7233333333,1.96766666667,4.016,1.36566666667,10.763
245.67,2.67266666667,2.89533333333,2.5615,1.00233333333,-0.52,9.61366666667,0.853666666667,2.70966666667,-0.296666666667,9.243
246.05,2.33833333333,4.175,1.954,0.968666666667,-0.3005,9.31866666667,1.169,1.937,-0.1,9.118
246.42,1.12633333333,4.38333333333,0.822,1.00466666667,-0.700333333333,8.82766666667,1.15666666667,1.43066666667,-0.548,8.493
246.79,2.42666666667,4.491,0.962,1.72966666667,-0.3205,9.121,2.45466666667,2.23166666667,-0.0836666666667,9.34433333333
247.17,3.69233333333,5.35933333333,1.5,3.077,1.21766666667,10.256,4.07666666667,3.46166666667,0.717666666667,10.7693333333
247.54,3.999,5.04766666667,2.3775,2.99933333333,1.9995,10.4116666667,4.73033333333,3.755,0.317,10.997
247.92,4.27166666667,5.88233333333,2.661,3.31466666667,2.9295,10.5973333333,5.042,4.13166666667,1.07366666667,11.2513333333
248.29,4.24833333333,6.373,3.1185,3.503,3.39,10.4856666667,5.67266666667,4.38433333333,2.192,11.435
248.67,4.50866666667,6.30333333333,2.894,3.83566666667,3.73483333333,10.4533333333,5.989,4.44133333333,1.88433333333,10.9916666667
249.04,4.94533333333,5.517,2.816,4.34966666667,3.97216666667,10.943,6.43333333333,4.51033333333,1.809,10.554
249.42,5.152,6.32633333333,3.1635,4.57733333333,4.2175,11.383,7.141,5.31966666667,1.82133333333,10.6876666667
249.79,6.14033333333,7.544,3.4965,5.06266666667,5.27566666667,12.431,8.32066666667,5.91466666667,3.30866666667,11.4533333333
250.17,6.69366666667,7.14833333333,3.494,4.39066666667,5.06016666667,12.1553333333,7.711,6.07733333333,3.26633333333,11.3253333333
250.54,9.24833333333,8.397,4.851,5.19133333333,6.39716666667,13.333,8.738,8.00033333333,4.42566666667,12.9363333333
250.92,9.57466666667,9.694,5.174,5.144,6.95816666667,13.9163333333,8.534,8.29633333333,4.758,13.7373333333
251.29,8.357,8.82466666667,5.472,4.02233333333,6.252,13.2836666667,7.92033333333,7.889,4.677,12.3793333333
251.66,7.623,8.78533333333,5.281,3.90833333333,5.9915,12.823,7.71966666667,8.07466666667,4.716,11.305
252.04,7.74866666667,8.55066666667,4.509,3.47333333333,5.6615,12.4916666667,8.183,8.684,4.509,10.688
252.41,6.78433333333,7.51133333333,2.908,2.146,4.43066666667,11.4916666667,7.19966666667,7.823,2.873,10.142
252.79,5.75066666667,6.42533333333,2.556,0.745333333333,3.532,9.47833333333,6.35433333333,6.993,2.09433333333,9.19433333333
253.16,5.092,6.60866666667,1.8415,-0.975333333333,2.25733333333,8.77566666667,4.91166666667,5.45333333333,1.40833333333,8.595
253.54,4.57866666667,4.689,2.4725,-1.282,1.99616666667,8.86466666667,4.28566666667,4.72533333333,1.758,8.718
253.91,2.12366666667,3.22333333333,1.479,-2.80633333333,0.0568333333333,6.37066666667,1.403,3.56466666667,-0.265333333333,6.59833333333
254.28,0.675333333333,1.11233333333,0.3575,-3.45666666667,-0.516166666667,5.48266666667,1.15233333333,2.74133333333,-1.47033333333,6.039
254.66,-1.09566666667,-1.01133333333,-1.2645,-5.099,-2.17016666667,4.59333333333,-0.547666666667,0.210666666667,-2.61266666667,4.84633333333
255.03,-1.70133333333,-2.443,-0.5235,-5.27933333333,-2.20333333333,3.229,-0.48,-0.0873333333333,-2.66133333333,3.70833333333
255.41,-2.19766666667,-2.19766666667,-1.4425,-5.586,-2.2665,2.19766666667,-1.14466666667,-0.87,-2.244,3.75433333333
255.78,-0.637333333333,-0.501333333333,-0.5465,-3.825,-0.888,3.41533333333,-0.819333333333,-0.227333333333,-1.32033333333,5.14566666667
256.15,-0.726666666667,-0.681,0.2045,-2.861,-0.454,4.90466666667,-0.590333333333,-0.499666666667,-1.49866666667,5.586
256.53,1.154,0.94,0.8335,-0.94,1.34633333333,7.17966666667,0.854666666667,0.555666666667,0.213666666667,7.265
256.90,2.48533333333,3.39233333333,1.5385,1.30166666667,2.80083333333,8.56033333333,2.367,1.73566666667,1.89366666667,8.91533333333
257.28,3.12166666667,3.516,2.691,1.90166666667,3.06766666667,8.57533333333,2.76266666667,3.48033333333,2.26066666667,9.15
257.65,3.52233333333,4.51466666667,2.642,2.20966666667,3.45816666667,8.389,3.33,3.93866666667,1.44066666667,7.94133333333
258.02,4.47,4.63566666667,2.4835,3.03566666667,4.49766666667,8.99566666667,4.96666666667,4.44233333333,1.46233333333,8.60933333333
258.40,5.07466666667,5.61,3.5265,3.46833333333,4.67883333333,9.61333333333,5.028,4.56233333333,2.02533333333,8.65933333333
258.77,4.65266666667,5.68,3.8675,3.64566666667,4.93466666667,9.426,5.579,4.713,2.09466666667,8.47933333333
259.15,3.912,4.59666666667,2.569,2.70433333333,4.20966666667,8.74366666667,4.70533333333,3.912,1.226,7.69766666667
