wavelength,Back_SpoSchf,Belly_SpoSchf,Breast_SpoSchf,Crissum_SpoSchf,Crown_SpoSchf,DorTail_SpoSchf,Patch10_SpoSchf,Patch11_SpoSchf,Rump_SpoSchf,Throat_SpoSchf,WingTip_SpoSchf
398.92,5.61733333333,38.2415333334,14.7744666667,15.5428666667,6.49573333333,7.059,4.91853333333,8.82930000001,6.0088,19.5458,7.40133333333
399.28,5.6126,38.2614,14.7891666667,15.5241333333,6.45453333334,7.0486,4.91093333333,8.82056666666,5.98853333333,19.5867333333,7.40486666667
399.64,5.62346666667,38.3720666667,14.7886666667,15.5624,6.4504,7.05033333333,4.90006666666,8.82763333333,5.98526666667,19.6085333333,7.41553333333
400.00,5.664,38.4291333333,14.8275666667,15.6041333333,6.4744,7.0794,4.92386666667,8.88033333333,6.0178,19.649,7.47813333334
400.36,5.69566666667,38.4673333333,14.8667333333,15.6662666667,6.50526666667,7.08913333334,4.9456,8.92363333334,6.059,19.6860666667,7.51466666667
400.72,5.7158,38.4309333333,14.8714,15.7222666667,6.5072,7.10653333333,4.9614,8.95933333333,6.05046666667,19.6816666667,7.49693333333
401.08,5.74013333333,38.4776,14.9236,15.7719333333,6.54493333333,7.10533333333,4.99393333333,9.0094,6.06493333334,19.7738,7.5026
401.44,5.73426666667,38.4879333333,14.9449666667,15.8019333333,6.54993333334,7.10266666667,4.98333333333,9.01176666667,6.05146666667,19.7599333333,7.50706666667
401.80,5.73333333333,38.4526666667,14.9501333333,15.8206666667,6.57206666667,7.1202,4.9986,9.0272,6.0754,19.7679333333,7.52453333333
402.16,5.72213333334,38.4975333333,15.0013333334,15.874,6.57486666667,7.09286666667,5.0042,9.0124,6.0698,19.8040666667,7.50806666667
402.52,5.72866666667,38.5546,15.0331666667,15.9134666667,6.5662,7.08573333333,4.99346666667,9.01683333334,6.07893333333,19.8370666667,7.52386666667
402.88,5.70846666667,38.5568666667,15.0424,15.9168,6.54266666667,7.06113333333,4.96366666667,8.99423333333,6.07073333333,19.8334666667,7.50026666667
403.24,5.6554,38.5326666667,14.9857333333,15.9026,6.4994,7.00513333333,4.897,8.96083333334,6.02073333333,19.7582,7.4242
403.60,5.65566666667,38.5237333333,14.9905,15.9279333333,6.50553333333,7.0018,4.8878,8.95160000001,6.01273333333,19.7617333333,7.41106666667
403.95,5.6784,38.5702666666,15.0008333333,15.9814666667,6.5364,7.01993333333,4.905,8.9765,6.03146666667,19.8009333333,7.4074
404.31,5.65553333334,38.5755333333,15.0042,15.9861333333,6.55273333333,7.02446666667,4.91193333333,8.9451,6.00766666667,19.7847333333,7.38626666667
404.67,5.67666666667,38.6326,15.0307666667,16.0424666667,6.59093333333,7.05553333333,4.9416,8.97146666667,6.05093333333,19.8355333333,7.43326666667
405.03,5.7044,38.6967333333,15.0618333333,16.1009333333,6.62233333334,7.09853333333,4.9734,9.01343333333,6.09333333333,19.8372666667,7.4738
405.39,5.73366666667,38.7194,15.0991333333,16.1506,6.64973333333,7.12773333333,5.00173333333,9.04063333334,6.10986666667,19.8762666667,7.4986
405.75,5.78006666667,38.7522666667,15.1500666667,16.2072666667,6.68873333333,7.18413333333,5.04066666667,9.08316666666,6.1408,19.9232,7.53086666667
406.11,5.80593333333,38.7627333333,15.1856333333,16.225,6.70146666667,7.21526666667,5.0426,9.09713333334,6.15446666667,19.9330666667,7.54853333333
406.47,5.82033333333,38.7478,15.1994333333,16.2334666667,6.72746666667,7.21093333333,5.06533333333,9.11963333334,6.16546666667,19.9271333333,7.53566666667
406.83,5.85726666667,38.8003333333,15.2179666667,16.2838,6.78733333333,7.25426666667,5.12486666667,9.15723333334,6.21426666667,19.9638666667,7.5776
407.19,5.87593333333,38.8310666667,15.2654,16.3140666666,6.8044,7.26133333333,5.14733333333,9.17413333334,6.23093333333,20.0041333333,7.60526666667
407.55,5.85946666667,38.8409333333,15.2621666667,16.3161333333,6.78466666667,7.22753333333,5.1422,9.17496666667,6.23586666667,20.0065333333,7.58693333333
407.90,5.81233333333,38.779,15.2504,16.3006,6.74066666667,7.1914,5.1172,9.14093333333,6.1994,19.9835333333,7.5598
408.26,5.8282,38.8390666667,15.2848333333,16.2978666667,6.7168,7.1986,5.1074,9.12790000001,6.22566666667,20.0128666667,7.55
408.62,5.8102,38.8222,15.2742333334,16.2979333333,6.68266666667,7.18206666667,5.0906,9.1181,6.20666666667,20.0226666667,7.54126666667
408.98,5.849,38.9152666667,15.3454,16.3818,6.72253333333,7.21286666667,5.12753333333,9.17356666667,6.26666666667,20.0972,7.60166666666
409.34,5.84033333333,38.9166,15.3358666667,16.3878,6.69753333333,7.19286666667,5.0942,9.17743333334,6.2604,20.0884666667,7.581
409.70,5.8408,38.976,15.3592666667,16.412,6.70533333333,7.18586666667,5.08273333333,9.18363333334,6.2658,20.1116666667,7.58406666667
410.06,5.90886666667,39.0749333333,15.4369666666,16.5353333333,6.78493333333,7.24593333333,5.1588,9.26746666666,6.3426,20.1868,7.65533333333
410.42,5.92006666667,39.0881333333,15.4766666667,16.5563333333,6.81826666667,7.2656,5.16753333333,9.29676666667,6.3564,20.1988,7.7088
410.77,5.92133333333,39.0939333333,15.4879666667,16.5874,6.81706666667,7.2628,5.13013333333,9.31263333334,6.3364,20.2019333333,7.70286666667
411.13,5.9708,39.1327333333,15.5342666667,16.6451333333,6.8654,7.31273333333,5.17293333333,9.34986666667,6.36673333333,20.2563333333,7.7316
411.49,6.00006666667,39.1407333334,15.5646,16.6547333333,6.88006666667,7.3504,5.17986666667,9.35526666666,6.36633333333,20.2832666667,7.74113333334
411.85,6.06233333334,39.1755333333,15.6105333333,16.7171333333,6.921,7.40613333333,5.20246666667,9.41050000001,6.4292,20.3026666667,7.79866666667
412.21,6.10173333333,39.2034,15.6384333333,16.8008,6.96333333333,7.437,5.24886666667,9.47756666666,6.45906666667,20.3538,7.8472
412.57,6.11313333333,39.1923333334,15.6550333333,16.8209333333,6.97666666667,7.41926666667,5.23906666667,9.48169999999,6.4764,20.3288666667,7.83233333333
412.92,6.04913333333,39.0898666667,15.5832333333,16.758,6.9012,7.34846666667,5.16273333333,9.39916666667,6.39226666667,20.2405333333,7.74826666667
413.28,6.0534,39.0647333333,15.5883666667,16.7861333333,6.89346666666,7.3434,5.17753333333,9.40360000001,6.40366666667,20.2466,7.75913333333
413.64,6.02626666667,39.0367333333,15.5384666667,16.7782666667,6.8326,7.29986666667,5.13753333333,9.3574,6.36793333333,20.2081333333,7.72153333333
414.00,5.94326666667,38.9131333333,15.4417,16.6953333333,6.72793333333,7.20853333333,5.0406,9.26406666666,6.2808,20.1444,7.62826666667
414.36,5.91206666667,38.8568666667,15.4130666667,16.6974,6.6738,7.1754,5.00906666667,9.19296666666,6.2472,20.1377333333,7.569
414.72,5.8706,38.778,15.3912333333,16.6680666667,6.63646666667,7.14726666667,4.9858,9.14869999999,6.2298,20.1085333333,7.54586666667
415.07,5.84413333333,38.7500666667,15.3841666667,16.6871333333,6.62326666667,7.13813333333,4.9616,9.12000000001,6.21213333333,20.0998666667,7.5452
415.43,5.83626666667,38.75,15.4192,16.7030666667,6.6226,7.14093333333,4.97913333333,9.14226666667,6.2248,20.1197333333,7.5456
415.79,5.8156,38.7180666667,15.4002666667,16.7037333333,6.6092,7.11906666667,4.97513333333,9.1268,6.21233333333,20.1134,7.51966666667
416.15,5.804,38.6645333333,15.3932666667,16.7068,6.60953333333,7.1052,4.95233333333,9.11883333334,6.1882,20.0832666667,7.51706666666
416.51,5.8224,38.6588666667,15.4136,16.7267333334,6.62353333333,7.1292,4.96686666667,9.15623333334,6.20153333333,20.0908666667,7.53933333333
