wavelength,Back_PooOrnm,Belly_PooOrnm,Breast_PooOrnm,Crissum_PooOrnm,Crown_PooOrnm,DorTail_PooOrnm,Patch10_PooOrnm,Patch11_PooOrnm,Patch12_PooOrnm,Rump_PooOrnm,Throat_PooOrnm,WingTip_PooOrnm
764.14,27.5125,50.4226666667,39.234375,49.764,18.28125,16.193,43.2261666667,46.7179166666,49.2480833333,24.1111666667,39.4543333333,22.9334166667
764.45,27.7436666667,50.55325,39.5115833334,49.9556666667,18.60425,16.3928333333,43.5215,46.9500833333,49.4763333333,24.3431666666,39.5544166667,23.1719166667
764.76,27.469125,50.7065,39.4059583333,49.6619166667,18.5785833334,16.2648333333,43.5451666667,46.8669166667,49.3756666667,24.467,39.59925,23.2705833334
765.07,27.69025,50.72875,39.5919166667,49.7455,18.7145833333,16.5959583334,43.7711666667,46.8400833333,49.3653333333,24.5036666667,39.6910833333,23.52375
765.39,27.1515416667,50.3685,39.2764583333,49.2958333333,18.2951666667,16.3869166666,43.33125,46.39425,49.0195833333,24.01625,39.1630833334,22.9998333333
765.70,26.926125,50.1703333334,39.1620833333,49.4025,18.0561666667,16.23075,43.1673333334,46.2866666666,48.8119166666,23.6245,39.1794166666,22.7978333333
766.01,26.87625,49.82775,38.9217916667,49.1241666667,18.0811666667,15.9778333334,43.0700833333,45.9763333333,48.73575,23.3729166667,39.0209166666,22.8488333334
766.32,26.7265833333,49.2618333333,38.7044583333,48.52375,17.9669166667,15.9475416667,42.4469166667,45.3801666667,48.3248333333,22.9959166667,38.5191666667,22.7744166667
766.64,26.4989166667,49.1791666667,38.5604583333,48.3220833333,17.7530833333,15.872,42.4433333333,45.22375,48.1290833333,22.6781666667,38.5400833333,22.8028333333
766.95,26.0420416667,48.8625,37.9968333333,47.78875,17.0176666667,15.3011666666,42.0091666667,44.81225,48.1480833334,22.1545,38.3223333333,22.6154166666
767.26,26.0656666667,48.5791666666,37.859625,47.4415,17.255,15.23925,41.7886666667,44.5431666667,47.8905833334,22.2325,38.1624166667,22.738
767.57,26.0427916667,48.6745833333,37.7012916667,47.4665,17.0511666667,15.3502916667,41.79325,44.3448333333,47.575,22.358,38.0156666666,22.7741666667
767.88,25.3156666666,48.3856666666,37.022875,47.1746666667,16.0681666667,14.527375,41.28225,43.9315833333,47.1509166667,21.7426666667,37.583,22.1605
768.20,25.86775,48.58825,36.9632083334,47.5981666667,16.2645833334,14.6618333333,41.5833333333,43.9509166667,47.55875,21.81375,37.8138333333,22.2500833333
768.51,26.08875,48.81975,37.27375,47.7766666667,16.448,14.8327916666,41.6871666667,44.37825,47.9344166667,22.11525,38.2273333334,22.4865833334
768.82,26.4185833333,49.2343333333,37.3583333333,47.7815,16.3049166667,14.6004166667,41.8765,44.3150833333,48.2536666667,22.0210833333,38.54625,22.8445
769.13,26.3800833333,48.9033333333,37.3862083333,47.2769166667,16.41775,14.6882083333,41.582,44.2361666667,48.0291666667,22.4465,38.0643333333,23.1935
769.44,25.624125,48.50675,37.104875,46.7680833333,15.642,13.9007916667,41.05625,43.8030833333,47.3130833333,21.96425,37.6279166667,22.5255833333
769.76,25.6911666667,48.9335833334,37.17275,47.4271666667,15.6058333334,13.6565833333,41.4128333333,44.1211666667,47.6360833333,22.2975,37.9090833333,22.6981666667
770.07,25.7289166667,48.7890833333,37.2044166667,47.0558333333,15.295,13.5589166666,41.02375,43.7673333333,47.78475,22.1763333333,37.6320833333,22.0959166667
770.38,26.3379583333,49.1274166667,37.7840833333,47.8331666667,15.9463333333,14.2539166667,41.567,44.1439166667,47.9855833333,22.7688333333,38.24675,22.3765
770.69,27.0909583333,50.32275,38.7034583333,48.50675,16.595,15.0655,42.1565,44.5638333333,48.871,23.81125,39.0680833334,22.9749166667
771.00,27.0667083333,50.7404166667,38.953625,48.83475,16.8121666667,15.0764166667,42.8564166667,44.7075,49.44775,23.9195833333,39.421,23.3671666667
771.32,27.4560833334,51.028,39.4027916667,48.7554166667,17.7549166667,15.9751666667,43.0255,44.79325,49.5309166667,24.3745833333,40.0793333333,24.42275
771.63,27.3541666667,51.2125833333,40.0571666667,48.8983333333,18.1315,16.09425,43.0945833334,45.5626666667,49.9200833333,24.67375,40.67575,24.7289166667
771.94,26.9570833333,50.9286666667,39.7282916667,48.716,17.907,15.6755416667,42.9194166667,45.3876666667,49.4329166667,24.4765,40.3079166667,24.2209166666
772.25,27.2344166667,51.3093333333,39.9980833333,49.3325833333,18.7008333334,16.2057916667,43.4211666667,46.059,49.7395,25.1908333333,40.7830833333,23.95125
772.56,27.4438333333,51.3316666667,39.8209166667,49.4245833333,19.03925,16.3725416667,43.4574166667,45.8236666667,49.6768333333,25.0710833333,40.8134166666,23.7653333334
