wavelength,Back_ParGulm,Belly_ParGulm,Breast_ParGulm,Crissum_ParGulm,Crown_ParGulm,DorTail_ParGulm,Rump_ParGulm,Throat_ParGulm,WingTip_ParGulm
558.19,9.62108888888,59.4824333333,50.3381333333,57.5618,6.13006666667,8.46456666667,7.82411111111,7.33441666667,9.34313333333
558.53,9.55820000001,59.6673333333,50.4352666667,57.6848666667,6.05783333333,8.4057,7.74036666667,7.218,9.29573333333
558.87,9.57859999999,59.6552333333,50.4151333333,57.6870666667,6.09936666667,8.43253333333,7.76147777777,7.25858333334,9.31513333333
559.21,9.56888888888,59.6635666667,50.4194,57.6586666667,6.10813333333,8.41696666667,7.76384444444,7.23983333334,9.30626666667
559.55,9.59286666668,59.674,50.4607333333,57.7153333333,6.13576666667,8.44463333333,7.79618888888,7.277,9.34083333333
559.89,9.60955555556,59.7740333333,50.4854666667,57.7844,6.129,8.4462,7.77218888889,7.25766666667,9.28443333334
560.23,9.63219999999,59.8543333333,50.5433333333,57.8854,6.16063333333,8.4617,7.78517777778,7.26058333334,9.27623333334
560.58,9.6157111111,59.851,50.5178666667,57.8128,6.14903333334,8.4492,7.77746666667,7.26291666667,9.27246666667
560.92,9.64591111112,59.8539,50.5002,57.8150666667,6.178,8.46723333333,7.80964444445,7.28966666667,9.28283333333
561.26,9.64553333333,59.9418,50.4846,57.8384,6.1619,8.45233333333,7.77311111111,7.27,9.27369999999
561.60,9.60737777778,59.9753333333,50.4982,57.8593333333,6.08753333333,8.34486666667,7.69828888889,7.20191666667,9.21180000001
561.94,9.57773333333,59.9691333333,50.5124666667,57.9131333333,6.08636666667,8.34256666667,7.68641111111,7.204,9.21219999999
562.28,9.57228888888,59.9018333333,50.4442,57.849,6.13693333333,8.3239,7.68536666667,7.2215,9.21403333334
562.62,9.59166666667,59.9833666667,50.4774666667,57.9285333334,6.16106666667,8.32216666667,7.69473333333,7.27433333333,9.22096666667
562.96,9.673,60.0894333333,50.6318,58.0828666667,6.23356666667,8.41356666667,7.75590000001,7.35966666667,9.30843333333
563.30,9.66455555556,60.1916,50.6166666667,58.1388,6.24046666667,8.41233333333,7.74727777777,7.34591666667,9.30720000001
563.64,9.66273333334,60.1797,50.632,58.113,6.28763333333,8.4399,7.78080000001,7.39658333333,9.35513333333
563.99,9.65853333333,60.1103,50.559,58.0192,6.28566666667,8.45223333333,7.77094444445,7.37891666667,9.36296666667
564.33,9.66895555555,60.1802666667,50.6262666666,58.0913333333,6.28966666667,8.4452,7.77281111111,7.40283333333,9.38163333333
564.67,9.69277777778,60.2296666667,50.6422,58.115,6.34403333333,8.475,7.79499999999,7.446,9.41613333334
565.01,9.69991111111,60.2035,50.6354666667,58.1101333333,6.4129,8.49383333333,7.85914444444,7.508,9.48150000001
565.35,9.6902,60.2435666667,50.6021333333,58.1026,6.44106666667,8.51213333333,7.88417777778,7.55183333333,9.49310000001
565.69,9.71911111112,60.2642666667,50.6072666667,58.0842666666,6.5006,8.54966666667,7.93983333334,7.606,9.56063333333
566.03,9.7895111111,60.3423,50.7218666667,58.1834,6.56013333333,8.59863333333,8.00955555555,7.70575,9.62109999999
566.37,9.77297777777,60.3254333333,50.7522,58.1696,6.5533,8.58153333333,8.00056666667,7.66408333334,9.5976
566.71,9.70166666667,60.1827333333,50.5762,57.9956,6.5046,8.5109,7.94773333333,7.60725,9.52646666667
567.05,9.63897777778,60.1146333333,50.5179333333,57.9007333333,6.46103333333,8.46526666667,7.87681111111,7.54966666666,9.46456666667
