wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
332.08,8.09022222222,7.88044444445,10.2865555555,4.12933333333,8.56622222222,7.85355555555,9.41444444444,7.31566666667,7.31266666667,14.3594444445,8.28811111111
332.44,8.23333333333,8.06622222222,10.4916666667,4.07266666667,8.67977777778,8.10433333333,9.49022222223,7.379,7.48177777778,14.5172222222,8.41566666666
332.81,8.21111111111,8.11877777778,10.5941111111,3.94811111111,8.72522222222,7.99766666667,9.47922222222,7.39955555556,7.56988888889,14.3605555556,8.45666666667
333.18,8.13566666667,7.962,10.5821111111,3.735,8.66477777778,7.91655555556,9.37866666667,7.23111111111,7.50133333333,14.0723333333,8.46544444444
333.54,8.13288888889,7.95055555556,10.5081111111,3.60077777778,8.63766666667,7.68711111111,9.27411111111,7.16233333334,7.51288888889,13.8931111111,8.40211111111
333.91,8.20811111111,7.99866666667,10.4253333333,3.73211111111,8.70911111111,7.67366666667,9.30433333333,7.25244444444,7.53588888889,13.9232222222,8.42
334.28,8.58155555556,8.37422222222,10.7935555556,4.09577777778,9.00411111111,7.91688888889,9.69022222221,7.58611111111,7.80944444445,14.1734444445,8.79677777778
334.64,8.615,8.24966666667,10.751,4.05066666667,8.99366666667,7.80177777778,9.72966666667,7.54044444444,7.85244444444,14.1216666667,8.70833333333
335.01,8.57944444445,8.22244444444,10.7014444444,3.92622222222,8.92355555556,7.69722222222,9.77188888888,7.508,7.69722222222,13.9104444445,8.63466666667
335.38,8.35422222222,7.87433333333,10.48,3.70111111111,8.675,7.29,9.43144444445,7.16477777778,7.34744444444,13.7193333333,8.32811111111
335.74,8.41088888889,7.88377777778,10.5167777778,3.646,8.81655555556,7.34366666667,9.32044444445,7.02088888889,7.26622222222,13.8578888889,8.28944444444
336.11,8.304,7.73922222222,10.4286666667,3.52588888889,8.87866666666,7.33388888889,9.30444444444,6.90266666667,7.28522222222,13.8055555555,8.132
336.47,8.12666666667,7.51811111111,10.2186666667,3.44833333333,8.69466666667,7.01333333333,9.151,6.77766666667,7.016,13.6391111111,7.89833333333
336.84,8.12533333333,7.55466666667,10.2338888889,3.48844444444,8.66322222222,6.96933333333,9.08533333334,6.75311111111,6.93655555556,13.7248888889,7.98455555556
337.21,8.36988888889,7.69333333333,10.4767777778,3.72611111111,8.80277777778,7.14366666666,9.22333333333,6.967,7.11377777778,13.9964444444,8.16122222222
337.57,8.47311111111,7.80611111111,10.673,3.96466666667,8.94555555556,7.50333333333,9.42533333333,7.09011111111,7.17111111111,14.202,8.37944444444
337.94,8.411,7.67244444445,10.6831111111,3.79811111111,8.81955555555,7.53055555555,9.41122222222,6.91422222222,7.16111111111,14.1414444445,8.36933333333
338.31,8.16977777778,7.44277777778,10.4574444444,3.58977777778,8.59755555556,7.37377777778,9.16266666666,6.54077777778,6.90211111111,13.9343333333,8.19455555556
338.67,8.40277777778,7.86355555555,10.6597777778,3.94522222222,8.94466666667,7.67822222222,9.579,6.86822222222,7.20477777778,14.3145555556,8.47855555556
339.04,8.37455555555,7.83666666667,10.6803333333,3.89277777778,8.97611111111,7.67111111111,9.5871111111,6.90177777778,7.12088888889,14.3978888889,8.39911111111
339.40,8.71011111111,8.25744444445,11.0485555556,4.29122222222,9.32433333333,8.09622222222,9.98400000002,7.22433333333,7.58311111111,14.8195555556,8.79211111111
339.77,8.50811111111,8.06533333333,10.8767777778,4.12,9.14455555555,7.98177777778,9.82166666666,7.03155555556,7.43133333334,14.573,8.60133333333
340.14,8.44488888889,8.08433333334,10.7978888889,4.11322222222,8.97866666667,7.96777777778,9.76144444446,6.94544444444,7.39166666667,14.5103333334,8.54222222222
340.50,8.50688888889,8.12811111111,10.8947777778,4.04166666667,9.03866666667,8.14444444445,9.709,6.97044444445,7.49066666667,14.5527777778,8.60566666667
340.87,8.61788888889,8.11744444445,11.0108888889,4.12288888889,9.10222222223,8.271,9.96111111112,7.07677777778,7.64477777778,14.645,8.63666666667
341.23,8.403,7.97966666667,10.8051111111,3.97144444444,8.87455555556,8.16144444444,9.88466666666,6.92344444445,7.46888888889,14.4083333334,8.39833333333
341.60,8.459,8.08077777778,10.7871111111,3.993,8.91877777779,8.06022222222,9.91744444444,6.99811111111,7.53733333334,14.4267777778,8.35022222222
341.96,8.71777777778,8.34688888889,10.9746666667,4.15677777778,9.08188888888,8.21277777778,10.1233333333,7.20922222222,7.64722222222,14.6575555555,8.50744444445
342.33,8.64077777778,8.29711111111,10.9215555556,4.04177777778,9.03533333333,8.16244444445,10.0732222222,7.12677777778,7.66022222222,14.6172222222,8.44688888889
342.70,8.50122222222,8.15344444444,10.8547777778,3.83133333334,8.8511111111,8.02955555556,9.87255555558,6.93433333333,7.58844444444,14.4271111111,8.32088888889
343.06,8.54344444444,8.28033333334,10.8651111111,3.85055555556,8.71455555557,7.97255555556,9.86911111113,6.86288888889,7.67322222222,14.4421111111,8.36188888889
343.43,8.44711111111,8.25533333333,10.7552222222,3.65177777778,8.60277777778,7.77088888889,9.74855555554,6.82122222222,7.56677777778,14.2406666667,8.18577777778
343.79,8.52666666666,8.41211111111,10.8681111111,3.78144444445,8.72377777778,7.77244444444,9.90177777779,6.931,7.71422222222,14.4497777778,8.23577777778
344.16,8.54766666667,8.38311111111,10.9094444444,3.75244444444,8.74511111111,7.66933333333,9.881,6.974,7.76411111111,14.5364444444,8.196
344.52,8.35611111111,8.26711111111,10.7628888889,3.66811111111,8.58888888889,7.37244444445,9.87422222221,6.83988888889,7.61322222222,14.4167777778,8.07866666667
344.89,8.14122222222,8.091,10.5078888889,3.42411111111,8.47511111111,7.10377777778,9.64933333334,6.66344444444,7.327,14.2336666667,7.886
345.25,8.22766666667,8.14388888889,10.5392222222,3.41544444445,8.53666666667,7.13166666667,9.59466666665,6.67533333333,7.37288888889,14.3053333334,7.85322222222
345.62,8.143,8.03555555555,10.4552222222,3.26622222222,8.42744444444,7.00566666667,9.43122222221,6.57055555556,7.34377777778,14.2146666667,7.74344444444
345.99,8.172,8.09088888889,10.5214444444,3.29533333333,8.48466666667,6.963,9.45255555554,6.62622222222,7.46544444445,14.2302222222,7.75622222222
346.35,8.35744444444,8.16622222222,10.6943333333,3.431,8.67955555556,7.02433333333,9.52888888889,6.82066666667,7.66422222222,14.3466666667,7.89544444445
346.72,8.27833333333,7.92911111111,10.5715555556,3.24544444444,8.61355555556,6.852,9.34355555555,6.65155555556,7.47866666667,14.2236666666,7.75666666667
347.08,8.279,7.86311111111,10.5975555556,3.16822222222,8.75277777778,6.79655555556,9.26033333333,6.65911111111,7.41355555555,14.184,7.692
347.45,8.31733333333,7.91022222222,10.708,3.22877777778,8.79833333333,6.91033333333,9.31511111111,6.73488888889,7.50522222222,14.3418888889,7.73466666667
347.81,8.38988888889,7.91566666667,10.7271111111,3.25566666667,8.832,6.809,9.38422222222,6.84122222222,7.45555555556,14.3546666667,7.81355555556
348.18,8.527,8.089,10.905,3.442,9.055,6.92688888889,9.603,6.971,7.575,14.5576666667,8.015
348.54,8.83722222222,8.39577777778,11.1651111111,3.75833333333,9.43077777777,7.33877777778,9.90833333333,7.311,7.93222222222,14.9812222222,8.32588888889
348.91,8.94055555556,8.46955555556,11.2487777778,3.80677777778,9.4888888889,7.428,10.0236666667,7.39,7.96877777778,15.1173333333,8.33777777778
349.27,9.11766666666,8.64033333333,11.4732222222,4.03277777778,9.75833333333,7.54011111111,10.2876666666,7.60777777778,8.17277777778,15.3267777778,8.56433333333
349.64,9.11855555555,8.53888888889,11.42,3.91022222222,9.67644444445,7.41077777778,10.2721111111,7.488,8.03611111111,15.2961111111,8.41588888889
350.00,9.00944444445,8.47366666667,11.3304444444,3.80588888889,9.56911111112,7.27555555555,10.089,7.23211111111,7.89644444445,15.1997777778,8.24233333333
350.37,9.01388888889,8.55988888889,11.2762222222,3.79344444444,9.60944444445,7.27433333333,10.1774444444,7.239,7.83055555556,15.2111111111,8.09788888889
350.73,9.07544444445,8.72277777778,11.376,3.90944444444,9.67944444445,7.37122222222,10.2618888889,7.32811111111,7.90088888889,15.2877777778,8.11888888889
351.10,9.05366666667,8.78422222222,11.3401111111,4.06688888889,9.7311111111,7.46366666667,10.3218888889,7.40033333333,8.01644444444,15.3394444444,8.11444444444
351.46,9.07288888889,8.69722222222,11.1397777778,4.00166666667,9.61566666667,7.26311111111,10.2058888889,7.30311111111,7.86488888889,15.155,7.95522222222
351.83,9.16266666666,8.68311111111,11.1661111111,3.95022222222,9.61,7.343,10.2752222222,7.33911111111,7.95122222222,15.0821111111,7.89633333333
352.19,9.23911111111,8.80077777778,11.259,4.12244444444,9.67522222222,7.49044444444,10.3416666667,7.43422222222,8.13066666667,15.0986666667,7.89288888889
352.55,9.17844444444,8.73677777778,11.2546666667,4.01055555556,9.56233333334,7.34077777778,10.2222222222,7.31844444445,8.053,14.9947777778,7.77344444444
352.92,9.11588888889,8.73511111111,11.2664444444,4.02722222222,9.46177777777,7.193,10.1292222222,7.22622222222,8.16922222222,14.9721111111,7.70333333334
