wavelength,Back_CisLevm,Belly_CisLevm,Breast_CisLevm,Crissum_CisLevm,Crown_CisLevm,DorTail_CisLevm,Patch10_CisLevm,Patch11_CisLevm,Rump_CisLevm,Throat_CisLevm,WingTip_CisLevm
602.21,56.5136,66.9411,5.7117,53.3833333334,7.97800000001,7.01813333333,30.1785333333,35.6637333333,50.0355251282,5.18913333333,4.40486666667
602.55,56.5098666667,66.9330333333,5.71536666667,53.3738,7.98106666666,7.00666666667,30.1777333333,35.7070666667,50.0482076923,5.19666666667,4.405
602.88,56.5234666667,66.9026333333,5.75556666667,53.3565333333,7.99300000001,7.01206666667,30.2055333333,35.7134666667,50.0642512821,5.22146666667,4.43706666667
603.22,56.4700666667,66.8616,5.7749,53.2534666667,7.98726666667,7.00126666666,30.1456666667,35.6543333333,49.9957702564,5.19826666667,4.4308
603.56,56.4842,66.8609333333,5.74643333333,53.2627333334,7.98099999999,6.96793333333,30.1420666667,35.6484,49.9989646154,5.18666666667,4.41286666667
603.89,56.4894,66.8732666667,5.67543333333,53.2354,7.93999999999,6.90253333334,30.0949333333,35.6184666667,49.9849287179,5.12526666667,4.3484
604.23,56.4282,66.8390666667,5.6437,53.2202,7.91786666666,6.88366666667,30.0613333333,35.5863333333,49.9680697436,5.08766666667,4.303
604.56,56.4372666667,66.8617,5.66726666667,53.2751333333,7.93933333333,6.90766666667,30.0746,35.6003333333,49.9927697436,5.1284,4.32933333333
604.90,56.4429333333,66.8856333334,5.65863333333,53.3175333333,7.95313333334,6.89880000001,30.0744666667,35.6016,50.0230887179,5.11653333334,4.3276
605.23,56.4094,66.8751666667,5.6279,53.257,7.91693333334,6.87273333333,30.0196,35.5608666667,49.9896553846,5.08766666667,4.30833333334
605.57,56.3952666666,66.8530333333,5.632,53.2498,7.92373333334,6.87093333333,29.9914666667,35.5438666667,49.9703871795,5.07786666667,4.3222
605.90,56.3221333333,66.8167333333,5.60403333333,53.2354666667,7.89846666667,6.83666666666,29.9574666667,35.4876666667,49.9328523077,5.0566,4.29013333333
606.24,56.3112666667,66.8111333333,5.60433333333,53.2122,7.89253333333,6.82966666667,29.949,35.4628666667,49.9178471795,5.0544,4.29713333333
606.58,56.2066666667,66.7202333333,5.5323,53.1368666667,7.81873333333,6.75186666666,29.8526,35.3822666667,49.8396415385,4.96113333333,4.2278
606.91,56.2407333333,66.7231,5.5223,53.2154,7.8166,6.73853333334,29.8636,35.4297333333,49.8502789743,4.95233333333,4.23666666667
607.25,56.1923333333,66.7095666667,5.553,53.2014,7.80826666667,6.75520000001,29.8373333333,35.4202666667,49.806534359,4.93746666667,4.259
607.58,56.0322,66.5701333333,5.54306666667,53.1408666667,7.75379999999,6.75893333334,29.7441333333,35.3554666667,49.6973102564,4.91226666667,4.25493333333
607.92,56.087,66.5918333333,5.511,53.2456,7.73973333333,6.74226666667,29.7100666667,35.4145333333,49.7003205128,4.89426666667,4.25206666667
608.25,56.0416,66.5303666667,5.4551,53.2181333333,7.70499999999,6.70033333333,29.6702666667,35.3765333334,49.6663415385,4.83313333333,4.2366
608.59,56.0186666667,66.5044,5.37076666667,53.2781333333,7.59640000001,6.62280000001,29.5698,35.332,49.6092630769,4.73046666667,4.166
608.92,55.936,66.4413,5.26756666667,53.2898666667,7.50073333333,6.53046666666,29.4905333333,35.2846666667,49.5652030769,4.6246,4.0688
609.26,55.8690666667,66.4117333333,5.1876,53.3310666667,7.41193333333,6.45586666666,29.4134,35.2590666667,49.5311723077,4.53933333333,3.9886
609.59,55.7651333333,66.3208666666,5.12793333333,53.3799333333,7.31939999999,6.41379999999,29.3045333333,35.1950666667,49.4653005128,4.46026666667,3.92326666667
609.93,55.6884666667,66.2529333333,4.99083333333,53.4396666667,7.2016,6.30386666666,29.1883333333,35.1533333333,49.4052671795,4.32046666667,3.82433333333
610.26,55.6562,66.2109666667,4.96756666667,53.4878,7.18819999999,6.29406666666,29.1110666667,35.1604666667,49.3695523077,4.30726666667,3.8454
610.60,55.6236666667,66.2189,4.88673333333,53.5356666667,7.11046666666,6.22039999999,29.0475333333,35.1174,49.3314133333,4.2428,3.7862
610.93,55.5844,66.1715333333,4.77446666667,53.5576,7.01520000001,6.11726666666,28.9902,35.0646,49.2870876923,4.1416,3.6978
611.27,55.6735333333,66.2765,4.74723333333,53.7054,7.01453333333,6.07606666667,29.0192,35.1272666667,49.3558497436,4.13633333333,3.69006666667
611.60,55.6189333333,66.2883666667,4.70996666667,53.6624666667,6.95373333333,6.03746666667,28.9738,35.0558666667,49.3249302564,4.09213333333,3.67066666667
611.93,55.6262,66.3457,4.70743333333,53.7542,6.91459999999,6.02393333333,28.9344666666,35.0736666667,49.3798317949,4.07473333333,3.63606666666
612.27,55.6080666667,66.3292666667,4.7256,53.695,6.94133333333,6.04086666666,28.9289333333,35.0732,49.3702164103,4.09486666666,3.64653333333
612.60,55.6872,66.4238,4.7593,53.7882,6.98853333334,6.06633333334,28.9597333333,35.1752666667,49.4253917949,4.13333333333,3.6738
612.94,55.6844,66.4161,4.8119,53.76,7.03513333333,6.11759999999,28.9712666667,35.1662,49.4352312821,4.191,3.7306
613.27,55.8076,66.5522,4.86803333333,53.7514,7.09433333334,6.16099999999,29.0480666667,35.2052666667,49.5105010256,4.2492,3.79366666667
613.61,55.8294,66.6057333333,4.97693333333,53.7168,7.19013333334,6.26353333333,29.1342666667,35.2221333333,49.5337538461,4.36346666667,3.88686666667
613.94,55.8434666667,66.6140333333,5.00876666667,53.6849333333,7.23506666666,6.30166666666,29.2104,35.1987333333,49.5338676923,4.41133333333,3.89793333333
614.28,55.8602,66.6803,5.11113333333,53.6904,7.34280000001,6.41466666667,29.2853333333,35.2399333333,49.6467820513,4.49853333333,3.99873333333
614.61,55.8512666667,66.6741333333,5.1595,53.6654,7.39953333334,6.45786666667,29.289,35.2393333333,49.645765641,4.5548,4.0346
