wavelength,Back_SpoAlbf,Belly_SpoAlbf,Breast_SpoAlbf,Crissum_SpoAlbf,Crown_SpoAlbf,DorTail_SpoAlbf,Patch10_SpoAlbf,Patch11_SpoAlbf,Rump_SpoAlbf,Throat_SpoAlbf,WingTip_SpoAlbf
186.01,101.961,106.372666667,13.235,67.6473333333,8.82366666667,54.9023333333,128.431333333,12.255,79.4116666667,104.411666667,-75.0
186.39,91.5556666667,95.5553333333,8.00033333333,68.0,14.6666666667,57.3336666667,108.889,7.111,73.3333333333,100.444666667,-66.2223333333
186.77,82.143,81.349,-2.381,54.3653333333,10.3176666667,55.1586666667,88.492,7.143,58.333,80.5553333333,-62.6983333333
187.15,91.358,90.535,3.70333333333,57.2016666667,5.76133333333,63.3746666667,93.0043333333,7.40766666667,60.4936666667,71.6046666667,-75.3086666667
187.53,77.551,78.2313333333,11.9046666667,53.4013333333,12.925,67.687,78.5713333333,9.52366666667,49.3196666667,68.027,-67.0066666667
187.91,65.487,71.6813333333,19.174,51.0323333333,15.0443333333,61.9466666667,66.9616666667,7.66966666667,51.0326666667,64.307,-61.357
188.29,83.918,78.07,32.456,71.0523333333,27.4853333333,71.0523333333,84.7953333333,23.0993333333,62.2806666667,84.503,-41.228
188.67,77.5,73.0556666667,25.2776666667,62.2223333333,18.0556666667,64.7223333333,77.2223333333,19.1663333333,51.6666666667,66.9443333333,-39.7223333333
189.05,79.2593333333,67.901,27.4076666667,55.3086666667,25.9256666667,64.9383333333,77.7776666667,27.901,52.0986666667,61.9753333333,-30.3703333333
189.43,71.717,60.101,19.192,46.212,20.9593333333,70.707,77.0203333333,22.727,51.2626666667,54.5453333333,-39.6463333333
189.81,71.6216666667,62.8376666667,27.703,49.7746666667,34.91,73.6486666667,78.6033333333,27.2523333333,58.3333333333,57.4326666667,-27.0273333333
190.19,73.9033333333,62.5,31.3593333333,55.7016666667,40.351,80.0436666667,79.8243333333,24.561,61.4033333333,69.079,-19.5176666667
190.57,77.027,70.2706666667,38.5136666667,59.009,42.5676666667,88.2883333333,88.063,31.5316666667,65.9913333333,72.9726666667,-18.9186666667
190.95,82.998,76.0626666667,48.0983333333,68.009,53.691,97.7626666667,94.8546666667,41.8343333333,68.2326666667,79.642,-14.0936666667
191.33,84.652,75.2996666667,44.125,66.6666666667,57.0743333333,103.357666667,95.2036666667,43.1653333333,72.1823333333,82.0143333333,-17.9853333333
191.71,83.908,71.8393333333,37.6436666667,63.506,52.0116666667,108.046,100.574666667,37.069,68.678,73.5633333333,-37.3563333333
192.09,97.6896666667,77.888,34.3233333333,63.0363333333,55.7756666667,124.092666667,113.201333333,40.594,72.277,72.9373333333,-46.865
192.47,86.7283333333,81.4813333333,27.1606666667,57.4076666667,57.4073333333,123.457,100.617333333,31.4816666667,72.222,62.3456666667,-55.5556666667
192.85,98.9363333333,95.0356666667,45.0356666667,68.44,75.5316666667,145.744666667,118.085333333,43.2623333333,89.7163333333,81.9146666667,-67.376
193.23,96.9073333333,94.158,48.7973333333,69.416,77.3196666667,150.515666667,115.12,44.33,89.0033333333,83.1613333333,-66.323
193.61,112.048,102.409666667,54.6186666667,75.9036666667,71.486,159.437666667,115.662333333,34.538,101.204666667,77.9116666667,-83.1326666667
193.99,113.157666667,103.509,55.263,80.2633333333,60.965,176.754333333,118.421,32.8946666667,109.649333333,92.544,-74.9996666667
194.37,105.907,101.265666667,52.3206666667,70.0423333333,57.806,178.902666667,112.236333333,39.6623333333,108.439,79.325,-67.0886666667
194.75,128.095,99.5236666667,46.1903333333,65.7143333333,55.2383333333,194.762,118.095,35.7143333333,121.904666667,84.2856666667,-71.4286666667
195.13,154.861,122.916333333,45.833,59.0276666667,57.6386666667,250.694333333,149.305333333,24.3056666667,155.555666667,89.583,-122.222333333
195.51,202.083333333,128.125,44.7916666667,29.1666666667,33.3333333333,322.916666667,192.708333333,7.29166666667,172.916666667,86.4583333333,-210.416666667
195.89,342.857,173.016,61.9046666667,47.6193333333,42.857,490.476,298.412333333,14.2856666667,260.317333333,177.777666667,-271.428666667
196.27,3.88094286071e+15,1.34340329794e+15,-2.55886342464e+14,-2.77210204336e+14,-4.05153375569e+14,5.37361319175e+15,2.70813045775e+15,-4.05153375568e+14,2.62283501026e+15,1.47134646917e+15,-3.60373265637e+15
196.65,3033.33333333,650.0,-300.0,-666.666666667,-766.666666667,3766.66666667,2150.0,-50.0,2016.66666667,783.333333333,-2000.0
197.03,2516.66666667,266.666666667,-666.666666667,-1350.0,-966.666666667,3483.33333333,2033.33333333,-66.6666666667,1516.66666667,250.0,-1666.66666667
197.40,-800.0,-113.333333333,346.666666667,606.666666667,406.666666667,-1386.66666667,-913.333333333,86.6666666667,-520.0,40.0,480.0
197.78,-683.333333333,-105.555333333,200.0,516.666666667,83.3333333333,-1272.222,-844.444333333,-100.0,-222.222,-88.8886666667,183.333333333
198.16,-228.07,-35.088,94.7366666667,189.473666667,10.5263333333,-335.087666667,-229.824666667,-26.3156666667,12.2806666667,45.614,96.491
198.54,-88.889,12.8206666667,77.7776666667,122.222,29.9146666667,-128.205,-71.7946666667,-7.1054273576e-15,39.316,78.6323333333,75.214
198.92,-17.61,37.7356666667,75.4716666667,108.176,45.912,-67.9246666667,-28.9306666667,13.2073333333,69.811,88.6796666667,73.585
199.30,-17.3916666667,42.029,77.536,100.724666667,47.1016666667,-90.5796666667,-33.3333333333,-4.34766666667,77.5363333333,73.9133333333,65.2173333333
199.68,3.704,16.6666666667,115.741,113.888666667,47.2223333333,-163.889,-43.5183333333,-23.1483333333,70.37,100.000333333,60.1853333333
200.06,2.564,1.28233333333,125.641,169.231,38.4616666667,-238.461333333,-61.5383333333,-48.7176666667,101.281666667,203.846,69.2306666667
200.44,-61.111,-150.0,322.222333333,622.222,-66.6666666667,-1255.55566667,-505.555666667,-322.222333333,288.889,716.667,266.667
200.82,-66.6666666667,-127.778,400.0,577.778,-238.889,-1288.889,-516.666666667,-383.333333333,355.555666667,683.333333333,361.111
201.19,172.222,144.444666667,-450.000333333,-550.0,294.444333333,1266.66666667,477.778,288.889,-311.111333333,-688.889,-344.444333333
201.57,5.92118946467e-16,-33.3333333333,433.333333333,533.333333333,-133.333,-890.476,-223.809666667,-176.190333333,300.000333333,657.143,347.619333333
201.95,-222.222,133.333333333,-1300.0,-1266.66666667,188.888666667,1933.33333333,466.666666667,488.888666667,-433.333333333,-1800.00033333,-911.111
202.33,-107.692333333,-51.2823333333,-328.205,-351.282,28.2053333333,448.718,112.820666667,82.0513333333,-100.0,-435.897333333,-215.384333333
202.71,0.952333333333,26.6666666667,-68.5713333333,-72.381,65.7143333333,195.238333333,79.0476666667,52.381,18.0953333333,-90.4763333333,-29.524
203.09,19.8416666667,36.508,-53.9683333333,-75.3966666667,51.5873333333,165.873,63.492,37.3016666667,33.3333333333,-72.2223333333,-27.778
203.47,2.963,5.926,-82.9633333333,-97.7776666667,21.4813333333,131.111333333,36.2963333333,5.926,17.7776666667,-108.148333333,-34.815
203.85,27.976,-2.381,-55.9523333333,-66.6666666667,42.857,98.8093333333,35.119,16.6666666667,11.9046666667,-64.8806666667,-15.476
204.22,9.80366666667,-36.6013333333,-88.889,-91.503,24.8363333333,88.889,27.451,7.18933333333,3.26833333333,-75.1636666667,-20.915
204.60,8.772,-60.526,-147.368333333,-126.315666667,4.38633333333,98.2456666667,27.193,8.772,-39.4736666667,-132.456,-37.7196666667
204.98,-252.381,-671.428666667,-1033.33366667,-923.809666667,-347.619,323.809666667,-109.524,-252.380666667,-519.047666667,-919.047666667,-371.429
205.36,218.182,403.030333333,684.848666667,609.091,218.181666667,-254.545333333,81.818,96.9696666667,321.212333333,557.575666667,306.060666667
205.74,102.778,244.444666667,356.944666667,329.166666667,150.0,-93.0553333333,80.5556666667,77.7776666667,219.444666667,305.555666667,166.666666667
206.12,60.6666666667,134.0,176.666666667,176.0,94.0,-16.0,50.0,48.0,128.0,154.666666667,73.3333333333
206.50,58.75,100.833333333,131.666666667,125.0,85.0,6.25,59.1666666667,43.75,101.666666667,110.0,58.3333333333
206.87,64.609,104.526666667,133.745,130.041333333,100.823333333,16.0496666667,61.7283333333,40.3293333333,113.991666667,116.049666667,51.4403333333
207.25,61.966,108.119666667,129.487333333,119.658333333,86.7523333333,12.8203333333,61.5383333333,19.658,121.795,112.820333333,47.0086666667
207.63,54.307,92.884,111.985,102.247333333,72.2843333333,13.4833333333,55.8053333333,13.1083333333,110.487,98.8763333333,46.8166666667
208.01,51.282,82.6926666667,98.7183333333,90.7053333333,73.0766666667,17.6283333333,47.1153333333,18.269,104.166666667,89.1026666667,48.0766666667
208.39,55.5556666667,77.4776666667,92.793,83.7836666667,73.2733333333,21.021,51.6516666667,21.3213333333,100.601,86.186,54.655
208.77,59.1896666667,88.4736666667,88.1623333333,92.5233333333,69.782,25.8566666667,61.6823333333,23.053,94.3923333333,89.097,59.1896666667
209.14,58.608,84.6156666667,95.2383333333,102.198,73.993,25.641,62.6373333333,13.9196666667,105.861,105.128333333,56.41
209.52,63.973,98.3166666667,101.683666667,103.367333333,89.899,44.4443333333,65.3196666667,32.3233333333,115.151333333,116.498333333,56.2286666667
209.90,76.6666666667,105.333333333,116.0,113.333333333,91.3333333333,54.6666666667,72.0,37.0,116.0,127.0,60.3333333333
210.28,72.1013333333,107.608666667,113.405666667,105.797333333,81.1593333333,40.5796666667,71.0143333333,30.0723333333,107.246666667,122.464,66.6666666667
210.66,64.9123333333,116.227666667,119.298333333,101.754333333,75.4383333333,36.4033333333,68.421,11.842,107.894666667,141.228,67.1053333333
211.03,57.3333333333,117.333333333,116.0,99.9996666667,65.3336666667,29.778,61.333,1.33366666667,99.5556666667,140.000333333,69.3336666667
211.41,55.4166666667,114.583333333,119.166666667,93.75,67.0833333333,30.8333333333,58.75,14.5833333333,92.0833333333,145.0,57.5
211.79,58.427,107.116333333,107.116,94.0076666667,65.543,32.959,58.8013333333,12.3596666667,85.0186666667,128.839333333,43.0713333333
212.17,63.786,112.757333333,109.465333333,98.7656666667,59.2593333333,36.6253333333,63.786,-2.05766666667,83.9506666667,145.267666667,29.6296666667
212.55,55.1283333333,116.666666667,110.256666667,96.154,43.59,32.0513333333,58.12,-13.675,83.761,150.427,23.932
212.92,51.0286666667,109.465,111.111333333,85.185,45.2676666667,30.864,52.675,-17.284,86.0083333333,138.683,16.8723333333
213.30,54.9826666667,113.745666667,97.2506666667,83.849,34.708,40.55,59.45,-8.591,75.2576666667,113.402,24.0553333333
213.68,53.815,111.646666667,85.944,87.1486666667,16.8673333333,27.7106666667,64.257,-35.743,71.8876666667,114.056333333,5.62233333333
214.06,60.101,122.727,94.9496666667,104.545666667,14.6463333333,30.808,73.2323333333,-53.0303333333,80.808,130.303,3.53533333333
214.44,75.0,133.854,103.124666667,122.916666667,32.8126666667,47.3963333333,87.5,-47.3956666667,85.4166666667,138.021,-1.56266666667
214.81,91.358,156.173,111.110666667,156.79,46.296,52.469,108.024666667,-48.1483333333,94.4446666667,151.851666667,2.469
215.19,92.5373333333,136.318,99.5026666667,135.820666667,41.791,54.2286666667,94.03,-22.388,90.0496666667,137.313333333,6.468
215.57,113.441,156.452,110.752666667,163.440666667,60.7526666667,81.7203333333,107.527,-16.129,101.613,152.150333333,19.355
215.95,136.805666667,195.833333333,143.055666667,200.694333333,75.0,106.25,120.138666667,-12.5,121.527666667,204.861,40.2776666667
216.32,115.591333333,151.075,116.129,170.967666667,79.5696666667,99.4626666667,103.763333333,16.129,107.526666667,163.440666667,58.0646666667
216.70,119.126,129.508333333,106.557333333,170.492,91.257,91.2566666667,92.3496666667,21.3113333333,102.732333333,149.18,51.9123333333
217.08,129.943333333,123.729,101.13,181.355666667,85.3106666667,89.8306666667,78.531,19.774,111.299333333,155.367,53.6723333333
217.46,214.141666667,155.555666667,141.414333333,287.879,168.686666667,134.343333333,88.889,41.414,171.717333333,300.0,89.8993333333
217.83,172.649333333,137.606666667,116.239333333,235.897333333,135.897333333,123.077,63.248,25.6413333333,149.572333333,251.282333333,88.0343333333
218.21,176.923333333,128.205,96.154,248.718,133.333,114.102333333,43.5896666667,-32.0513333333,158.974333333,308.974333333,80.7693333333
218.59,186.363666667,128.788,125.757666667,280.303333333,153.030333333,112.121333333,72.7273333333,4.54533333333,233.333333333,372.727333333,98.4846666667
218.97,118.75,59.375,68.75,175.0,91.6666666667,84.375,22.9166666667,-10.4166666667,156.25,269.791666667,30.2083333333
219.34,128.0,57.3333333333,68.0,226.666666667,125.333333333,126.666666667,28.0,-18.6666666667,181.333333333,360.0,46.6666666667
219.72,193.333333333,-53.3333333333,10.0,396.666666667,123.333333333,110.0,-160.0,-230.0,306.666666667,716.666666667,-40.0
220.10,-1166.66666667,1066.66666667,0.0,-3600.0,-500.0,-1033.33333333,2233.33333333,2900.0,-2366.66666667,-5966.66666667,1400.0
220.47,-30.1586666667,63.492,9.52366666667,-133.333333333,28.5716666667,-11.111,115.873,206.349333333,-73.016,-250.793666667,84.1273333333
220.85,-27.0833333333,25.0,-20.8333333333,-197.916666667,20.8333333333,-25.0,95.8333333333,256.25,-87.5,-381.25,83.3333333333
221.23,50.0,80.0,56.6666666667,-68.3333333333,73.3333333333,20.0,100.0,255.0,38.3333333333,-241.666666667,123.333333333
221.61,193.333333333,216.666666667,153.333333333,-93.3333333333,266.666666667,120.0,223.333333333,676.666666667,63.3333333333,-283.333333333,393.333333333
221.98,116.666666667,162.963,50.0,-33.3333333333,103.704,81.4813333333,138.889333333,344.444333333,50.0003333333,-155.556,209.259
222.36,116.666666667,308.333333333,104.166666667,-108.333333333,141.666666667,191.666666667,354.166666667,683.333333333,75.0,-237.5,466.666666667
222.74,68.3333333333,126.666666667,113.333333333,-35.0,85.0,103.333333333,231.666666667,325.0,51.6666666667,-70.0,198.333333333
223.11,41.9753333333,93.827,53.0866666667,-23.4566666667,70.3703333333,88.889,145.679,240.741,43.21,-39.506,137.037333333
223.49,26.087,73.9126666667,73.913,-11.5943333333,73.913,140.58,155.072666667,282.608666667,28.9853333333,-7.24633333333,153.623333333
223.87,97.2223333333,86.111,147.222333333,-19.4443333333,105.555666667,258.333333333,211.111,544.444333333,63.8886666667,-5.55566666667,338.889
224.24,115.555666667,120.0,173.333333333,66.6666666667,113.333,244.444333333,162.222333333,484.444333333,124.444666667,62.2223333333,331.111
224.62,229.629666667,159.259,266.666666667,170.370333333,155.555666667,403.704,333.333333333,840.741,255.555666667,88.889,596.296
225.00,141.667,61.111,150.0,102.777666667,113.889,236.111,266.666666667,658.333333333,138.889,41.6663333333,363.889
225.38,350.0,-66.6666666667,133.333333333,291.666666667,75.0,691.666666667,691.666666667,1825.0,183.333333333,41.6666666667,825.0
225.75,92.157,-25.4903333333,37.2546666667,68.6273333333,-5.882,156.862666667,156.862666667,376.470666667,50.9803333333,-1.961,152.941333333
226.13,76.8116666667,-27.5363333333,30.4346666667,65.2173333333,5.797,111.594333333,94.2026666667,256.521666667,24.6373333333,23.188,123.188333333
226.51,59.596,-41.4143333333,8.081,30.303,-10.101,45.4546666667,46.4646666667,151.515,-13.1313333333,-28.2826666667,74.7473333333
226.88,41.228,-37.7193333333,-16.6666666667,40.351,-10.5266666667,22.807,28.9473333333,126.315666667,-2.63133333333,-15.7893333333,47.3686666667
227.26,28.0303333333,-56.0603333333,-27.273,22.727,-15.1516666667,7.576,29.5453333333,94.697,-18.1816666667,-11.3636666667,11.364
227.64,4.66666666667,-58.6666666667,-48.0,7.33333333333,-33.3333333333,-13.3333333333,10.0,62.0,-25.3333333333,-30.0,6.0
228.01,-17.284,-68.5183333333,-64.815,-1.23433333333,-35.185,-27.778,-4.321,30.8643333333,-49.383,-56.173,-24.074
228.39,-70.3703333333,-147.222,-145.37,-63.889,-105.555666667,-60.185,-64.8146666667,-20.3703333333,-165.740666667,-157.407333333,-117.592333333
228.76,-33.987,-84.9676666667,-90.8496666667,-51.634,-69.281,-26.7973333333,-50.3266666667,-32.6796666667,-118.954333333,-103.268,-78.4313333333
229.14,-4.05433333333,-40.5406666667,-47.2973333333,-22.973,-36.036,2.25233333333,-22.5223333333,-19.82,-70.721,-49.099,-40.991
229.52,-2.99133333333,-34.6153333333,-41.0253333333,-26.0683333333,-37.6066666667,-3.41866666667,-30.769,-16.239,-64.5296666667,-40.171,-38.462
229.89,-23.8803333333,-62.6863333333,-68.1593333333,-48.756,-57.214,-20.8953333333,-56.7163333333,-40.2983333333,-84.0793333333,-70.6466666667,-60.6966666667
230.27,-59.8766666667,-95.679,-104.321333333,-82.0986666667,-87.0373333333,-46.2963333333,-91.358,-74.6913333333,-123.456666667,-109.259333333,-96.9136666667
230.65,-70.068,-113.605333333,-122.449,-92.517,-87.0746666667,-57.823,-91.1566666667,-78.231,-125.850333333,-114.965666667,-117.006666667
231.02,-89.4736666667,-132.456333333,-157.017333333,-124.561666667,-91.228,-77.193,-111.403333333,-96.4913333333,-159.649,-151.754333333,-128.07
231.40,-69.2306666667,-102.564,-120.512666667,-116.239333333,-69.2306666667,-52.9913333333,-100.0,-88.889,-140.171,-120.512666667,-89.7433333333
231.78,-59.1396666667,-95.6986666667,-119.355,-139.785,-44.086,-54.8386666667,-98.925,-76.344,-148.387,-132.258333333,-103.226
232.15,-6.66666666667,-43.333,-84.4443333333,-102.222,-12.222,-26.6666666667,-42.222,-45.5553333333,-95.5556666667,-60.0,-60.0003333333
232.53,8.13,-4.878,-29.2683333333,-56.9106666667,21.1383333333,-24.3903333333,0.813,-3.252,-23.5773333333,-17.073,-6.504
232.90,-7.843,-25.4903333333,-43.137,-64.7056666667,17.647,-40.196,0.0,-21.5686666667,-26.4706666667,-32.3526666667,-36.2746666667
233.28,-27.5863333333,-20.6896666667,-45.9773333333,-54.023,43.678,-33.3333333333,1.14966666667,-11.494,10.345,-10.345,-6.89666666667
233.66,-23.8093333333,-6.12266666667,-19.728,-26.5306666667,51.7006666667,0.680333333333,35.374,-1.36066666667,21.769,4.76166666667,25.17
234.03,-7.483,11.565,-17.007,-6.80266666667,68.027,8.84333333333,44.898,17.007,23.1293333333,29.2516666667,30.612
234.41,-1.058,12.1693333333,-8.995,1.05833333333,62.4336666667,16.402,43.386,25.926,41.7986666667,28.5713333333,24.339
234.78,-3.43133333333,18.1373333333,-7.35333333333,-10.7843333333,55.3923333333,14.2156666667,24.5096666667,17.6473333333,27.941,22.059,8.82366666667
235.16,10.8526666667,22.8683333333,5.42666666667,10.0773333333,45.7363333333,25.5813333333,20.5426666667,22.093,29.4573333333,24.419,12.4033333333
235.54,0.374666666667,11.9846666667,0.374666666667,8.98866666667,34.0823333333,13.1083333333,13.8576666667,16.105,20.974,9.363,2.247
235.91,-5.797,-1.087,-10.1446666667,3.26066666667,18.478,9.78266666667,1.81133333333,-2.174,13.0433333333,9.42066666667,-5.435
236.29,-13.3333333333,-12.6313333333,-12.9826666667,-8.772,12.281,8.07033333333,-11.579,-8.421,3.50866666667,1.05266666667,-16.1403333333
236.66,-9.67733333333,-17.5626666667,-17.921,-10.3943333333,11.4693333333,11.111,-12.1863333333,-8.60233333333,2.15066666667,-0.716666666667,-20.0713333333
237.04,-9.434,-14.7796666667,-10.377,-2.83,14.4656666667,10.6916666667,-5.346,2.83033333333,3.45933333333,5.03166666667,-4.717
237.41,-9.42766666667,-17.5083333333,-15.488,-12.458,7.40733333333,4.377,-10.4376666667,4.04066666667,-9.76433333333,-2.35666666667,-14.141
237.79,-17.2043333333,-24.731,-27.5986666667,-22.5806666667,-7.88566666667,-13.9786666667,-33.3333333333,-7.88533333333,-31.5413333333,-13.9783333333,-34.767
238.17,-24.5616666667,-22.1053333333,-23.5086666667,-26.6666666667,-16.1406666667,-21.0526666667,-38.9473333333,-12.6316666667,-36.842,-15.0876666667,-41.0523333333
238.54,-13.2656666667,-18.3673333333,-13.6053333333,-16.3266666667,-16.667,-24.1493333333,-34.0136666667,-9.524,-42.857,-18.7076666667,-37.4153333333
238.92,3.003,-7.207,-1.50166666667,-4.80466666667,-8.40833333333,-3.904,-19.219,-2.40233333333,-23.4236666667,-9.30933333333,-15.9156666667
239.29,-0.551,-12.1213333333,-9.36633333333,-14.876,-16.8043333333,-9.36666666667,-17.9063333333,-5.78533333333,-25.0686666667,-9.366,-15.702
239.67,8.451,-3.99033333333,3.756,-3.99066666667,-6.33766666667,-4.46,-3.75566666667,6.10333333333,-10.094,0.000333333333333,-0.469333333333
240.04,23.2433333333,10.8106666667,17.4773333333,5.40533333333,7.56766666667,8.64866666667,10.631,17.4773333333,6.66666666667,9.18933333333,13.3333333333
240.42,22.619,13.6906666667,19.1966666667,9.97033333333,8.03566666667,8.92866666667,11.4583333333,21.1306666667,11.012,11.1606666667,12.9466666667
240.79,24.2316666667,15.0116666667,20.922,13.3573333333,11.1113333333,11.702,15.603,22.695,12.766,15.2483333333,15.7213333333
241.17,25.0856666667,14.204,19.9313333333,11.34,10.309,10.5383333333,16.4946666667,22.1076666667,11.1113333333,16.3803333333,16.0363333333
241.54,25.2906666667,15.407,20.3486666667,15.407,10.5616666667,10.7556666667,18.217,18.2166666667,14.6316666667,17.7323333333,22.4806666667
241.92,28.9406666667,19.0353333333,24.4616666667,18.7766666667,14.7286666667,16.882,23.428,19.983,19.3796666667,21.7053333333,27.3036666667
242.29,31.2643333333,18.3143333333,25.364,19.8466666667,17.4713333333,20.153,27.7393333333,21.3793333333,21.5323333333,23.8316666667,28.199
242.67,28.4056666667,17.6086666667,23.7683333333,17.681,17.3913333333,22.2463333333,28.4783333333,20.0726666667,22.971,23.8406666667,27.7536666667
243.05,26.6256666667,16.0163333333,23.819,18.823,16.427,21.15,28.6106666667,19.7123333333,23.3403333333,24.025,27.173
243.42,26.6666666667,16.2666666667,25.3333333333,18.9333333333,17.6666666667,22.7333333333,28.3333333333,19.8666666667,24.2666666667,24.6,27.6666666667
243.80,24.4666666667,15.7333333333,21.0666666667,16.2,14.7333333333,21.7333333333,24.9333333333,16.4,21.2666666667,23.2,24.3333333333
244.17,23.3916666667,16.634,19.6233333333,17.219,14.9446666667,20.988,25.536,17.609,20.5976666667,23.002,22.9373333333
244.55,21.1156666667,13.8776666667,16.8656666667,15.1393333333,12.749,20.0533333333,25.033,15.405,18.3266666667,19.3893333333,21.78
244.92,18.0473333333,13.468,13.872,13.9393333333,9.899,19.1246666667,23.9056666667,14.0066666667,17.239,17.0373333333,21.8853333333
245.30,17.968,15.7373333333,13.9406666667,15.1176666667,10.9666666667,19.8263333333,22.8626666667,14.1266666667,17.472,16.419,21.6233333333
245.67,14.6086666667,14.319,11.4203333333,11.7103333333,10.203,16.7536666667,18.8406666667,12.2896666667,13.9133333333,13.1593333333,15.71
246.05,10.248,11.273,7.49733333333,7.01166666667,6.958,13.053,14.5093333333,9.97833333333,11.2733333333,9.70833333333,10.248
246.42,7.89866666667,9.836,4.819,6.16,4.62,10.482,10.8296666667,6.75633333333,8.197,7.25266666667,8.39566666667
246.79,8.95166666667,10.1216666667,5.668,7.51266666667,4.00366666667,10.2116666667,10.391,7.24233333333,8.097,8.187,9.44633333333
247.17,8.11266666667,10.214,3.95133333333,6.47333333333,2.94233333333,9.24733333333,9.458,7.01966666667,6.179,7.566,9.07966666667
247.54,8.014,10.0876666667,3.668,6.85833333333,2.91066666667,8.732,10.327,6.22033333333,5.46233333333,7.69566666667,8.89133333333
247.92,9.464,10.728,5.17266666667,8.23766666667,3.83133333333,9.92333333333,11.4176666667,7.088,5.97733333333,7.12666666667,9.46366666667
248.29,8.904,8.56166666667,4.64233333333,7.68633333333,2.093,9.13233333333,8.904,5.175,4.26166666667,5.86,8.257
248.67,9.338,9.85833333333,6.027,8.33333333333,2.00866666667,9.933,8.51933333333,5.35733333333,4.353,7.36633333333,9.338
249.04,10.1843333333,10.3343333333,7.85433333333,9.019,3.00666666667,10.41,9.16966666667,4.96066666667,4.81,8.38,9.54533333333
249.42,9.07666666667,9.23333333333,7.82466666667,8.02033333333,2.23,9.82,8.41166666667,4.02966666667,4.18633333333,8.48966666667,8.88066666667
249.79,9.63066666667,8.676,8.59266666667,8.59266666667,2.491,10.295,9.38166666667,4.40033333333,4.27566666667,10.1703333333,10.6266666667
250.17,10.1816666667,8.05666666667,9.03066666667,10.0483333333,2.789,10.3143333333,10.9783333333,4.33833333333,3.76266666667,10.1376666667,13.059
250.54,10.0423333333,8.20333333333,8.72233333333,9.38233333333,2.31033333333,9.94833333333,11.5513333333,5.37466666667,5.092,9.05233333333,15.1816666667
250.92,11.8596666667,10.3466666667,10.0536666667,10.249,4.002,10.493,13.1283333333,6.93033333333,5.66133333333,10.3953333333,16.6423333333
251.29,13.774,11.8793333333,11.521,11.265,5.325,10.7013333333,13.8246666667,7.578,7.527,12.34,17.204
