wavelength,Back_TanArtm,Belly_TanArtm,Breast_TanArtm,Crissum_TanArtm,Crown_TanArtm,DorTail_TanArtm,Patch10_TanArtm,Patch11_TanArtm,Patch12_TanArtm,Patch13_TanArtm,Rump_TanArtm,Throat_TanArtm,WingTip_TanArtm
209.90,74.1666666668,48.6458333333,46.25,73.5416666667,7.91666666665,66.2499999999,10.625,48.1249999999,39.0625,52.2916666668,18.125,44.3749999999,37.0833333333
210.28,62.8379166666,38.6260833334,25.9008333333,46.3963333334,-9.00899999993,55.1802500001,-2.25224999998,30.6308333334,22.4661666667,46.6216666666,1.5766666667,29.054,29.054
210.66,101.515083333,86.2374166666,72.4746666666,68.93925,25.505,104.040416667,37.62625,62.3737500001,65.088375,90.9092499998,47.2221666667,65.6566666668,66.4143333332
211.03,77.1739166668,69.9274999999,62.1376666667,60.5070833333,34.9637499999,92.7535833333,42.9347499999,63.4057499999,67.5722291667,80.2535833334,55.9783333333,59.42025,62.8623333332
211.41,72.4490833333,66.3264583333,61.56475,64.2856666667,38.6053333334,95.2381666666,40.47625,72.2790833333,74.7448749999,83.1631666667,56.9728333334,61.2244166667,68.3673333333
211.79,63.3012500001,56.7307499999,56.41025,58.9744166667,30.6088333333,88.6219166666,37.6601666667,76.12175,72.5159583334,74.8398333332,50.16025,51.6025000001,64.7436666668
212.17,68.4027500001,54.5139583334,63.5418333333,67.8819166667,36.9791666666,101.736166667,41.1458333333,87.1528333334,82.7258333335,85.5902500001,52.9514166667,61.2846666668,74.3054166668
212.55,69.3182500001,50.4734166667,64.01525,73.8635833334,35.4165000001,103.787916667,46.2120833333,91.6665833334,81.0606874999,97.9165833333,51.3258333333,69.5074999999,80.87125
212.92,88.7036666665,67.9628333334,83.8889166667,91.4816666667,46.4814999999,111.296333334,63.3334166667,105.926083333,96.7130416667,112.963,62.5926666667,85.0,92.0370833334
213.30,109.6155,87.9272500001,113.03425,119.658083333,58.1196666666,138.889,74.3589999999,130.12825,115.811916666,149.145166667,78.6324166667,125.641,116.66675
213.68,99.6031666667,57.3413333332,119.444416667,115.079333333,-1.19050000007,156.349166667,36.5080000002,125.396916667,114.087208333,173.41275,55.5555833332,124.20625,121.8255
214.06,130.9525,91.9642083334,161.904666667,152.381,10.119,217.261916667,38.6906666665,160.714416667,187.053458333,248.21425,82.1428333333,178.571416666,145.238083333
214.44,103.985416667,81.5218750001,126.449333333,124.275333333,34.4202499997,142.39125,52.1738333334,125.362416667,138.0435,167.029,89.8550833333,143.478083333,97.1014166665
214.81,72.8070000001,39.0348333333,100.438583333,109.2105,-23.6842499999,98.2455833333,11.8421666664,117.982416667,90.3508958333,133.771916667,56.1404166666,125.000083333,55.2633333333
215.19,110.5555,74.1666666667,132.222166667,142.777833333,-37.2221666665,123.888833333,23.889,169.999916667,80.8335208332,168.889,78.8888333334,176.111083333,76.1110833334
215.57,157.142833333,128.27375,171.428583333,163.09525,-17.2619166668,161.904666666,58.3334166667,198.809583333,76.785625,202.97625,111.90475,206.547583333,125.595083333
215.95,143.229166667,117.1875,147.395833333,143.75,-14.5833333333,120.3125,42.1875,172.916666667,65.1041666667,173.958333333,108.333333333,189.0625,112.5
216.32,75.3472499999,56.770875,96.5277500001,96.5278333333,-14.9304999999,67.3610833334,23.264,112.84725,23.9584583333,101.041583334,78.4722500001,116.319416667,77.7779166666
216.70,68.5606666669,38.2575,81.0606666667,82.5758333333,-28.4091666666,55.6818333334,0.757833333342,114.393916667,0.75758333335,71.9698333332,70.07575,94.3180000002,71.5909166666
217.08,82.7380000002,31.2500416666,62.4999999999,95.8333333333,-100.595166667,61.9047500001,-29.7618333334,147.618916667,-46.2798125,69.0475833334,54.16675,95.8333333333,75.0000000001
217.46,595.833333333,-33.3333333333,212.5,699.999999999,-750.0,508.333333333,-104.166666666,1087.5,-335.416666667,391.666666666,533.333333333,479.166666666,408.333333333
217.83,473.333333333,243.333333333,355.0,550.0,23.3333333333,445.000000001,223.333333333,763.333333333,185.833333334,408.333333333,441.666666667,470.0,418.333333333
218.21,-150.000083334,-52.5640833332,-87.8205833333,-182.69225,7.69225000017,-133.33325,-77.564083333,-275.0,-44.8718541667,-115.384666666,-134.615416667,-153.205083333,-178.205
218.59,-37.1527499998,11.1110416667,-7.29174999998,-61.8055833332,39.2361666667,-39.2360833333,1.04166666677,-121.180583333,9.02787499999,-20.4859166667,-27.0835,-34.72225,-73.6112499999
218.97,-20.5128333335,27.2435,6.73075,-48.0768333333,41.3463333333,-20.1924166666,27.2435833334,-98.0769166666,10.9774375,1.92299999999,-8.65383333333,-15.06425,-66.6667500001
219.34,-14.5834166667,35.41675,8.92866666668,-48.5118333333,27.0834166666,-7.73791666666,32.1428333334,-71.7261666667,-4.31541666668,13.9881666667,7.44041666667,-1.48791666667,-47.3215
219.72,25.4504166666,62.3873333333,42.7927499999,-11.4865,45.0450000001,29.5045833333,50.9009166668,-14.63975,25.7882708333,46.6215,29.72975,34.9099166666,11.4865833334
220.10,34.5745,62.411375,48.40425,7.62416666666,49.8226666667,35.4609166667,56.383,3.36874999998,41.8882916667,51.4184166667,44.6809166666,44.32625,32.0923333333
220.47,15.136,39.4559166667,33.8436666667,6.97266666667,37.2449166666,24.1496666667,46.2585,-6.12249999999,33.9710833333,34.0135,34.694,36.90475,26.3605
220.85,14.77275,31.2500833333,27.2726666667,5.30291666666,39.0151666667,20.2651666666,42.99225,-13.6364166667,29.5926458333,29.356,30.6819166667,35.7954166667,23.8635833333
221.23,17.8571666667,34.9207083333,26.1904166667,4.16666666666,30.5555833334,21.6270833333,39.4840833333,-20.0396666667,20.0893541667,28.1745833334,19.4445833333,36.5079166667,19.246
221.61,24.3589166666,10.5767916667,22.86325,-0.854833333333,15.5983333333,19.2309166666,34.4018333333,-24.57275,9.24145833335,20.9401666667,15.8120833333,38.0340833333,11.3248333333
221.98,27.4620833334,16.66675,34.0909166667,5.87116666666,21.4015,26.3258333333,35.0379166667,-12.3103333334,18.0397291667,24.432,19.8863333333,46.7803333334,19.6969166667
222.36,24.4318333333,14.10975,23.6743333333,-3.21958333334,23.6740833333,19.88625,31.81825,-16.4773333333,15.7671041666,19.5075833333,11.3636666667,50.9470833334,19.6970833333
222.74,19.3939166667,11.0604583333,17.2726666666,0.45450000001,22.87875,19.5454166667,21.96975,-9.09083333334,14.0151875,17.1211666667,6.96975000002,46.8181666667,18.3333333333
223.11,8.144,-4.54541666667,6.81816666666,-9.091,13.82575,4.92433333333,13.4469166667,-26.1364166667,-7.33891666667,-1.89399999998,-7.00766666667,44.5074166667,8.71208333333
223.49,21.5986666667,9.863875,16.6665833334,9.18366666667,31.1225833333,19.21775,22.6191666667,-12.5850833333,6.80272916667,10.204,3.74158333333,55.44225,9.69399999999
223.87,-1.74424999999,-8.81770833332,-8.91483333334,-12.4030833334,18.4108333333,-0.77525,1.55033333334,-39.5348333333,-24.3216458333,-13.3721666667,-11.0465,39.53475,-27.9069166667
224.24,-20.2703333334,-33.7837083333,-27.70275,-33.7838333333,4.72974999998,-22.9729166667,-22.2974166667,-67.3423333333,-55.7432708333,-38.7389166668,-33.1081666667,26.3514166667,-65.3153333333
224.62,-24.3243333334,-39.6395416667,-34.9099166667,-46.3964166667,-6.53158333332,-34.9098333333,-39.6395833333,-76.3513333333,-68.693625,-43.0180833333,-40.5406666667,13.0630833334,-77.2523333333
225.00,-18.5534166667,-26.4151666667,-25.7861666667,-32.5469166667,-8.17591666668,-18.2388333334,-24.3711666666,-49.3710833333,-48.4671666667,-33.8050833333,-23.7420833333,6.60374999998,-52.673
225.38,-33.1523333332,-33.3331666667,-37.1376666667,-40.7608333333,-13.7681666666,-23.00725,-31.5218333333,-54.529,-54.3478125,-48.7318333334,-32.2465,-8.33333249992e-05,-61.2319166667
225.75,-25.89275,-16.1458333333,-25.7440833333,-27.5298333333,-3.5715,-2.97624999998,-16.8155833334,-33.4821666667,-33.4449583333,-33.6308333333,-20.387,6.5476666667,-38.3929166667
226.13,-24.5966666667,-16.6665833333,-29.301,-26.7471666666,-5.7795,-0.537666666675,-14.2474166666,-30.1075833333,-29.8050833333,-27.6880833333,-21.3709166667,3.36025,-31.9891666667
226.51,-31.8305,-21.1748333334,-36.4753333333,-25.1365,-12.0218333333,-3.14216666668,-19.94525,-33.4698333333,-34.5285416667,-30.6011666667,-24.3169166666,-1.09308333331,-32.5135833333
226.88,-20.43375,-8.56158333335,-26.2556666667,-14.6119166667,-5.13691666668,8.33324999999,-7.07749999999,-18.7215833333,-21.5467708333,-20.0911666667,-14.1551666667,-1.36983333332,-19.5205833333
227.26,-0.247666666667,9.73595833334,-7.01316666667,4.78549999999,10.3134166667,19.14175,8.16816666668,1.56758333333,2.80535416667,0.989916666675,2.97025,10.9735833333,1.73275000001
227.64,-3.67449999999,5.87270833333,-7.74266666666,2.75575000001,5.90558333334,11.7454166667,4.33074999999,-2.82141666667,0.295229166658,-0.918666666665,0.327999999998,5.24925000001,2.09966666667
228.01,3.55633333335,8.35983333334,-0.0530000000075,8.43950000001,9.02341666667,13.8534166667,9.0765,1.48625,3.4103125,5.52008333334,3.98083333333,7.00641666665,9.554
228.39,6.73583333333,11.1399583333,4.31783333332,10.1035833333,11.1398333333,15.1121666667,10.96725,5.65633333333,6.44420833334,10.1466666667,6.69258333334,8.63558333333,13.1691666667
228.76,8.97141666668,13.0817916667,8.25825000001,11.7490833333,13.4759166667,17.11725,12.7628333333,8.25833333333,9.15,11.63675,10.28525,9.90991666668,17.1545833333
229.14,5.33491666667,8.02183333333,5.72433333332,7.20400000001,8.41125,11.9548333333,7.08725000001,2.92066666667,3.904,7.86608333334,4.67291666667,4.63408333333,13.5903333333
229.52,5.69025,3.689375,3.85466666667,4.88266666667,4.2585,8.1865,4.22174999999,1.06449999999,1.49589583333,6.46108333333,2.20266666667,2.27625,11.0499166667
