wavelength,Back_CyaCysf,Belly_CyaCysf,Breast_CyaCysf,Crissum_CyaCysf,Crown_CyaCysf,DorTail_CyaCysf,Patch10_CyaCysf,Rump_CyaCysf,Throat_CyaCysf,WingTip_CyaCysf
210.66,-99.0476000001,-51.2698,-162.5396,-130.635,-147.619066667,-54.762,-6.1904,-67.6190666667,-30.3176000001,-83.4921333333
211.03,-177.0116,-105.977066667,-264.138066667,-217.241333333,-234.023133333,-110.632166667,-42.0691,-132.873533334,-78.8506000002,-161.379266667
211.41,-210.256466666,-128.974266667,-316.923,-260.2564,-260.512866667,-144.23075,-56.7948333333,-153.589733333,-111.538533333,-200.769266667
211.79,-131.9608,-85.2941333333,-235.098066667,-196.6666,-185.098,-87.2547499999,-28.6273333333,-96.6666666667,-74.1176666666,-144.313733333
212.17,-88.2541333334,-62.8572666667,-173.015866667,-143.492,-135.396933333,-64.881,-11.6666333334,-65.8730666667,-54.9206666666,-107.143
212.55,-164.8,-136.533333333,-321.866666667,-269.333333333,-229.6,-135.666666667,-40.8,-137.333333333,-128.266666667,-216.266666667
212.92,-112.549133333,-87.6471333335,-225.294133333,-179.019466667,-148.8236,-79.1665833332,-16.9608000001,-86.2746,-74.1177999999,-151.960666667
213.30,-63.6880000001,-46.9503333333,-151.347533333,-109.929,-79.4327333333,-43.6170833333,9.7163,-54.4681333333,-34.8935333333,-93.1915333333
213.68,-144.138,-103.218333333,-273.793133333,-197.701133333,-151.954133333,-100.000083333,-9.88516666672,-116.091933333,-80.9195333333,-158.161
214.06,-58.8234666667,-43.5294666666,-132.8104,-96.4704666665,-63.9216,-32.67975,13.3333666667,-46.9280666666,-25.0979333333,-72.6798
214.44,-60.9150666667,-41.9609333333,-134.509733334,-101.1764,-61.6993333333,-31.86275,6.20910000007,-50.9803333333,-19.0849333333,-73.5948666666
214.81,-80.2614666665,-61.1764666668,-151.895533333,-122.352866667,-79.2156,-47.5488333334,-13.3333333333,-69.2811333333,-30.1960666667,-94.7712666668
215.19,-56.9082666667,-46.7631999999,-109.2754,-85.9903999999,-53.3333333333,-32.6086666667,-7.29456666666,-47.2462,-19.2270666667,-63.9614666666
215.57,-29.1764666667,-25.0196,-69.8824666667,-53.8039333333,-32.3137333333,-8.92158333332,10.1175666667,-24.3922666667,3.21566666665,-37.1762666667
215.95,-55.7746666667,-47.6994000001,-98.8732666667,-78.4038,-56.5257333333,-31.2206666667,-7.32399999999,-54.2723333333,-10.6102666667,-62.1596666667
216.32,-87.4712000001,-69.4252666666,-139.310466667,-108.390866667,-81.9540666667,-51.2930833333,-23.9078666667,-82.5286666667,-27.3565333333,-93.4482000001
216.70,-51.2962666667,-32.3147333333,-88.0554666666,-63.0556,-46.9444,-18.0555,-5.74070000001,-45.9260666667,1.94439999993,-53.7036666667
217.08,-81.4546,-57.5757333334,-127.878666667,-89.0909999999,-80.1211333333,-42.42425,-27.5756666666,-77.9394000001,-11.6363333333,-84.9697333332
217.46,-57.0255333334,-31.7948,-89.7436666667,-56.2051333333,-58.7692000001,-23.077,-17.0770333333,-54.154,4.92319999993,-58.2563999999
217.83,-40.2566,-25.2990666667,-67.9486,-40.0,-43.4186666666,-19.9786666667,-16.1965333333,-39.6582,4.01706666667,-48.4614666667
218.21,-50.9648666667,-33.7718666667,-72.9825333333,-47.8947333333,-52.1929333333,-29.386,-23.1578,-46.7544666667,-5.43853333334,-56.3158
218.59,-50.9333333333,-31.8222666667,-76.1776666666,-51.8221333333,-53.9555333333,-30.7778333333,-21.1110666667,-48.5333333333,-9.95553333334,-59.8221999999
218.97,-42.7005333333,-25.5696666667,-68.1857333333,-41.8564,-48.6076,-25.7385,-21.6456,-36.6246,-7.84806666666,-49.4516
219.34,-37.2972666667,-15.8558,-65.2252666666,-38.4684666666,-46.7568666667,-18.9190833333,-19.6847333333,-37.3873333333,0.09019999998,-44.7748
219.72,-52.5806,-28.602,-88.387,-60.3224,-60.5376,-34.2741666667,-32.8496666666,-53.871,-13.0106,-61.8279333335
220.10,-54.2222666667,-34.4444000001,-92.8887999999,-68.5555333333,-62.5554666668,-36.389,-33.7222666667,-56.7776666667,-21.1112,-66.0000000002
220.47,-27.9824666666,-17.1929333333,-58.3333333334,-41.9298,-37.0174666667,-16.557,-14.5175666667,-31.0526,-2.80699999999,-38.2455333333
220.85,-34.1026,-25.983,-67.6068666667,-52.735,-41.8803333333,-27.2436666667,-20.2991666667,-39.6579999999,-15.2135333333,-49.1453333333
221.23,-7.51786666666,-3.61713333332,-38.7944666667,-28.7942666667,-12.9788,-1.86183333333,2.37596666666,-12.5529333333,4.25533333333,-20.0709333333
221.61,-11.3726,-10.4314,-46.196,-39.3724666667,-13.7254,-4.60775000002,3.0195,-13.2548666667,-1.25493333334,-26.4313333333
221.98,-14.3460666667,-6.8354,-48.1012,-47.0885333333,-14.768,-6.64550000002,6.0338,-16.2024666666,-3.12246666666,-26.9198
222.36,-0.759466666654,2.02533333335,-37.9746,-39.6624666667,-1.09700000001,2.63716666665,12.1097333333,-7.84793333333,6.16033333334,-13.3334666667
222.74,8.39219999999,7.7648,-23.6862666667,-24.3137333333,13.0980666667,11.3725,22.1962333333,4.23533333332,11.294,-1.80380000002
223.11,-2.18906666665,-5.97013333331,-47.7612,-43.0844666667,2.88573333334,2.36316666666,16.7163333333,-13.9303333333,-3.88073333332,-17.9103333333
223.49,-2.43253333334,-6.75680000001,-46.2162,-36.1261333333,-0.0902,-0.788250000008,14.7748,-11.0810666667,-5.49553333335,-19.0992
223.87,4.36780000001,3.44820000001,-32.2605333333,-22.7586666667,5.97706666667,5.26825000001,16.5134,-2.06899999999,4.13786666665,-8.8122
224.24,12.6282,16.859,-17.1154,-8.65373333334,14.0384666667,15.7051666667,23.8781333333,9.93580000001,13.0128,2.75646666668
224.62,13.5757333333,21.8789333333,-11.9999333333,-7.4546,15.0301333333,16.3635833333,24.0303,12.9092,14.9089333333,7.63639999999
225.00,9.57273333335,24.0456,-9.28773333333,-2.16526666667,12.5927333333,17.80625,24.9857666667,16.9801333333,16.0684,10.5414
225.38,1.6666,21.4285333333,-14.0476,-6.01186666667,0.535800000014,8.55641666667,15.1785333333,8.1548,7.55940000001,4.0476
225.75,1.84866666667,18.4314666667,-13.4452,-5.32213333333,-4.6498,7.98325,9.43976666667,4.59400000001,5.04193333335,4.14573333334
226.13,-2.27273333334,13.1312666667,-16.9697333334,-7.72726666667,-9.54540000002,5.05041666667,2.44959999999,0.35346666666,0.656666666654,-0.151533333314
226.51,-14.1732666667,4.04193333333,-29.6589333333,-16.0628666667,-22.7296666667,-5.18374999999,-9.68479999999,-10.2887333333,-10.1312666667,-11.8110666667
226.88,-12.7271333333,0.839133333319,-28.2049333333,-14.0326666667,-24.429,-7.86699999999,-12.4474666667,-10.7692666667,-11.9812666667,-11.7948666667
227.26,-4.88406666667,5.81099999999,-14.7951333333,-3.77880000001,-12.6203333333,-1.6045,-3.35123333333,-2.24579999999,-0.962533333334,-1.42619999999
227.64,-9.55773333333,-0.476266666659,-17.2109333333,-7.85706666667,-15.3741333333,-4.20925000001,-8.14623333333,-5.27199999999,-3.26526666668,-5.7144
228.01,-14.0705333333,-4.87186666667,-20.0320666667,-10.7372,-19.1986,-7.81241666667,-10.8653333333,-9.67946666667,-7.94879999999,-9.93586666667
228.39,-12.8010666666,-5.79820000001,-17.3949333333,-9.07559999999,-15.8264,-8.36825000001,-9.92996666667,-9.13153333334,-6.97486666666,-7.89913333333
228.76,-8.73386666667,-3.54,-13.8501333333,-4.90953333333,-11.9121333334,-4.94183333333,-6.58909999999,-7.15746666667,-4.21186666665,-4.47026666665
229.14,-5.99759999999,-3.56040000001,-10.92,-3.5842,-9.82073333333,-4.33083333333,-5.19713333333,-5.92586666666,-2.38946666667,-3.01066666665
229.52,-4.07293333333,-3.45113333333,-8.74593333333,-2.8082,-7.56700000001,-1.90241666667,-3.39773333333,-3.36540000001,-0.642999999998,-2.18653333333
229.89,-2.59813333333,-1.65153333333,-6.80759999999,-1.95366666667,-5.35746666667,-0.755166666665,-0.342400000001,-0.6244,0.906266666666,-0.3626
230.27,-0.647733333332,0.095200000002,-5.18099999999,-1.20006666667,-3.90473333333,0.404749999999,1.29533333333,0.552466666668,2.05719999999,0.171333333334
230.65,1.8148,2.10253333333,-2.2282,0.0359333333334,-1.15,2.336,3.52186666666,3.10866666666,4.02513333333,2.92913333333
231.02,-0.374599999999,-1.02986666667,-4.23199999999,-3.09,-3.14593333333,0.58525,0.702299999998,0.711666666667,2.64040000001,0.898866666668
231.40,1.6762,2.16573333333,-1.73266666667,-1.8268,-0.489600000001,2.07158333333,2.693,2.693,3.76639999999,2.16566666667
231.78,2.48826666667,4.21646666667,-0.512933333333,-0.721799999999,0.759733333332,2.8965,4.85273333333,4.00739999999,4.15953333333,4.50140000001
