wavelength,Back_MelRicm,Belly_MelRicm,Breast_MelRicm,Crissum_MelRicm,Crown_MelRicm,DorTail_MelRicm,Rump_MelRicm,Throat_MelRicm,WingTip_MelRicm
735.16,5.23133333333,3.35066666667,3.34,2.713,3.372,4.62633333333,3.88033333333,2.50766666667,12.797
735.48,5.233,3.23033333333,3.44066666667,2.64433333333,3.56233333333,4.713,3.872,2.56666666667,12.7336666667
735.79,5.419,3.624,3.90433333333,2.962,4.00533333333,4.82433333333,4.28566666667,2.93966666667,13.0036666667
736.11,5.28366666667,3.56033333333,3.606,2.796,3.378,4.72433333333,4.07366666667,2.89866666667,12.8496666667
736.43,4.851,3.03366666667,3.103,2.22266666667,2.825,4.07533333333,3.62433333333,2.55866666667,12.8516666667
736.74,4.89266666667,3.25033333333,3.19233333333,2.53266666667,2.90333333333,4.25666666667,3.29633333333,2.429,13.0116666667
737.06,4.877,3.25866666667,3.20066666667,2.642,2.75833333333,4.248,3.45666666667,2.45566666667,13.1983333333
737.38,5.423,4.029,3.75966666667,3.43166666667,3.53733333333,4.861,4.193,2.99833333333,13.762
737.69,5.43866666667,3.953,4.082,3.71933333333,3.89466666667,5.32133333333,4.46766666667,3.14633333333,13.883
738.01,5.31166666667,4.19566666667,4.219,4.04466666667,4.161,5.54433333333,4.556,2.88233333333,13.9353333333
738.33,5.395,4.35333333333,4.23733333333,4.22633333333,4.16833333333,5.15266666667,4.689,2.69733333333,13.6156666667
738.64,5.68033333333,4.86233333333,4.30933333333,4.78166666667,4.851,5.17333333333,5.10433333333,2.92666666667,13.8613333333
738.96,5.67033333333,4.77333333333,4.21,4.56633333333,4.78466666667,5.118,5.061,3.002,13.9866666667
739.28,6.02833333333,4.972,4.44366666667,4.742,5.04066666667,5.24733333333,5.40833333333,3.08866666667,14.261
739.59,6.23566666667,4.89866666667,4.63366666667,4.818,5.24433333333,5.556,5.498,2.99666666667,14.419
739.91,7.06033333333,5.63633333333,5.39366666667,5.521,6.042,6.21566666667,6.19233333333,3.41433333333,14.8726666667
740.23,6.99933333333,5.70866666667,5.639,5.65033333333,6.30133333333,6.28966666667,6.77833333333,3.61566666667,14.6263333333
740.54,6.749,5.716,5.78666666667,5.66866666667,6.32633333333,6.19733333333,6.79533333333,3.533,14.5186666667
