wavelength,Back_PooCinm,Belly_PooCinm,Breast_PooCinm,Crissum_PooCinm,Crown_PooCinm,DorTail_PooCinm,Patch10_PooCinm,Rump_PooCinm,Throat_PooCinm,WingTip_PooCinm
198.92,-195.226466667,-193.250933333,-162.387,-172.180933333,-187.6544,-223.539,-179.588466667,-216.927088889,-203.1276,-185.432133333
199.30,-175.2714,-175.3488,-147.596933333,-157.6744,-173.255866667,-204.4186,-165.038733333,-200.180977778,-187.015533333,-171.472866667
199.68,-149.523733333,-146.154,-123.516533333,-133.479866667,-147.545866667,-176.117266667,-142.124733333,-172.234466667,-161.025733333,-146.227066667
200.06,-171.75,-162.666666667,-141.333333333,-150.583333333,-169.416666667,-197.333333333,-160.75,-195.333333333,-181.083333333,-166.083333333
200.44,-182.2522,-170.270333333,-147.837866667,-160.990933333,-183.603666667,-207.837866667,-170.5406,-206.126155555,-192.207233333,-179.369333333
200.82,-166.833333333,-152.75,-135.75,-147.833333333,-167.0,-189.75,-154.0,-187.388888889,-174.041666667,-165.583333333
201.19,-124.444533333,-112.3704,-96.0741333333,-111.259266667,-124.222333333,-142.1482,-112.518466667,-139.580222222,-130.037,-123.111066667
201.57,-87.0909333333,-76.1211333333,-62.7879333333,-77.0302666667,-85.1515333334,-101.030266667,-73.9394666667,-98.7878666666,-93.1516666665,-84.9696666666
201.95,-63.8568666667,-50.3580666667,-39.9998666667,-53.7741333333,-61.6528666667,-76.9696666667,-52.4516,-77.832888889,-70.2204666666,-60.6610666667
202.33,-73.3333333333,-55.9258666667,-45.8642666667,-58.7036666666,-67.7160666667,-86.1726666667,-57.9629333333,-87.8601111111,-79.3826000001,-72.4691333333
202.71,-71.111,-51.7900666667,-39.074,-56.4198,-61.2346666667,-83.2717333334,-55.7408666667,-83.3743555555,-75.6788666666,-72.5309333333
203.09,-81.1468666666,-57.3476666667,-41.4338,-64.086,-63.5842666667,-92.4730000001,-63.5125333333,-95.1495333332,-84.6237333333,-83.3693333334
203.47,-93.5043333333,-57.6923999999,-40.6838000001,-65.8975333333,-65.8119333334,-102.3932,-67.9486666667,-103.3048,-90.9829333333,-88.1198666665
203.85,-107.2464,-66.1835999999,-45.1207333333,-72.8502666667,-75.1691333333,-113.719666667,-72.2706,-115.9098,-99.7584666667,-100.386466667
204.22,-171.020333333,-116.4626,-88.7074666666,-131.564666667,-130.476133333,-181.7688,-125.170066667,-186.984177778,-169.2518,-165.034133333
204.60,-197.2094,-141.550533333,-101.5504,-153.333266667,-148.992133333,-207.597,-150.232533333,-218.191044444,-201.0077,-182.3256
204.98,-190.317466667,-129.047733333,-87.3017333333,-139.999933333,-136.3492,-192.698333333,-137.142866667,-207.989533333,-185.872966667,-164.444466667
205.36,-327.407333333,-231.851666667,-162.716066667,-247.9012,-234.074066667,-334.5678,-241.481533333,-347.654311111,-301.728366667,-287.160666667
205.74,-5110.0,-3593.33333333,-2750.0,-3876.66666667,-3756.66666667,-4970.0,-3736.66666667,-5220.0,-4541.66666667,-4450.0
206.12,593.333333333,449.666666667,367.666666667,465.333333333,456.0,572.666666667,435.0,577.111111111,521.5,520.666666667
206.50,839.555533333,633.7778,519.111,663.555666667,648.889066667,819.555599999,621.333333333,794.814733334,721.333366666,724.888933334
206.87,1049.9998,815.555533333,690.000066667,863.333333334,826.666599999,1042.2222,780.0,994.25928889,905.833266667,907.222266667
207.25,1848.57146667,1464.7618,1297.1428,1561.90473333,1529.52393333,1865.71426667,1410.4762,1775.87302222,1595.23806667,1643.80953333
207.63,1927.619,1620.95246667,1442.85713334,1701.90473333,1670.4762,1994.28573333,1568.5714,1900.31748889,1733.80953333,1786.66673333
208.01,6483.33333333,5730.0,4940.0,6013.33333333,5646.66666667,7010.0,5483.33333333,6480.0,6033.33333333,6216.66666667
208.39,-360.000066667,-312.444533334,-251.7778,-326.000066667,-287.111066667,-401.555533333,-291.5556,-348.296222222,-322.777666667,-336.0
208.77,-324.375,-271.458333333,-224.166666667,-289.791666666,-250.0,-365.0,-247.083333333,-301.736111111,-277.1875,-300.208333333
209.14,-309.607733333,-259.411866667,-213.9216,-279.019666667,-232.745,-350.0,-234.1176,-288.235311111,-247.352966667,-281.568666667
209.52,-271.281933333,-224.7864,-189.5726,-244.615266667,-204.4444,-297.435866667,-204.102466667,-255.327711111,-221.965766667,-241.538333333
209.90,-221.481466667,-192.296333333,-155.111,-202.370333333,-167.2592,-253.037066667,-175.407466667,-209.283844444,-188.740833333,-200.740866667
210.28,-147.2222,-129.4446,-96.9999333333,-142.3332,-113.666666667,-171.7778,-124.444466667,-142.592577778,-127.055666666,-139.000066667
210.66,-105.0242,-96.5217333333,-69.372,-101.062733333,-84.4444000001,-129.468666667,-86.5700000001,-106.119111111,-92.8985999999,-102.801866667
211.03,-124.888866667,-114.6668,-85.7778000001,-120.333333333,-107.111133333,-152.999933333,-108.889,-127.370444445,-111.2222,-117.000066667
211.41,-97.3545333333,-84.5502,-59.5767999999,-92.381,-80.1057999999,-125.079533333,-80.6350666667,-94.4974000001,-80.3172999999,-80.635
211.79,-66.2686,-50.7462666667,-32.6366666667,-60.6964666667,-48.5572,-91.8407333333,-47.4626,-64.4443999999,-49.6018666667,-46.9652
212.17,-76.2962666667,-48.0424000001,-32.2750666666,-63.0687333333,-54.0739333333,-91.8518000001,-48.2538,-72.2751555555,-48.0422666667,-45.7142666667
