wavelength,Back_ParHumm,Belly_ParHumm,Breast_ParHumm,Crissum_ParHumm,Crown_ParHumm,DorTail_ParHumm,Patch10_ParHumm,Patch11_ParHumm,Patch12_ParHumm,Patch13_ParHumm,Rump_ParHumm,Throat_ParHumm,WingTip_ParHumm
184.49,38.0341666666,105.128166666,84.1881666667,149.572583334,120.0855,63.248,91.8805,86.7521666666,91.4531666665,110.2565,95.2989999998,126.923,144.017
184.87,36.6666666667,91.25,77.0833333333,146.666666667,113.75,56.6666666667,82.0833333331,83.3333333333,77.5,98.75,89.5833333333,109.583333333,135.416666667
185.25,43.3963333334,83.0186666667,76.4151666666,119.182416666,103.773666667,54.0881666666,74.8428333334,78.6161666667,69.1823333334,88.3648333333,82.7043333334,92.7671666668,115.094333334
185.63,43.6666666667,83.6666666667,81.3333333333,127.333333333,111.0,46.3333333333,75.9999999999,84.3333333333,67.6666666667,87.6666666665,87.3333333333,94.0,119.0
186.01,48.1483333333,84.074,82.5926666667,141.110916667,115.555333334,42.963,77.4075000002,88.1481666666,73.3333333333,88.1481666669,89.9998333335,97.4073333332,126.666833334
186.39,45.3333333333,67.6666666667,71.0,121.666666667,98.0,32.6666666667,63.6666666667,72.6666666667,62.3333333333,74.3333333333,76.0000000001,79.3333333331,105.666666667
186.77,41.503,57.5161666667,64.379,111.928,86.6011666667,22.8758333333,56.536,62.0915,58.4966666667,68.3005,70.5883333333,70.5883333333,93.4641666668
187.15,33.6308333333,45.833,54.1668333333,94.9405,67.857,16.0715,55.3571666667,51.4881666667,50.2975,54.7618333333,61.012,56.5475,80.6548333333
187.53,32.184,43.1033333334,55.1723333333,92.2413333333,63.5056666667,19.5403333333,56.0343333333,47.9885,50.862,48.5631666667,63.2183333333,51.1495,75.2875
187.91,22.0336666666,36.7231666667,47.7401666666,78.3895833334,52.8248333333,14.1243333334,49.7175,39.2658333334,39.8306666667,40.3953333333,58.757,46.0453333333,66.6668333333
188.29,15.2776666667,30.5556666667,37.4998333333,70.2778333334,46.111,9.99983333334,43.0555,30.0,33.611,30.8335,49.4445,38.3335,61.3886666666
188.67,5.12833333335,23.3975,31.0895,64.4228333333,39.1025,-3.84616666669,37.1793333334,21.1538333334,27.564,22.436,46.1536666666,29.8075,56.4101666666
189.05,14.1243333333,34.7456666667,40.113,63.98325,38.7005,4.23750000001,40.3955,25.9886666667,36.1583333334,29.6608333333,49.435,39.548,59.887
189.43,8.611,34.4446666667,33.8886666666,60.9721666666,32.5,2.22233333333,35.5558333333,20.2778333333,35.2778333334,24.7221666666,45.0,37.2221666666,58.6111666666
189.81,7.37716666668,33.8796666666,32.2403333334,58.6065833334,27.3221666667,4.64466666667,39.071,19.9455,37.7051666667,24.0436666667,43.716,37.978,59.2895
190.19,0.98033333333,27.2058333334,29.9018333333,49.2645,18.6275,2.206,37.255,21.5686666666,35.5391666667,17.157,35.7841666667,32.1078333333,53.1863333333
190.57,-8.46983333335,20.7648333333,24.0438333334,39.75425,6.83066666667,-4.3715,35.7921666667,15.3005,31.1473333333,10.3825,31.9671666667,30.601,51.3661666667
190.95,-15.5738333333,15.0273333333,18.8523333333,30.4645,0.819500000015,-5.19116666666,28.962,9.01633333331,21.3115,6.01099999998,20.765,31.9671666667,50.8196666667
191.33,-21.605,12.9628333333,15.1235,28.5495,-1.85166666666,-10.4936666667,24.6913333333,7.09883333335,20.0618333334,5.55550000001,18.21,38.2716666666,56.79
191.71,-19.5511666667,11.218,11.5385,24.9999166667,-7.05150000001,-16.0256666667,21.4743333333,3.84633333335,16.0256666667,2.56400000001,12.1795,37.5,57.0513333334
192.09,-8.82333333335,17.3201666666,24.5098333333,34.804,2.94116666667,-11.4378333333,29.0848333333,16.6665,29.7385,13.3986666666,21.5686666667,45.0983333333,59.8041666667
192.47,-11.1111666667,12.3016666667,26.1903333333,29.9603333334,-3.1745,-18.254,26.984,21.4285,29.3651666667,8.73016666668,21.8253333333,49.6031666667,65.8728333333
192.85,-10.2565,10.6838333333,20.9401666667,26.7094166667,-0.00016666667,-15.3848333333,29.0598333333,26.9231666667,32.4785,5.12816666666,17.9486666666,57.6925,60.2565
193.23,-26.9608333333,-5.88233333333,8.33333333335,5.63725,-13.2351666667,-27.9413333333,22.549,16.6666666667,26.4705,-12.255,3.9216666667,48.5296666667,51.4705
193.61,-38.4616666667,-20.5128333334,10.8975,-8.33341666667,-28.8463333334,-33.3333333333,29.4871666666,25.641,25.641,-19.2306666667,-1.923,59.6153333334,53.846
193.99,-63.0433333333,-36.232,4.348,-29.7101666666,-38.4058333334,-47.1015,18.8406666666,8.69583333333,16.6665,-34.0578333333,-21.0146666666,55.0723333333,43.4783333333
194.37,-54.1666666667,-42.5,-0.83333333335,-46.6666666667,-28.3333333333,-38.3333333333,18.3333333333,-6.66666666666,24.1666666667,-37.5,-20.0,64.1666666667,41.6666666667
194.75,-51.9606666666,-31.3726666666,11.7646666667,-16.6665833334,-13.7255,-44.1178333333,26.4706666667,11.7646666667,51.9606666666,-31.3726666666,-19.608,74.5098333334,72.5493333335
195.13,-22.807,-10.5263333333,25.4385,9.21041666665,-0.877166666665,-27.1928333333,39.4738333334,29.8246666666,78.9473333334,-18.4211666667,3.5088333333,57.0176666667,65.7895000001
195.51,-9.72216666667,4.86133333335,27.7778333333,17.0138333334,7.63883333333,-9.72199999998,40.9723333334,35.4166666667,68.75,-8.33333333335,16.6668333333,42.361,50.6945
195.89,-14.4926666667,2.89866666665,17.3915,10.1449166666,10.8696666667,-9.42016666665,36.9565,42.7535,78.2608333334,-13.0435,19.5651666667,26.8115,47.1013333333
196.27,-11.3333333333,8.66666666665,7.33333333335,-4.33333333334,1.33333333334,-8.0,26.0,30.0,66.0,-24.0,7.33333333334,22.0,45.3333333333
196.65,-5.37633333333,20.9678333334,14.5161666666,5.37666666666,1.61283333334,-10.7528333334,22.5805,24.1936666667,57.5268333333,-13.441,4.83866666668,18.8175,37.6345
197.03,4.68749999999,22.9166666667,16.1458333333,8.85416666665,-1.56250000001,-9.89583333332,25.0,24.4791666667,48.9583333333,-7.29166666666,9.37499999999,14.5833333333,47.3958333333
197.40,4.59766666665,20.115,14.3678333333,0.287583333335,-0.574666666665,-22.9885,27.5863333334,30.46,52.8735,-9.77,6.322,9.19533333332,52.8736666667
197.78,11.7285,25.3086666667,8.642,-7.40741666667,-0.6175,-32.7161666666,16.6665,24.6913333334,58.642,-12.9628333333,0.61716666665,4.93816666665,48.1481666667
198.16,29.8611666667,27.0833333333,4.1665,-20.1388333333,-9.02799999998,-44.4443333333,6.9443333333,26.389,63.8888333333,-20.8333333333,-6.25,-7.63900000001,36.8055
198.54,34.9206666667,27.7778333333,-2.3808333333,-24.2064166667,-22.2221666667,-61.9048333333,-4.762,19.0475,62.6983333333,-23.8095,-11.9048333333,-17.4601666667,32.5396666666
198.92,43.7501666667,23.6111666667,0.6945,-32.6388333334,-23.6113333334,-41.6666666667,-3.47233333335,15.9723333333,51.3888333334,-18.0556666667,-4.861,-9.02783333333,15.9723333333
199.30,41.1765,-4.902,-46.0785,-104.902083334,-71.5688333333,-88.2351666667,-28.4315,-0.98033333335,41.1765,-63.7256666665,-43.1371666667,-35.294,1.9608333333
199.68,94.4443333335,-27.7778333334,-85.1851666665,-224.07425,-161.111166666,-168.5185,-85.1851666669,-14.8146666667,81.4813333331,-153.703666667,-114.814833333,-92.5926666667,-1.85183333335
200.06,110.0,-130.0,-123.333333333,-491.666666667,-333.333333333,-290.0,-176.666666666,-83.333333333,99.9999999999,-273.333333334,-260.0,-150.0,-33.3333333333
200.44,18.0555,-100.0,-95.8331666665,-244.444583333,-188.888833334,-148.611166667,-111.111,-81.9443333333,0.0,-144.444166666,-143.0555,-106.944333333,-47.2223333334
200.82,7.4073333333,-187.036833333,-181.4815,-384.25925,-296.296333334,-203.703666666,-181.481333333,-161.111166667,-27.7778333333,-216.666666667,-205.555333334,-150.000166666,-100.0
201.19,40.4759999999,-207.143,-188.095,-497.61925,-388.095333333,-202.381,-219.047666667,-202.380833333,9.5238333335,-266.666666667,-235.714333334,-171.4285,-147.619166667
201.57,55.5553333335,-277.777833333,-238.888833334,-580.555833334,-527.777833333,-222.222,-272.222166667,-305.555666667,-11.1111666665,-352.777833333,-277.777833333,-191.6665,-202.777666667
201.95,-36.1110000001,-341.6665,-238.888833334,-606.944666667,-633.333,-250.000166667,-280.555666667,-327.778,-52.7778333334,-413.888833333,-274.999833334,-266.666666667,-252.7775
202.33,-108.333333333,-343.75,-241.666666667,-520.833333334,-562.5,-235.416666667,-277.083333333,-304.166666667,-93.7499999998,-370.833333333,-241.666666666,-272.916666667,-245.833333333
202.71,-750.0,-1558.33333333,-1075.0,-2416.66666666,-2650.0,-1133.33333334,-1266.66666667,-1408.33333333,-516.666666667,-1675.0,-1233.33333334,-1283.33333334,-1125.0
203.09,239.583333333,425.0,306.25,656.25,710.416666667,333.333333333,364.583333333,418.75,170.833333333,464.583333334,372.916666667,375.0,316.666666667
203.47,201.851833333,361.111,238.889166667,542.592666667,629.629666667,268.5185,329.629666666,388.889166666,159.259333333,390.740666667,303.703666667,338.888833333,316.666666666
203.85,300.0,594.444333334,394.4445,856.9445,961.111166666,458.333166667,508.333166667,649.999833333,311.111,636.111,497.222166667,516.666666667,544.444166666
204.22,188.888833333,405.555666667,299.999833333,575.925833334,672.222333334,344.4445,355.555666666,459.259333333,231.481333334,472.222333333,355.5555,350.0,385.185166666
204.60,63.0433333333,165.942,112.318833333,215.579833334,263.0435,143.478166667,139.854666667,180.434666666,86.9566666666,180.434833333,144.927666667,144.202833333,160.144833333
204.98,50.0,131.25,83.8541666665,167.447916667,195.833333333,109.375,108.854166667,135.9375,72.3958333331,136.979166666,112.5,122.916666667,130.208333333
205.36,61.7646666667,138.235333333,95.5881666669,169.852916666,199.509833334,121.078666667,119.1175,139.706,84.8038333331,142.647166667,119.117833333,131.862833333,137.745
205.74,59.4018333333,119.230833333,84.6154999998,153.419,173.931833334,102.136666667,112.820333333,121.3675,82.4785,122.222166666,106.837666666,120.513,125.213666667
206.12,54.5833333333,119.166666667,82.0833333331,152.5,170.416666667,107.083333333,116.25,122.916666667,85.8333333335,115.416666666,107.083333333,117.916666666,124.166666667
206.50,45.6351666667,100.0,65.0795,133.928666667,156.349166667,91.6666666667,102.381,113.888833333,77.7776666666,106.349333333,98.0158333335,103.1745,111.111166667
206.87,42.0636666667,100.396833333,61.1113333334,130.952416666,148.413,89.6825000002,105.555333333,112.3015,82.5396666668,101.984166667,91.2696666666,101.587166667,115.0795
207.25,35.7723333333,97.1543333333,54.878,130.284666667,145.122166666,82.9269999998,102.439,106.504,79.2681666667,99.187,80.4876666667,94.7153333334,115.853833334
207.63,35.3173333333,96.0318333332,54.762,132.53975,144.841333333,84.127,103.1745,101.984166666,78.1746666666,94.4444999998,77.3808333335,94.0474999999,113.492166667
208.01,40.244,100.0,55.691,140.0405,148.7805,77.6423333332,104.4715,98.3738333334,81.3006666668,92.683,76.0163333333,92.2763333334,120.731666666
208.39,32.5,97.5000000002,47.9166666667,141.666666667,144.166666666,69.5833333333,100.416666667,92.4999999998,72.9166666667,85.0,69.1666666667,92.5000000002,121.25
208.77,37.3983333333,89.4306666667,47.9675,141.869916666,134.146333333,54.4716666666,94.3088333334,88.6178333334,69.1055,82.9268333334,63.4148333334,84.1463333334,115.853666667
209.14,43.5896666667,95.2991666666,52.1366666667,143.8035,147.863166667,52.1366666667,102.564,92.3076666665,72.6496666667,87.1793333333,64.9571666666,92.7351666669,123.504333333
209.52,36.6666666667,92.4999999998,49.5833333333,139.791666667,144.583333333,41.6666666667,95.8333333335,87.9166666665,67.9166666667,83.75,58.75,88.75,118.333333333
209.90,25.4166666667,94.5833333333,52.0833333333,130.208333334,144.583333333,42.9166666667,92.5000000001,89.5833333333,71.25,89.5833333333,60.0,89.9999999998,125.416666667
210.28,33.721,101.938,63.5656666667,136.821583334,142.635833333,43.7983333333,97.6744999998,99.6123333335,79.4571666669,99.6123333333,70.5426666669,93.4106666665,132.1705
210.66,38.3721666667,113.178333334,72.4806666666,148.062166666,143.7985,49.6125,99.6123333331,103.876,82.9458333335,105.038666667,76.7443333335,96.124,138.371833333
211.03,34.4203333334,109.7825,71.3768333333,143.296916667,137.318833333,45.29,90.5794999999,102.173833333,78.9853333333,106.883833333,79.71,96.3768333332,134.420333333
211.41,46.0145,127.173833333,84.058,153.98575,147.826333333,56.8843333333,98.9131666665,114.1305,88.4058333335,115.942,91.3043333331,109.782666667,142.391333334
211.79,45.8333333333,138.75,91.6666666669,167.083333333,159.166666667,55.4166666667,101.25,121.25,95.4166666667,129.166666667,100.833333333,117.083333333,155.416666667
212.17,46.25,141.25,97.0833333331,168.958333333,157.916666667,63.3333333333,104.166666667,128.333333334,93.3333333333,126.666666667,103.333333333,124.583333334,153.75
212.55,57.0833333333,150.833333333,112.5,182.5,167.5,73.3333333333,113.75,140.416666667,107.083333333,137.916666667,115.0,137.083333333,160.416666667
212.92,59.9205,153.5715,112.301333333,183.13475,167.857166667,82.9365,113.492166666,138.095166667,111.507833333,136.9045,117.0635,138.889,155.9525
213.30,58.156,141.489333333,102.127666667,173.04975,149.645333333,84.0426666667,104.61,128.368833333,104.255333333,127.305166667,110.638166667,117.7305,145.7445
213.68,61.2318333333,146.738833333,96.0145,178.623083334,146.739,84.4201666667,101.811833333,128.260666666,101.449166667,130.0725,115.942166667,118.116,145.289833333
214.06,71.7055,153.876166667,103.488333333,200.969083334,158.139666666,87.2093333334,110.852666667,135.271333334,103.488333333,130.2325,120.930166667,124.030833333,153.875833333
214.44,61.594,136.594166667,88.0435,180.615916666,135.869666666,75.3623333333,98.5506666667,118.115833333,88.0433333332,115.2175,103.623166667,110.507166666,135.8695
214.81,52.1276666667,117.730333333,74.1135,165.070916667,121.276666667,64.539,87.5888333333,104.964666666,74.1133333335,104.255166667,92.9078333333,104.61,119.5035
215.19,39.7058333334,125.980333333,67.647,186.519583334,127.941,58.3333333334,81.3726666666,107.352833334,70.5884999999,110.7845,89.7058333334,107.353,129.411833333
215.57,21.1111666667,107.777833334,50.0001666667,184.444666666,119.4445,36.111,63.8886666666,93.8890000001,63.3329999998,100.555666667,77.7776666667,99.9998333332,125.555666667
215.95,12.4998333333,93.4523333333,32.7381666667,185.4165,120.238,32.143,61.9048333333,95.2381666665,55.3568333335,98.8096666665,75.0001666667,105.357,123.8095
216.32,14.5833333333,77.0833333333,18.2291666667,155.729166667,108.333333333,23.9583333333,57.2916666667,81.7708333333,50.5208333333,93.2291666667,68.75,95.3124999998,109.895833333
216.70,15.196,69.6076666667,9.804,132.598166666,99.9999999999,21.5685,59.3136666667,69.1176666666,52.451,78.4313333333,62.745,81.3726666666,98.5293333331
217.08,0.000166666650001,58.046,-6.8965,126.436583333,102.298666666,1.1495,53.4483333333,59.1955,45.977,69.5401666667,51.1495,81.6093333332,102.299
217.46,-33.3331666667,50.9801666666,-43.1371666667,174.509916666,132.353166667,-41.1766666667,45.0981666667,72.549,46.0783333331,85.2939999999,58.8233333335,120.588333333,113.7255
217.83,-35.4166666667,53.125,-36.4583333333,168.75,129.166666666,-34.375,59.375,87.5,61.4583333333,80.2083333333,57.2916666667,141.666666667,117.708333333
218.21,-3.92166666665,83.3333333333,-18.6275,166.1765,127.451,0.98033333335,65.6863333334,93.1371666667,80.3921666668,105.882333333,73.5291666669,160.7845,125.490166667
218.59,-31.6666666668,111.666666667,-43.3333333333,235.0,180.0,-25.0000000001,78.3333333333,133.333333334,113.333333333,161.666666667,126.666666667,248.333333334,185.0
218.97,-16.6665000002,146.969666667,-4.5451666667,226.515,193.939333333,-1.515,107.575666666,151.515,130.302833333,154.545333333,131.818166667,245.4545,210.606166667
219.34,53.3335,158.888833333,45.5553333334,220.000083333,205.5555,46.6668333333,144.4445,161.111166667,137.777833333,158.888833334,148.888833334,222.222333333,206.666666667
219.72,80.5556666665,164.814833334,50.9258333333,212.963083333,192.5925,75.0001666668,161.111166667,164.814833333,131.4815,147.222166667,158.3335,208.333333334,202.777833333
220.10,69.7531666667,140.1235,57.4076666667,168.21025,139.506333333,67.2838333331,124.691333334,133.333166667,109.876666667,114.814833333,122.222166667,155.555833333,153.086333333
220.47,86.1109999999,160.416666667,78.4723333334,197.916583334,154.1665,80.5555000001,134.027666667,153.472333333,136.111,133.3335,143.0555,176.388833334,171.527666667
220.85,91.6666666667,158.974333333,78.2051666667,192.94875,162.1795,87.8203333333,133.333333333,164.1025,141.0255,148.077166667,148.718,183.333333334,176.923
221.23,95.9999999999,158.0,92.0,207.0,163.333333333,95.3333333333,135.333333334,184.666666667,144.0,170.0,163.333333333,195.333333333,182.0
221.61,89.5833333333,140.625,80.7291666667,172.395833333,145.833333333,90.6249999999,121.875,154.166666667,122.916666667,151.041666666,136.979166667,163.020833333,164.583333333
221.98,102.778,150.0,88.3331666667,179.722083333,166.111,103.333333333,129.444666666,173.889,132.222166666,163.888833333,152.222166667,167.222166667,178.333333333
222.36,111.111166667,153.472333333,84.7223333333,193.0555,185.416666667,94.4443333334,146.527833333,206.250166667,145.833333334,179.861,174.999833333,182.638833333,186.805666666
222.74,115.972166667,161.111166667,87.5001666667,201.041583334,193.055666667,105.5555,140.277666667,205.5555,156.25,171.528,168.055666667,179.166666667,184.027666667
223.11,116.666666667,163.768166667,94.9274999998,203.623,194.927666667,111.594333334,143.478,215.942,172.463666666,169.565166666,174.637833333,178.260833333,190.579833333
223.49,109.8485,159.090833334,92.4243333335,192.045666666,186.363666667,111.3635,140.1515,219.697,175.0,160.606,169.696833334,184.8485,186.3635
223.87,93.5898333335,144.230833333,96.7946666666,153.846083333,162.8205,98.0769999998,124.359,192.307333334,158.3335,148.076833334,146.795,163.461333333,163.461666666
224.24,98.5508333335,155.797333333,96.377,154.347833334,178.260833333,107.246333334,130.434833333,213.768,167.391333334,156.521833334,153.623333333,178.985333334,175.362333334
224.62,78.0,144.666666667,84.6666666667,128.333333333,163.333333333,102.666666667,124.0,197.333333333,146.0,137.333333333,136.666666667,160.666666667,160.666666667
225.00,74.074,176.851833333,101.852,143.518666666,167.592666667,111.111,133.333333333,243.518333333,159.259333334,137.963,158.333333333,185.185166667,203.703666667
225.38,106.944333333,290.277833333,136.111166666,195.83325,251.388833334,158.333166667,190.277833334,334.722333333,229.1665,163.888833333,218.055666667,258.333333333,304.166666667
225.75,-450.0,-2683.33333333,-983.333333331,-1408.33333333,-2033.33333333,-1083.33333333,-1466.66666667,-3083.33333334,-2166.66666667,-933.333333333,-1716.66666666,-2383.33333333,-2600.0
226.13,-36.1111666667,-413.888833333,-136.111166666,-194.444166666,-286.111,-155.555666667,-247.222166667,-430.5555,-347.222166667,-125.0,-208.333333333,-369.4445,-408.333333333
226.51,-4.76183333335,-366.666666667,-126.190333334,-159.524,-242.857166667,-140.476166666,-180.952333334,-345.238166666,-283.333333334,-114.285666667,-142.857,-309.523833333,-392.857166667
226.88,31.4811666666,-102.777833333,-25.926,-12.5,-62.9630000001,-11.1111666666,-49.0741666665,-117.5925,-65.7408333333,-14.8146666667,-34.2593333333,-103.703833333,-118.518666667
227.26,20.5128333333,-69.2308333332,-10.2565,3.52566666665,-35.8973333333,-0.6408333333,-28.2051666667,-63.4615,-41.6666666667,-5.12816666665,-15.3848333333,-72.4358333332,-73.7181666665
227.64,7.77766666667,-67.7776666667,-13.3335,-3.61108333335,-39.9998333333,-6.6668333333,-36.1111666667,-68.3333333333,-41.1113333334,-10.5555,-22.7776666666,-73.8888333333,-70.5555
228.01,23.9583333333,-23.9585,5.5555,9.89566666666,-7.639,9.02799999998,-5.90283333335,-29.1666666667,-9.02766666669,9.375,2.77783333333,-29.1666666667,-23.9585
228.39,15.1785,-25.0,-2.08333333335,7.58933333334,-8.3335,3.27383333334,-11.3093333333,-25.2975,-11.6073333333,-0.595333333335,-1.48816666667,-25.5951666667,-25.0
228.76,15.4411666667,-9.55900000002,2.94133333335,13.9706666667,0.0001666667,13.2353333334,-3.92166666665,-15.4413333333,-3.43133333333,3.92166666666,5.63733333334,-12.9901666666,-11.7648333334
229.14,18.0178333334,-1.5766666667,3.60366666665,17.34225,0.2251666667,18.018,-0.4505,-10.1351666667,0.675666666665,4.955,9.68466666669,-8.10816666666,-2.027
229.52,19.6968333333,2.16466666669,7.57566666665,22.29425,2.1646666667,22.7273333333,-2.38083333333,-8.00866666665,3.24683333333,7.79216666665,9.74033333332,-4.9785,3.247
229.89,13.9638333333,-4.27916666667,-2.0271666667,21.39625,-3.3785,17.5676666667,-11.4863333334,-15.991,-2.25216666667,-0.22516666667,0.22516666667,-13.7386666667,-5.85566666666
230.27,13.158,-1.75433333334,0.0,22.9168333333,-0.21916666665,19.2981666667,-8.11416666668,-13.158,1.75433333333,1.97366666667,-1.09633333333,-14.4736666667,-3.94733333334
230.65,13.291,-2.10966666666,0.84366666665,20.3586666667,0.0,14.7678333333,-8.43883333335,-11.6033333333,1.47683333333,3.16433333333,-2.95366666667,-11.8143333333,-0.633
231.02,10.7723333333,-2.43916666666,2.236,18.699,-1.62583333335,12.195,-8.73983333333,-9.34966666668,0.81316666667,1.42283333334,-3.04866666666,-10.1626666667,0.609833333333
231.40,15.6625,0.60233333333,6.22466666665,19.6786666667,-0.80316666665,16.6668333334,-3.21283333334,-9.23699999999,8.233,4.21666666668,-0.00016666667,-3.213,7.83133333333
231.78,17.0328333333,2.56416666668,8.79116666669,19.5055,3.47983333335,18.315,3.11366666666,-2.74733333333,11.7218333333,7.87549999998,2.56416666666,2.5641666667,12.8203333333
232.15,3.01216666666,-5.42166666666,3.4136666667,11.94775,-5.4216666667,13.4535,-4.61833333334,-10.2408333333,3.6145,-1.40566666667,-4.819,-6.02399999999,6.82716666668
232.53,2.32066666666,-2.10966666665,6.96183333335,15.61175,-6.11816666665,17.9323333333,-2.74266666667,-5.06333333334,4.43033333333,0.633,-4.4305,-2.9535,14.1348333333
232.90,8.62733333334,3.33316666668,13.5295,21.7648333334,0.19633333335,20.9805,4.11766666667,5.29433333334,10.7843333334,8.82349999998,1.5685,1.76466666665,21.3725
233.28,6.36700000001,3.37083333333,12.5468333334,18.7266666667,-0.749,18.914,1.8725,4.68166666666,9.36333333331,5.80516666667,1.31066666667,-2.05983333333,19.101
233.66,4.4325,3.19133333331,11.1701666667,13.6523333334,-0.532,13.4751666667,3.01433333334,3.19166666666,6.73750000002,1.06383333333,2.48233333334,-5.14183333331,16.4893333334
234.03,4.16666666665,6.15933333331,13.768,10.3260833333,-2.8985,13.7683333333,4.1665,2.17416666667,7.24633333335,0.18133333333,4.89133333333,-2.89866666665,19.0218333333
234.41,1.11116666666,2.963,10.0,5.00016666666,-9.07400000001,11.1111666667,-0.370333333335,-2.59266666667,2.963,-5.18533333334,0.37033333333,-6.48149999999,17.037
234.78,3.2255,5.91383333335,16.3081666667,8.60191666666,-7.16850000001,16.129,1.97116666667,1.97116666666,7.70616666665,-3.04666666666,3.94266666666,-3.40483333333,20.6093333333
235.16,-0.916,4.21249999999,15.0183333333,6.95975,-7.50916666667,13.9193333333,0.3665,0.183166666665,4.02916666665,-5.86083333334,1.46533333333,-5.4945,17.2161666667
235.54,-3.54633333333,3.90066666666,13.2978333333,5.58491666666,-6.56033333333,11.8795,-2.837,-1.77283333333,1.77316666667,-6.91466666667,1.773,-8.86533333333,14.8935
235.91,-6.86266666666,0.196,8.03916666665,3.43116666666,-14.3136666667,11.9608333333,-9.80399999999,-2.94116666667,-3.92149999999,-14.1176666666,-0.5885,-16.0785,12.353
236.29,4.30116666666,5.37633333333,14.1578333333,12.2759166667,-5.55533333335,18.8173333333,-1.79216666667,6.63083333334,5.73466666665,-6.63099999998,6.27233333335,-9.85649999999,19.355
236.66,8.176,8.01866666665,16.195,14.6225,-0.4715,21.2263333333,0.943333333335,7.38983333333,11.3206666667,0.629,9.90566666669,-8.33333333334,18.7105
237.04,8.09083333334,8.25233333332,16.0193333334,15.9385,-1.29466666666,22.9775,-0.323666666665,5.66333333334,14.8866666667,0.0,10.5178333333,-9.8705,17.7993333333
237.41,7.16666666667,6.0,17.3333333333,16.5833333333,-3.83333333334,20.5,0.5,6.33333333333,16.0,-0.500000000015,9.66666666667,-9.66666666667,18.5
237.79,6.25016666666,5.90283333335,16.3195,17.62175,-4.68733333334,21.5276666667,-2.08333333335,5.38183333333,16.4931666667,-2.08333333332,8.33333333333,-9.54849999999,18.5763333333
238.17,4.861,1.04183333334,14.5833333333,18.4026666667,-4.6875,17.7083333333,-3.29850000002,5.90266666667,14.41,-0.3471666667,4.86116666667,-12.5,16.4931666667
238.54,9.35383333334,3.23149999999,18.5373333333,22.10875,1.1905,20.4083333334,1.1905,7.14266666666,18.1973333333,4.0815,9.69400000002,-9.01366666666,18.5371666667
238.92,7.14283333334,0.6805,13.9455,21.1735,0.68016666665,18.5371666667,-0.000166666665,2.721,17.3471666667,3.74149999998,6.97266666667,-12.7548333333,15.1361666667
