wavelength,Back_IriReim,Belly_IriReim,Breast_IriReim,Crissum_IriReim,Crown_IriReim,DorTail_IriReim,Patch10_IriReim,Patch11_IriReim,Patch12_IriReim,Rump_IriReim,Throat_IriReim,WingTip_IriReim
190.57,-29.971,-7.42026666667,-33.6812666667,-40.1739333333,-32.0578666667,-27.71,-49.9708666667,-7.0724,-41.913,-40.9276666667,-32.8694666667,-52.5797999999
190.95,-59.5605333333,-27.1062666667,-58.9012,-73.8460666666,-66.0073333333,-56.5567333334,-81.4653333333,-33.5530666667,-73.5529333334,-70.1098000001,-61.5384666666,-87.2527333333
191.33,-36.9333333333,-10.2,-37.5333333334,-52.5333333333,-46.1333333333,-37.6666666667,-57.9333333333,-14.6,-50.8,-47.1333333333,-38.4,-67.4666666667
191.71,-19.3276666667,0.784266666666,-21.1764,-31.9888,-27.6751333334,-23.9776666667,-38.4313333333,-2.96913333334,-32.325,-28.0111333333,-25.7142666667,-48.9635333333
192.09,-18.421,8.4212,-16.1988666667,-29.1812666667,-24.7953333333,-23.3917333333,-35.1461333333,-2.10533333334,-33.8596,-24.6198,-24.7368,-50.3509333334
192.47,-20.5171333333,9.82760000002,-16.839,-28.4482,-25.6897333333,-22.5287333333,-36.2643333333,-2.58606666666,-32.9885333334,-22.8161333333,-26.207,-50.7470666667
192.85,-38.6,-6.2,-34.4666666667,-49.6,-43.4666666667,-42.6,-59.6666666667,-18.7333333333,-51.8,-38.6,-43.9333333333,-73.7999999999
193.23,-85.4461333334,-45.0704,-81.7840666666,-99.3426666668,-87.9811999999,-96.3380666667,-117.277066667,-60.1878,-105.2582,-85.6337999999,-92.8639333333,-135.8686
193.61,-100.317466667,-51.8518666667,-98.3070000001,-111.428466667,-100.9524,-113.862333333,-130.687866667,-71.3227333334,-121.799,-100.529133333,-107.301533333,-153.333333333
193.99,-135.272666667,-81.0909333333,-131.8788,-144.606066667,-132.606066667,-151.272866667,-166.060533333,-102.424133333,-155.2726,-126.909066667,-142.545466667,-191.636466667
194.37,-160.915,-104.705733333,-151.2418,-170.3268,-153.986866667,-177.647,-191.241933333,-126.274533333,-172.679733333,-142.091466667,-166.535933333,-215.032733333
194.75,-206.842266667,-143.157866666,-210.0,-237.7192,-211.578933333,-241.227933333,-259.649,-167.543733333,-239.999933333,-192.456133333,-228.2456,-296.140333333
195.13,-98.7654666667,-62.963,-112.469266667,-126.296333333,-99.9998666666,-130.370266667,-142.839533333,-72.0988666668,-130.493733333,-93.7036666666,-118.024666667,-168.271666667
195.51,-116.949,-84.7457333333,-128.9266,-137.5142,-113.559333333,-138.079066667,-152.3164,-87.1185999999,-141.920866667,-109.6046,-137.175,-174.1242
195.89,-122.903333333,-90.9677333333,-135.806533333,-136.236533333,-116.021466667,-135.699,-155.161333333,-91.6128000001,-139.247266667,-108.602333333,-135.913866667,-176.236666667
196.27,-122.1164,-100.529133333,-143.068733333,-135.9788,-117.566133333,-142.1164,-157.989266667,-86.8783999999,-130.793666667,-108.994666667,-133.8624,-175.555533333
196.65,-146.5454,-130.1818,-175.515133333,-163.272666667,-147.394,-175.8788,-187.1514,-111.272733333,-157.4546,-135.878866667,-153.818266667,-210.060466667
197.03,-149.333266667,-132.969666667,-177.939466667,-157.9394,-146.181733333,-175.757533334,-182.5454,-115.636266667,-163.393933333,-133.575733333,-153.939266667,-209.697
197.40,-187.2868,-165.8914,-222.790666667,-191.472733333,-186.511533333,-214.5736,-223.410933333,-142.015466667,-203.410866667,-162.6358,-186.046533333,-261.0852
197.78,-270.752666667,-263.225933333,-330.9678,-281.0752,-285.161266666,-311.1828,-335.483866667,-212.688066667,-311.182666666,-237.204333333,-271.182733333,-380.215066667
198.16,-254.022866667,-236.7816,-322.988666667,-264.137933333,-267.126333333,-288.045866667,-328.735666667,-188.2758,-280.919466667,-229.195333333,-247.816133333,-356.5518
198.54,-265.925933333,-252.839466667,-351.358,-264.444533333,-287.1604,-296.543066667,-344.197466667,-197.777866667,-300.2468,-246.913733333,-260.740733333,-377.037066667
198.92,-329.722266667,-302.777733333,-420.5556,-318.611133333,-347.499933333,-353.0556,-398.055466667,-237.777733333,-353.889,-295.0,-308.888933333,-447.2222
199.30,-337.866666667,-311.466666667,-419.733333333,-320.0,-348.0,-355.466666667,-392.533333333,-238.4,-358.4,-300.266666667,-310.133333333,-433.066666667
199.68,-336.0606,-308.1818,-428.485,-306.363733333,-347.272866667,-360.909133333,-400.303066667,-224.848333333,-364.8484,-273.0302,-293.0302,-430.9092
200.06,-200.833333333,-192.5,-268.541666667,-191.875,-219.583333333,-230.833333333,-254.166666667,-122.708333333,-229.375,-166.458333333,-170.0,-259.791666667
200.44,-245.384533333,-240.7692,-320.256266667,-231.538466667,-280.7692,-286.666733333,-317.692266667,-148.461666667,-292.0512,-205.641066667,-218.461666667,-313.589666667
200.82,-225.8974,-218.461533333,-299.230733333,-202.564,-253.589733333,-278.4616,-301.282,-125.897333333,-282.3078,-185.897266667,-202.307666667,-293.589733333
201.19,-220.740666667,-218.024533333,-308.1482,-208.395,-259.259266667,-275.308666667,-294.567866667,-124.691466667,-277.530866667,-201.481533333,-202.963,-304.444466667
201.57,-137.6068,-135.897266667,-200.341933333,-134.701,-155.384733333,-171.794933333,-195.0428,-75.8975333333,-175.213666667,-121.025733333,-120.683733333,-192.8204
201.95,-84.2766000001,-77.4842666667,-123.270333333,-83.1447333333,-84.6540000001,-110.188666667,-117.3584,-34.2139333333,-105.4088,-69.5596666668,-67.17,-117.9874
202.33,-103.703733333,-103.703733333,-146.666733333,-99.2592666667,-102.5184,-136.592666667,-136.888933333,-41.3332666667,-130.222266667,-73.6296000001,-77.6296666667,-143.851933333
202.71,-85.6410000001,-88.8461999999,-117.948733333,-86.9231333333,-85.2562666665,-115.000133333,-107.564133334,-28.205,-110.384666667,-57.8204666666,-61.1538666667,-116.410133333
203.09,-58.2795333333,-68.3870666666,-80.3225333334,-57.3117333334,-50.215,-82.6881333334,-72.3656,-10.5376666667,-75.0537333334,-36.4516,-40.0,-80.1075333333
203.47,-60.4168,-72.8127333334,-78.0210666667,-61.4583999999,-51.0418666667,-84.4793333334,-74.6876666667,-18.4377333333,-76.4584666667,-32.5002666667,-44.3752,-82.0832666667
203.85,-97.6470666668,-112.1568,-123.137333333,-94.9019333332,-81.1764666666,-127.0588,-112.418333333,-49.5425333333,-110.326733333,-63.268,-77.6470666668,-126.405333333
204.22,-308.787866667,-339.696933333,-365.4546,-275.1516,-251.515,-359.697,-318.4848,-205.151533333,-323.9394,-220.606,-273.939466667,-362.1212
204.60,-309.166666667,-338.055533333,-370.277866667,-294.722266667,-235.833266667,-341.111066667,-300.8334,-226.389,-323.333266667,-228.611066667,-278.888866667,-350.833333333
204.98,-417.543933333,-439.649066667,-478.2456,-395.4388,-298.596466667,-430.877266667,-382.1052,-305.614,-416.491266667,-301.754333334,-366.666666667,-422.105333333
205.36,-432.962933333,-439.6296,-457.4074,-402.592533333,-260.740733333,-410.3704,-362.222133333,-317.407266667,-385.1852,-271.4814,-348.148066667,-370.0
205.74,-430.8772,-456.491133333,-450.877133333,-403.157733333,-270.877333333,-422.807,-342.1052,-329.4738,-362.806933334,-276.842133333,-347.3684,-366.666733333
206.12,-314.320866667,-353.3334,-339.259333333,-303.209866667,-219.0124,-312.0988,-264.6914,-262.962866667,-273.333266667,-217.037,-275.802466667,-278.024666667
206.50,-188.444466667,-208.8888,-203.1112,-188.0,-128.889,-191.852,-163.703666667,-165.925933333,-159.5556,-131.2592,-170.2222,-162.370466667
206.87,-245.2632,-267.894666667,-266.315866667,-238.245533333,-169.649,-249.8246,-224.210466667,-218.771933333,-203.3334,-175.789533333,-211.754466667,-215.263266667
207.25,-305.490266667,-325.8822,-323.529333333,-285.490266667,-223.921666667,-300.392,-285.686266667,-276.274466667,-257.843066667,-222.352866667,-255.882333333,-249.019533333
207.63,-310.7844,-327.255,-315.490066667,-271.372466667,-223.725533333,-296.2746,-284.705933333,-270.196133333,-253.333333333,-227.0588,-249.999933333,-234.902066667
208.01,-316.565733333,-320.404133333,-308.0808,-272.5252,-225.858466667,-288.0808,-283.636466667,-257.7778,-263.636333333,-229.292933333,-245.858733333,-219.192
208.39,-219.069666666,-209.7674,-206.0466,-185.426333333,-152.403066667,-194.883733333,-190.6978,-169.147266667,-178.759733333,-153.488533333,-154.5736,-142.015466666
208.77,-176.533333333,-162.533333333,-164.933333333,-148.133333333,-121.733333333,-157.2,-150.533333333,-129.333333333,-135.6,-121.866666667,-119.733333333,-105.2
209.14,-233.3332,-228.617933333,-230.731666667,-209.268333333,-178.536666667,-222.439,-211.869933333,-185.8538,-181.7886,-174.7966,-164.2276,-153.008133333
209.52,-230.232666667,-225.581466667,-231.007733333,-201.705466667,-183.100666667,-229.767533333,-215.193866667,-181.2404,-190.542733333,-177.2092,-167.441733333,-167.286733333
209.90,-265.5,-259.333333333,-270.833333333,-235.0,-217.166666667,-262.666666667,-255.0,-212.833333333,-236.5,-214.5,-212.333333333,-197.5
210.28,-376.2222,-346.000133333,-377.333266667,-323.111133333,-297.111066667,-356.444333333,-347.999933333,-291.777933333,-319.777666667,-290.444466667,-284.8888,-269.111133333
210.66,-402.380866667,-374.523933333,-394.2858,-339.285666667,-319.761933333,-377.142733333,-355.714266666,-301.904866667,-334.2858,-315.9524,-299.285733333,-280.9524
211.03,-864.102533333,-805.640933334,-834.358866666,-725.640933333,-681.538466667,-793.846133333,-724.102466667,-651.794800001,-715.8974,-684.102600001,-685.641066666,-595.384666666
211.41,3657.77786667,3326.6668,3577.77773333,3066.66666667,2897.77773333,3397.77773333,3033.33326667,2788.88906667,3022.22226667,2797.7778,3008.88893333,2553.3334
211.79,3346.66673333,2951.11106667,3411.1112,2788.889,2597.7778,3140.0,2742.22213333,2562.22226666,2597.7778,2506.66653333,2826.66666667,2293.3334
212.17,-1089.16666667,-1024.16666667,-1164.16666667,-939.166666665,-807.500000001,-1067.5,-943.333333334,-855.833333332,-757.499999999,-801.666666667,-960.0,-765.833333334
212.55,-1291.42866667,-1276.19046667,-1380.9524,-1142.85713333,-936.190466666,-1322.8572,-1138.0952,-1030.4762,-885.714333333,-945.714399999,-1173.33333333,-978.095333334
212.92,-9273.33333333,-9080.0,-9486.66666667,-7593.33333334,-6300.00000001,-9459.99999999,-8360.00000001,-7259.99999999,-6259.99999999,-6540.0,-8033.33333333,-7053.33333333
213.30,-8859.99999999,-8619.99999999,-8773.33333332,-6993.33333333,-5366.66666667,-8433.33333333,-7680.00000001,-6666.66666667,-5820.0,-5893.33333333,-7486.66666666,-6633.33333333
213.68,1095.0,1064.16666667,1099.16666667,885.000000001,677.500000001,1065.0,949.999999999,805.833333333,714.166666667,753.333333333,896.666666667,760.833333333
214.06,1115.2382,1020.95226666,1061.90466667,845.714266667,631.428466667,1042.85713333,939.047533334,742.857066666,590.476000001,727.619066667,777.142666667,718.095266667
214.44,653.939466667,622.424266667,630.303066667,509.091,358.787866667,672.727333333,582.424266667,459.393933333,358.181866667,466.0606,492.121266667,462.424133333
214.81,583.333266666,547.777666667,595.555466667,466.111266667,314.444533333,629.444466667,541.111133333,433.888933333,359.444533333,440.5556,451.111133334,414.4444
215.19,-566.000000001,-466.666666666,-571.333333334,-418.666666667,-195.333333333,-607.333333333,-506.0,-354.0,-272.666666667,-336.666666666,-348.666666667,-306.666666667
215.57,-228.9854,-189.565333333,-224.057866667,-166.087066666,-40.2898,-223.478266667,-194.202866667,-133.623133333,-91.3043333334,-131.884133333,-117.681133333,-101.739066667
215.95,-254.5454,-229.090733333,-250.0,-191.212066667,-56.0605999999,-242.1212,-215.7576,-153.939466667,-124.545466667,-169.697,-151.515066667,-124.242333333
216.32,-372.6316,-328.771933333,-370.175533333,-307.7194,-163.508733333,-360.701733333,-310.1754,-281.052733333,-238.245666667,-289.473733333,-245.965,-217.192933333
216.70,-3783.33333334,-3460.0,-3880.0,-3280.0,-1843.33333333,-3560.0,-3313.33333333,-2956.66666667,-2696.66666667,-3136.66666667,-2573.33333333,-2226.66666667
217.08,1040.0,1003.33333333,1105.0,920.000000001,542.500000001,970.000000001,904.166666666,842.5,803.333333334,908.333333332,706.666666666,595.000000001
217.46,-1274.44453333,-1231.11113333,-1411.11106667,-1094.44433333,-672.222266666,-1207.77773333,-1120.00013333,-1064.44453333,-939.999933333,-1147.77766667,-888.889066667,-703.333266667
217.83,-437.083333333,-427.5,-490.833333333,-361.25,-214.166666667,-391.666666667,-378.333333333,-376.666666667,-309.583333333,-393.75,-301.25,-232.5
218.21,-607.7778,-607.222333334,-696.666733333,-512.222266667,-302.7776,-575.000000001,-545.5556,-563.3334,-480.000066667,-539.444466667,-462.7778,-340.555533333
218.59,-285.5556,-285.0,-323.055533333,-240.8334,-140.277666667,-253.888866667,-242.2224,-255.833266666,-216.6666,-240.277733333,-197.2222,-145.555533333
218.97,-263.466666667,-261.066666667,-303.2,-219.733333333,-128.533333333,-217.6,-222.4,-229.6,-188.533333333,-202.133333333,-175.733333333,-137.066666667
219.34,-233.0952,-241.190466667,-280.238266667,-200.714266667,-132.857133333,-201.4286,-220.4762,-214.523666667,-168.571333333,-191.4286,-177.857133333,-132.857
219.72,-251.358066667,-257.7778,-309.1358,-222.963,-161.2346,-229.8766,-240.987733333,-229.382733333,-180.987666667,-209.629533333,-203.950666667,-163.7036
220.10,-194.6668,-194.476066667,-236.762,-176.0,-117.714466667,-180.190533333,-188.190466667,-168.952466667,-136.381,-162.095333333,-143.238,-124.190533333
220.47,-165.166666667,-170.5,-201.0,-141.5,-91.6666666666,-153.5,-162.5,-128.666666667,-112.833333333,-127.666666667,-122.666666667,-102.166666667
220.85,-125.066666667,-129.866666667,-157.066666667,-112.666666667,-70.5333333334,-124.666666667,-131.466666667,-108.266666667,-89.3333333333,-99.2,-101.333333333,-77.8666666667
221.23,-111.5724,-116.352066667,-141.509466667,-114.465333333,-70.0628666667,-117.106866667,-122.641466667,-102.138333333,-78.239,-89.6856,-102.389933333,-82.8929333333
221.61,-130.158666667,-135.555733333,-166.8254,-139.365,-87.7778000001,-143.650733333,-151.269733334,-109.365133333,-99.3652,-101.111066667,-130.158533334,-101.9048
221.98,-124.957266667,-137.606933333,-164.6154,-143.931533333,-89.5726666666,-150.085466667,-159.316266666,-111.111066667,-105.299066667,-99.8290000001,-147.863133333,-110.085333333
222.36,-77.2790000001,-91.0204666668,-111.292466667,-96.7345999999,-50.068,-96.5986000001,-103.401333333,-70.4761333333,-61.3605333333,-64.8980000001,-101.9048,-64.3537333334
222.74,-154.193533333,-170.3226,-207.096666667,-174.623733333,-107.956933333,-187.096866667,-190.322533333,-138.494533333,-123.655933333,-140.0,-192.473066667,-119.57
223.11,-226.060533333,-251.818133333,-288.4848,-243.333333333,-157.272666667,-283.636333333,-279.697,-207.575666666,-184.545466667,-216.363666667,-275.151466667,-177.272733333
223.49,-176.266666667,-210.133333333,-227.733333333,-189.333333333,-129.333333333,-233.333333333,-215.466666667,-174.4,-160.266666667,-179.2,-213.6,-142.133333333
223.87,-155.333333333,-182.666733333,-201.777866667,-177.777666667,-132.222266667,-216.0,-193.999933334,-165.333333333,-151.333333333,-170.666666667,-193.999933334,-135.111133333
224.24,-131.458333333,-171.041666667,-186.666666667,-169.166666667,-124.166666667,-203.958333333,-180.625,-164.375,-144.375,-149.583333333,-185.833333333,-130.833333333
224.62,-51.0203999999,-76.7347333333,-86.6667333333,-79.8639333333,-45.1699333333,-99.9999333333,-90.6123333335,-73.6054666667,-65.4420666665,-64.2176000001,-89.9319333332,-57.1428666668
225.00,-44.3589333334,-68.4614000001,-78.9743999999,-73.0768666667,-39.6154,-87.3076666668,-76.4102666667,-59.7436,-56.0255999999,-58.5897333334,-79.1027333335,-55.6409333334
225.38,-21.7392,-37.3913333333,-45.1208000001,-37.4878666667,-18.2607333333,-53.4299333333,-45.7004666667,-30.4348666666,-31.884,-28.4058666667,-48.0193333334,-27.5362
225.75,-16.7872,-30.8434,-34.2168666667,-28.5141333333,-12.6908,-39.1164,-37.4298,-26.4256666667,-24.4979333333,-19.3575333334,-37.51,-19.1166666667
226.13,-18.8148666667,-31.2592666667,-33.6294666667,-27.7777333333,-10.3704,-34.7407333333,-34.8147333333,-23.8517333333,-22.7408666667,-17.6296666667,-32.6668,-17.3333333333
226.51,-12.9595333333,-26.8535333333,-27.975,-20.1244666667,-9.59499999999,-25.7320666667,-29.3457333333,-17.5078,-15.7008666667,-12.3364666667,-22.3053333333,-11.8379333333
226.88,-4.99986666669,-16.4214,-16.4706,-10.6863333333,-2.00973333331,-12.3039333333,-21.4705333333,-11.6177333333,-10.0489333333,-4.01953333333,-12.9902,-5.98040000003
227.26,-1.84966666666,-9.71086666667,-11.5992,-7.93826666668,1.1948,-6.9364,-15.2216,-7.05213333332,-7.66873333333,-1.11760000001,-11.4064666667,-3.815
227.64,-7.60419999999,-15.7986,-16.3888,-15.0,-3.68059999999,-11.5623333333,-19.4442666667,-11.1110666667,-12.361,-7.67366666667,-18.3334,-9.89579999999
228.01,-4.6364,-14.4242,-13.5757333333,-11.7878,-2.30293333335,-7.78800000001,-15.3030666667,-6.87873333332,-11.0910666667,-5.42426666666,-16.4847333333,-7.84853333333
228.39,-1.80386666666,-10.1962,-9.22873333334,-7.68640000001,-0.130800000008,-2.3268,-10.6666666667,-2.19593333333,-8.62753333333,-2.24833333333,-13.4116666667,-5.09793333332
228.76,-4.31373333333,-12.6470666667,-11.9118666667,-11.0293333333,-3.21086666667,-3.77446666667,-12.0832666667,-4.73033333335,-11.4951333333,-5.0736,-15.7353333333,-6.61766666668
229.14,0.906066666676,-7.18439999999,-6.83926666666,-6.29986666667,0.99246666666,1.2298,-8.45733333333,0.345266666673,-5.58800000001,-0.668866666666,-10.7011333333,-0.90613333334
229.52,2.57033333333,-4.87953333333,-5.34146666665,-4.23693333334,2.87146666666,3.87546666668,-5.84333333333,1.88760000001,-3.85546666666,0.0803333333334,-7.34933333334,0.983933333342
229.89,1.31439999999,-5.52366666666,-6.11433333333,-6.09526666667,1.63793333334,2.64760000001,-6.09520000001,1.3714,-4.83813333334,-2.0,-8.01906666667,-0.03806666666
230.27,-0.109666666674,-7.01373333333,-7.45206666667,-8.01833333332,-0.127800000007,1.22360000001,-7.50680000001,0.693933333335,-6.33793333334,-3.5982,-10.1369333333,-1.5708
230.65,-1.23906666667,-6.8936,-7.34726666667,-9.58106666667,-1.36140000001,0.349066666666,-7.60886666667,0.541000000002,-7.01579999999,-4.36293333333,-11.1344,-3.07153333333
231.02,1.8538,-4.09866666666,-5.05106666667,-7.56806666668,0.391066666661,2.041,-3.80946666666,3.58846666667,-3.41839999999,-1.61573333333,-7.70406666667,-0.561200000006
231.40,1.5232,-5.89613333333,-5.78859999999,-8.88893333334,-1.70253333333,1.41573333333,-4.39066666667,3.01066666667,-3.36913333333,-3.60206666666,-8.79919999999,-1.3262
231.78,4.6296,-2.85186666667,-3.07413333334,-5.96313333333,0.81486666668,4.44446666667,-1.53713333333,7.29633333332,-0.351866666668,-0.388866666665,-5.7222,1.68520000001
232.15,6.14679999999,-0.984200000001,-1.44846666665,-4.531,2.52553333333,5.6268,-0.0929333333406,8.43086666665,0.965733333333,1.55993333333,-3.93693333333,3.97400000001
232.53,3.5974,-3.3822,-4.41833333333,-6.88166666667,-0.410599999994,3.18666666666,-1.91593333333,5.72826666667,-1.11446666667,-0.801533333334,-4.92679999999,2.385
232.90,3.27346666667,-3.3732,-4.31126666666,-6.78646666668,-0.93813333334,2.73446666666,-1.71653333333,5.48880000001,-0.838266666667,-0.718466666666,-4.79053333333,2.1158
233.28,6.66666660001e-05,-5.816,-5.32146666667,-8.90226666667,-3.00700000001,-0.593333333336,-2.41353333333,3.38279999999,-3.63986666667,-3.02673333334,-6.25119999999,-0.870333333332
233.66,-1.33226762955e-16,-7.742,-4.80926666667,-9.67740000001,-3.49953333334,-1.173,-3.1866,2.99126666667,-4.18366666667,-2.97166666667,-7.82013333333,-1.75960000001
234.03,1.35226666667,-7.02866666667,-4.81906666665,-8.28586666666,-2.83813333333,-0.990466666667,-1.46673333334,3.80946666667,-3.5618,-2.3048,-7.06666666666,-1.638
234.41,1.93906666667,-6.13099999999,-5.13386666667,-7.38699999999,-2.75160000001,-1.662,-0.997266666672,3.26866666666,-3.34246666666,-2.844,-5.33693333334,-1.12646666667
234.78,3.672,-3.92153333333,-2.92333333333,-4.50966666667,-0.481266666661,0.4992,1.40826666666,4.77720000001,-1.81833333334,-1.53293333333,-3.11933333333,0.49893333334
235.16,2.58333333333,-5.3,-4.36666666666,-5.6,-2.18333333333,0.133333333332,-0.683333333333,4.03333333333,-3.66666666667,-3.55,-5.0,-1.26666666666
235.54,1.80666666667,-5.66986666667,-5.10906666667,-5.65413333333,-3.11533333334,-0.747666666666,-1.80686666667,3.0998,-4.93766666667,-3.76946666667,-5.5918,-1.90033333333
235.91,1.4128,-5.54813333333,-5.37146666667,-5.29806666667,-3.42906666667,-1.22146666667,-2.35473333333,2.00146666667,-5.3864,-4.0912,-5.22453333333,-2.00146666666
236.29,0.190000000001,-6.41806666665,-6.78359999999,-5.87713333334,-4.3274,-2.36853333333,-3.49413333333,0.701866666666,-6.65213333332,-5.95033333334,-5.92093333333,-3.3626
236.66,0.649466666668,-5.98853333335,-6.99873333334,-5.33906666666,-4.32906666667,-2.3954,-4.24253333333,1.24113333334,-6.72439999999,-6.42133333333,-6.14720000001,-3.088
237.04,0.859399999999,-6.09833333333,-7.65073333333,-5.37766666667,-5.34999999999,-2.79966666666,-4.1442,1.44153333333,-6.92999999999,-7.15193333334,-6.1122,-3.3264
237.41,0.742399999999,-6.62553333334,-7.84880000001,-5.12726666667,-6.10313333333,-2.59793333333,-4.15113333333,1.71826666667,-7.36760000001,-7.4226,-6.65293333334,-2.65286666666
