wavelength,Back_SicRaif,Belly_SicRaif,Breast_SicRaif,Crissum_SicRaif,Crown_SicRaif,DorTail_SicRaif,Patch10_SicRaif,Rump_SicRaif,Throat_SicRaif,WingTip_SicRaif
186.77,66.6666666667,-92.5,141.666666667,93.75,-170.833333333,80.0,112.5,51.25,-60.8333333333,-39.1666666667
187.15,64.583,-80.5553333333,125.0,70.8335,-136.111333333,60.4165,102.083666667,44.7916666667,-34.722,-18.75
187.53,56.6666666667,-134.444333333,163.333666667,105.0,-215.555666667,53.3335,131.111333333,42.7776666667,-77.778,-33.3333333333
187.91,88.8886666667,-353.333333333,253.333333333,200.0,-486.666333333,-36.6665,184.444333333,50.0,-224.444333333,-84.4446666667
188.29,125.000333333,-419.444666667,330.555666667,308.333,-588.889,-20.8335,302.777666667,134.722166667,-225.0,2.77766666667
188.67,360.0,-933.333333333,880.0,690.0,-1166.66666667,-170.0,540.0,380.0,-473.333333333,126.666666667
189.05,206.666666667,-433.333333333,260.0,375.0,-480.0,-130.0,256.666666667,181.666666667,-126.666666667,120.0
189.43,633.333333333,-850.0,825.0,987.5,-691.666666667,-275.0,800.0,658.333333333,-125.0,475.0
189.81,-294.444333333,683.333333333,-277.778,-550.0,561.111,300.0,-272.222333333,-227.777833333,216.666666667,-200.0
190.19,-74.074,529.629666667,-29.6296666667,-261.111,337.037333333,294.4445,25.926,61.111,237.037,-92.5926666667
190.57,-21.6666666667,236.666666667,16.6666666667,-105.0,161.666666667,202.5,60.0,65.8333333333,115.0,-30.0
190.95,-13.5803333333,159.259333333,29.6293333333,-46.2965,156.79,198.148,59.2593333333,76.5431666667,112.345666667,-4.93833333333
191.33,25.397,131.746,42.857,-9.524,121.428666667,161.9045,57.9366666667,72.6191666667,109.524,46.8253333333
191.71,17.094,144.444333333,56.41,2.564,152.136666667,179.4875,56.4103333333,79.4871666667,128.205,60.684
192.09,36.111,113.194666667,70.139,28.125,113.888666667,142.708,34.722,54.861,105.555666667,62.5003333333
192.47,33.3333333333,130.769,100.854333333,42.3075,143.589666667,198.718,35.0426666667,68.376,125.641,82.0516666667
192.85,26.4706666667,113.725666667,97.0586666667,8.8235,150.980333333,198.529,1.96066666667,49.0196666667,125.49,76.4706666667
193.23,39.394,88.6363333333,52.2726666667,25.0,152.272666667,160.227,3.03033333333,43.1818333333,131.818,80.303
193.61,67.5,131.666666667,74.1666666667,43.75,210.0,190.0,30.8333333333,72.9166666667,173.333333333,130.833333333
193.99,78.889,135.555666667,97.778,36.6665,264.444333333,200.0,15.5553333333,72.222,212.222,147.778
194.37,79.71,130.434666667,82.6083333333,-2.174,288.406,226.087,-39.1303333333,38.406,230.434666667,184.058
194.75,177.777666667,184.444333333,175.555666667,13.333,442.222333333,346.667,-75.5556666667,118.888666667,391.111333333,291.111
195.13,125.0,138.888666667,152.777666667,-14.583,270.833333333,235.417,-20.833,94.4446666667,270.833666667,173.611
195.51,86.6666666667,62.2223333333,100.000333333,-36.667,200.000333333,140.0,-18.8886666667,35.5555,191.111,82.2223333333
195.89,59.3496666667,10.569,52.8456666667,-47.561,102.439333333,78.049,-17.0733333333,28.4551666667,122.764,33.3333333333
196.27,77.4193333333,-9.67733333333,46.2363333333,-91.9355,109.677333333,93.5485,-19.355,61.8276666667,165.591333333,10.7526666667
196.65,65.926,0.0,25.926,-53.333,65.1853333333,60.0,2.963,51.111,119.259333333,0.741
197.03,73.2393333333,38.9673333333,51.6436666667,-0.7045,69.4833333333,70.4225,23.0046666667,59.6241666667,110.798333333,36.6196666667
197.40,76.617,32.836,59.7013333333,-18.6565,46.7663333333,66.418,18.408,57.96,100.497333333,22.388
197.78,75.3846666667,22.564,57.4356666667,-14.6155,31.282,64.6155,15.3846666667,53.0766666667,86.6666666667,-4.10266666667
198.16,60.2563333333,25.641,34.615,-12.1795,22.6496666667,65.3845,4.27333333333,36.7518333333,70.0853333333,-7.69233333333
198.54,64.8146666667,35.5556666667,37.037,-0.5555,28.8886666667,67.7775,14.074,40.185,60.7406666667,-5.18533333333
198.92,65.1686666667,32.2096666667,30.7116666667,0.5615,19.1013333333,56.1795,8.23966666667,32.5841666667,49.0636666667,-12.734
199.30,60.2566666667,18.376,8.54666666667,2.564,5.128,48.077,-5.55533333333,27.7778333333,37.6066666667,-20.94
199.68,72.222,32.4783333333,17.5216666667,30.769,2.99133333333,65.385,-4.701,41.2391666667,42.3076666667,-2.99133333333
200.06,104.824666667,71.0523333333,30.2633333333,53.2895,24.1226666667,95.395,18.8593333333,58.114,70.1753333333,19.7366666667
200.44,95.3403333333,70.6093333333,35.1253333333,58.602,26.1646666667,85.484,27.957,51.2545,68.1003333333,22.2223333333
200.82,80.4486666667,71.795,36.5383333333,60.577,27.8846666667,80.2885,24.359,49.8396666667,65.3843333333,25.3206666667
201.19,82.5,67.0833333333,31.25,68.75,10.8333333333,93.75,26.25,54.375,67.5,18.3333333333
201.57,76.707,72.2893333333,30.1206666667,83.1325,14.0563333333,95.783,29.7186666667,49.9998333333,69.0763333333,22.49
201.95,89.1666666667,76.25,30.4166666667,96.25,18.75,105.0,35.4166666667,52.5,83.75,29.1666666667
202.33,86.9196666667,67.9323333333,27.4263333333,104.43,6.751,107.595,38.8183333333,52.7426666667,75.1056666667,31.6453333333
202.71,71.1383333333,55.691,27.236,104.878,-0.406333333333,103.049,29.268,43.2926666667,71.1383333333,26.0163333333
203.09,75.5316666667,54.9646666667,32.9786666667,95.7445,4.61,101.5955,28.014,40.78,70.5673333333,23.404
203.47,73.883,50.859,32.646,95.361,12.3713333333,97.423,26.804,34.8796666667,70.103,15.8076666667
203.85,67.0103333333,48.4536666667,34.708,86.0825,15.8076666667,102.5775,25.4296666667,38.6598333333,73.196,9.96566666667
204.22,46.5906666667,22.3486666667,21.5906666667,78.409,-1.51533333333,87.5,-0.378666666667,26.7045,50.0,-12.8786666667
204.60,40.6926666667,6.06066666667,-2.59733333333,70.7795,-15.5843333333,83.7665,-22.9436666667,10.3895,32.4673333333,-31.602
204.98,50.0,-13.964,-12.6126666667,69.5945,-30.1803333333,86.4865,-27.027,0.2255,21.171,-45.946
205.36,54.4443333333,2.22233333333,-5.926,61.6665,-21.852,85.0,-18.889,8.148,22.2223333333,-25.5556666667
205.74,61.4456666667,0.0,-6.82733333333,67.47,-23.695,97.5905,-19.679,14.8593333333,18.0723333333,-23.2933333333
206.12,64.0,11.3333333333,10.6666666667,52.5,-7.33333333333,89.0,-9.33333333333,27.1666666667,13.0,-6.33333333333
206.50,67.361,11.8053333333,21.1803333333,50.521,-9.722,96.354,-5.20833333333,38.8886666667,20.4863333333,-10.4166666667
206.87,81.7826666667,15.8913333333,21.7056666667,57.558,-2.71333333333,102.3255,0.387333333333,53.2946666667,29.0696666667,-13.9536666667
207.25,67.5326666667,-2.16433333333,2.16433333333,54.5455,-13.42,105.1945,-2.16466666667,51.7315,26.407,-19.0476666667
207.63,66.2036666667,9.722,-3.24066666667,54.1665,-35.6483333333,112.5,-1.389,47.685,20.3703333333,-23.148
208.01,57.1426666667,11.111,-10.7143333333,44.6425,-37.3016666667,85.714,2.381,37.3015,4.762,-26.5873333333
208.39,59.2593333333,23.704,-5.92566666667,49.4445,-29.2593333333,90.5555,17.037,43.3335,10.7406666667,-14.074
208.77,66.279,31.783,3.101,68.605,-26.744,108.1395,29.845,62.0155,12.791,-5.039
209.14,82.0173333333,49.1226666667,12.2803333333,71.0525,-21.9296666667,125.0,38.5966666667,74.1228333333,19.7366666667,0.877333333333
209.52,102.985,54.2286666667,20.398,86.5675,-19.9003333333,134.3285,47.7613333333,72.6366666667,12.438,-15.423
209.90,90.0903333333,54.5046666667,28.378,77.7025,-15.766,118.243,53.6033333333,70.7205,13.5136666667,-17.117
210.28,69.5833333333,46.6666666667,20.0,81.25,-22.9166666667,106.875,42.5,57.0833333333,14.5833333333,-21.25
210.66,76.6286666667,45.5936666667,18.391,83.908,-3.83166666667,101.1495,40.996,54.5976666667,19.157,-15.709
211.03,67.3076666667,44.231,28.5253333333,79.8075,-5.44866666667,97.115,38.4613333333,45.9935,14.7436666667,-6.08933333333
211.41,78.4126666667,54.6033333333,49.206,94.7615,6.03166666667,102.381,56.8253333333,62.0633333333,21.5873333333,5.397
211.79,83.5976666667,56.8786666667,61.905,97.222,21.1636666667,94.0475,63.7566666667,71.5608333333,28.5713333333,25.9256666667
212.17,96.111,62.2223333333,81.6663333333,113.75,31.111,107.917,78.3333333333,81.5278333333,41.9443333333,38.889
212.55,100.781333333,60.9373333333,92.4476666667,111.7185,32.2916666667,107.8125,81.7706666667,78.776,51.8226666667,46.3543333333
212.92,116.514,75.2293333333,112.844333333,127.5225,43.731,115.5965,102.752333333,87.7676666667,68.8073333333,62.3853333333
213.30,110.377333333,66.0376666667,112.578666667,130.6605,41.8236666667,110.849,103.773666667,82.2326666667,66.6663333333,61.321
213.68,97.8263333333,57.971,114.492666667,128.261,36.5943333333,107.6085,105.797333333,78.6233333333,64.1303333333,54.3476666667
214.06,105.221,67.47,136.144666667,136.747,44.98,125.9035,116.064333333,92.771,79.518,59.036
214.44,131.455333333,88.263,170.892333333,157.0425,67.6056666667,147.183,138.498,116.666833333,105.633666667,82.629
214.81,153.225666667,102.150333333,199.462333333,179.8385,70.9673333333,168.5485,159.14,126.344166667,105.914,107.526666667
215.19,172.677333333,104.371666667,190.710666667,177.8685,65.5736666667,154.918,168.852666667,133.060333333,116.393333333,107.650333333
215.57,170.909,101.818333333,183.030666667,180.909,40.0,155.4545,154.545666667,126.969833333,118.788,93.3333333333
215.95,239.639666667,126.126,233.333666667,233.7835,42.3423333333,237.838,196.396333333,160.810833333,150.450333333,102.702666667
216.32,235.294,116.666666667,206.863,248.5295,41.1763333333,245.588,178.431333333,138.7255,116.666666667,80.392
216.70,359.259333333,177.777666667,294.444666667,405.556,33.333,391.667,224.074333333,178.704,133.333,62.963
217.08,158.914333333,71.318,118.604333333,170.93,7.75166666667,182.5585,92.248,84.8836666667,47.287,4.65133333333
217.46,156.349333333,72.2223333333,99.2063333333,170.238,-10.3176666667,175.0,92.0633333333,80.5556666667,57.143,-9.52366666667
217.83,125.520666667,66.667,80.2086666667,125.0,7.81233333333,123.4375,78.646,76.0416666667,60.417,16.1456666667
218.21,130.508333333,50.8473333333,59.887,116.949,-12.4293333333,100.8475,69.4916666667,53.3898333333,47.458,7.34433333333
218.59,146.666333333,34.074,64.4443333333,128.889,-48.1483333333,116.6665,71.852,35.1853333333,42.2223333333,-14.8146666667
218.97,109.770333333,33.908,56.3216666667,108.6205,-33.9083333333,93.9655,62.069,31.8968333333,59.77,-1.14933333333
219.34,84.397,7.09233333333,51.064,115.9575,-56.7376666667,107.447,48.227,21.6313333333,53.9006666667,-0.709333333333
219.72,71.5686666667,-24.51,56.863,116.1765,-78.4316666667,119.1175,39.2153333333,-15.6863333333,56.863,-26.4703333333
220.10,55.9136666667,-32.258,53.7633333333,82.258,-90.3226666667,85.484,46.2366666667,-36.0215,69.8926666667,-50.5376666667
220.47,56.5653333333,-18.1816666667,69.697,39.3935,-78.788,75.7575,42.4243333333,-32.8283333333,102.020333333,-26.2626666667
220.85,31.8183333333,-96.9696666667,96.9696666667,4.5455,-143.939333333,59.091,18.182,-112.878666667,63.6363333333,-92.4246666667
221.23,57.1426666667,-419.047333333,314.286,-42.857,-433.333333333,71.4285,-138.095333333,-497.619,52.381,-290.476333333
221.61,346.666666667,-326.666666667,720.0,160.0,-246.666666667,250.0,20.0,-516.666666667,220.0,-193.333333333
221.98,-380.952,190.476333333,-561.904333333,-378.571,38.0953333333,-192.8575,-47.619,338.095166667,-242.857333333,-14.2856666667
222.36,-3366.66666667,733.333333333,-4600.0,-3900.0,-1000.0,-2100.0,-833.333333333,1766.66666667,-1866.66666667,-633.333333333
222.74,416.666666667,16.6666666667,516.666666667,585.0,170.0,340.0,226.666666667,-38.3333333333,200.0,110.0
223.11,558.333333333,141.666666667,720.833333333,781.25,362.5,500.0,400.0,110.416666667,225.0,75.0
223.49,-4033.33333333,-2200.0,-5766.66666667,-5800.0,-4066.66666667,-4000.0,-3400.0,-550.0,-1900.0,-366.666666667
223.87,400.0,228.205,500.0,503.8465,400.0,315.3845,341.025666667,111.538666667,128.205,89.7436666667
224.24,1488.88866667,855.555333333,2155.55566667,2050.0,1677.77766667,1250.0,1299.99966667,322.222,522.222333333,577.777666667
224.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225.00,301.666666667,200.0,276.666666667,340.0,251.666666667,225.0,291.666666667,170.833333333,161.666666667,146.666666667
225.38,207.407333333,145.679,171.605333333,216.6665,185.185333333,196.2965,219.753333333,150.6175,138.271666667,103.703666667
225.75,176.0,108.0,124.0,168.0,113.333333333,172.0,192.0,130.666666667,96.0,82.6666666667
226.13,99.9996666667,42.529,88.5056666667,67.2415,22.9883333333,122.4135,117.241,83.3331666667,33.3333333333,32.184
226.51,113.580333333,6.173,76.543,33.3335,1.23466666667,96.2965,108.641666667,87.037,30.864,6.173
226.88,66.6666666667,-14.1413333333,29.293,-15.1515,3.03,39.394,66.6663333333,58.5856666667,53.5353333333,-29.293
227.26,57.0173333333,-30.702,27.193,-38.158,15.7896666667,15.7895,42.105,28.9475,56.1403333333,-23.684
227.64,58.3333333333,-49.3053333333,26.3886666667,-35.417,0.0,3.125,10.4166666667,10.4166666667,28.472,-39.5833333333
228.01,44.186,-73.6433333333,5.42633333333,-52.3255,-28.6823333333,10.465,-17.054,-4.2635,19.3796666667,-45.7363333333
228.39,39.4446666667,-58.3336666667,12.222,-25.8335,-19.4443333333,14.1665,-19.4443333333,-1.111,15.5556666667,-40.5553333333
228.76,48.7926666667,-39.6136666667,39.1303333333,-12.3185,1.93233333333,22.4635,-1.44933333333,8.2125,35.7486666667,-16.425
229.14,53.14,-38.1643333333,42.0286666667,-2.8985,2.41533333333,27.536,-15.942,7.0045,40.5796666667,-14.9756666667
229.52,53.2566666667,-20.69,47.5096666667,5.7475,6.89666666667,13.218,-2.299,6.32166666667,45.5936666667,-1.14933333333
229.89,46.5466666667,-10.2103333333,50.751,16.216,15.015,14.4145,3.003,15.9158333333,39.039,2.102
230.27,47.0586666667,-3.92166666667,45.658,24.37,19.888,21.4285,7.28266666667,20.728,44.538,3.64133333333
230.65,41.146,2.08333333333,46.6143333333,28.9065,18.4896666667,33.984,11.7186666667,23.0468333333,49.219,5.729
231.02,46.1333333333,2.66666666667,52.0,28.8,11.4666666667,36.4,9.06666666667,24.2666666667,45.0666666667,17.6
231.40,34.7576666667,-7.12233333333,38.7463333333,22.222,-11.111,26.496,-1.42466666667,11.396,31.054,6.83766666667
231.78,37.255,-3.36133333333,36.9743333333,26.05,-9.24366666667,23.529,9.24366666667,16.2461666667,39.4956666667,12.8853333333
232.15,42.402,6.61733333333,48.2846666667,31.25,-3.43133333333,22.4265,13.7253333333,20.5883333333,44.1176666667,11.5196666667
232.53,41.5556666667,14.4446666667,49.3333333333,35.3335,0.888666666667,24.0,17.778,20.4446666667,43.3333333333,14.0
232.90,28.6666666667,14.6666666667,40.2223333333,37.0,-5.77766666667,18.667,14.4443333333,15.2223333333,32.889,11.7776666667
233.28,18.8886666667,8.00033333333,33.1113333333,30.0,-6.66666666667,12.0,10.6666666667,11.889,28.4443333333,5.99966666667
233.66,17.2576666667,7.092,30.024,31.915,-7.80166666667,15.248,13.0023333333,14.184,25.2956666667,7.80166666667
234.03,13.9106666667,5.24933333333,29.1336666667,27.5595,-13.386,15.3545,10.4986666667,8.79283333333,25.459,6.56166666667
234.41,18.2796666667,9.94633333333,33.3333333333,29.032,-6.45133333333,9.274,18.5486666667,13.1721666667,24.4623333333,10.2153333333
234.78,14.4,8.8,26.6666666667,28.8,-7.2,-8.0,9.86666666667,9.46666666667,17.6,11.2
235.16,3.00766666667,4.26066666667,18.2953333333,21.0525,-10.2756666667,-20.301,3.25833333333,-0.000166666666667,11.278,-5.01266666667
235.54,2.459,6.83033333333,21.0383333333,21.7215,-5.73766666667,-18.443,4.09866666667,4.50816666667,16.3933333333,-6.011
235.91,-6.087,4.348,13.3333333333,10.0,-10.145,-26.522,-4.348,-2.319,1.44933333333,-12.7536666667
236.29,-18.73,-5.397,-5.714,-2.381,-15.8726666667,-34.762,-11.1113333333,-11.2698333333,-6.03166666667,-15.5553333333
236.66,-23.4433333333,-11.7216666667,-23.4433333333,-2.747,-24.5423333333,-42.857,-8.05866666667,-13.7365,-12.8206666667,-19.414
237.04,-28.889,-24.074,-26.2963333333,-15.5555,-24.0743333333,-50.0,-19.6296666667,-13.8888333333,-18.889,-27.037
237.41,-23.8636666667,-18.9396666667,-15.5303333333,-9.659,-26.1363333333,-52.841,-10.227,-11.9316666667,-14.7726666667,-23.8636666667
237.79,-40.9283333333,-19.4093333333,-14.3456666667,-19.6205,-27.4263333333,-65.8225,-30.38,-26.5821666667,-16.456,-37.9746666667
238.17,-35.1853333333,-17.037,-20.0003333333,-20.5555,-18.5186666667,-57.778,-25.9256666667,-22.2221666667,-10.741,-35.9256666667
238.54,-38.5113333333,-18.123,-20.3883333333,-24.2715,-20.712,-46.602,-31.3913333333,-23.4625,-12.2976666667,-43.042
238.92,-36.842,-15.4973333333,-19.591,-28.9475,-20.1753333333,-27.6315,-23.684,-22.3685,-11.4033333333,-41.813
239.29,-23.306,-7.046,-12.737,-24.39,-8.672,-10.1625,-9.485,-12.0595,-3.794,-27.1
239.67,-16.998,-6.84333333333,-16.998,-15.8945,-10.1543333333,-10.9275,-8.38833333333,-8.94033333333,-5.07733333333,-20.5296666667
240.04,-11.111,-5.25233333333,-12.7273333333,-7.2725,-7.67666666667,-5.7575,-7.273,-6.16166666667,1.01033333333,-15.7576666667
240.42,-4.18833333333,0.698333333333,-11.344,-5.2355,-5.061,-3.403,-1.74533333333,-0.349166666667,3.49066666667,-13.438
240.79,-9.04766666667,-2.06333333333,-12.54,-12.619,-8.889,-9.524,-6.66666666667,-2.85733333333,-1.48029736617e-16,-15.5556666667
241.17,-1.85966666667,1.43066666667,-6.00833333333,-9.2275,-6.724,-4.292,-1.71666666667,-3.43366666667,1.43066666667,-10.5866666667
241.54,1.11933333333,3.48266666667,-4.602,-5.4105,-3.856,-1.1195,0.497333333333,0.373,3.10933333333,-8.33333333333
241.92,5.97466666667,4.29766666667,-2.411,0.157,-3.03966666667,0.7865,5.66033333333,4.35016666667,3.354,-4.19266666667
242.29,4.87566666667,3.88066666667,-2.38833333333,0.8955,-3.68166666667,0.7465,6.46766666667,4.32833333333,3.08466666667,-4.179
242.67,5.47566666667,2.59366666667,-0.864333333333,3.17,-3.84233333333,1.153,7.39666666667,2.01733333333,2.20933333333,-2.30533333333
243.05,7.69966666667,5.54,0.563333333333,4.7885,-3.28666666667,0.986,7.60566666667,3.14566666667,4.22533333333,-0.751
243.42,7.84333333333,6.59533333333,0.356666666667,6.417,-4.189,-0.267,5.79333333333,2.4955,4.278,1.337
243.80,6.311,6.04466666667,3.911,4.933,-2.75566666667,0.0,5.24466666667,0.399833333333,4.089,1.15533333333
244.17,6.68333333333,8.49833333333,4.12566666667,5.5695,-1.568,2.8465,7.83833333333,2.39266666667,5.69333333333,4.04266666667
244.55,8.45166666667,11.0583333333,9.242,8.2935,2.60666666667,6.9905,10.4266666667,4.621,7.583,9.16266666667
244.92,9.152,10.3423333333,10.3423333333,10.3795,4.241,8.5935,12.128,5.95216666667,7.887,11.1603333333
245.30,7.23133333333,9.22833333333,8.058,10.8475,3.237,7.2315,10.124,5.13083333333,7.43833333333,8.54
245.67,7.93966666667,10.208,9.83,11.815,5.482,8.885,10.9643333333,5.73416666667,8.88466666667,9.01066666667
246.05,9.31533333333,12.3456666667,11.6163333333,13.1315,7.12666666667,10.606,12.1213333333,8.81016666667,11.2793333333,11.7846666667
246.42,10.0946666667,13.6933333333,12.9936666667,13.793,8.246,11.994,11.694,9.24533333333,12.4936666667,13.3933333333
246.79,10.284,14.6143333333,13.5316666667,13.8025,8.97633333333,12.517,11.2763333333,10.397,13.3513333333,14.2083333333
247.17,10.409,13.7133333333,14.622,13.3825,10.6156666667,12.949,11.9373333333,10.8836666667,13.4243333333,14.6633333333
247.54,10.4973333333,14.101,15.8636666667,13.0435,11.1243333333,13.572,12.456,11.2023333333,13.5916666667,13.905
247.92,12.4906666667,15.5853333333,16.5173333333,14.4855,12.0063333333,14.765,14.3923333333,13.2548333333,15.25,15.4363333333
248.29,12.195,15.8903333333,17.295,14.412,12.2323333333,14.246,14.967,13.7658333333,15.7426666667,15.0406666667
248.67,10.6413333333,14.3863333333,15.981,13.793,11.4203333333,12.9035,13.793,12.6993333333,14.9426666667,13.756
249.04,11.362,15.4253333333,15.914,13.544,11.4373333333,12.9795,12.9423333333,12.4718333333,15.2746666667,13.4683333333
249.42,11.4793333333,15.0296666667,15.858,12.663,10.5326666667,12.6035,12.8996666667,12.9786666667,15.5423333333,13.8463333333
249.79,12.505,15.114,15.7766666667,12.5465,10.0206666667,12.671,12.2153333333,12.8985,15.528,14.079
250.17,12.052,13.7093333333,15.0536666667,12.097,9.095,12.2985,10.484,10.7078333333,14.9196666667,12.231
250.54,13.314,14.17,15.9773333333,13.267,10.366,12.197,12.7436666667,12.3633333333,15.977,11.983
250.92,13.201,14.9846666667,15.545,13.9145,11.519,12.2325,13.5576666667,13.2006666667,16.8706666667,12.1813333333
251.29,13.7966666667,16.851,16.6406666667,15.877,12.1116666667,12.006,13.7966666667,13.1913333333,17.2196666667,12.796
251.66,13.8253333333,16.3386666667,16.94,16.8855,12.295,12.2135,14.0436666667,13.9891666667,17.4316666667,13.7706666667
252.04,13.651,16.9956666667,16.941,16.8585,12.6096666667,11.842,12.5546666667,13.2951666667,16.557,13.9803333333
252.41,14.9916666667,17.3533333333,17.8473333333,18.0395,11.9713333333,12.9325,11.752,12.658,16.2,14.6623333333
252.79,15.8783333333,17.9616666667,18.75,18.159,11.6556666667,12.922,11.8806666667,12.9785,16.047,15.315
253.16,16.5253333333,18.6193333333,19.6946666667,18.336,14.431,14.3465,13.7523333333,14.5445,17.9963333333,17.2606666667
253.54,14.9913333333,19.1936666667,19.421,19.08,15.8433333333,14.9915,14.1966666667,14.3101666667,17.774,17.4903333333
253.91,13.4496666667,18.8983333333,19.652,19.3915,15.6523333333,15.913,15.0726666667,13.6521666667,16.7533333333,17.855
254.28,13.7393333333,18.5783333333,20.2513333333,17.8315,16.189,16.2185,16.4276666667,13.6203333333,16.0693333333,17.802
254.66,11.4053333333,14.9336666667,17.8323333333,15.312,14.1776666667,16.068,12.2246666667,10.082,11.8463333333,16.572
255.03,11.0256666667,12.6923333333,16.7306666667,13.654,11.923,15.0965,11.154,8.2695,8.33333333333,13.077
255.41,12.0723333333,12.475,16.9686666667,15.091,12.676,16.3985,13.2796666667,10.1271666667,8.585,13.347
255.78,12.3983333333,12.602,14.8376666667,15.142,13.6176666667,18.2925,13.8213333333,10.095,7.385,12.466
256.15,13.3736666667,11.8276666667,15.3226666667,13.7095,13.7096666667,19.355,13.575,10.5176666667,8.535,11.425
256.53,13.385,10.1363333333,13.9703333333,14.035,14.685,19.1035,12.4756666667,10.6236666667,8.25233333333,10.3963333333
256.90,13.569,9.97066666667,13.569,14.0705,14.4543333333,18.3185,13.1566666667,10.6491666667,10.1473333333,9.55766666667
257.28,12.1846666667,8.48066666667,13.258,14.251,12.6136666667,17.2305,10.467,8.85633333333,9.17866666667,8.48066666667
257.65,12.917,8.70833333333,13.788,13.2075,11.9493333333,15.675,11.0306666667,8.7325,9.09533333333,8.61166666667
258.02,11.3636666667,7.87033333333,12.4156666667,11.7425,11.574,13.1945,9.89033333333,8.207,8.45966666667,7.155
258.40,9.351,6.197,9.791,9.956,8.94733333333,10.231,7.95766666667,7.46266666667,6.63733333333,5.83066666667
258.77,10.3546666667,7.57433333333,9.556,10.019,9.01233333333,9.636,8.53333333333,8.82066666667,8.18166666667,6.90333333333
259.15,10.1966666667,7.39466666667,9.58966666667,9.142,9.214,9.012,8.54966666667,9.272,8.66533333333,7.71233333333
259.52,8.873,6.20833333333,8.02033333333,7.394,7.64733333333,7.7135,6.448,7.90033333333,7.94033333333,6.315
259.89,8.578,5.64333333333,7.951,6.96,6.62166666667,6.471,5.61833333333,7.46183333333,7.64966666667,6.09466666667
260.27,7.59,5.41466666667,8.07333333333,7.324,6.57466666667,5.6925,5.99466666667,7.62633333333,7.348,6.06733333333
260.64,7.40766666667,5.793,8.452,6.9445,6.83766666667,4.8075,6.41033333333,7.97716666667,7.54966666667,6.529
261.01,7.62066666667,6.39833333333,8.21933333333,6.9375,6.42233333333,4.8525,6.566,8.12366666667,6.66166666667,6.518
261.39,7.18833333333,6.384,7.40766666667,6.506,5.33633333333,4.605,6.36,7.7975,5.92133333333,6.23766666667
