wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
398.56,2.60433333334,16.1186495727,15.9894444444,3.84611111111,2.10444444444,3.63766666667,2.31377777778,3.33255555556,34.4124444445,6.41411111111
398.92,2.49277777778,16.0665555556,15.9364444444,3.75488888889,2.01577777778,3.528,2.23422222222,3.24422222222,34.4177777778,6.36233333334
399.28,2.41255555556,16.0126495727,15.9088888889,3.67955555555,1.95755555556,3.42888888889,2.14055555556,3.17055555556,34.4347777778,6.28244444445
399.64,2.36633333333,15.9852478633,15.8883333333,3.62588888889,1.90088888889,3.36166666667,2.12522222222,3.13622222222,34.464,6.24444444444
400.00,2.34488888889,15.971965812,15.8635555555,3.59288888889,1.89066666667,3.34433333333,2.12722222222,3.09844444445,34.5117777778,6.23955555556
400.36,2.30588888889,15.9408034188,15.8416666667,3.53922222222,1.86388888889,3.28077777778,2.09155555556,3.03811111111,34.5036666667,6.19266666666
400.72,2.338,15.9763589744,15.8858888889,3.56611111111,1.88377777778,3.31522222222,2.08444444444,3.01044444444,34.578,6.21833333333
401.08,2.28011111111,15.9374017094,15.854,3.52566666666,1.85477777778,3.287,2.066,2.95666666667,34.5484444444,6.19788888889
401.44,2.28455555556,15.9645726496,15.8824444444,3.517,1.88722222222,3.30222222222,2.06588888889,2.94211111111,34.6052222222,6.19588888889
401.80,2.25155555556,15.9609230769,15.893,3.47544444444,1.86411111111,3.28533333333,2.057,2.94077777778,34.6242222222,6.18177777778
402.16,2.17411111111,15.9039145299,15.86,3.41388888889,1.79211111111,3.20511111111,2.00766666667,2.84888888889,34.6025555556,6.13222222222
402.52,2.18844444445,15.9524273504,15.9121111111,3.44066666667,1.82211111111,3.21444444445,2.05111111111,2.87666666666,34.6804444444,6.15555555555
402.88,2.21655555555,15.9746324786,15.9271111111,3.48144444444,1.84477777778,3.22988888889,2.07988888889,2.89822222222,34.695,6.16466666667
403.24,2.29677777778,16.0454273504,15.9963333333,3.58322222222,1.92411111111,3.31933333333,2.19244444444,2.98044444444,34.7683333333,6.25022222222
403.60,2.35288888889,16.1251025641,16.0966666667,3.65333333334,1.99444444444,3.35977777778,2.25544444444,3.03222222222,34.9033333334,6.32088888889
403.95,2.39355555556,16.1847264957,16.2034444444,3.71755555555,2.05022222222,3.39444444444,2.30511111111,3.08711111111,35.0053333333,6.36888888889
404.31,2.46344444444,16.2648803419,16.2805555555,3.82288888889,2.14911111111,3.48144444445,2.38877777778,3.15777777778,35.0982222222,6.44444444444
404.67,2.47511111111,16.3213589744,16.3155555555,3.86133333333,2.19455555556,3.50511111111,2.44288888889,3.20111111111,35.1902222222,6.48533333333
405.03,2.50922222222,16.3895128205,16.3742222222,3.887,2.23266666667,3.517,2.46644444444,3.22888888889,35.2968888889,6.48511111111
405.39,2.50466666667,16.401068376,16.4118888889,3.90511111111,2.23955555555,3.50555555555,2.49455555555,3.25111111111,35.3771111111,6.495
405.75,2.51311111111,16.408051282,16.4302222222,3.93633333333,2.28055555556,3.51522222222,2.51677777778,3.25877777778,35.4261111111,6.515
406.11,2.55433333333,16.4804358974,16.4732222222,3.97622222222,2.32877777778,3.56411111111,2.563,3.30066666667,35.5238888889,6.54666666667
406.47,2.65844444444,16.5733418803,16.5444444444,4.079,2.43111111111,3.689,2.66966666667,3.39533333333,35.6163333333,6.63155555555
406.83,2.68277777778,16.5896239316,16.5687777778,4.10766666667,2.47877777778,3.73466666667,2.70577777778,3.42788888889,35.6953333333,6.63988888889
407.19,2.66977777778,16.6082136752,16.5905555555,4.12533333333,2.47744444444,3.72233333334,2.68833333333,3.43766666667,35.7392222222,6.63
407.55,2.69311111111,16.6266153846,16.6067777778,4.14988888889,2.507,3.75855555556,2.72222222222,3.46577777778,35.7232222222,6.62388888889
407.90,2.72611111111,16.6923333333,16.6191111111,4.20911111111,2.53522222222,3.79822222222,2.77766666667,3.50955555556,35.7711111111,6.65744444444
408.26,2.67722222222,16.6462820513,16.6173333334,4.16388888889,2.50577777778,3.73777777778,2.72377777778,3.47311111111,35.7627777778,6.61177777778
408.62,2.67066666667,16.6501452992,16.6582222222,4.14566666667,2.47555555556,3.69844444444,2.68955555556,3.45311111111,35.7707777778,6.57255555555
408.98,2.68244444445,16.6317777778,16.675,4.18311111111,2.47644444445,3.71133333333,2.718,3.45322222222,35.7648888889,6.56622222222
409.34,2.68844444444,16.6348461539,16.6626666667,4.17222222222,2.47888888889,3.69444444444,2.70533333334,3.44011111111,35.719,6.55666666667
409.70,2.69722222222,16.6656837607,16.6764444445,4.208,2.49133333334,3.702,2.72033333333,3.44366666667,35.7548888889,6.55488888889
410.06,2.74133333333,16.6863504274,16.723,4.27,2.535,3.72644444444,2.73888888889,3.45822222222,35.8025555555,6.57433333333
410.42,2.70022222222,16.6528974359,16.6957777778,4.24822222222,2.51666666667,3.68255555555,2.70833333333,3.42344444444,35.8178888889,6.53222222222
410.77,2.71577777778,16.6834188034,16.7203333333,4.25322222222,2.52188888889,3.666,2.69555555556,3.42333333333,35.8734444444,6.56966666667
411.13,2.75,16.7188461538,16.7637777778,4.26944444445,2.561,3.69111111111,2.71733333333,3.42544444444,35.9445555555,6.61188888889
411.49,2.74222222222,16.7488888889,16.8002222222,4.28677777778,2.57022222222,3.709,2.72166666667,3.43055555556,36.0051111111,6.64644444444
411.85,2.705,16.7212478632,16.8083333333,4.252,2.56555555556,3.68188888889,2.69455555556,3.37155555556,36.0032222222,6.61155555556
412.21,2.74188888889,16.8130769231,16.8684444444,4.30711111111,2.581,3.72222222222,2.76388888889,3.38722222222,36.113,6.65588888889
412.57,2.74655555556,16.8301196581,16.8552222222,4.31844444444,2.59566666667,3.73211111111,2.77755555556,3.36488888889,36.1627777778,6.68277777778
412.92,2.72166666667,16.8688119658,16.8673333333,4.29077777778,2.59966666667,3.73466666667,2.76611111111,3.35811111111,36.2342222222,6.704
