wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
318.12,4.58826666667,5.9988,6.31446666667,4.87313333334,5.993,6.8046,4.19926666667,5.92546666667,7.29926666667,6.89266666667
318.49,4.65326666667,6.0402,6.2628,4.82706666667,5.96213333333,6.74926666667,4.2052,5.8738,7.26066666667,6.7566
318.85,4.51066666667,5.94246666667,6.09086666667,4.6592,5.8404,6.60446666667,4.11893333333,5.6502,7.0792,6.54346666667
319.22,4.7004,6.102,6.214,4.75413333333,6.00933333333,6.78326666667,4.29706666667,5.72826666667,7.2762,6.72193333333
319.59,5.16293333333,6.64573333333,6.63673333333,5.1974,6.46493333333,7.17633333333,4.73233333333,6.15546666667,7.6608,7.14633333333
319.96,5.3736,6.8262,6.8368,5.37353333333,6.60653333333,7.36373333333,4.79866666667,6.29493333333,7.776,7.22226666667
320.32,5.6166,7.0904,7.13413333333,5.6438,6.88293333333,7.63186666667,5.09446666667,6.6062,8.09806666666,7.5186
320.69,5.52006666667,7.08566666667,7.0388,5.56406666667,6.90513333333,7.61113333333,5.01893333333,6.54826666667,8.01526666667,7.4428
321.06,5.7244,7.2736,7.22499999999,5.73793333333,7.0718,7.85,5.25106666667,6.66966666667,8.19153333333,7.61333333333
321.43,5.76173333333,7.3816,7.20966666666,5.7678,7.10766666667,7.9656,5.2202,6.799,8.18306666668,7.71
321.80,5.77673333333,7.4374,7.26553333334,5.76773333333,7.0936,8.08446666667,5.3152,6.84313333333,8.31066666667,7.7994
322.16,5.9332,7.52033333333,7.29180000001,5.82626666667,7.24266666667,8.18413333333,5.504,6.95913333333,8.44853333333,7.84406666666
322.53,5.7668,7.38333333333,7.26599999999,5.7684,7.22213333333,8.1204,5.35806666667,6.91006666667,8.49853333333,7.7556
322.90,5.65066666667,7.27226666666,7.22633333334,5.68806666667,7.1588,8.01833333333,5.32773333333,6.90766666667,8.5106,7.70413333333
323.27,5.5418,7.1878,7.11526666666,5.5572,6.99926666667,7.8112,5.24553333334,6.85806666667,8.30726666666,7.6126
323.63,5.02986666667,6.67213333333,6.64893333333,5.1212,6.5236,7.3652,4.7958,6.45833333333,7.95066666666,7.18273333333
324.00,4.87793333333,6.55666666667,6.54466666667,5.04786666667,6.41593333333,7.191,4.73853333333,6.3748,7.9008,7.0566
324.37,4.98246666667,6.65,6.6282,5.1174,6.49273333333,7.244,4.73366666667,6.4682,7.93746666667,7.1126
324.74,4.9426,6.53733333333,6.6314,5.09186666667,6.3556,7.13213333333,4.6728,6.3882,7.93026666667,7.00153333333
325.10,4.7864,6.3692,6.439,4.94786666667,6.16113333333,6.93353333334,4.45833333333,6.26133333333,7.81859999999,6.7744
325.47,4.7546,6.2754,6.31946666666,4.84653333333,6.0786,6.82413333333,4.3468,6.10373333333,7.73899999999,6.6344
325.84,4.8412,6.39353333333,6.3758,4.89626666667,6.16126666667,6.80606666667,4.38733333333,6.16253333334,7.71239999999,6.64093333333
326.21,4.75126666666,6.38893333334,6.354,4.87453333333,5.996,6.7178,4.2364,6.05766666667,7.63946666666,6.56666666667
326.57,4.87493333333,6.48233333333,6.44886666667,4.97286666667,6.00646666667,6.80953333333,4.32073333333,6.09753333333,7.72786666666,6.67366666667
326.94,5.00953333333,6.62286666667,6.52633333333,5.09593333333,6.10506666667,6.9152,4.36386666667,6.1626,7.82333333333,6.7414
327.31,5.0524,6.6656,6.5858,5.21186666667,6.186,7.02613333334,4.35193333333,6.20906666667,7.9736,6.7556
327.67,5.24606666667,6.79433333333,6.7422,5.34706666667,6.32053333333,7.179,4.441,6.3124,8.09786666667,6.813
328.04,5.34986666667,6.85793333334,6.81593333333,5.357,6.39253333333,7.2476,4.44493333334,6.34133333333,8.13273333333,6.86386666667
328.41,5.2336,6.7412,6.70453333333,5.25366666667,6.2924,7.09306666667,4.33453333333,6.2058,8.063,6.67606666667
