wavelength,Back_SpoMinm,Belly_SpoMinm,Breast_SpoMinm,Crissum_SpoMinm,Crown_SpoMinm,DorTail_SpoMinm,Patch10_SpoMinm,Rump_SpoMinm,Throat_SpoMinm,WingTip_SpoMinm
744.02,17.1227333333,51.1043333333,45.2782666667,44.6276666667,19.5864666667,17.7778392157,37.0669333333,42.7522,40.6595333333,14.6813333333
744.34,16.9945333333,50.9879333333,45.2338,44.6547333333,19.5742666667,17.6427490196,37.0934666667,42.7103333334,40.703,14.5025333333
744.65,16.9192,50.8528,45.2417333333,44.7774,19.6964,17.681027451,37.1593333333,42.8180666667,40.7134666667,14.4932
744.97,17.048,51.0203333333,45.5216,45.0292666667,19.7504,17.931972549,37.1761333334,43.0574,40.9733333333,14.7164666667
745.28,16.9448,50.9148666666,45.4803333333,45.1609333333,19.6598,17.9216078431,37.0712,43.0185333333,40.8597333334,14.9082
745.60,17.0010666667,50.8806,45.6068666667,45.1972666667,19.7038,17.8299176471,37.0959333333,43.0522,40.965,14.9855333333
745.91,17.0181333333,51.0986,45.7192666667,45.2491333333,19.8138666667,17.8827960785,37.3045333333,43.2006,41.143,14.9024
746.23,16.9788666667,51.2578,45.7955333333,45.4344,19.7484,17.9445137255,37.3328,43.2377333333,41.1250666667,15.0616666667
746.55,17.3342666667,51.6666666667,45.8414666667,45.7394666667,20.0371333333,18.1428392157,37.6100666666,43.2545333333,41.261,15.4704666667
746.86,17.3552,51.7772,45.9036666667,45.9966666667,19.9440666667,18.0308666667,37.6504666667,43.5309333333,41.1234,15.5383333333
747.18,17.2554666667,51.5977333333,45.8104,45.7294666667,19.8564,17.9224901961,37.5054666667,43.1748666667,40.7982666667,15.5248
747.49,17.0384666667,51.3107333333,45.5577333334,45.4430666667,19.7106666667,17.8412862745,37.2269333333,42.9086,40.5394666667,15.4039333333
747.81,17.2249333333,51.5924,45.7719333333,45.7035333333,19.8582,18.0237411765,37.3026,43.1114,40.6108666667,15.5548
748.12,17.4261333333,51.6558666667,45.6886,45.7406666667,19.9524666667,18.0639098039,37.2632,43.0129333333,40.7155333333,15.7057333333
748.44,17.4208666667,51.6678,45.6677333333,45.6947333334,20.1010666667,18.115572549,37.3242666667,43.0436666667,40.7183333333,15.7621333333
748.75,17.5340666666,51.4367333333,45.4148,45.2842,20.1085333333,18.0253490196,37.1751333333,42.8026666667,40.5339333333,15.6088666667
