wavelength,Back_DigCaem,Belly_DigCaem,Breast_DigCaem,Crissum_DigCaem,Crown_DigCaem,DorTail_DigCaem,Rump_DigCaem,Throat_DigCaem,WingTip_DigCaem
202.71,102.0834,152.760333333,133.645933333,157.1874,98.7498666668,138.6458,127.708333333,135.624933333,130.677
203.09,102.127533333,146.0046,128.6998,150.023533333,99.9999333334,135.082866667,125.910066667,132.245933333,126.241066667
203.47,103.6734,145.850466667,128.525933333,149.569066667,102.2674,133.151866667,125.532933333,133.106533333,126.802666667
203.85,107.922733333,152.125666667,132.6572,156.956533333,102.560466667,138.260866666,132.318866667,141.062733333,128.019333333
204.22,102.0968,150.322666667,131.0216,161.075266667,92.3120000001,134.032266667,130.752666667,139.677333334,123.655866667
204.60,100.555666667,153.055533333,132.055466667,165.388866667,91.8332666667,132.666733333,131.944533333,144.8888,125.777733333
204.98,108.623933333,166.666733333,143.975533334,179.204866666,97.4922666667,142.935733333,140.1224,160.3058,134.923533333
205.36,122.963,184.781133334,158.518533333,202.154866667,111.717066667,157.845,151.2458,177.306466667,153.9394
205.74,134.621133333,203.4848,173.863666667,224.848466667,129.545466666,171.060533333,166.287933333,199.2424,174.242466667
206.12,182.150666667,282.473,237.204133333,315.268866666,181.5054,234.838666667,233.5484,274.1936,245.698933333
206.50,207.471266667,314.138066667,272.4138,354.252866667,204.022933333,258.735666667,266.8966,304.827533333,275.402466667
206.87,281.904733333,423.8096,374.285666667,474.2858,277.619,343.174733333,369.206266667,402.539666667,368.095133333
207.25,271.060533333,393.3332,352.424333333,446.818133333,261.060533333,319.999933333,347.575733333,375.6062,349.696866667
207.63,255.348933333,373.3334,339.844933333,429.457533334,241.705333333,302.170466667,334.1086,357.674466667,339.224733333
208.01,256.279133333,365.891466667,342.170666667,424.806333333,245.5814,300.465066667,325.581333333,352.713133333,341.5504
208.39,240.261333333,329.934533334,303.0064,376.078333333,230.196066667,274.248333333,295.555533333,318.431333333,307.451066667
208.77,267.681133333,365.652133333,334.637666667,415.797133333,257.3912,311.884133333,329.130466667,352.173733333,336.376933333
209.14,200.596933334,261.8906,244.975266667,304.577066667,197.910533334,234.328266667,243.184,255.621866667,246.2686
209.52,271.0144,359.130333333,341.304466667,421.739266667,267.8262,324.202933333,335.942,347.971,331.159333333
209.90,344.8484,470.707066667,454.141533333,559.798,342.222066667,429.697,438.1818,437.373533333,435.555533333
210.28,290.908933333,436.565533333,423.838333333,510.303133333,307.070733333,393.737466667,395.757466667,403.434333333,388.8888
210.66,348.985533333,559.999933333,528.695666667,648.115933334,358.550733334,502.898466666,489.855133333,506.376733333,482.898666667
211.03,382.3188,585.797133333,551.304333333,675.072533333,371.304266667,533.913066666,503.188266667,544.347733334,506.956466667
211.41,663.809466667,1009.04766667,948.095133333,1141.90473333,647.6192,926.190466667,854.761999999,936.666666667,880.476200001
211.79,2966.66673333,4626.66673334,4353.33333333,5215.55553333,2920.0,4193.33333334,3824.44433334,4273.33326666,3915.55546667
212.17,-797.333333334,-1332.0,-1227.33333333,-1476.0,-816.666666666,-1168.0,-1100.0,-1220.0,-1108.0
212.55,-506.6666,-896.666799999,-819.999999999,-967.142800001,-530.4762,-743.809466667,-737.142866667,-825.714266668,-715.7142
212.92,-401.176533333,-705.490199999,-643.529466667,-759.215666667,-416.862733333,-546.274466667,-590.588066667,-668.627533333,-573.333266667
213.30,-123.259333333,-250.962866667,-209.1852,-253.1852,-131.999933333,-167.407333333,-196.888733333,-219.703866667,-184.296266667
213.68,-130.077533333,-267.4418,-215.1938,-259.2248,-135.0388,-171.0078,-199.845,-231.317733333,-195.348866667
214.06,-206.4706,-376.274533333,-315.490066667,-366.862666667,-202.941133333,-253.9216,-278.235266667,-349.4118,-269.411666667
214.44,-186.201466667,-306.666666667,-260.31,-300.775133333,-169.302333333,-205.426333333,-232.558133333,-293.178266667,-228.837066667
214.81,-380.2564,-570.0,-513.333333333,-576.666666667,-362.8204,-401.538466667,-459.230733333,-559.230866667,-455.8974
215.19,-208.547,-336.0684,-303.931666667,-345.982866667,-207.6924,-230.4274,-266.837533333,-334.700933333,-267.692333333
215.57,-169.3334,-286.3704,-257.7778,-294.814933333,-174.370333333,-192.148133333,-225.0372,-288.0,-224.296333333
215.95,-157.777666667,-259.607866667,-232.941133334,-268.104533333,-159.869266667,-180.522866667,-212.6798,-263.1372,-211.111066667
216.32,-155.277866667,-262.5,-228.0556,-271.805533333,-151.111133333,-177.222266667,-211.2502,-268.3334,-212.638866667
216.70,-187.907,-299.689866667,-262.480733333,-315.1938,-179.844866667,-208.372133333,-246.356666667,-302.170533333,-247.906933333
217.08,-174.545466667,-280.151533334,-246.969666667,-298.787866666,-166.818133333,-199.393933333,-231.9696,-277.272666667,-232.727266667
217.46,-225.000066667,-331.666733333,-314.8148,-365.185266667,-192.592733333,-240.370333333,-284.814933333,-339.999866667,-282.222266667
217.83,-254.375,-363.958333333,-361.875,-407.708333333,-222.291666667,-266.666666667,-325.0,-384.583333333,-317.291666666
218.21,-257.011466667,-365.977,-370.574666666,-425.057533333,-233.103333333,-270.114933333,-354.023,-399.999866667,-333.333333333
218.59,-482.083333333,-662.499999999,-670.416666667,-778.75,-435.416666667,-497.916666666,-659.166666667,-709.583333333,-611.25
218.97,-494.6666,-661.333266667,-657.777800001,-788.000066667,-422.2222,-504.888866666,-669.333266667,-715.555533334,-596.444333333
219.34,-2.62923216882e+15,-3.3329196106e+15,-3.38622926528e+15,-4.03873943856e+15,-2.16437198001e+15,-2.61004069314e+15,-3.39475881003e+15,-3.64638038012e+15,-3.04291508914e+15
219.72,-4.52065871687e+15,-5.8299438358e+15,-6.19671426001e+15,-7.3823209801e+15,-3.60373265637e+15,-4.59742461961e+15,-6.01332904791e+15,-6.3800994721e+15,-5.22008138627e+15
220.10,629.697000001,827.878799999,870.303066667,1033.93946667,538.787933334,652.121266666,822.4242,895.151533334,709.090799999
220.47,588.333266667,766.666599999,822.777666667,941.110999999,535.0,640.000000001,763.333466667,802.777666667,659.999933333
220.85,735.833333335,1012.5,1124.16666667,1265.83333333,689.166666667,910.833333333,979.166666667,1067.5,889.166666666
221.23,471.282133333,670.769133333,739.487266667,801.025600001,476.410333333,626.666733334,636.410266667,709.230866666,587.692466667
221.61,-5393.33333334,-8446.66666666,-9000.0,-9906.66666667,-6080.00000001,-8013.33333333,-7900.00000001,-8880.00000001,-7626.66666667
221.98,-789.999866667,-1344.44446667,-1424.44446667,-1545.55553333,-911.111066666,-1301.11113333,-1245.5556,-1347.77766667,-1121.11106667
222.36,-272.916666667,-497.500000001,-522.916666667,-539.166666666,-313.75,-463.333333333,-435.833333333,-471.25,-391.666666667
222.74,-100.0,-223.125,-240.416666667,-236.458333333,-133.958333333,-206.25,-188.333333333,-211.25,-156.25
223.11,-71.1712666668,-180.180133333,-200.360266667,-186.666666667,-104.504533333,-160.720733333,-147.207133333,-167.3874,-118.5586
223.49,-63.9999333334,-153.6296,-168.7408,-152.296266667,-97.7777333333,-134.6668,-125.777733333,-135.407333333,-97.7777333334
223.87,-65.0666666666,-143.6,-151.6,-142.4,-93.6000000001,-115.6,-120.8,-128.0,-92.1333333334
224.24,-72.0261999999,-144.705733333,-156.862733333,-144.313733333,-93.8561333335,-113.5948,-128.366,-127.0588,-93.7254
224.62,-78.0556666667,-157.2222,-168.055533333,-152.499933333,-101.111266667,-111.9446,-140.416666667,-137.916666667,-99.7221333334
225.00,-43.1481333333,-96.6666666667,-101.018533333,-93.2405999999,-59.1665999999,-58.889,-82.9629333333,-83.3332666667,-54.2591999999
225.38,-23.1325333333,-66.2651333333,-72.6104666667,-61.9278,-33.735,-34.0561333334,-53.3332,-57.3493333333,-27.229
225.75,-31.7115999999,-74.3242,-87.3874000001,-71.2612666666,-41.2612666667,-40.0901333334,-61.4414666667,-70.7206666666,-30.9010666667
226.13,-52.1394,-98.01,-106.965133333,-97.9103333335,-66.8657333333,-62.8855333333,-85.9701333333,-99.5026666667,-55.9204000001
226.51,-58.6112000001,-96.1111333333,-101.851933333,-94.9074666668,-68.7962666667,-64.537,-84.6296,-102.222266667,-60.0000666667
226.88,-57.2016666667,-80.2469333334,-88.4772666666,-84.2798666666,-57.6956666666,-56.8724666666,-70.6172666666,-85.4319999999,-51.6048666667
227.26,-32.7433333333,-50.9144666666,-54.5133333333,-51.2094000001,-30.5014666667,-31.2684,-42.9499333333,-51.2683999999,-29.9114666667
227.64,-29.5392666667,-47.9132666666,-49.1597999999,-48.1841333333,-26.6666,-29.5392666667,-38.9160666667,-48.9432,-28.8888666667
228.01,-25.39,-41.1348000001,-43.4042666667,-40.3309333334,-24.208,-27.0921333333,-33.3805333333,-43.9243333333,-25.201
228.39,-10.8098,-23.0131333333,-24.934,-21.6572666667,-10.3578666667,-11.4500666667,-16.3088,-26.8549333333,-10.5084666667
228.76,-8.03833333334,-17.8946666667,-19.4896666667,-18.1499333333,-7.30453333334,-10.2073333333,-12.3126666667,-21.0844,-7.24066666666
229.14,-8.46933333333,-17.3391333333,-18.7696,-17.1674,-6.69519999999,-11.7882666667,-12.7611333333,-20.6866666667,-7.72540000001
229.52,-9.34386666667,-17.6379333333,-19.3963333333,-19.2652,-7.2704,-12.4146666667,-14.3044666667,-20.7874,-9.02886666667
229.89,-10.3078666667,-19.4102,-20.7948,-21.8717333333,-9.15380000001,-14.9230666667,-16.077,-21.5641333333,-10.0000666667
230.27,-6.31939999999,-14.213,-15.787,-17.2684666667,-4.76840000001,-10.1158666667,-10.7638666667,-15.7638666667,-5.90266666666
230.65,-7.94086666666,-16.132,-18.0431333333,-19.5221333333,-6.0296,-12.3778,-11.8772666667,-16.5642,-7.09893333332
231.02,-8.41760000001,-19.5287333333,-20.4715333333,-21.5262666667,-7.67673333333,-14.3432666667,-13.9620666667,-19.6408666667,-8.97866666667
231.40,-10.5747333333,-22.7815333333,-22.7817333333,-24.6665333333,-11.1265333333,-17.9079333333,-16.4828666666,-24.1838,-11.3793333333
231.78,-7.27866666667,-19.7378,-18.6666,-19.694,-8.15306666667,-14.7104,-13.7048666667,-20.0873333333,-7.0382
232.15,-5.84119999999,-17.8836,-16.2962666667,-17.5662,-6.09526666667,-13.1427333333,-11.7884,-17.2699333333,-4.88873333332
232.53,-9.37713333334,-21.9890666667,-19.9127333333,-21.8798,-9.81426666667,-18.1201333333,-14.9946666667,-21.4646,-8.54639999999
232.90,-10.1920666667,-22.9152,-20.113,-22.2148,-9.19766666666,-18.5989333333,-14.2146666667,-23.1186666667,-8.06786666667
233.28,-12.8604,-24.7044666667,-22.9551333333,-25.2246,-11.5602666667,-20.3782,-16.7848,-25.792,-9.5744
233.66,-11.9383333333,-23.5224666667,-22.246,-23.1916,-11.3002666667,-19.4798666667,-15.5790666667,-23.5933333333,-8.13226666667
234.03,-7.49173333335,-18.0890666667,-15.5483333333,-16.6342666667,-5.66773333333,-13.7676666667,-10.532,-17.09,-3.62659999999
234.41,-3.21620000001,-15.3141333333,-11.6080666667,-11.3950666667,-1.91693333334,-9.86159999999,-7.26306666667,-13.8871333333,0.489799999999
234.78,3.40226666667,-9.81333333334,-5.21140000001,-5.64406666667,3.83466666667,-3.12673333333,-2.02566666667,-8.22033333335,5.48673333333
235.16,4.8902,-7.25879999999,-2.82713333333,-3.05626666667,5.27226666667,-1.22266666667,-0.744866666666,-5.99820000001,6.78133333333
235.54,8.25566666668,-3.06840000001,0.639333333326,-0.091333333332,8.8766,2.55693333334,2.81286666667,-1.31493333335,9.82646666669
235.91,9.08753333333,-2.76419999999,1.17433333332,-0.849133333334,9.34046666665,2.96293333334,3.43266666667,-0.614266666668,9.88246666667
236.29,7.3262,-5.59713333333,-0.05353333334,-3.20853333333,8.05706666668,1.08746666666,1.9786,-1.9608,8.34233333333
236.66,7.1528,-5.8158,0.052066666674,-3.42019999999,7.79506666665,0.36453333336,1.73613333333,-1.18046666666,8.81946666667
237.04,8.30413333333,-4.5112,1.08613333335,-2.38933333333,8.42106666666,1.48706666668,3.19146666666,0.183666666668,10.5262666667
237.41,8.92146666666,-4.82020000001,1.01306666667,-1.53586666667,8.90519999999,1.87926666666,4.90193333334,1.20920000001,10.3922
237.79,6.56966666667,-7.26546666667,-0.32366666668,-3.3494,7.34626666667,0.906133333328,4.14233333333,-1.1004,8.02580000001
238.17,5.39153333332,-8.78133333333,-1.67880000001,-4.77793333333,5.84340000001,-0.048333333326,3.45460000001,-3.47059999999,6.94113333333
238.54,2.59433333333,-9.90573333333,-4.44960000001,-7.64153333335,3.56913333333,-1.7138,1.44666666665,-5.56613333333,4.74833333333
238.92,-1.4332,-12.3364666667,-7.2586,-9.93766666668,-0.342600000001,-4.96886666667,-1.6512,-8.52019999999,1.77566666667
239.29,-2.58273333333,-12.8678,-8.25826666667,-10.2703333333,-1.44146666667,-6.21606666667,-2.23713333333,-9.41433333333,0.885999999987
239.67,-4.95759999999,-14.3078666667,-10.5931333333,-11.709,-4.37853333333,-8.92640000001,-4.80226666667,-11.7513333333,-0.678133333332
240.04,-4.43159999999,-12.2222,-9.73173333334,-9.88506666667,-3.95926666667,-7.53519999999,-3.66533333334,-10.9324,-0.395933333327
240.42,-1.605,-7.41853333333,-6.3074,-5.97086666667,-1.33573333333,-3.27720000001,-0.437733333334,-7.22773333333,2.57013333334
240.79,0.848133333333,-4.08266666666,-3.7278,-2.98806666666,0.789,-0.38466666666,2.06106666667,-4.11253333333,4.85220000001
241.17,1.469,-2.95520000001,-3.12713333334,-1.97586666667,0.601466666665,0.309333333332,1.72686666667,-3.37620000001,4.65633333333
241.54,0.578733333334,-2.80093333333,-3.12506666667,-2.16826666667,-0.3086,0.100400000002,0.825733333335,-3.62653333333,4.45213333333
241.92,0.757866666666,-1.86673333333,-2.50526666667,-1.34726666667,-0.126133333335,0.6878,0.898266666667,-2.77173333333,4.8982
242.29,0.3324,-1.90286666666,-2.50893333333,-1.20539999999,-0.254266666666,0.625733333334,0.462666666666,-2.39813333334,4.79633333333
242.67,0.286333333333,-2.1476,-2.2534,-0.871333333326,-0.286399999998,0.840333333332,0.429600000001,-2.1724,4.95486666667
243.05,1.11313333333,-1.2644,-1.47606666667,-0.1574,0.568666666667,1.62106666667,1.1616,-1.24633333333,5.7956
243.42,1.73553333333,-0.861933333333,-0.967466666669,0.08206666666,1.04366666667,2.3396,1.61246666667,-0.750400000001,6.1742
243.80,2.2906,-0.438800000001,-0.319066666665,0.831999999994,1.86893333334,3.00853333333,2.38166666667,-0.0399333333354,6.49013333333
244.17,1.49906666667,-1.11573333333,-0.935533333334,0.4508,1.51013333333,2.4344,1.72453333333,-0.354933333332,6.3284
244.55,0.889599999999,-1.73486666667,-1.78473333333,0.111133333334,0.900733333333,1.5846,0.989666666668,-1.1288,5.73806666667
244.92,0.788666666667,-1.56146666667,-1.5352,0.41,1.08833333333,2.12406666667,0.972666666666,-1.05666666667,5.87266666667
245.30,1.394,-0.621266666666,-0.498800000003,1.36466666667,1.94186666667,3.1548,2.04953333333,0.112533333333,6.76453333334
245.67,2.11486666667,0.0770666666666,0.317666666669,2.12846666667,2.782,3.80293333333,2.61846666667,0.821399999998,7.37466666667
246.05,2.72113333333,0.574799999999,0.843666666667,2.378,3.14306666667,3.9702,2.93626666667,1.12493333333,7.84533333334
246.42,2.97713333333,0.814066666666,1.0288,2.589,3.12793333333,4.14166666667,3.15053333333,1.23986666666,7.8878
246.79,3.3868,1.412,1.5224,2.8932,3.5284,4.46746666667,3.60073333334,1.67446666667,8.22713333333
247.17,3.18346666667,1.31606666667,1.4594,2.72473333333,3.26646666667,4.3786,3.47666666667,1.5518,8.11346666666
247.54,2.75826666667,1.07706666667,1.2722,2.6422,2.95046666667,4.16466666667,3.35013333333,1.40973333333,8.03353333333
247.92,2.85886666667,1.299,1.6162,2.77286666667,2.95073333333,4.52846666667,3.538,1.61333333333,8.21159999999
248.29,3.6548,2.26466666666,2.48486666667,3.5072,3.61706666667,5.42726666667,4.3788,2.47606666667,8.856
248.67,3.70293333333,2.29726666667,2.65666666667,3.4838,3.64773333333,5.5618,4.38706666667,2.5484,8.94059999999
249.04,3.2178,1.7276,2.0894,2.85906666667,3.1752,4.89673333333,3.8686,1.90086666667,8.34853333334
249.42,2.73106666667,1.285,1.55233333333,2.3254,2.86953333333,4.38326666667,3.49753333333,1.39133333333,7.9098
249.79,2.65646666667,1.13946666667,1.33673333333,2.23473333333,2.73466666667,4.2552,3.43533333333,1.28906666667,7.87759999999
250.17,2.36653333333,0.964866666666,1.28053333333,2.15753333333,2.6564,4.01393333333,3.39033333333,1.20346666667,7.77840000001
250.54,2.7028,1.4338,1.64193333333,2.51026666667,3.16253333333,4.49793333333,3.88533333333,1.68533333333,8.26180000001
250.92,2.29613333333,0.997333333333,1.06426666666,2.09093333333,2.70273333333,4.02693333333,3.50293333334,1.38286666667,7.87353333333
251.29,2.76486666667,1.51293333333,1.4332,2.57466666667,3.1098,4.38833333333,4.14953333333,2.07466666667,8.29020000001
251.66,3.46266666667,2.34946666667,2.0676,3.122,3.92186666667,5.02606666667,4.80333333333,2.84933333333,8.75706666668
252.04,3.43566666667,2.36633333333,1.88286666667,3.1706,3.91913333333,4.67693333333,4.56533333333,2.8498,8.66566666667
252.41,2.95713333333,1.87846666667,1.4288,2.96666666667,3.60533333333,4.1684,4.04066666667,2.45093333333,8.36999999999
252.79,3.36166666667,2.17973333333,1.9102,3.43266666667,4.1986,4.61466666667,4.6808,2.85106666667,8.76106666667
253.16,4.14106666667,2.633,2.61893333333,4.071,4.53773333333,5.19146666667,5.22873333333,3.8096,9.16433333333
253.54,4.48546666667,2.6498,2.9856,4.36240000001,4.386,5.28973333333,5.19993333333,3.9082,9.5292
253.91,5.14806666667,3.23626666667,3.55166666667,4.93926666668,4.71126666667,5.81279999999,5.7206,4.4396,10.0970666667
254.28,5.29093333333,3.17246666667,3.40013333333,5.05813333334,4.6078,5.88960000001,5.59266666667,4.3256,9.90353333333
254.66,5.07133333334,2.8128,3.07693333333,4.59453333333,3.89546666667,5.1956,5.294,3.82793333333,9.52613333334
255.03,5.8368,3.41686666667,3.91273333334,5.35166666666,4.3492,5.66433333334,6.06846666667,4.1822,10.1751333333
255.41,5.30733333333,2.3632,2.9442,4.51213333332,3.43486666667,4.75466666667,5.0592,2.79746666667,9.419
255.78,4.78846666667,1.62893333333,2.14486666666,3.75646666667,2.32473333333,3.87826666667,3.97106666667,1.82033333333,8.7014
256.15,3.42946666667,-0.005866666668,0.560000000001,2.4148,0.886733333334,2.51393333333,2.72966666667,0.384933333334,7.36079999999
256.53,3.17386666667,-0.758733333335,0.0348666666668,2.05033333333,0.498266666668,2.2126,2.57753333333,-0.052066666668,6.9388
256.90,2.44766666666,-1.492,-0.748733333333,1.4082,-0.4582,1.70993333333,1.6822,-0.737733333335,6.33139999999
257.28,1.77866666667,-1.64313333334,-1.0798,0.949399999998,-0.787666666667,1.52326666667,1.205,-1.4032,6.17633333333
257.65,1.6516,-1.42886666667,-1.19226666667,0.974266666668,-0.598466666667,1.72573333333,1.17373333333,-1.35013333333,6.0728
258.02,1.7752,-0.935799999998,-0.558333333332,1.35746666667,-0.160599999999,2.28913333333,1.494,-0.755133333332,6.24486666667
258.40,2.05053333334,-0.377733333333,-0.1478,1.69,0.3298,2.8234,1.9338,-0.209533333332,6.6872
258.77,2.62973333333,0.506799999999,0.727533333335,2.52533333333,1.20446666667,3.81633333333,2.59686666667,0.784200000001,7.40613333333
259.15,2.86353333333,1.0768,1.20873333334,3.13013333333,1.81046666667,4.43393333334,2.96913333333,1.49646666667,7.83313333334
259.52,3.2952,1.90073333333,2.004,3.76773333333,2.59673333333,5.18586666667,3.60706666667,2.3232,8.38726666667
259.89,3.635,2.3202,2.49073333333,4.1356,3.07646666666,5.7624,4.15586666667,2.9282,8.84333333332
260.27,4.09873333333,3.05086666667,3.12653333333,4.77413333333,3.6202,6.41333333333,4.80033333333,3.65053333333,9.46393333333
260.64,4.24613333333,3.3568,3.31193333333,4.8496,3.7236,6.48973333333,4.9094,3.77706666667,9.62893333331
