wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
759.75,12.9428666667,39.8266,27.9648,25.31,12.7476,10.7345333333,14.0459,11.3469333333,13.4481333333
760.07,13.2073333333,39.811,27.9170666667,25.1157333333,12.8874,10.9124,14.1827666667,11.5665333333,13.646
760.38,12.4346666667,39.2926666667,27.2892,24.358,12.1754666667,10.2446,13.4023,10.9204666667,12.9528666666
760.69,12.4513333333,39.1967333333,27.3007333333,24.3926666667,12.0652666667,10.311,13.4656,10.9927333333,13.0425333333
761.01,12.4122666667,39.3501333333,27.4638,24.4132666667,12.0010666667,10.2362,13.4501333333,11.0636,12.922
761.32,12.4115333333,39.2478666667,27.5047333333,24.4559333334,12.0896666667,10.3275333333,13.3933333333,11.1201333333,12.8691333333
761.63,12.5126,39.3625333333,27.5944666667,24.5623333333,12.3161333333,10.3514,13.5951666667,11.2508,13.0713333333
761.94,12.7091333333,39.4893333333,27.6355333333,24.8024666667,12.4129333333,10.7504,13.6558666667,11.3934666667,13.2955333333
762.26,12.7186666667,39.5248,27.7362666667,24.8225333333,12.4153333333,10.7734,13.577,11.3862,13.3656
762.57,12.9691333333,39.5716,27.9267333333,25.1183333333,12.6361333333,11.0195333333,13.7502,11.5474666667,13.6585333333
762.88,13.1443333333,39.7902,28.0876666667,25.257,12.9892666667,11.2149333333,14.0581,11.8706666667,13.9816
763.20,13.5071333333,40.2238,28.4118666667,25.6682666667,13.3962666667,11.7563333334,14.4601333334,12.2851333333,14.4850666667
763.51,13.469,40.3410666667,28.6028666667,25.8818666667,13.4672,11.7657333333,14.5204666666,12.2919333333,14.5159333333
763.82,13.7592,40.6800666667,28.9681333333,26.2426,13.8012666667,12.209,14.8687666667,12.6899333333,14.8414666667
764.14,13.7390666667,40.7178666667,29.0332,26.316,14.0034666667,12.4539333333,14.9068,12.8431333333,14.9232
764.45,13.8083333334,40.6614666667,29.0291333333,26.3480666667,14.1680666667,12.6047333334,14.9348666667,12.9345333333,15.1146
764.76,13.7308666667,40.6306,29.1506666667,26.357,14.1797333333,12.6682,15.0234,13.0047333333,15.2996666667
765.07,13.6814,40.7162,29.1435333333,26.4915333333,14.1291333333,12.8437333333,14.9427666667,13.0728666667,15.2212666667
765.39,13.2874,40.5828,28.9982,26.2488,13.8828,12.5122,14.7028666667,12.8464,14.9504
765.70,12.8983333333,40.3158,28.6033333333,25.8186666667,13.4504666667,12.026,14.3026666667,12.4742666667,14.5766666667
766.01,12.4810666667,40.1025333333,28.2314666667,25.3301333333,13.0422666667,11.7219333333,14.0051666667,12.1224666667,14.1320666667
766.32,11.9062666667,39.5439333333,27.7553333333,24.8080666667,12.3278666667,11.2810666667,13.3222333333,11.4012666667,13.5172
766.64,11.422,39.122,27.3944666667,24.2891333333,11.8596666667,10.7097333333,12.8917333333,10.8545333333,12.9370666667
766.95,11.2354,38.9280666667,27.1554,24.0124666667,11.5566,10.528,12.6718666667,10.6278,12.5908666667
767.26,11.0989333333,38.5962,26.8848,23.708,11.2528,10.1539333333,12.4075,10.3412,12.3069333333
767.57,10.9834,38.3180666667,26.443,23.2302,10.7278,9.67620000001,12.0419666667,9.90266666667,11.9388666667
767.88,10.6696,38.0750666667,25.982,22.9400666667,10.2612,9.20413333334,11.7116333333,9.38753333335,11.4626666667
768.20,10.1716666667,37.43,25.3042,22.3657333333,9.57426666665,8.40066666667,10.9645333333,8.47793333333,10.6146666667
768.51,9.70193333333,36.7660666667,24.8301333333,21.7530666666,8.84940000001,7.63773333333,10.3396333333,7.56413333334,9.88459999998
768.82,9.23906666667,35.8469333333,24.0976,20.9686666667,8.08386666667,6.97119999999,9.67766666666,6.84033333334,9.226
769.13,9.16193333334,35.7038666666,24.0838,20.8397333333,7.89740000001,6.85546666667,9.48566666666,6.5182,8.91586666667
769.44,8.79773333334,35.4574,23.6804,20.5364,7.31860000001,6.29146666667,8.90120000001,5.97626666667,8.57333333333
769.76,8.26126666667,35.13,23.1566,20.0614,6.73526666667,5.45086666667,8.35506666667,5.54846666667,7.91119999999
770.07,7.46186666667,34.4854666667,22.2454666667,19.4366666667,6.00046666667,4.61633333333,7.47286666667,4.7414,7.03853333333
770.38,7.09713333333,34.0446,21.8190666667,19.0978666666,5.59593333333,4.3946,7.07286666667,4.2298,6.76393333333
770.69,6.4134,33.4524666667,21.2704666667,18.484,4.9856,3.7228,6.43443333333,3.48866666667,6.1102
771.00,6.34046666667,33.3838666667,21.2658666667,18.5517333333,5.09806666667,3.86326666667,6.36763333333,3.5838,6.08806666667
771.32,6.54793333333,33.5627333333,21.5666666667,18.8684,5.1474,4.08713333333,6.51033333333,4.00793333333,6.62713333333
771.63,7.21033333333,34.4572666667,22.1586666667,19.5576666667,5.83886666667,4.64606666666,6.93856666667,4.80013333333,7.49433333333
771.94,7.1186,34.7463333333,22.1977333333,19.5646666667,6.145,4.74846666667,6.9747,5.1346,7.7306
