wavelength,Back_AcaBaif,Belly_AcaBaif,Breast_AcaBaif,Crissum_AcaBaif,Crown_AcaBaif,DorTail_AcaBaif,Rump_AcaBaif,Throat_AcaBaif,WingTip_AcaBaif
586.04,9.93120000001,21.8007333333,15.3919333334,22.0555333333,8.468,11.2126,10.3657,17.8063333333,12.2685333334
586.38,9.97104444443,21.8102,15.4083333333,22.1011333333,8.50786666667,11.2062666667,10.3729,17.8429333333,12.2823333333
586.72,10.032,21.8424,15.4756,22.1291333333,8.5454,11.2451333333,10.3822333333,17.8576666667,12.3139333333
587.06,10.0520444444,21.8416,15.4795333333,22.1518,8.55766666667,11.2266666667,10.3885666667,17.8446666667,12.3005333333
587.39,10.0509333333,21.8048,15.4598666667,22.1650666667,8.53833333333,11.2254,10.3987333333,17.8546666667,12.2972
587.73,10.0417111111,21.8202,15.4760666667,22.1664666667,8.567,11.2216,10.4202333333,17.8119333333,12.2556666667
588.07,10.075,21.8696666667,15.5048,22.2199333333,8.5876,11.2614,10.4384666667,17.8183333333,12.3100666667
588.41,10.1512444445,21.9706666667,15.6178,22.3033333333,8.69233333333,11.3672666667,10.5472333333,17.8936,12.4021333334
588.74,10.136,21.9256666666,15.605,22.2572,8.66466666667,11.366,10.5344666667,17.8677333333,12.3836
589.08,10.1804888889,21.9724666667,15.6383333333,22.2929333333,8.709,11.4294666667,10.5722,17.9097333333,12.4136666666
589.42,10.2137111111,22.0212,15.6534666667,22.3346,8.7542,11.4837333333,10.6190333333,17.9421333333,12.4139333333
589.76,10.2501555556,22.0448666667,15.702,22.3554666667,8.76973333333,11.5466666667,10.6471666667,17.9265333333,12.4468666667
590.09,10.2378222222,22.0298666667,15.7074,22.3362,8.7416,11.5975333333,10.6615,17.9194666667,12.4624666666
590.43,10.2091333333,21.9937333333,15.6696666667,22.3434666667,8.71106666667,11.5818666667,10.6587,17.8972,12.4544
590.77,10.2433777778,22.0762666667,15.7178666667,22.3871333333,8.77813333333,11.653,10.7193,17.9374666667,12.4948
591.11,10.2663555555,22.1067333333,15.7756666667,22.4077333333,8.813,11.7083333333,10.7607666667,17.9486,12.5169333333
591.44,10.3308888889,22.1254666667,15.8189333333,22.4588666667,8.82993333333,11.7556,10.8289,17.9896666667,12.5886666666
591.78,10.2975333333,22.1106666667,15.832,22.4536666667,8.81746666667,11.7886,10.8457666667,18.0122,12.5781333333
592.12,10.2640222222,22.0695333334,15.7881333333,22.4424666667,8.78206666667,11.7448,10.7869,17.9516666667,12.5598
592.46,10.3050444444,22.1168666667,15.8261333333,22.5063333333,8.83446666667,11.7802666667,10.8050666667,17.9988,12.5958
592.79,10.3318222222,22.1482666667,15.8481333333,22.595,8.87833333333,11.8111333333,10.8326666667,18.0646666667,12.6422666666
593.13,10.4006,22.2013333333,15.9291333333,22.6588666667,8.92966666667,11.8527333333,10.8894666667,18.1140666667,12.7242
593.47,10.4675555556,22.2807333334,15.9837333333,22.7306,9.01373333333,11.9114666667,10.9468333333,18.1828666667,12.7758
593.80,10.4970888889,22.3249333333,16.0287333333,22.7868,9.02453333333,11.9182666667,10.9749,18.2149333333,12.8147333333
594.14,10.5213555555,22.3822666667,16.0866,22.8310666667,9.06893333333,11.9512,11.0033333333,18.2895333333,12.8546
594.48,10.4836444444,22.3036666667,16.0484666666,22.7840666667,9.01346666667,11.8863333333,10.9249666667,18.2529333333,12.8194
594.81,10.4514222222,22.2974666667,16.0364666667,22.7396,8.97726666667,11.7976,10.8752666667,18.2388666666,12.8196666666
595.15,10.4105777778,22.2882,16.0202666666,22.7304666667,8.97553333333,11.7552,10.8251,18.2612,12.8142666667
595.49,10.3631333333,22.2205333333,15.9476,22.7048666667,8.93606666667,11.696,10.7468333333,18.2112666667,12.7478
595.82,10.3352666667,22.2030666667,15.9512,22.6860666667,8.94933333333,11.7207333333,10.7485666667,18.2292666667,12.7248
596.16,10.313,22.1690666667,15.9396,22.6432,8.904,11.6831333333,10.7429666667,18.1858,12.6894
596.50,10.2437111111,22.1051333333,15.8804666667,22.5654666667,8.83626666667,11.6380666667,10.6788333333,18.105,12.6122
596.83,10.1909555556,22.0409333333,15.8330666667,22.5240666667,8.80213333333,11.5794666667,10.6164333333,18.0709333333,12.5715333333
597.17,10.1322444445,21.9838666667,15.7733333333,22.5047333333,8.7444,11.5162666667,10.5723,18.0248666667,12.5210666667
597.51,10.1305111111,21.9909333333,15.8164666667,22.5307333333,8.76353333333,11.5344666667,10.588,18.0434,12.5301333333
597.84,10.0734222222,21.9718,15.7698,22.5028666667,8.73106666667,11.4920666667,10.5571333333,17.9735333333,12.4942
598.18,10.0823333333,22.0361333333,15.7990666667,22.5570666667,8.7738,11.5347333333,10.6132333333,18.0069333333,12.5339333333
598.52,10.0914,22.0415333333,15.7877333333,22.5896,8.80893333333,11.5668,10.6423333333,18.0108666667,12.5256
598.85,10.0594444444,21.9956666667,15.7405333333,22.5634,8.76053333333,11.5326,10.6000666667,17.9441333333,12.4638666667
599.19,10.0754888889,21.9992666667,15.7452666667,22.5858,8.75313333333,11.5471333333,10.6118666667,17.9727333333,12.4965333333
599.53,10.1321555555,22.0334666667,15.7630666667,22.6489333333,8.7732,11.5627333333,10.6523,17.9674,12.5058
599.86,10.1558888889,22.0741333333,15.8012,22.6923333333,8.81653333333,11.6044,10.6853333333,18.0342666667,12.5422
600.20,10.1789555555,22.1042,15.8204666667,22.7252666667,8.84386666666,11.6135333333,10.7412,18.0583333333,12.5714666667
600.53,10.1932,22.1272,15.8384666667,22.7324,8.867,11.6554,10.7582333333,18.0548,12.5754666667
600.87,10.2345111111,22.1921333334,15.9244,22.7702,8.91233333333,11.6938,10.8126,18.1107333333,12.614
601.21,10.2311777778,22.2286,15.8935333333,22.7802,8.94306666667,11.6998,10.8008333333,18.1193333333,12.6190666667
601.54,10.2343777778,22.2184666667,15.8876666667,22.7778666667,8.95306666667,11.6951333333,10.7888,18.1342,12.5896
601.88,10.2328222222,22.1618,15.8621333333,22.7621333333,8.88826666667,11.7008,10.7457333333,18.0964,12.5824666667
602.21,10.1788222222,22.0978,15.8234,22.7218,8.82866666667,11.6795333333,10.6715666667,18.047,12.5389333333
602.55,10.1887111111,22.1187333333,15.8756,22.7156666667,8.85373333333,11.7141333333,10.6966,18.0874,12.5792666667
