wavelength,Back_BanArcf,Belly_BanArcf,Breast_BanArcf,Crissum_BanArcf,Crown_BanArcf,DorTail_BanArcf,Patch10_BanArcf,Rump_BanArcf,Throat_BanArcf,WingTip_BanArcf
219.72,-987.037037038,-811.111111111,-781.25,-795.833333334,-842.361111112,-708.333333333,-1006.94444445,-846.759259258,-791.666666667,-720.555555556
220.10,-886.625592593,-730.864222222,-699.382777778,-713.580222222,-752.46911111,-666.975111111,-895.061555557,-750.617518518,-726.543333333,-656.419822222
220.47,-638.37037037,-527.111111111,-497.777777778,-524.888888889,-550.666666667,-498.666666667,-638.666666667,-530.222222222,-534.222222222,-474.844444444
220.85,-536.790259259,-445.926,-421.111111111,-434.444333333,-461.111222222,-434.074,-516.666555556,-441.23462963,-457.777777778,-419.629688889
221.23,-631.790259259,-516.203666667,-495.833333334,-514.351888889,-557.870333333,-528.472388889,-603.703777778,-520.215962963,-550.925888889,-484.907422222
221.61,-1917.12962963,-1591.66666667,-1555.55555556,-1540.27777778,-1711.11111111,-1623.61111111,-1805.55555556,-1636.11111111,-1629.16666667,-1525.27777778
221.98,-1902.77777778,-1552.77777778,-1512.5,-1495.83333333,-1743.05555556,-1568.05555556,-1776.38888889,-1595.83333333,-1597.22222222,-1479.72222222
222.36,14774.0740741,11833.3333333,11455.5555556,11355.5555556,13611.1111111,12272.2222222,13500.0,12288.8888889,12466.6666667,11460.0
222.74,-1318.51848148,-1052.52511111,-1010.101,-1017.17177778,-1235.35366667,-1086.86861111,-1226.26266667,-1115.48818518,-1070.70722222,-1036.36362222
223.11,-1051.85188889,-856.349222222,-774.603111111,-800.000000001,-980.158777777,-867.857,-959.523666667,-901.322851852,-852.380888889,-836.031644444
223.49,-986.419851853,-838.518555556,-762.963,-780.740777778,-974.074222222,-848.889,-905.185111111,-850.123629631,-811.111,-771.999977778
223.87,-1361.61618519,-1157.57588889,-1083.83833333,-1090.909,-1371.717,-1198.99,-1274.74744444,-1213.13137037,-1124.24233333,-1117.7778
224.24,-709.814814815,-611.111111111,-561.666666667,-572.222222222,-722.222222222,-646.111111111,-687.222222222,-657.777777778,-587.777777778,-596.333333333
224.62,-582.098814815,-508.796333333,-463.888888889,-473.611222222,-616.666666667,-523.611111111,-569.444666667,-569.753111111,-466.203666667,-502.129733333
225.00,-393.246148148,-337.908333333,-304.248333333,-311.111,-418.954222222,-343.790777778,-398.366,-386.928074074,-309.150222222,-337.581844444
225.38,-339.601111111,-287.179555555,-262.393222222,-261.253666667,-357.265111111,-294.017111111,-349.857555555,-326.115814815,-261.253555556,-289.173711111
225.75,-193.741925926,-155.747111111,-145.785333333,-145.785444444,-204.980777778,-162.356444445,-207.471111111,-185.88762963,-145.593888889,-162.835133333
226.13,-104.357222222,-83.0064444443,-78.9542222222,-77.3854444445,-112.941222222,-93.7253888889,-119.346555556,-107.88662963,-78.5621111111,-92.0259555557
226.51,-70.8994814815,-60.8465555556,-55.5554444444,-54.6029999999,-84.6561111112,-63.0688888889,-85.1852222221,-79.4002222223,-52.2752222222,-64.4867333333
