wavelength,Back_PlaCraf,Belly_PlaCraf,Breast_PlaCraf,Crissum_PlaCraf,Crown_PlaCraf,DorTail_PlaCraf,Rump_PlaCraf,Throat_PlaCraf,WingTip_PlaCraf
297.82,6.62473333333,6.2882,4.9591,5.69341666666,4.1194,5.97426666667,4.9106,4.65802222222,6.8846
298.19,6.69706666667,6.33426666667,4.95023333333,5.774375,4.13676666667,6.06133333333,4.9504,4.62613333333,6.92633333333
298.56,6.6877,6.35786666667,5.0184,5.89708333333,4.19236666667,6.1132,5.02433333333,4.65404444445,6.9502
298.93,6.39346666667,6.14606666667,4.78916666667,5.71275,3.91808333333,5.86446666667,4.68433333333,4.41835555555,6.65913333333
299.30,6.27256666667,6.0916,4.63503333333,5.519125,3.69265,5.76046666667,4.56573333333,4.20486666667,6.4682
299.67,6.28723333333,6.1006,4.5538,5.37295833333,3.62095,5.62746666667,4.41506666667,4.06968888889,6.48546666667
300.04,6.33906666667,6.27306666667,4.7811,5.476625,3.75418333333,5.842,4.50613333333,4.09488888889,6.5632
300.41,6.15233333333,6.17066666667,4.70193333333,5.479125,3.4866,5.68233333333,4.29213333333,3.92093333333,6.26473333333
300.78,6.25963333333,6.4576,4.72996666667,5.73733333334,3.62148333333,5.75373333333,4.42313333333,4.14564444445,6.47953333333
301.15,6.46203333333,6.70246666667,4.79423333333,5.90845833333,3.7591,5.82366666667,4.66093333333,4.20231111111,6.6254
301.52,6.3295,6.61326666667,4.8094,5.68316666667,3.71438333333,5.84193333333,4.60766666667,4.03937777778,6.381
301.89,6.432,6.73206666667,4.85726666667,5.83675,3.86176666667,5.95746666667,4.66746666667,4.20475555556,6.7224
302.26,6.22716666667,6.5918,4.8321,5.82183333334,3.69558333333,5.75893333333,4.56526666667,4.12344444445,6.60906666667
302.63,6.3467,6.68213333333,4.71516666667,5.83016666666,3.72835,5.8634,4.59686666667,4.13828888889,6.61086666667
303.00,6.364,6.54406666667,4.62733333333,5.73645833333,3.71415,5.8486,4.6648,4.16226666667,6.59773333333
303.37,6.6065,6.7582,5.0058,6.05770833333,4.09351666667,6.2122,4.892,4.48893333333,6.8118
303.74,6.48353333333,6.8516,5.01056666667,6.126,4.16145,6.24513333333,5.05433333333,4.53533333333,6.78873333333
304.10,6.2792,6.61293333333,4.69893333333,5.74779166667,3.9673,5.9128,4.81586666667,4.38057777778,6.64733333333
304.47,6.04446666667,6.38026666667,4.30863333333,5.4765,3.65545,5.61986666667,4.6134,4.14688888889,6.3512
304.84,6.1331,6.45973333333,4.5193,5.54783333333,3.91155,5.7498,4.79806666667,4.4068,6.37606666667
305.21,6.10013333333,6.46066666667,4.56043333333,5.543625,3.87633333333,5.818,4.82806666667,4.54517777778,6.42166666667
305.58,6.07176666667,6.33933333333,4.48946666667,5.46529166667,3.76738333333,5.5856,4.87326666667,4.61024444444,6.428
305.95,5.83683333333,6.04013333333,4.21756666667,5.10766666667,3.45293333333,5.23413333333,4.62753333333,4.38722222222,5.97326666667
306.32,5.81273333333,6.13613333333,4.00493333333,4.9705,3.46996666667,5.20713333333,4.67266666666,4.42535555555,5.86206666667
306.69,5.69696666667,5.9328,3.99133333333,4.768375,3.36391666667,4.95813333333,4.58126666667,4.2834,5.80646666667
307.06,5.71646666667,6.0772,4.0818,4.90483333334,3.443,5.0152,4.69973333333,4.25506666667,5.9086
307.43,5.75816666667,6.08806666667,4.0735,4.94816666667,3.55263333333,5.04693333333,4.809,4.3928,5.999
307.80,5.83993333333,6.15173333333,4.17413333333,5.122875,3.58083333333,5.22046666667,4.85733333333,4.45266666667,5.99973333333
308.17,6.11873333333,6.45926666667,4.4016,5.56679166667,3.88268333333,5.5818,5.06693333333,4.77393333333,6.23706666667
308.54,6.279,6.8614,4.7812,5.80020833333,4.24613333334,5.72526666667,5.29473333333,4.97037777778,6.62373333333
308.90,6.1095,6.6322,4.52433333333,5.565875,3.94056666667,5.4956,5.05913333333,4.58995555556,6.4424
309.27,6.06076666667,6.63313333333,4.55463333333,5.5545,4.04208333333,5.41786666667,4.997,4.45953333333,6.35946666667
309.64,6.23446666667,6.86446666667,4.6758,5.86979166666,4.36406666667,5.6722,5.2142,4.60675555556,6.53333333333
310.01,6.4458,7.16413333333,4.9642,6.24025,4.6094,5.80226666667,5.48053333333,4.78337777778,6.7178
310.38,6.49473333333,7.17826666667,4.99406666667,6.42420833333,4.6863,5.80126666667,5.4788,4.80715555556,6.75573333333
310.75,6.6223,7.43613333333,5.08483333333,6.70345833333,4.88403333333,6.0428,5.59193333333,4.94046666667,6.86393333333
311.12,6.66523333333,7.54433333333,5.124,6.76066666667,4.947,6.06693333333,5.62933333333,5.0346,6.85673333333
311.49,6.4149,7.33713333333,4.85573333333,6.63695833333,4.70103333333,5.78246666666,5.31993333333,4.8294,6.60366666667
311.85,6.23976666666,7.22073333333,4.6812,6.46370833334,4.63698333333,5.49806666667,5.0964,4.59153333333,6.4658
312.22,5.95163333333,7.09873333333,4.48496666667,6.18,4.45636666667,5.18266666667,4.89773333333,4.32491111111,6.233
312.59,6.14606666667,7.14893333333,4.6024,6.32604166666,4.63143333333,5.42113333333,5.1038,4.53251111111,6.44366666667
312.96,5.94366666667,7.08486666667,4.4651,6.36045833333,4.51043333333,5.18486666667,5.02986666667,4.35302222222,6.30953333333
313.33,5.84713333333,7.06853333333,4.4305,6.36366666667,4.48345,5.11413333333,5.10926666667,4.35444444444,6.2698
313.70,5.70713333333,6.97006666667,4.29056666667,6.26391666667,4.32765,4.876,4.99946666667,4.22075555556,6.17686666667
314.07,5.75806666667,7.0788,4.3604,6.231875,4.39871666667,4.9446,5.09786666667,4.23957777778,6.24426666667
314.43,5.708,7.087,4.44146666667,6.19716666667,4.33026666667,4.91293333333,5.0678,4.21242222222,6.31306666667
314.80,5.3952,6.8646,4.192,5.91383333333,4.1417,4.61873333333,4.8094,4.01928888889,6.10153333333
315.17,5.47626666667,6.9668,4.2116,5.97104166667,4.25895,4.67446666667,4.80146666667,4.2088,6.22833333333
315.54,5.62973333333,7.1746,4.3499,6.25654166667,4.40766666667,4.72893333333,5.14333333333,4.34984444445,6.37566666667
315.91,5.7657,7.38486666667,4.31016666667,6.33670833334,4.37765,4.79093333333,5.26433333334,4.46977777778,6.48426666667
