wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
187.91,-197.222222222,-164.583333333,-590.625,-170.833333333,-558.333333334,-720.833333333,-408.333333333,120.833333334,0.0,45.8333333335
188.29,-43.4212499998,-71.93,-258.333416666,-71.9298333332,-244.736833333,-318.421166667,-207.0175,45.6141666665,-7.01758333335,-0.8773333335
188.67,3.0466111111,-2.1506666667,-98.925,-30.6451666667,-127.957166667,-143.010666667,-90.8603333335,59.6773333332,41.66675,36.0213333334
189.05,-0.06155555555,0.74083333335,-67.4074166666,-33.3333333334,-95.9259999999,-80.3706666668,-57.0368333335,32.963,42.2221666667,19.2593333333
189.43,20.4732222222,17.5925,-42.74675,-19.753,-68.2098333335,-49.6913333333,-32.7163333333,50.3085,53.858,31.173
189.81,-0.07111111115,-8.11983333335,-74.7863333334,-73.0768333335,-109.829166667,-91.4529999998,-57.2653333335,64.5298333333,51.7091666665,46.154
190.19,12.5001111111,16.6666666667,-21.6665,-20.2381666666,-36.1905,-28.0953333333,-2.61883333335,60.4761666667,44.6429166667,50.4763333333
190.57,6.3099166667,7.40733333335,-20.576,-30.8641666667,-43.8271666667,-33.5391666667,-4.52666666665,52.2635,34.1565833333,36.4198333333
190.95,6.0809722222,16.2161666667,-20.6079166666,-36.4863333334,-46.3963333334,-46.3965,-1.126,60.5855,38.6259166666,38.9638333334
191.33,26.2418611111,30.5881666667,11.8629166667,-15.4903333334,-14.7058333333,-14.5098333333,18.0393333333,71.7648333333,58.0390833333,56.8625
191.71,33.811,31.771,-0.911416666665,-39.5835,-26.8228333334,-33.073,14.5833333334,86.9791666665,74.3488333335,69.5311666667
192.09,30.1769166667,29.1668333333,-18.93925,-74.6213333334,-61.3636666666,-50.7576666667,10.6061666665,118.181833333,84.6591666665,80.682
192.47,46.847,50.0,-9.90991666665,-92.7926666667,-69.3691666667,-60.3605000002,18.018,134.6845,114.18925,88.2883333334
192.85,31.9443888889,59.0276666669,-64.58325,-170.138666667,-125.694333333,-150.694666667,-10.4168333335,150.694333333,124.305416667,81.9445
193.23,233.333333333,-216.666666667,1300.0,2775.0,1908.33333333,2533.33333334,741.666666665,-1275.0,-625.0,-466.666666665
