wavelength,Back_LanVerm,Belly_LanVerm,Breast_LanVerm,Crissum_LanVerm,Crown_LanVerm,DorTail_LanVerm,Patch10_LanVerm,Patch11_LanVerm,Rump_LanVerm,Throat_LanVerm,WingTip_LanVerm
204.60,-70.6382666667,-45.1064,-64.3971333333,-51.2057999999,-55.6736666667,-84.7517666667,-68.2783310345,-97.5177333333,-90.0000666667,-73.5460666667,-83.6172
204.98,-54.2306666667,-32.5642666667,-50.1281333333,-37.4359333333,-45.1283333333,-70.0000333333,-52.9619333333,-82.0512666667,-69.8077333333,-60.3205333333,-64.2629333333
205.36,-39.1326666667,-21.7886,-37.1816666667,-26.4499333333,-35.0135333333,-54.1735,-39.2898528736,-64.0651333333,-50.7317333333,-46.1247333333,-49.3766666667
205.74,-39.9461333333,-21.8278666667,-38.1184,-27.1506,-36.9891333333,-56.1022666667,-40.1964712644,-63.8171333333,-48.9785333333,-47.2581333333,-48.2526
206.12,-35.3286,-19.0753333333,-31.2408,-23.5523333333,-30.8029333333,-47.9077333333,-34.1924,-56.399,-42.5304,-42.3357333333,-41.46
206.50,-23.6406,-10.3547333333,-21.1348,-15.0827333333,-21.4184666667,-38.4634,-24.843954023,-47.896,-33.0969333333,-35.0354666667,-33.8062
206.87,-34.4273333333,-20.6251333333,-29.1146,-26.4584,-31.6147333334,-49.0626333333,-34.577983908,-63.8023333334,-43.9585333333,-46.4063333333,-47.3961333333
207.25,-33.3866666667,-16.2666666667,-28.1066666667,-25.3333333333,-30.5066666667,-47.3333333333,-36.2133333333,-63.7866666667,-43.4666666667,-46.1333333333,-45.36
207.63,-26.8908,-12.4369333333,-21.9608666667,-20.2240666667,-25.5462,-42.7451333333,-31.3107977011,-61.3446,-36.4706,-43.8095333333,-40.4200666667
208.01,-34.9847333333,-20.6728,-31.9266666667,-30.7034,-32.0488666667,-53.8227,-41.7104,-75.7188,-44.4648666667,-52.049,-49.3272666667
208.39,-43.268,-29.9345333333,-41.7646666667,-41.4379333333,-38.6927999999,-62.8431333333,-48.3615586207,-83.8562666667,-48.2353333333,-59.9346666667,-57.5489666667
