wavelength,Back_PlaCram,Belly_PlaCram,Breast_PlaCram,Crissum_PlaCram,Crown_PlaCram,DorTail_PlaCram,Rump_PlaCram,Throat_PlaCram,WingTip_PlaCram
744.02,17.1460666667,40.3362666667,12.9889,48.1852,11.495,17.6483176471,23.4159333333,9.23726666667,19.4204333333
744.34,17.6644333333,40.6636,13.6861666667,48.6211666667,12.0484666667,18.2263960784,23.9490333333,9.66349999999,19.9258666667
744.65,18.1497,40.9352,14.1896666667,48.8493333333,12.5678666667,18.6315568627,24.3585555556,10.0695,20.2355333333
744.97,18.3988666667,41.066,14.2885,48.8734333333,12.7908,18.8501372549,24.4576333333,10.0439333333,20.3497
745.28,18.4291,41.0729333333,14.2828,49.1308,13.0053333333,19.1274,24.6300333334,10.1425,20.5136333333
745.60,18.2183666667,40.6923333333,14.3931333333,48.5289666667,13.1034666667,19.1439176471,24.4626222222,10.0854,20.2678333333
745.91,18.8762666667,41.0612666667,15.0313333333,48.8515,13.7327333333,19.7328843137,25.0255666667,10.5587666667,20.7739
746.23,19.3035666667,41.5106,15.314,49.0620666667,14.2029333333,20.1762666667,25.4099111111,10.8577666667,20.9886666667
746.55,19.7226,41.7463333334,15.8275666667,49.3855333333,14.8314666667,20.6107509804,25.7841555555,11.4664666667,21.3834333333
746.86,20.0616,41.7166666667,15.9885666667,49.3462333333,15.1870666667,20.5568254902,25.9258,11.9059,21.6539333333
747.18,19.67,41.779,15.6601333333,49.3961,14.7823333333,20.3072607843,25.6754111111,11.531,21.3074666667
747.49,20.2785,42.1394666667,16.1978,49.3733666667,15.1688666667,20.785,26.0045666667,11.9829,21.8552
747.81,20.0370333333,42.1118,15.9268666667,48.9093333333,15.0584666666,20.6186745098,25.8630777778,11.7529333333,21.6812333333
748.12,19.6012666667,41.8914666667,15.7416,48.5628,14.5063333333,20.262927451,25.5190111111,11.3294666667,21.3769333333
748.44,19.2057,41.7156666667,15.501,48.2589,14.1541333333,19.991,25.1742777778,11.0872333333,21.0504333333
748.75,18.8445666667,41.412,14.9519333333,47.9617,13.6844666666,19.5820960784,24.7469666667,10.5614666667,20.6123333333
749.07,19.1771666667,41.8664666667,15.0232333333,48.3878666667,13.7425333333,19.8096745098,25.0680555556,10.7590333333,20.8704666667
749.38,18.8571333333,41.5130666667,14.6465666667,48.1738333333,13.3912666667,19.4796254902,24.5806666667,10.608,20.4641333333
749.70,18.6848,41.1688666667,14.5742333333,48.0386333333,13.0753333333,19.2563117647,24.3215666667,10.3868333333,20.3892666667
750.01,18.4238,40.8218666667,14.3408333333,47.5813,12.6530666667,18.8781254902,24.0172222222,9.94336666667,20.1032666667
750.33,17.9725666667,40.8284,14.0324666667,47.5408,12.2608666667,18.6107470588,23.6973444444,9.41463333333,19.7477333333
750.64,17.7654,40.6626666667,13.9927,47.4527333333,12.1162,18.4759333333,23.5579555556,9.15293333333,19.509
750.96,17.5409666667,40.6919333333,14.1756333333,47.5042666667,11.9284666667,18.3392705882,23.5956666667,8.98583333333,19.2867666667
751.27,17.5960333333,40.7182666667,14.0683333333,47.8907333333,11.5723333333,18.1635,23.6645,8.74976666667,19.2257666667
751.59,17.5513,40.6145333333,13.7509666667,47.9294,11.5327333333,18.011854902,23.5841111111,8.3761,19.1165666667
751.90,17.4657,40.6597333333,13.7566,48.1071666667,11.3593333333,17.7788764706,23.7447555556,8.1509,19.1376666667
752.22,17.6180333333,40.7256666667,14.2385,48.2551,11.3238,17.7504392157,23.9250333333,8.26226666667,19.1929333333
752.53,17.6937,40.7290666667,14.3908333333,48.3635,11.5626,17.8325960784,24.0685888889,8.32126666667,19.4077333333
752.85,17.5879333333,40.8857333333,14.2707,48.6454666667,11.5126666667,17.8401686275,24.2833888889,7.85056666667,19.389
753.16,18.1026333333,41.42,14.5881,49.022,12.0626,18.5300803922,24.7589222222,8.32176666667,19.9179333333
753.47,18.2032333333,41.7582,14.5901666667,49.4516666667,12.1546,18.7282784314,25.0784777778,8.326,20.0952666667
753.79,18.8097666667,42.2064,15.1362,50.2025,12.5605333333,19.2862901961,25.5989444445,8.88063333333,20.5900666667
754.10,19.4280333333,42.5884666667,15.5564666667,50.5657666667,12.9379333333,19.5763,26.0496666667,9.36516666667,21.1455
754.42,19.4794,42.7209333333,15.5037666667,50.7040666667,12.9258666667,19.6328470588,26.0572444444,9.57253333333,21.1870666667
754.73,19.476,42.7068,15.6234,50.6418333333,13.0825333333,19.8589509804,25.9278222222,9.68453333333,21.2685333333
755.05,19.5148333333,42.7527333333,15.9714333333,50.8607666667,13.2391333333,20.0727098039,26.0011,10.0775333333,21.3037
755.36,19.8299,43.0392666667,16.4159333333,51.1753666667,13.5047333334,20.3905333333,26.0812888889,10.3057,21.48
755.67,19.8180666667,43.1501333333,16.2011666667,51.2617333333,13.5758666667,20.610154902,25.9966666667,10.3264333333,21.4073
755.99,19.8689666667,43.5629333333,16.1523666667,51.6319666667,13.5431333333,20.7154431373,26.0444444444,10.2688,21.3616666667
756.30,19.8427,43.4512,16.2029666667,51.4307333333,13.3332666666,20.6227784314,25.6896222222,10.4115333333,21.3117
756.62,19.5258666667,43.6438,16.0981,51.702,12.9178666667,20.3800666667,25.4349,10.0918666667,20.9283333333
756.93,19.5335,43.453,16.0619333333,51.5164333333,12.9505333333,20.4500431372,25.1860666667,10.2366333333,20.9196333333
757.24,18.7183333333,42.772,15.4156666667,50.8353333333,12.0904,19.8488764706,24.4729666667,9.59756666667,20.1283333333
757.56,18.3725,42.4241333333,15.1029333333,50.5429666667,11.9792666667,19.6783078431,24.1453444445,9.31486666667,19.7875
757.87,18.217,42.0822666667,14.6871333333,50.3287333333,11.8476,19.4703411765,23.8638777778,8.9667,19.6171666667
758.18,18.6978333333,42.4122,15.1965,50.7332,12.3504666667,19.7254078431,24.2811,9.57436666667,19.9946666667
758.50,18.5587333333,42.4334,14.9559,50.5977666667,12.2192,19.5303137255,24.2325555556,9.37986666667,19.8831
758.81,18.6092,42.3692666666,14.7984,50.5269333333,12.2948666667,19.6641901961,24.4822333333,9.6098,19.9294666667
759.13,18.8205,42.4343333333,15.1261666667,50.5393666667,12.4512666667,19.7002745098,24.7024444444,9.9753,20.242
759.44,18.5244,41.8976666667,14.6272666667,50.2188,11.8860666667,19.2159490196,24.2997333333,9.89826666667,19.8479666667
759.75,18.8035,42.0318,14.7067666667,50.2202666667,12.1394,19.380645098,24.5264222222,10.1127,19.9783
760.07,18.6483,41.8781333333,14.694,50.1354666667,12.0327333333,19.3030215686,24.516,10.1264666667,19.9286333333
760.38,18.2002666667,41.8588666667,14.2436666667,50.0344666667,11.6718666667,18.8881568628,24.2003666667,9.7069,19.5609
760.69,18.4879,42.0356,14.4469666667,50.1715666667,12.0873333333,19.1947196078,24.3940222222,9.75916666667,19.869
761.01,18.4946333333,42.065,14.3375666667,50.2668,11.9632666667,19.057145098,24.4506777778,9.6414,19.9379333333
