wavelength,Back_PooThom,Belly_PooThom,Breast_PooThom,Crissum_PooThom,Crown_PooThom,DorTail_PooThom,Rump_PooThom,Throat_PooThom,WingTip_PooThom
347.08,5.09846666667,13.3250606061,4.4488,7.94526666667,4.88393333333,8.9256,6.25673333333,12.6969333333,8.1732
347.45,5.15946666667,13.4292484849,4.52146666666,8.03366666667,4.9856,8.9489,6.34413333333,12.7026666667,8.25336666667
347.81,5.22813333333,13.5563636364,4.58473333333,8.17626666667,5.08906666667,9.10313333333,6.5198,12.9358666667,8.2821
348.18,5.34713333333,13.7996424242,4.70566666667,8.40006666667,5.25186666667,9.25756666667,6.65173333333,13.1384,8.42
348.54,5.5232,13.9945090909,4.91813333333,8.67920000001,5.52473333333,9.45706666667,6.8194,13.2815333333,8.66673333333
348.91,5.60013333333,14.1208484848,5.00506666667,8.63386666667,5.65306666667,9.46093333334,6.9076,13.4054,8.75573333333
349.27,5.63306666667,14.2560484849,4.91553333333,8.6502,5.68453333333,9.46550000001,6.9314,13.5157333333,8.68326666667
349.64,5.79066666667,14.4502666667,5.0738,8.78220000001,5.8286,9.62913333333,7.03166666667,13.7858666666,8.79473333333
350.00,5.61233333333,14.4822060606,5.06106666667,8.66406666667,5.7162,9.51606666666,6.889,13.7442,8.7337
350.37,5.42,14.4670121212,5.04186666667,8.3934,5.56246666667,9.30106666667,6.7002,13.5978666667,8.586
350.73,5.39773333333,14.4975333333,5.0006,8.38326666667,5.56013333333,9.35666666667,6.65946666667,13.6071333333,8.6475
351.10,5.4684,14.6444121212,5.06226666667,8.48713333334,5.59653333333,9.44266666667,6.68833333333,13.8418666667,8.65343333333
351.46,5.501,14.7344,5.01906666667,8.51753333334,5.64686666667,9.4365,6.59646666667,13.9512,8.58756666667
351.83,5.44833333333,14.8158848485,4.97506666667,8.38520000001,5.59566666667,9.3165,6.5206,13.9651333333,8.52326666667
352.19,5.26193333333,14.6352787879,4.74666666667,8.09266666666,5.34766666667,9.1074,6.24013333333,13.8612,8.37763333333
352.55,4.95866666667,14.4787333333,4.47633333333,7.7828,5.00353333333,8.76526666667,5.98646666667,13.67,8.02826666667
352.92,4.8212,14.3549757576,4.25746666667,7.62226666667,4.78886666667,8.56133333333,5.7742,13.5119333333,7.6675
353.28,4.75326666667,14.3439151515,4.1468,7.5706,4.73373333333,8.4738,5.73786666666,13.5044666667,7.69713333333
