wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
196.27,88.5556666667,125.444466667,89.7778666667,109.000066667,66.3333333333,32.2369955556,57.0000000001,78.6665333333,123.666533333
196.65,109.7778,154.222133333,114.5186,140.148133333,85.1852666666,43.5753466667,67.1110666667,100.000066667,151.851866667
197.03,129.833333333,181.333333333,139.166666667,157.666666667,92.3333333333,53.5444444447,81.8333333334,107.5,172.666666667
197.40,132.806933333,190.350866667,151.403466667,165.789533333,99.4735999998,61.5087999999,92.8070000002,122.105266667,191.228066667
197.78,129.743466667,177.094133333,151.282133333,160.5128,94.1880666666,51.6467200001,88.8888666667,112.991333333,184.615466667
198.16,169.122933333,208.421133334,178.771933333,185.438533333,124.210533333,76.1988355555,125.789466667,144.736933333,219.999933334
198.54,163.333533333,208.421,176.140333333,182.631533333,124.7368,73.7893333333,123.158,131.228,207.894666666
198.92,136.8422,189.122733333,161.0526,154.736733333,113.859733333,65.0175155555,113.508733333,109.122866667,186.6666
199.30,130.4504,180.000133333,154.594666667,142.342266667,105.945933333,59.1231155554,104.864866667,100.7206,184.144066667
199.68,135.882266666,195.2942,160.784333333,153.333266667,123.529466667,67.2419644445,103.725466667,102.549,202.745066667
200.06,165.432066667,234.8148,195.555466667,187.160533333,164.691333333,90.0412622224,128.1482,126.9136,261.2344
200.44,129.999933333,184.8888,149.3332,154.8888,139.777933333,67.0666177777,101.7778,96.4443333334,222.444466667
200.82,115.268733333,156.989266666,129.032133333,123.655866667,126.236666667,45.7634044446,84.5161333333,66.2365333334,202.1504
201.19,81.5386,111.623933333,89.5726666667,84.6154666667,88.5471333333,20.0911911111,56.9231333333,49.5725333332,152.649533333
201.57,64.5752,82.2222666666,63.0065333333,60.3921333333,66.2746000001,8.99357777779,42.6142666666,35.1632666667,114.1176
201.95,69.0090666666,97.2973333332,68.2883333333,69.7298000001,74.9548666667,0.92495111102,31.5315999999,35.3153333333,133.333466667
202.33,38.2455999999,68.5965333334,45.2632,52.2808666667,57.0175333334,-23.9181022221,5.43866666666,7.89473333328,101.5788
202.71,35.1350666667,65.9459333332,46.8469333333,50.2702666666,58.7388,-23.1111955556,10.8108666667,9.1890666666,105.946
203.09,41.6665333334,65.4546,42.1211333333,51.0605333333,56.8181333333,-16.8688711111,23.9392666667,15.4545333334,97.4242666666
203.47,36.0255999999,62.4358666667,35.8974666667,43.0770000001,53.077,-14.5726355555,20.6410666667,19.1027333334,79.3591333333
203.85,16.5384,42.1794,17.5641333333,25.1282,29.8718,-36.0684222222,4.74353333333,7.17939999998,58.3332666667
204.22,-7.07473333332,26.5306,0.6804,9.38766666666,9.11566666665,-58.5759733333,-17.9592666667,-5.3062,38.6394
204.60,-5.83340000001,29.7222,7.08340000002,4.44446666666,7.5,-60.2129155555,-15.1388666667,-3.19433333334,34.9999999999
