wavelength,Back_TanRuuf,Belly_TanRuuf,Breast_TanRuuf,Crissum_TanRuuf,Crown_TanRuuf,DorTail_TanRuuf,Patch10_TanRuuf,Patch11_TanRuuf,Rump_TanRuuf,Throat_TanRuuf,WingTip_TanRuuf
814.76,37.3450833333,63.6970705128,49.9445,54.991625,27.8701666667,32.0576666667,31.9329166667,50.2635833333,38.50525,52.8981666666,30.956625
815.07,37.3933611111,63.7050961538,50.3333333333,55.749875,28.1389166667,32.2360833334,31.5835,50.9166666667,39.375,53.5416666667,31.2958833333
815.37,36.1159166667,63.8024102564,49.4301666667,56.2179166666,28.0484166667,32.0086666667,30.641,50.35625,39.1453333333,53.2479166666,29.938725
815.68,37.03075,63.8892564102,49.4710833333,57.0541666666,27.95875,32.4614166667,30.4603333333,50.8005833333,39.0795,54.1309166667,29.7212333333
815.98,36.5242222222,63.5919615385,48.661,56.5811666666,27.6353333333,32.3078333333,30.39875,51.69525,38.6181666666,54.1453333333,29.24355
816.29,35.8786944444,63.0722051282,47.4403333333,55.7452083333,26.8911666667,31.897,29.3230833333,50.9386666667,38.3531666667,53.157,28.000275
816.59,36.4003611111,62.5349102564,48.0374166667,56.8400416667,27.645,32.42325,29.9345833333,51.9765833333,39.0074166667,52.95775,28.7498333333
816.89,35.2918055555,59.9585833334,45.20875,55.3129583333,26.3454166666,30.8621666667,28.0888333333,49.9038333333,37.3559166667,51.1944166666,26.5721166667
817.20,35.2141388889,59.64375,44.8360833333,55.1844166667,26.12025,30.2185833334,28.4563333333,49.3033333333,37.06275,51.1063333334,27.5996583333
817.50,37.1982222223,61.5610064103,46.4324166667,57.741,28.6076666667,32.1485833334,30.7241666666,50.9051666667,39.0974166667,53.1415833333,29.88555
817.81,35.4011666666,60.3814358974,44.6693333333,56.03825,26.90475,30.1455833333,28.9815,48.9816666667,37.22225,51.44175,28.0541416667
818.11,35.1480277778,60.0054935898,44.1821666667,55.3083333333,25.9803333333,29.97925,27.9283333334,48.8260833333,35.86175,50.7481666667,27.8817666666
818.41,33.7318888889,59.3355897436,42.4311666667,54.117375,24.7165,28.7969166667,27.2805833333,46.8441666666,33.8018333333,49.40825,27.7553166666
818.72,33.2406388889,59.1670448718,42.3681666666,54.23925,23.5485833333,27.8301666667,26.1853333333,46.3474166666,32.898,48.9719166667,26.8965
819.02,31.981,59.0851923077,41.48225,53.4349583333,22.9713333333,26.6135833334,25.5301666667,44.8709166667,31.7888333334,48.052,26.3162416667
819.33,30.7121944444,58.3260448718,40.4289166667,51.8513333333,21.7029166666,25.1815,24.2956666667,43.0963333333,30.5910833333,46.84175,25.14105
