wavelength,Back_ThlSorm,Belly_ThlSorm,Breast_ThlSorm,Crissum_ThlSorm,Crown_ThlSorm,DorTail_ThlSorm,Rump_ThlSorm,Throat_ThlSorm,WingTip_ThlSorm
184.11,-484.040355556,-452.121166667,-353.9395,-366.9697,-238.787866667,-252.727266667,-174.000093333,-162.424266667,-295.757666666
184.49,-5695.55555555,-6176.66666667,-4783.33333333,-4466.66666667,-3266.66666667,-3720.0,-2500.0,-2553.33333333,-4260.0
184.87,687.777777778,754.333333333,628.0,549.666666667,493.333333333,480.0,394.8,406.666666667,562.0
185.25,273.155555555,298.0,253.866666666,238.533333333,217.866666667,190.933333333,167.706666667,160.266666667,235.466666667
185.63,256.815,275.889,251.9999,246.9999,226.222133333,185.111066667,175.733433333,155.777866667,244.444466667
186.01,241.568666667,250.7843,230.392233333,232.647,210.196133333,169.2156,174.66664,153.921666667,235.2942
186.39,226.140266667,230.175333333,211.3158,228.3334,196.666666666,159.824533333,152.98254,151.0528,220.8772
186.77,236.969733333,227.171633333,218.181766667,233.535533333,203.232533333,161.4142,151.616073333,137.1716,230.505
187.15,914.603244446,868.095299999,844.761966667,931.9046,806.666666667,610.476199999,499.238106667,437.142799999,942.857333334
187.53,-796.507844445,-734.761966667,-703.333266667,-805.714166667,-709.523866666,-526.666666667,-427.047593333,-371.428599999,-846.6666
187.91,-165.726466667,-134.102533333,-140.128266667,-158.333366667,-134.358933333,-95.6411999999,-66.5641733334,-67.1795333333,-177.692333333
188.29,-98.3333333332,-70.0,-74.3333333333,-89.25,-71.5,-54.1666666666,-30.5166666666,-30.3333333335,-102.333333333
188.67,-59.9617555556,-39.5402333333,-46.0920666667,-51.7242,-46.2068666667,-25.8622666666,-15.4598533333,-15.7471333334,-62.9886
189.05,-18.7167777778,-4.55406666666,-12.2064666666,-15.5869333333,-13.615,3.0986,20.7324066667,12.77,-22.723
189.43,-13.4815777778,-0.13333333334,-4.39986666667,-5.15553333335,-7.64453333333,7.91106666668,26.82662,14.3110666667,-15.2889333333
189.81,-4.25464444446,11.4227333333,9.34959999999,12.2762333333,2.76420000002,18.3740666667,37.3414266666,17.6422,-0.081133333354
190.19,2.98042222222,20.0785333333,17.8038333333,22.1568,6.9804,23.8432,45.5373466667,24.3136,9.33326666666
190.57,4.21188888889,20.0774333333,22.3643666667,26.1628333333,4.49613333335,24.4962666666,45.0698133334,24.8061333333,7.597
190.95,6.24573333332,17.6492333333,20.9474,26.5964333333,1.68413333334,21.1928666667,42.1894333333,20.8421333333,6.38586666664
191.33,11.8194,26.3369666667,30.2563666667,41.5384,6.52006666667,31.1354666667,52.8352533334,25.4211333334,16.3370666667
191.71,12.9503333333,25.4407,30.4979333333,45.7470666667,4.2146,33.8698,56.8659799999,29.7317333333,21.3794
192.09,19.7334666667,23.2444666667,31.1112333333,53.9111333333,1.15546666667,40.8888666667,60.5422533334,31.9112,22.9334
192.47,23.9942666667,26.5400666667,41.5612,63.1645,6.32906666666,46.4136666667,60.1012666666,36.2025333333,26.8354666667
192.85,25.9719555555,32.8123333333,52.0311333333,71.7185333334,4.9998,54.1665333334,74.7915999999,41.7707333333,31.1456
193.23,19.1666666667,29.5138,57.9166,72.0834666667,-7.91660000001,60.0000000001,81.0138333333,36.6667999999,19.5833333333
193.61,-11.8181777778,1.7424,30.0756333333,43.2576333333,-43.1817333333,37.8787333333,59.2423866667,16.9698000001,-14.3939333334
193.99,8.10462222222,11.8956,36.2091,54.9018666667,-19.085,51.5032666666,69.2548733333,33.7255333334,-3.00653333333
194.37,17.1068222222,16.7925666667,35.5975666667,55.3459666666,-12.9559333333,54.8426666667,74.3144599999,35.3460000001,0.50306666666
194.75,22.1368222222,9.8076,26.7306333333,51.6666666666,-20.5128,51.7948,71.7820133333,34.2309333334,-1.92306666667
195.13,35.3030444444,8.10603333334,33.8634666667,54.5454666667,-15.7576,65.7574666666,92.2727066666,50.7575999999,3.4848
195.51,25.3216222221,-23.9473666667,8.42106666674,30.2631333333,-43.6841999999,48.7719333333,77.8245999999,38.2456,-30.8772
195.89,27.3777777777,-15.7333333333,9.46666666667,23.9333333334,-22.2666666667,36.0,67.3866666667,33.2000000001,-27.4666666667
196.27,8.131488889,-35.0757,-9.16666666675,8.3333666666,-47.4243333333,12.2727333333,63.5607533334,18.6362666667,-60.3028666667
196.65,15.7357555555,-40.9910666667,-19.8198666667,-2.2525,-57.8377333332,9.54953333332,73.2613600001,20.9008666667,-70.4504666668
197.03,8.58006666666,-59.3518999999,-36.2035666667,-21.2038333333,-67.9630666668,-3.14813333334,53.7406933333,15.9258666667,-75.0000666666
197.40,5.32415555554,-49.1667333333,-32.4305999999,-11.8749666667,-48.0554666667,-4.72213333333,32.1943533333,12.3610666667,-54.3055333333
197.78,39.6042,-2.1461,6.30146666666,24.8402333333,1.73506666667,25.114,46.9132666667,36.5296666667,-6.84933333332
198.16,37.5214222222,0.9829,5.81196666668,23.6326,1.11106666666,21.1966,41.29914,36.1538,-3.84613333336
198.54,27.5277777778,-7.87500000001,-3.875,14.25,-2.6666666667,12.6666666667,29.9083333333,29.25,-12.5
198.92,37.1605111111,2.7779,4.30549999999,25.0464666667,10.0926666667,23.889,39.4352266667,35.4628666667,-2.40713333332
199.30,36.1026444444,0.3076,-2.00006666667,25.7435666667,5.7436666666,23.3846666667,34.47182,31.5898,-2.87179999998
199.68,34.2652666667,-4.78493333334,0.752733333406,23.8172,9.35486666675,22.3656666667,27.5698866667,27.0966,0.107599999994
200.06,24.126911111,-29.6826,-32.2222000001,8.1745,-17.7777333333,9.68253333327,9.6349133334,5.71433333332,-22.2222666667
200.44,30.1777777778,-7.60000000002,-8.66666666658,12.8,1.20000000014,26.0,21.0933333333,20.1333333333,3.86666666669
200.82,41.5031555556,7.79406666667,10.5882666667,21.3235333333,20.7843333333,40.0980666667,34.6469533333,30.7843333333,21.7647333333
201.19,48.7231555556,18.7562333333,27.6117666667,36.7163666667,31.1441333333,47.8608,39.4727133333,39.9998666667,21.9900666667
201.57,64.7791999999,37.7168666667,42.0090666667,54.0185,45.4795333334,62.1918,54.6940599999,56.073,37.7168
201.95,68.6159777777,32.3976666667,41.8713,47.3098,48.1870666667,60.9357999999,54.1169466667,55.0878,34.9709333333
202.33,76.4064666665,33.3333,54.6097666667,54.4682333333,55.3191333333,70.9219999999,56.7234066667,59.0069333332,32.0567333333
202.71,72.0754222222,34.7169666667,53.3964,50.1886333334,47.1699333333,65.6603333333,47.6351199999,57.1068666667,27.0439333333
203.09,48.3111111111,14.0666666667,21.5333333333,32.4,19.8666666667,41.8666666667,23.4,37.0666666667,6.00124394623e-12
203.47,62.5777777777,31.8666666667,44.4,40.3333333333,36.0,52.3999999999,32.9066666667,51.8666666666,5.33333333334
203.85,71.2964222222,49.7917333334,52.1529,50.6945,47.6388666666,60.4167333333,46.3054666667,67.2222000001,9.58333333334
204.22,68.9272222223,56.1494999999,61.1494666667,55.8619666667,51.1494000001,57.8161333333,46.3332733333,66.4368666667,17.9310666667
204.60,70.9289111111,55.6830666667,61.1475666667,63.2787333334,52.3497333333,53.2240000001,45.5847333333,60.6557333333,14.2077333333
204.98,82.5287777777,75.1723666667,74.7126333333,87.2988999999,61.6092000001,58.1608666667,49.4597533333,72.2989333333,21.9538
205.36,84.483488889,74.6199333334,63.2164333333,83.2749666667,63.2749333335,53.0993333333,46.7369533333,67.3684,22.4561333333
205.74,90.6908222222,85.8557999999,66.3061666666,83.5134333334,67.7478,44.8648666666,39.06304,72.9730666666,3.06319999992
206.12,97.5627777778,97.7418333333,71.3979,91.0750333334,63.2257333333,50.3225999999,37.0105933333,76.1289999999,-7.09679999986
206.50,196.8254,204.5238,105.2381,150.476166667,117.619066667,51.9046666665,54.9047000001,126.190666667,-45.2381333333
206.87,410.222222222,410.0,269.666666667,329.666666667,314.0,177.333333333,220.2,256.666666667,51.3333333333
207.25,430.5556,456.111033333,385.5555,366.666666667,420.5556,235.5556,294.05568,317.777866667,125.555666667
207.63,235.555555556,252.5,189.833333333,197.333333333,231.0,115.666666667,167.166666667,151.0,46.6666666666
208.01,147.885222222,159.354733333,120.1074,119.784766667,131.182666667,74.4087333333,99.7204266666,85.5914666664,23.441
208.39,140.358422222,150.8602,104.5161,117.096766667,138.924666667,81.5053333333,102.430266667,91.1828000001,15.4839333333
208.77,179.351777778,189.722366667,125.277766667,151.388833333,183.0556,117.2222,128.916586667,129.7222,18.0554666667
209.14,190.058444444,200.350933333,128.9472,137.8948,200.7018,135.0878,142.596326667,151.578866667,-9.47366666666
209.52,133.958333333,139.583333333,107.708333333,96.7708333335,131.25,104.583333333,111.770833333,113.958333333,17.7083333334
209.90,79.8261777778,78.3853666667,73.4373333334,69.3227333333,82.1872666667,65.2081333333,69.1767266666,66.8747333334,18.8539333333
210.28,86.5699777778,80.3866,80.6762333334,82.9952999999,88.7922666667,70.6280000001,78.5507666666,76.7150666666,30.2415333333
210.66,74.7678666667,63.7552666667,69.6202666666,67.0042666667,76.2870000001,64.3882666667,67.3841533333,63.5443333332,26.076
211.03,64.4445555556,51.6424333333,60.0966666667,53.3333,65.3140666667,57.0048,57.3237266666,56.8115333333,14.686
211.41,65.3498,49.3827,55.8847333333,53.0865333333,57.9424,57.5308,57.1687466667,57.3662666667,23.2099333333
211.79,73.0387333333,55.3012,62.3694666667,61.9677666667,61.5262666666,67.1485333333,62.6986333334,65.1406,36.0642
212.17,77.2381555555,57.5712999999,60.9046333333,70.9049000001,68.9523333333,72.3808666667,67.2571666667,71.8095999999,36.381
212.55,78.8578444445,63.9815333334,60.2778666667,67.9168333333,69.6294666667,74.6296666668,64.6019,69.8146666667,42.037
212.92,75.4184444444,66.8725000001,59.7941,66.4196666667,68.8065999999,72.3455999999,64.41964,67.3250666667,47.7366
213.30,72.4570222223,67.7464333333,55.3522333333,67.9813,68.3567999999,68.6386,64.1502466667,59.9061333333,44.6008666667
213.68,85.7924222222,75.0819,65.1365999999,82.1310999999,87.3224666667,79.7812666667,77.4970866667,69.5083333333,56.6120666667
214.06,140.392222222,124.3137,82.7449666667,123.725533333,135.686333333,126.4704,116.862646667,100.1962,91.5686
214.44,113.213311111,100.000066667,55.9458666667,86.6667,112.792866667,101.081133333,88.7206933334,71.1711999999,68.8288666667
214.81,118.062711111,117.0085,73.2478666667,98.4616666667,121.8804,109.572533333,100.923046667,88.718,81.5383333333
215.19,112.718622222,120.9929,75.8157333334,103.0496,117.305,106.950266667,99.3049000001,83.9716666667,82.6949333333
215.57,109.565133333,119.4203,74.5650666666,98.9853666667,114.347866667,104.058,95.7535333334,73.9131333333,77.9710000001
215.95,95.4320666666,118.3333,56.1111,84.9075000001,105.185133333,87.9628000001,80.7963733333,57.0370666667,59.8147999999
216.32,98.7302444443,112.380933333,60.3967666667,73.2538999999,97.3016666666,83.9682666665,79.5873466666,56.0315999999,58.2538666667
216.70,103.006555556,114.607833333,66.0782999999,83.9215666667,107.254933333,85.8824,82.50996,62.9410666667,55.6862
217.08,103.555555556,111.466666667,39.6000000001,64.6666666667,100.266666667,76.5333333332,60.5599999999,42.9333333333,30.6666666667
217.46,126.111155555,118.333433333,46.1110000001,71.6667333334,121.111066667,98.3332666667,77.5555933333,54.1666666667,43.0556666667
217.83,54.0404222223,62.2728,-34.3939333334,11.8183666667,38.7879333334,45.4545333332,8.72721999986,-18.4848,-38.7879333333
218.21,29.2928000001,38.1817999999,-44.5455999999,3.18186666666,12.7273999999,15.7576000001,5.45465333332,-23.3332666667,-63.9393333334
218.59,48.3040666666,83.3331999999,-8.07020000007,50.1753666667,46.6665999999,49.4737999999,35.5087533333,17.5438666667,-37.5437999999
218.97,33.7777777778,61.8666666667,-28.9333333333,39.7333333333,34.3999999999,30.1333333333,25.9466666666,-1.86666666668,-27.2
219.34,16.8888888889,36.4,-52.7999999999,19.8666666667,18.6666666666,9.33333333327,4.4,-25.5999999999,-41.3333333333
219.72,-13.3333333333,18.4,-79.8666666667,-1.4666666666,-4.26666666668,-17.8666666667,-18.6666666667,-46.6666666667,-62.9333333334
220.10,-21.2222222222,50.6666666667,-73.1666666666,17.3333333333,20.6666666667,-9.66666666667,-10.1666666666,-67.3333333333,-72.3333333333
220.47,-143.333422222,-16.389,-214.7222,-65.0000333333,-44.9999333334,-120.5556,-107.44448,-217.222333333,-192.2224
220.85,-81.5385555555,52.0513333333,-155.8975,-26.4102333333,-17.9487333334,-82.0512,-50.8718466667,-186.153866667,-138.9744
221.23,-38.5858444443,112.4242,-106.0606,26.0606333332,25.4544666666,-61.8182000001,6.54548666666,-161.212133333,-107.8788
221.61,-9.22222222222,77.3333333334,-40.1666666667,18.8333333333,27.6666666667,-37.3333333334,7.50000000008,-88.6666666667,-45.6666666666
221.98,30.9091555555,92.8283333335,13.1312666667,42.4241666667,59.192,8.4848,44.5050266667,-11.7171333333,9.2930666666
222.36,34.7369333333,98.7718666667,24.1227666667,45.9651000001,62.8070000001,22.9824666667,43.6140333333,1.75419999999,15.7895333333
222.74,34.3555555556,89.1333333333,21.8666666667,40.6666666667,53.6000000001,22.2666666667,36.72,2.53333333335,14.5333333333
223.11,27.7123111111,85.4902000001,19.6079333333,37.8430666667,47.3202666667,16.9934666667,28.24822,1.69946666666,5.3596
223.49,3.72086666667,74.7287333334,0.310066666726,17.2091666667,21.2403999999,-11.938,6.29461999998,-13.0232,-28.6821333333
223.87,-1.03697777779,87.2221666667,-15.7778,15.1111999999,15.1110666667,-27.5555333334,-4.93332666668,-21.3332666667,-52.6666000001
224.24,18.2655555555,66.4226333332,-4.7968666666,27.3171,24.5528666666,-3.57720000002,9.26824666668,13.9836666667,-25.0406
224.62,38.8121555555,78.7357333335,23.1609,48.2185,44.1379333334,25.7470666667,35.5059,45.9771333334,5.51719999998
225.00,38.2221777778,71.9522666667,22.5714666667,39.5237666667,40.0952666667,27.4285333333,36.60002,46.1904666667,6.76186666668
225.38,43.1211333333,68.8763333333,31.0861,40.5243,44.4944666667,33.558,43.19088,48.2398,14.7564
225.75,45.7299777778,70.0981333333,35.2941,46.1436333333,46.8628666667,40.4574666667,46.5882133333,54.3791333333,19.4118
226.13,52.3652444444,74.9834666666,41.9472333333,50.7922333333,54.3234,49.3728666667,51.94054,59.2738,26.6006
226.51,48.5625555556,65.5963666667,38.6238,47.3701666667,50.9480666667,46.2996666667,46.94804,56.1467333333,25.0152
226.88,39.3312,54.4660333333,28.8674333333,40.5501,41.7475333333,37.4758,39.4111066667,49.3204,15.9872
227.26,39.7293555556,51.0144,33.7681666667,43.0725666667,41.7971333333,41.855,43.3738866667,53.3333333333,21.5651333333
227.64,35.8660222222,44.9019333333,31.4706333334,42.0589,42.451,41.0295333333,41.2402866667,46.9117333333,24.7549333333
228.01,33.7805111111,42.0335666667,32.0965,38.9517333333,39.6644,41.174,38.0671333333,41.6772,27.9245333333
228.39,31.5211111111,38.8292666667,29.4642333333,34.3848666667,36.4286666667,39.5634666667,36.16672,37.4602666667,26.3490666667
228.76,30.0825555556,35.7332666667,29.1999333333,31.7904333333,33.6380666667,38.5905333333,33.4628133334,32.8380666667,25.7144
229.14,28.0694444444,33.6041666667,28.5416666667,33.5416666667,33.1666666667,40.375,33.5041666667,30.4166666667,26.8333333333
229.52,16.5249111111,23.4675,20.2013333333,22.1029333333,25.7271333333,34.0044666667,23.5973666667,19.0157333333,18.5234
229.89,8.09635555555,14.8483666667,11.7715666667,11.0723,17.9021333333,23.6364,14.6574266667,7.78559999999,9.41733333333
230.27,2.07311111111,10.9844666667,7.36016666667,7.27056666667,13.3333333333,17.5392,9.67339333332,4.92166666667,4.92173333333
230.65,-1.60068888887,7.85533333333,3.4963,2.40096666667,10.2096666667,14.0326666667,7.78073333334,0.279799999992,3.12360000001
231.02,0.582444444434,7.44816666668,4.52873333334,1.21836666667,13.0113333333,15.3563333333,8.02302666667,0.0920000000014,7.35640000001
231.40,-4.44451111113,2.18229999999,-0.743366666666,-7.0502,7.72186666667,7.86573333333,0.517933333334,-8.00966666667,2.54199999998
231.78,3.88062222223,7.81103333333,7.66150000001,-2.71156666666,12.4378,15.3731333333,4.39793999999,-1.24373333334,8.40793333333
232.15,-1.60299999999,-0.573833333334,0.765033333334,-12.5955666667,7.97819999998,7.10386666667,-1.71040666667,-7.43166666667,-1.09286666667
232.53,2.57046666667,2.26356666668,4.77613333333,-6.71643333333,9.35326666667,7.41293333333,0.801066666659,-4.92526666667,2.23879999999
232.90,-6.22566666667,-5.49623333333,-3.68966666667,-15.6996666667,1.27219999999,-0.915999999999,-8.26977333333,-12.061,-6.2086
233.28,-6.91695555557,-7.84043333333,-4.17843333334,-18.6855,-2.81686666667,-5.39906666667,-13.4036866667,-10.1407333333,-7.18299999999
233.66,4.41904444444,3.52373333333,5.56196666666,-2.13310000001,5.14279999999,2.36186666666,-1.51243999999,2.78093333333,3.92386666667
234.03,8.43206666666,9.0001,8.53726666667,5.96300000001,8.07400000001,8.62953333333,3.38515333332,8.2222,10.9998666667
234.41,12.5098222222,13.1641,12.9609666667,11.3536666667,10.7614,12.6226,8.57864000001,9.40780000001,15.4991333333
234.78,17.8191777778,19.0542666667,17.0232666667,15.3487333333,15.4418,17.6123333333,13.9441733333,12.6201333333,18.9768
235.16,18.1562222222,21.0918,17.3216333333,16.4920333333,14.6434,18.7191333333,15.40912,14.4396,17.6710666667
235.54,22.9660444444,26.3636333333,20.7576,22.4244,19.8072,23.5813333333,21.2424333333,18.6776666667,21.7906
235.91,21.9763555556,26.1,20.1976,20.9485666667,19.4204666667,23.1356666667,22.37416,18.1290666667,22.2134666667
236.29,21.1027777778,27.4748,20.0125333333,20.8838,19.3182666667,22.6767333334,22.4621066667,17.5000666667,22.3737333333
236.66,18.4562666667,25.8524666667,16.8827666666,18.995,16.0052,20.2035333333,20.5012866667,16.3612666667,20.6870666667
237.04,23.1452444444,30.4164333333,21.2868,23.6887666667,20.8579333334,23.8970666667,25.8626066666,20.4904,25.5145333333
237.41,24.7105777778,31.7135666667,22.9461,26.0445666667,24.014,25.3991333333,28.1057466667,22.4179333333,26.9014
237.79,20.6849555555,29.4486666667,17.3434666667,21.7167333333,19.6491333333,22.1804,24.6742933333,19.1227333333,23.6592
238.17,18.5767333333,26.8538666667,15.0437333333,17.9027333333,16.5542666667,19.4507333333,22.6367133333,18.6517333333,20.3496
238.54,19.9530222222,27.5587,15.6573,18.1219333333,17.0892,19.7418,22.53282,19.6007333333,21.0093333333
238.92,16.1379777778,23.7587333333,11.8160333333,14.5172666667,12.8045333333,16.2068666667,18.3886,16.2760666667,17.6321333333
239.29,12.1752444444,19.3159,9.47886666666,11.1727333333,9.16399999999,12.6167333333,14.51262,12.0304,13.8328
239.67,9.49982222223,16.4652,8.23766666667,8.69076666667,5.6998,10.9366,11.6596066667,10.5137333333,12.0645333333
240.04,10.8569777778,16.9859,10.6738,11.3740666667,6.4716,13.0495333333,11.8298466667,11.0638666666,13.9005333334
240.42,12.7547111111,17.1351333333,12.2120333333,13.2028,7.91086666666,15.0690666667,12.9754266667,12.5192,15.3456666667
240.79,13.1233777778,17.0275666667,12.7754,12.907,9.08126666666,15.9054,13.2337466667,12.3359333333,15.4987333333
241.17,12.6080888889,15.8114,11.7218333333,11.8499,8.0048,15.3926666667,12.1675733333,11.6696,15.2066
241.54,10.9197333333,13.8542333333,9.39396666666,9.63313333333,5.6672,13.7905333333,10.3572,9.33560000002,13.1950666667
241.92,11.6085777778,13.498,10.3196666667,9.86429999999,6.69573333333,14.4767333333,10.7762333333,9.33139999999,13.595
242.29,11.2309333333,12.8707,10.3864333333,9.59133333334,7.12486666667,14.6361333333,10.1196133333,8.16713333333,13.4052
242.67,9.09091111112,10.6324,8.03696666666,7.54946666667,5.4458,12.6044,8.25915999999,6.29786666667,11.4536666667
243.05,9.73851111111,11.3491666667,9.27763333333,8.70916666666,6.58373333333,13.408,8.92742,7.33086666666,12.4948666667
243.42,11.3990888889,12.9983666667,10.4883333333,10.6457333333,8.4826,14.9152666666,10.5399533333,8.72473333333,14.1083333333
243.80,12.2053555556,13.6958666667,10.9475,11.5243666667,9.72313333333,15.6256,10.9192533333,8.91246666667,14.6276666667
244.17,10.8668444445,12.5575333333,8.88509999999,10.0077333333,8.4914,13.5282,9.56567999999,7.76606666667,12.842
244.55,10.4250444444,12.3770333333,8.31793333334,9.86176666666,7.88033333334,12.9109333333,9.18207333333,7.80333333332,12.5038666667
244.92,10.1946888889,12.1424666667,8.3867,10.0919666667,7.37239999999,12.9142,9.19521333333,7.83539999999,12.5982666667
245.30,10.0160666667,11.7795666667,8.60709999999,9.92493333333,7.269,12.9979333333,9.26987333335,7.72759999999,12.3204
245.67,10.3289333334,12.1012666667,9.04726666667,10.3010666667,7.42406666667,13.4139333333,9.73861333335,7.9578,12.9298666667
246.05,9.36702222222,11.2525,8.12683333333,9.15726666667,6.1542,12.4052666666,8.71284666666,6.96286666667,11.8928666667
246.42,9.19086666667,10.8109333334,7.63633333333,8.74643333333,5.46433333333,11.8036,8.57863333333,7.01973333334,11.6398666667
246.79,9.31675555555,10.9838333333,8.0421,8.82993333333,5.3974,12.1916666667,8.73800666667,7.30366666667,11.8047333333
247.17,8.80317777778,10.4052666667,7.39776666667,8.01786666667,4.8948,11.7785333333,8.28387333333,6.94133333333,11.1450666667
247.54,8.28819999999,9.96436666667,7.08156666667,7.26173333333,4.2616,11.435,8.0971,6.76306666667,10.7938666667
247.92,7.50908888889,9.3236,6.50273333333,6.5553,3.64513333333,10.8182666667,7.72943333333,6.55326666667,10.1984
248.29,7.40615555555,9.24333333333,6.42773333333,6.36806666667,3.5522,10.8920666667,7.72324666667,6.5272,10.1116
248.67,7.22744444445,9.16276666667,6.03526666667,5.99976666667,3.4522,10.7997333333,7.4145,6.243,9.89306666667
249.04,6.86517777778,8.8938,5.5355,5.45686666667,3.17206666667,10.4258666666,6.87304666667,5.87673333333,9.53680000001
249.42,6.556,8.78176666666,4.92043333333,5.26516666667,2.7504,10.046,6.27063333333,5.66246666667,9.30386666667
249.79,6.77562222222,8.93623333333,4.76323333334,5.3044,2.96713333333,10.2308666667,6.31114,5.89693333333,9.38186666665
250.17,7.30820000001,9.60016666666,5.13436666667,6.1732,3.96246666667,10.945,7.08170666667,6.95286666667,10.2196
250.54,6.98206666667,9.55606666667,4.7873,5.97553333333,4.03513333333,10.8719333333,6.80212,6.86333333333,10.2498666667
250.92,7.18157777778,9.5522,4.48636666667,5.92213333333,3.99106666667,10.7081333334,6.61958666667,6.57693333333,10.5793333333
251.29,7.66624444444,10.1424666667,4.9549,6.50353333333,4.18046666667,10.9112,7.14404,6.90546666667,11.1034
251.66,7.80304444445,9.95770000002,4.56263333333,6.376,4.1054,10.5115333333,6.73626,6.54573333334,11.099
252.04,7.8286,9.6602,4.13973333333,5.73016666667,3.60633333333,9.96186666668,5.90743333333,5.46673333333,10.7873333333
252.41,7.1484,9.43183333333,3.7701,5.13283333333,3.13973333333,9.37933333334,5.413,4.75526666667,10.4760666667
252.79,6.57382222221,8.778,3.11263333333,4.42626666667,2.62706666667,8.37066666666,4.93489333333,3.71346666667,9.78946666666
253.16,6.61455555555,9.09869999999,3.21086666667,4.2517,2.9048,8.19726666666,5.12448,3.7074,9.53753333331
253.54,7.65984444444,9.90566666667,4.50953333333,5.21413333333,4.4086,8.92493333333,6.46906666667,4.54313333333,10.2056
253.91,6.98377777778,9.3488,4.64223333333,4.7875,4.11606666667,8.11060000001,6.29816666667,3.8394,9.59506666666
254.28,6.69662222222,8.988,4.83916666667,4.32476666667,3.8066,7.62,5.96419333333,3.18473333333,9.31260000001
254.66,7.10502222222,9.37809999999,5.82446666667,4.74423333333,4.32126666667,7.8748,6.30424666666,3.31206666667,9.33199999999
255.03,5.91093333333,8.75800000001,5.34226666667,4.43683333333,3.80093333333,7.19793333333,5.78914666667,2.83586666667,8.26793333333
255.41,4.77828888889,7.66826666667,4.29573333333,3.23146666667,2.90293333333,6.35366666667,4.68138,2.1674,7.70733333333
255.78,4.55973333333,7.93326666667,4.6081,3.1443,2.60553333333,6.51393333333,4.30231333333,2.25166666667,7.51913333333
256.15,5.68195555556,9.38909999999,5.97823333333,4.6325,3.67346666667,8.06646666667,5.76191333333,4.06813333333,8.91746666667
256.53,7.37815555555,10.1315,7.3356,6.08566666667,5.39473333333,9.64913333333,7.14983333333,5.32893333333,10.1023333333
256.90,8.2058,10.9460666667,8.78069999999,7.17566666667,6.366,10.9084666667,8.10870666667,6.96033333333,11.3252
257.28,8.29048888889,10.4440666667,8.60539999999,7.3735,6.29773333333,10.9692,8.08631999999,7.16066666667,11.6196666667
257.65,7.45088888889,9.86343333334,7.72006666667,6.41856666667,5.3456,10.6412,7.4113,6.85073333333,10.9533333333
258.02,7.74606666667,10.3932666667,7.87573333333,6.9578,5.647,11.1822,7.89352,7.56973333333,11.2355333333
258.40,6.99244444445,9.69056666668,6.97826666667,6.21856666667,4.793,10.5292666667,7.31548666667,6.83313333333,10.414
258.77,6.82806666667,9.2943,6.46593333333,6.0453,4.358,10.259,7.16340666667,6.53146666667,9.97006666666
259.15,7.34902222222,9.4625,6.63006666667,6.10753333333,4.62973333333,10.5407333333,7.40298,6.68673333333,10.2246
259.52,7.3116,9.38953333334,6.43806666667,6.07186666667,4.6422,10.4929333333,7.36824,6.3792,10.1251333333
259.89,7.12884444444,9.14806666667,6.04486666667,5.9881,4.5144,10.4762,7.28708666667,6.25593333333,9.99553333334
260.27,6.81955555556,8.7531,5.7282,5.7211,4.201,10.1996,7.06582666667,5.8456,9.77786666667
260.64,6.64082222222,8.65909999999,5.40633333333,5.5278,3.91806666667,10.0167333333,6.88118,5.73933333333,9.638
261.01,6.82097777778,8.79833333334,5.44986666667,5.7519,4.03606666667,10.1982,6.99785333334,5.73513333333,9.71860000001
