wavelength,Back_CatDiam,Belly_CatDiam,Breast_CatDiam,Crissum_CatDiam,Crown_CatDiam,DorTail_CatDiam,Patch10_CatDiam,Rump_CatDiam,Throat_CatDiam,WingTip_CatDiam
779.09,-9.21486666665,13.9852666667,16.237,19.0518,-13.7185333333,-6.90353333333,19.0518666667,-12.5925333333,18.6666666667,-6.07406666667
779.40,-12.166,11.9200666667,14.1013333333,16.9124666667,-16.7126666667,-10.599,16.8049333333,-15.914,16.9278666667,-9.67739999999
779.71,-13.3029333333,11.6894666667,12.968,14.7489333333,-17.1994666667,-11.1719333333,15.4948,-16.7731333333,15.8903333333,-10.3501333333
780.02,-13.0274666667,12.477,13.1193333333,14.9542,-16.8807333333,-10.7339333333,16.3303333333,-16.2078,16.2997333333,-9.96940000001
780.33,-14.081,12.8038666667,12.2742,14.2367666667,-16.7288,-11.5888,16.137,-17.1652,16.4175333333,-10.9346
780.64,-14.4390666667,13.5543333333,12.3222666667,15.6397666667,-16.4611333333,-10.6476,17.6935333333,-17.0300666667,16.4612666667,-10.1421333333
780.95,-14.2393333334,14.2070666667,13.1068,15.2750666667,-16.5696,-10.3883333333,17.6376666667,-16.699,16.8607333333,-9.61160000001
781.26,-14.2952,14.5604666667,12.9021333333,15.7213666667,-17.3465333333,-10.8789333333,17.2804666667,-17.1808,16.9153333333,-9.68486666667
781.57,-14.4,14.6666666667,12.7666666667,14.9166666667,-16.7,-11.9666666667,17.3,-17.0,16.5,-9.76666666667
781.88,-15.093,13.6379333333,12.7579333333,14.1623666667,-17.9695333333,-13.0288666667,17.3944,-17.8680666667,15.5330666667,-10.8968
782.19,-16.8912,13.2643333333,12.5042,14.1623,-18.9638,-13.2642,17.3748,-18.3074666667,14.9568,-11.468
782.50,-13.17,15.8497333333,15.0981333333,16.0948333333,-15.0326666667,-9.11766666666,18.7908,-13.0718666667,16.8627333334,-7.87586666666
782.81,-12.2006,17.1197333333,15.6634,16.877,-13.0743333333,-6.92559999999,19.5469333333,-11.2298,17.0874,-5.66340000001
783.12,-10.1126666667,17.7455333333,16.9083333333,18.1158666667,-10.9823333333,-6.0226,20.2575333333,-9.79066666667,18.0354,-4.41219999999
783.43,-12.0666666667,16.3333333334,15.4333333333,16.0333333333,-12.9333333333,-9.10000000001,18.3666666667,-12.2666666666,16.4666666667,-6.80000000001
783.74,-10.1980666667,17.4258,16.2375333333,16.3529666667,-12.2772666667,-7.75573333333,18.878,-10.528,16.8318,-4.8514
784.05,-12.9896,14.9828666667,14.1580666667,14.1064666667,-15.6701333333,-10.4809333333,16.3229333333,-13.2989333333,15.567,-8.07566666667
784.36,-14.266,12.9188,12.3316,12.7287666667,-16.9256666667,-11.7098,14.4042,-15.5442,14.7495333333,-10.5008666667
784.67,-12.2788666667,14.7279333333,14.2516,13.8946,-14.3878666667,-9.35380000001,16.8027333333,-13.6394,15.7142,-8.43533333333
784.98,-10.6799333333,14.8921333333,14.6932,14.5937,-12.9685333333,-8.32493333333,17.1145333333,-12.2387333333,16.1858,-7.19733333334
785.29,-10.2877333333,16.1759333333,15.3299333333,15.2284,-12.1488666667,-7.68193333333,16.819,-12.4535333333,17.0898,-6.56513333334
785.60,-8.69280000001,15.8825333333,15.6536666667,15.2940666667,-11.4704666667,-6.92806666667,16.6992666667,-11.4706,16.9281333333,-6.56859999999
785.91,-10.8702666667,14.1542666667,13.5630666667,13.3497,-13.2348,-9.03113333333,15.0081333333,-14.3513333333,15.3037333333,-8.7356
786.22,-10.4582,13.049,12.9541333333,12.0062666667,-13.2384,-9.60506666667,14.7234666667,-14.5972,14.5338666667,-9.13113333332
786.53,-10.1557333333,13.9564,13.0842,12.3053,-12.8659333333,-8.72266666667,15.5764,-13.4892,15.0778666667,-8.31766666666
786.84,-7.88933333333,14.3812666667,14.1775333333,12.8821333333,-10.7133333333,-6.05519999999,16.2736,-10.9752666667,15.6332666667,-6.40466666667
787.14,-8.6158,12.9943333333,13.9830666667,11.7797666667,-10.8193333333,-6.5254,16.0734666667,-11.6384,14.3221333333,-7.48586666667
787.45,-5.57333333333,14.56,15.52,13.28,-8.18666666667,-4.0,17.5466666667,-9.22666666666,15.28,-4.93333333335
787.76,-5.41673333334,15.1822666667,16.0417333333,13.1901,-8.09886666667,-3.9324,17.7342666667,-8.20306666666,14.7916,-3.69786666666
788.07,-7.98946666667,13.4392,13.4919333333,10.5689333333,-10.8202666667,-6.87826666667,15.0264666667,-10.7144,11.9840666667,-6.85186666665
788.38,-8.0214,13.8911333333,13.7051333333,10.7171,-10.8898666667,-6.26826666665,14.8738666667,-10.0662666667,12.5896,-6.42766666667
788.69,-7.86920000001,13.464,13.5686,10.5229666667,-10.6666,-5.83000000001,14.8496,-9.80393333333,12.7058,-6.53586666665
789.00,-8.47773333335,13.3596,12.4936,10.0524666667,-10.3936666667,-6.27313333333,14.3308666667,-10.2625333333,11.8372666667,-6.95546666668
789.31,-8.28686666667,13.5988666667,11.7662666667,10.1196333333,-10.6506666667,-6.34806666667,14.2363333333,-10.7835333333,11.4740666667,-7.35733333332
789.62,-9.03753333334,13.9470666666,11.6038666667,10.0000666667,-11.3248,-6.72246666667,14.0028,-11.4366,11.6875333333,-8.22866666666
789.92,-9.5604,13.8155333333,11.8864666667,9.97163333333,-11.5460666667,-6.75166666667,13.8156666667,-11.9149333334,11.8297333333,-8.22699999999
