wavelength,Back_CatInom,Belly_CatInom,Breast_CatInom,Crissum_CatInom,Crown_CatInom,DorTail_CatInom,Patch10_CatInom,Rump_CatInom,Throat_CatInom,WingTip_CatInom
760.07,11.9666666667,34.4375333333,24.039,29.6399333333,11.4354,14.7928666667,9.60160000001,15.3434,21.6450666667,16.7674666667
760.38,11.5024,34.1960666667,23.6074,29.2032666667,10.7840666667,14.0966666667,8.92406666665,14.6929333333,21.1575333333,16.3284
760.69,11.7566,34.4126666667,23.8166666667,29.3570666667,11.0434666667,14.4188,9.46353333333,14.8255333334,21.3295333334,16.8496666667
761.01,11.9376666667,34.6169333333,24.1572,29.4978666667,11.1090666667,14.6958,9.72233333333,15.0478,21.5322666667,17.0414666667
761.32,11.8151333333,34.644,24.2064,29.2732,10.9669333333,14.5970666667,9.7148,14.9188,21.4248,17.0572
761.63,11.7708666667,34.737,24.1542666667,29.2954,10.9258,14.4648666667,9.59880000001,14.7795333333,21.3185333333,17.0623333333
761.94,11.7940666667,34.7576666667,24.0728666666,29.4686,10.8791333333,14.4535333333,9.42466666667,15.0533333333,21.2764666667,17.1952
762.26,12.468,35.5916,24.6723333333,30.0304,11.6714,15.0192,10.2071333333,15.7182,21.7492,17.7576
762.57,13.1205333333,36.0587333333,25.2152666667,30.5776,12.2339333333,15.6280666667,10.9573333333,16.3881333333,22.1884666667,18.2802666667
762.88,13.2057333333,35.9552,25.0969333333,30.5616666667,12.389,15.7026666666,10.9369333333,16.4974666667,21.9082666667,18.3517333333
763.20,13.2243333333,36.2606666667,25.1836666667,30.7014666667,12.5650666667,15.9214666667,11.0384,16.651,21.9218,18.4514
763.51,13.0908,36.083,25.2761333333,30.783,12.5792666667,15.9124666667,10.8574,16.8324,21.7964,18.439
763.82,13.3909333333,36.2912,25.5344666667,31.0279333333,12.9350666667,16.2576666667,11.3134,17.3204,22.0247333333,18.8292666667
764.14,13.8098,36.4440666666,25.7741333333,31.2530666667,13.314,16.5071333333,11.5311333333,17.8374,22.2568,19.059
764.45,14.1387333333,36.6147333333,25.7251333333,31.6136666667,13.7410666667,16.9532,11.8606,18.4654666667,22.5203333333,19.3746666667
764.76,14.3139333333,36.7716666667,25.7937333333,31.815,13.8939333333,17.1071333333,11.943,18.9503333333,22.5677333333,19.3549333333
765.07,14.337,36.8982,25.8638666667,32.0781333333,13.823,17.2488,11.9792,19.3872666667,22.6442,19.4380666667
765.39,14.0822,36.9678,25.8416666667,32.1085333333,13.5922666667,17.2072666666,11.9708,19.6761333333,22.421,19.1666666667
765.70,13.5467333333,36.3924666667,25.4988666667,32.1032666667,13.1939333333,17.1009333333,11.6259333333,19.6206,22.0069333333,18.7638666666
766.01,13.4246666667,36.5628,25.5671333333,32.6149333333,13.2766,17.3189333333,11.6100666667,20.0031333333,21.9187333333,18.7996666667
766.32,13.8881333333,37.2131333333,26.0986,33.4562,13.7949333333,18.1564666667,12.3169333333,20.9201333333,22.664,19.1696666667
766.64,14.1788666667,37.2652,26.4544666667,34.0223333333,13.7787333334,18.5107333333,12.5437333333,21.5901333333,22.7836,19.2970666667
766.95,14.1675333333,37.3601333333,26.0131333333,34.2326666667,13.5428666666,18.6494,12.7698666667,21.7804,22.4558,19.2778
767.26,14.144,37.0090666667,25.819,34.2736666667,13.3445333333,18.586,12.8002666667,21.8100666667,21.9988,19.1744
767.57,13.8375333333,36.8634,25.4135333333,34.4182666667,13.1844666667,18.7698666667,12.6418,22.0898,21.6160666667,18.8578
767.88,13.6382666667,36.5004666667,25.2082666667,34.0528666667,12.7156666667,18.3225333334,12.3128666667,21.8729333333,21.0909333333,18.565
768.20,14.166,36.788,25.3915333333,34.8913333333,13.174,18.9400666667,12.9109333333,22.6698666667,21.4226,19.1153333333
768.51,13.9062666667,36.0308,24.9928666667,34.483,12.8822666667,18.8382,12.5858666667,22.5065333333,20.9222,18.8747333333
768.82,13.8820666667,35.6683333333,24.8144666667,34.4554,13.1354,18.977,12.7186666667,22.6732666667,21.0395333333,19.1088666667
769.13,13.5837333333,35.6926666667,24.2946,34.3094,12.6799333333,18.7820666667,12.6670666667,22.7329333333,20.7680666667,19.0622
769.44,13.2901333333,35.4818666666,24.0849333333,34.1173333333,12.2244,18.6008,12.5146,22.937,20.7754,18.9387333333
769.76,12.7235333333,35.1046666667,23.7916666667,34.2990666667,11.8200666667,18.1442666667,12.0961333333,22.7770666667,20.4228,18.6515333333
770.07,12.9302666667,35.5842666667,23.9312,34.7374666667,12.3642,18.5008,12.4276666667,23.3967333333,20.7562666667,19.0943333333
770.38,12.7429333333,35.5306666667,23.9401333333,34.9683333333,12.2090666667,18.3462666667,11.7311333333,23.5511333333,20.6699333333,19.0161333333
770.69,12.8700666667,35.8596666667,24.1691333333,35.0096,12.4737333333,18.8205333333,11.8338666667,24.0592666667,20.9550666667,19.2788666667
771.00,12.641,35.7008666667,24.3428,35.1585333333,12.1618,18.5620666667,11.5758,23.7521333333,20.9005333333,19.4288
