wavelength,Back_GeoDifm,Belly_GeoDifm,Breast_GeoDifm,Crissum_GeoDifm,Crown_GeoDifm,DorTail_GeoDifm,Patch10_GeoDifm,Rump_GeoDifm,Throat_GeoDifm,WingTip_GeoDifm
184.11,795.833333333,789.583333333,659.166666666,739.166666667,1060.0,727.5,1203.33333333,1000.83333333,1056.66666667,890.0
184.49,828.666666665,867.333333333,732.0,793.999999999,1075.33333333,817.333333332,1202.0,1025.33333333,1082.66666667,955.333333333
184.87,331.666666667,337.857066667,295.476266667,323.809466667,433.809533333,328.333466667,474.2858,394.2858,440.714266667,387.857133333
185.25,287.963,294.907466667,255.370266667,283.1482,369.629533333,287.7778,394.629666667,339.444466667,383.148,335.740733333
185.63,229.795866667,234.6258,208.4354,224.625933333,290.068133333,228.1632,309.115666667,265.034133333,299.319666667,265.850533333
186.01,220.933333333,219.533333333,192.0,210.0,273.6,214.533333334,288.8,249.866666667,283.066666667,254.0
186.39,253.174666666,241.746233333,213.492,234.920533333,303.9682,240.317666667,335.7144,286.031866667,327.1428,283.1746
186.77,234.0426,222.4823,203.546133333,210.496466667,279.007066667,231.631133333,302.5532,261.276533333,297.730533333,264.2552
187.15,194.880866667,188.154833333,180.595266667,174.1666,235.119,197.261933333,252.857066667,207.380933333,253.6904,228.333266667
187.53,160.4762,159.095133333,148.0,140.8572,195.428533333,163.9048,204.5714,167.618866667,208.761866667,187.714466667
187.91,139.437533333,137.148533333,128.192733333,118.3132,164.498,143.694733333,167.6306,140.080333333,171.5664,153.333333333
188.29,108.784933333,110.436133333,104.672933333,92.0249333334,135.514133333,113.3958,132.149466667,112.398733333,128.473466667,125.482666667
188.67,102.260866667,102.1449,97.3334,82.9564666668,124.521666666,107.7102,119.594066667,103.825933333,114.7248,114.8404
189.05,96.64,99.2533333333,93.4933333332,79.2533333333,116.16,101.653333333,110.453333333,98.56,107.626666667,107.52
189.43,102.849533333,103.924733333,95.3763333334,82.9032666666,116.881733333,106.128866667,115.161266667,103.763533333,109.8924,106.613
189.81,108.64,103.413333333,96.2133333334,86.7199999999,118.346666667,108.64,117.6,106.186666667,112.373333333,113.653333333
190.19,105.413666667,101.754533333,97.3433333334,87.5687333334,115.0878,104.110266667,113.583933333,103.308266667,109.624066667,112.380933333
190.57,96.6895333333,91.6781666667,86.7585999999,79.2183333334,100.6896,93.4713333333,101.471333333,94.6666666667,98.7585999999,104.505733333
190.95,88.4075333333,79.3416,77.0700666667,71.3801333333,89.7239333333,81.0191333334,90.9555333333,86.2844666666,89.9788666667,94.4797333334
191.33,89.3995333334,78.8407000001,76.3561333333,73.4989333333,89.3582666667,79.8344000001,92.1738666666,87.2877999999,89.4824,90.7661333335
191.71,86.8651333332,74.3055333333,72.8968,73.6904666666,85.6745333333,80.5554666667,87.7778,83.9286000001,83.8493333333,85.7143999999
192.09,86.9258666667,71.1853,71.8148666667,74.4815333334,83.6666,78.3703333333,87.2963333333,83.4444,84.6296,84.5556666667
192.47,85.0633333333,66.5402333333,69.2404666667,73.4598666667,78.9029333333,75.8228666667,87.0465333335,83.5442666667,85.5276,80.3797333333
192.85,84.7558666666,64.9894666667,67.7282,72.2717333333,77.5796666667,73.1209333333,85.0954666667,81.2314666667,85.8598666666,82.4628000001
193.23,88.0087333333,64.7402999999,68.7013333333,74.2423333333,78.1386666667,76.3204,85.9739999999,83.0736,86.7966,85.8875333332
193.61,81.0893333333,56.0567666667,63.0937333333,68.4966000001,71.7212,70.5882666667,78.1265333333,75.9040666667,81.1764666667,81.4378666667
193.99,79.114,60.4007,67.2572666667,68.692,72.1519333333,73.5866,78.0590666667,78.6919333334,80.4640666667,82.152
194.37,85.5967333333,65.7613,72.1810666667,74.1564666667,77.9835333333,81.0698666667,83.3746,86.0494666666,86.0082666667,86.6254666667
194.75,96.6665999999,78.8312333334,85.6277333333,85.5411333335,90.9956666667,94.0693333333,95.6276666667,97.3593333334,97.9220000001,96.8832
195.13,100.688133333,83.2904333333,91.1398,90.5376666667,95.57,98.9248,101.290266666,100.8602,99.5698666666,99.3118666667
195.51,103.356466667,84.0229999999,93.3333333333,91.1265333333,99.1264,103.448266667,102.344733333,103.172333333,102.712733333,102.436866667
195.89,109.109466667,87.2520333334,97.4554666667,93.6386666667,100.3054,106.361333334,105.3944,107.582733333,107.022866667,109.4656
196.27,105.098,84.9018999999,94.2298666668,89.3557333333,95.7422000001,100.784266667,103.305333333,102.913066667,102.408866667,109.859866667
196.65,100.7298,84.7930999999,90.4136,86.8123999999,90.9488,97.2262666665,96.8369333333,95.8639333335,94.5498000001,103.455
197.03,105.107466667,83.8173333334,92.1505333335,90.6450666667,91.9892,103.9248,98.4409333332,98.7097333335,97.9569333333,100.752733333
197.40,106.792533333,88.5219666667,98.3646000001,91.6352,93.9623333333,107.358533333,100.566133333,103.081733333,102.578666667,104.654066667
197.78,115.769266666,95.4165999999,110.641066667,98.3332666667,101.9872,110.384666667,110.192133333,115.0,108.717933334,112.0512
198.16,111.282133333,86.5383666666,106.987266667,93.8461333331,95.8333333333,106.282,102.371733333,103.782,100.833466667,103.397466667
198.54,107.866666667,86.5666666667,107.6,94.7999999999,91.8,109.666666667,98.0,101.533333333,96.8,101.333333333
198.92,102.9702,84.8185999999,100.924,92.2772666667,84.9505333334,103.828533333,89.5049333333,97.2278000001,89.0429333334,96.6996666667
199.30,94.7333333333,76.8333333334,94.3333333333,81.8666666667,76.8666666667,93.7999999999,79.1333333333,87.2666666667,78.7333333333,89.2
199.68,94.4730666666,82.5641666667,94.2449333332,83.6466666666,76.8090666667,96.6950666666,79.1452,87.9772666666,79.8860666667,91.2249999999
200.06,91.0903333333,82.8350666667,93.2088666667,82.6167333333,77.0716666667,95.0779999999,76.5732666667,88.3489333333,78.0685333333,86.6042666667
200.44,90.4376666667,81.7509333333,92.3904666667,84.0403333333,73.6700666667,98.3164,70.7069333333,88.4175333333,76.3636666667,84.4444000001
200.82,90.3623333332,80.5798666667,93.9128666668,82.8261333333,75.7246,101.0146,69.2029333333,90.942,83.0434666667,87.8985333333
201.19,72.7392666667,63.8943333333,79.7360666666,69.1088666667,61.3862,82.1780666667,57.6239333334,75.2475333333,65.5446,69.5049333334
